# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 4076001
# NOM_USUEL= ENTREVAUX
# LATITUDE (°) = 43.95
# LONGITUDE(°)= 6.817
# ALTITUDE (m) = 475
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2018-12-31
# NUM_SERIE= MRR104076001
# Amplitude minimale détectable de la série = 0.11
# Période homogénéisée : 195001 201512
# Date(s) de rupture(s) d'homogénéité : 195612
#     Periode homogénéisée  195001 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;14.5;1
195002;127.7;1
195003;24.9;1
195004;41.8;1
195005;63;1
195006;33;1
195007;95.5;1
195008;20.7;1
195009;24.2;1
195010;41.5;1
195011;151;1
195012;104.3;1
195101;99.6;1
195102;183.6;1
195103;136.8;1
195104;30.4;1
195105;129;1
195106;58.5;1
195107;30.3;1
195108;33.9;1
195109;43.1;1
195110;173.8;1
195111;456.2;1
195112;33.6;1
195201;24.2;1
195202;16.8;1
195203;67.4;1
195204;203.5;1
195205;118.7;1
195206;0;1
195207;68.1;1
195208;47.8;1
195209;85.9;1
195210;78.5;1
195211;88.6;1
195212;69.5;1
195301;19.7;1
195302;15.1;1
195303;0;1
195304;54.5;1
195305;67.3;1
195306;128.7;1
195307;78.2;1
195308;65;1
195309;167.9;1
195310;272.4;1
195311;10.3;1
195312;58.3;1
195401;40.9;1
195402;60.8;1
195403;65.1;1
195404;79.6;1
195405;120.4;1
195406;129.2;1
195407;49.9;1
195408;61;1
195409;17.9;1
195410;84.1;1
195411;178.9;1
195412;195.1;1
195501;158.7;1
195502;95.1;1
195503;46.5;1
195504;0;1
195505;5;1
195506;90.3;1
195507;73;1
195508;12.9;1
195509;17.4;1
195510;165.1;1
195511;81.4;1
195512;81.3;1
195601;75.1;1
195602;30.5;1
195603;285.4;1
195604;164.3;1
195605;23.4;1
195606;48.3;1
195607;75.1;1
195608;52.7;1
195609;125.9;1
195610;27.9;1
195611;85.1;1
195612;15.7;1
195701;5.5;1
195702;96.3;1
195703;74;1
195704;115.6;1
195705;75.8;1
195706;157.4;1
195707;14;1
195708;56.9;1
195709;0;1
195710;37;1
195711;201.7;1
195712;239;1
195801;10.5;1
195802;27.6;1
195803;99.7;1
195804;112.8;1
195805;18.5;1
195806;84.6;1
195807;38.5;1
195808;37.9;1
195809;100.6;1
195810;104.3;1
195811;74.7;1
195812;235.4;1
195901;10.3;1
195902;41.2;1
195903;131.4;1
195904;121.3;1
195905;98.9;1
195906;61.2;1
195907;21.4;1
195908;40.8;1
195909;98.6;1
195910;255.8;1
195911;178.9;1
195912;209.1;1
196001;122.9;1
196002;108.8;1
196003;121.5;1
196004;65.1;1
196005;65.5;1
196006;155.6;1
196007;58.3;1
196008;74.2;1
196009;257.2;1
196010;469.3;1
196011;240.7;1
196012;118.7;1
196101;70.8;1
