# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 70339001
# NOM_USUEL= MELISEY
# LATITUDE (°) = 47.754
# LONGITUDE(°)= 6.57
# ALTITUDE (m) = 331
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2021-12-31
# NUM_SERIE= MRR170339001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195101 201712
# Date(s) de rupture(s) d'homogénéité : 196612 199112 200310
#     Periode homogénéisée  195101 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;123.4;1
195102;85.3;1
195103;134.3;1
195104;84.9;1
195105;105.9;1
195106;189.8;1
195107;58.4;1
195108;141.7;1
195109;72.8;1
195110;30.2;1
195111;192.5;1
195112;78.8;1
195201;131.6;1
195202;75.2;1
195203;183.8;1
195204;52.3;1
195205;58.6;1
195206;69.5;1
195207;19.6;1
195208;91.5;1
195209;194.9;1
195210;233.3;1
195211;193.1;1
195212;145.2;1
195301;26.1;1
195302;67.4;1
195303;9.7;1
195304;52.1;1
195305;51.8;1
195306;224.7;1
195307;172.5;1
195308;36;1
195309;67.3;1
195310;31.9;1
195311;13.8;1
195312;25.7;1
195401;137.6;1
195402;50.8;1
195403;54.7;1
195404;75.2;1
195405;46;1
195406;46;1
195407;51.8;1
195408;225.5;1
195409;146.6;1
195410;95.8;1
195411;86.6;1
195412;201.3;1
195501;188.2;1
195502;138.4;1
195503;61.9;1
195504;35.3;1
195505;106;1
195506;229.3;1
195507;112.3;1
195508;47.4;1
195509;87.1;1
195510;60.3;1
195511;26.7;1
195512;175.2;1
195601;119;1
195602;24.7;1
195603;76.6;1
195604;102;1
195605;60;1
195606;115.7;1
195607;145.8;1
195608;162.9;1
195609;124.3;1
195610;141.6;1
195611;76;1
195612;58.6;1
195701;72.8;1
195702;169.5;1
195703;93.1;1
195704;17.4;1
195705;41.3;1
195706;146.6;1
195707;183.9;1
195708;99.4;1
195709;131.8;1
195710;28.1;1
195711;35.8;1
195712;68.2;1
195801;129.7;1
195802;252.1;1
195803;59.5;1
195804;52.7;1
195805;114.7;1
195806;136;1
195807;95.3;1
195808;171.8;1
195809;61.9;1
195810;129.7;1
195811;68.2;1
195812;108;1
195901;169.9;1
195902;14.5;1
195903;101.6;1
195904;115.2;1
195905;28.1;1
195906;130.2;1
195907;33.6;1
195908;79.3;1
195909;12.6;1
195910;72.9;1
195911;56.1;1
195912;133.1;1
196001;112.6;1
196002;136.9;1
196003;76.1;1
196004;32.4;1
196005;51.5;1
196006;107.6;1
196007;105.5;1
196008;199.8;1
196009;177.8;1
196010;120.4;1
196011;147.2;1
196012;88.1;1
196101;132.6;1
196102;118.5;1
196103;43.8;1
196104;101;1
196105;84.8;1
196106;83.7;1
196107;138.4;1
196108;83.3;1
196109;43.4;1
196110;106.9;1
196111;84.2;1
196112;133.1;1
196201;156.3;1
196202;106.4;1
196203;131.6;1
196204;65.9;1
196205;136.1;1
196206;6.5;1
196207;36.8;1
196208;51.8;1
196209;106.9;1
196210;20.3;1
196211;55.2;1
196212;144.2;1
196301;31.4;1
196302;43.5;1
196303;84.8;1
196304;69.7;1
196305;84.7;1
196306;259.3;1
196307;42.4;1
196308;300.9;1
196309;98.7;1
196310;50.3;1
196311;200;1
196312;8.7;1
196401;70.4;1
196402;49.8;1
196403;100.6;1
196404;66.8;1
196405;120.5;1
196406;30.5;1
196407;20.8;1
196408;77.6;1
196409;67.9;1
196410;79.4;1
196411;164.5;1
196412;53.7;1
196501;119;1
196502;26.6;1
196503;159.7;1
196504;143.7;1
196505;152.9;1
196506;71.6;1
196507;101.1;1
196508;71.1;1
196509;174.2;1
196510;13.5;1
196511;171.8;1
196512;225.5;1
196601;105;1
196602;104;1
196603;106.9;1
196604;95.8;1
196605;96.9;1
196606;92.9;1
196607;75.5;1
196608;207.6;1
196609;66.3;1
196610;95.8;1
196611;106.9;1
196612;230.8;1
196701;108.9;1
196702;78.6;1
196703;92.6;1
196704;55.3;1
196705;162.7;1
196706;50.5;1
196707;28.3;1
196708;117.7;1
196709;227.4;1
196710;99.1;1
196711;157.8;1
196712;179.7;1
196801;137;1
196802;103.3;1
196803;62.4;1
196804;110.9;1
196805;88.6;1
196806;62.5;1
196807;80.1;1
196808;252.3;1
196809;185.9;1
196810;83.1;1
196811;77.1;1
196812;105.1;1
196901;64;1
196902;112.8;1
196903;99.4;1
196904;178.3;1
196905;99.4;1
196906;117.6;1
196907;78.8;1
196908;127.3;1
196909;18.9;1
196910;0;1
196911;132.9;1
196912;108.4;1
197001;102.9;1
197002;293.2;1
197003;89.4;1
197004;175.2;1
197005;112.7;1
197006;125.3;1
197007;115.1;1
197008;125.2;1
197009;97.9;1
197010;115.7;1
197011;102.5;1
197012;44.6;1
197101;46.2;1
197102;30.2;1
197103;84;1
197104;32.4;1
197105;49.2;1
197106;139.2;1
197107;35.8;1
197108;83.3;1
197109;13.7;1
197110;37;1
197111;146.7;1
197112;29.6;1
197201;53.6;1
197202;51.1;1
197203;46.4;1
197204;114.4;1
197205;107.4;1
197206;73.5;1
197207;60.6;1
197208;78.2;1
197209;43.6;1
197210;64.7;1
197211;187.1;1
197212;52.3;1
197301;72;1
197302;77.9;1
197303;18.4;1
197304;84.3;1
197305;153.6;1
197306;39.4;1
197307;97.1;1
197308;91.6;1
197309;64.4;1
197310;89.1;1
197311;141.9;1
197312;101.1;1
197401;100.2;1
197402;59.7;1
197403;107.7;1
197404;18.9;1
197405;92.7;1
197406;82.7;1
197407;77.7;1
197408;63.2;1
197409;125.4;1
197410;299.1;1
197411;145.2;1
197412;172.7;1
197501;130.3;1
197502;20.3;1
197503;77.7;1
197504;86.3;1
197505;71.4;1
197506;117.5;1
197507;49.8;1
197508;127;1
197509;138.5;1
197510;33.8;1
197511;199.2;1
197512;33.9;1
197601;141.1;1
197602;62.8;1
197603;31.6;1
197604;34;1
197605;31;1
197606;21.8;1
197607;94.2;1
197608;49.4;1
197609;129.4;1
197610;62.7;1
197611;126.6;1
197612;105.7;1
197701;145.7;1
197702;183.4;1
197703;78.2;1
197704;134.8;1
197705;86.7;1
197706;176.5;1
197707;105.1;1
197708;100;1
197709;35;1
197710;72.5;1
197711;206.8;1
197712;125.5;1
197801;100.1;1
197802;146.8;1
197803;150.9;1
197804;92.1;1
197805;131.6;1
197806;80.2;1
197807;172.4;1
197808;118.7;1
197809;95.5;1
197810;51.1;1
197811;21.8;1
197812;145;1
197901;107.8;1
197902;130.8;1
197903;188;1
197904;98.1;1
197905;99.6;1
197906;98.9;1
197907;67.9;1
197908;150;1
197909;30.9;1
197910;83.3;1
197911;154.1;1
197912;127.2;1
198001;115.1;1
198002;115.9;1
198003;113.3;1
198004;37.7;1
198005;103.5;1
198006;179.3;1
198007;163.6;1
198008;91.2;1
198009;76.7;1
198010;102.5;1
198011;79.5;1
198012;156.2;1
198101;167.3;1
198102;93.2;1
198103;135.3;1
198104;40.6;1
198105;114.5;1
198106;114.1;1
198107;156.7;1
198108;68.7;1
198109;157.9;1
198110;268.7;1
198111;106.8;1
198112;243.5;1
198201;217.8;1
198202;25.8;1
198203;155.9;1
198204;19.2;1
198205;70.6;1
198206;124.1;1
198207;164.5;1
198208;152.7;1
198209;94.3;1
198210;186.3;1
198211;136;1
198212;275.4;1
198301;179.9;1
198302;97.2;1
198303;88.2;1
198304;186.4;1
198305;317.4;1
198306;71.6;1
198307;46.9;1
198308;72.5;1
198309;108.7;1
198310;120;1
198311;93.7;1
198312;74.6;1
198401;191.5;1
198402;138.1;1
198403;41.4;1
198404;26.9;1
198405;178.5;1
198406;70.4;1
198407;62.4;1
198408;60.8;1
198409;189.7;1
198410;96;1
198411;91.2;1
198412;76.6;1
198501;119.6;1
198502;54.9;1
198503;50;1
198504;122.3;1
198505;178.2;1
198506;131.1;1
198507;111.1;1
198508;57.8;1
198509;47.9;1
198510;13.4;1
198511;106.6;1
198512;104.9;1
198601;218.8;1
198602;51;1
198603;103.8;1
198604;175;1
198605;103.5;1
198606;92.2;1
198607;118.1;1
198608;156.7;1
198609;94.8;1
198610;119.1;1
198611;78.1;1
198612;152;1
198701;55.4;1
198702;110;1
198703;102;1
198704;54.1;1
198705;143.9;1
198706;230.2;1
198707;138.8;1
198708;92.8;1
198709;156.4;1
198710;106.6;1
198711;117.5;1
198712;88.1;1
198801;143.2;1
198802;126.3;1
198803;244.2;1
198804;42.1;1
198805;117;1
198806;73.8;1
198807;85.1;1
198808;116.2;1
198809;99.8;1
198810;149.4;1
198811;84;1
198812;136.1;1
198901;41.1;1
198902;107.8;1
198903;86.3;1
198904;181.8;1
198905;25.3;1
198906;83.3;1
198907;143.6;1
198908;76.4;1
198909;59.1;1
198910;89.4;1
198911;114.4;1
198912;139.7;1
199001;55.4;1
199002;174.2;1
199003;28.3;1
199004;91.9;1
199005;67.6;1
199006;182.8;1
199007;48.5;1
199008;57.6;1
199009;80.2;1
199010;87.9;1
199011;178.2;1
199012;191.6;1
199101;95.6;1
199102;48.7;1
199103;73;1
199104;39.6;1
199105;28.5;1
199106;99.3;1
199107;95.7;1
199108;7.9;1
199109;176.3;1
199110;99.3;1
199111;138;1
199112;169.9;1
199201;16.8;1
199202;100.2;1
199203;150.6;1
199204;98.7;1
199205;64.7;1
199206;120.4;1
199207;128.1;1
199208;98;1
199209;62.2;1
199210;117.6;1
199211;268.3;1
199212;58.3;1
199301;101;1
199302;24.6;1
199303;31.8;1
199304;92.8;1
199305;101.3;1
199306;167.8;1
199307;113.5;1
199308;67.7;1
199309;154.7;1
199310;174.4;1
199311;55.5;1
199312;256.9;1
199401;191.8;1
199402;131.4;1
199403;108.2;1
199404;117.4;1
199405;136.9;1
199406;51.1;1
199407;80.9;1
199408;85.2;1
199409;152.9;1
199410;89.9;1
199411;50.7;1
199412;193.7;1
199501;216.1;1
199502;171.9;1
199503;156.4;1
199504;72.4;1
199505;173.3;1
199506;68.8;1
199507;76.2;1
199508;87.2;1
199509;155.3;1
199510;50.7;1
199511;88.2;1
199512;150.6;1
199601;29;1
199602;91.6;1
199603;13.4;1
199604;25.1;1
199605;118.2;1
199606;87.6;1
199607;99.2;1
199608;122.8;1
199609;28.5;1
199610;103.4;1
199611;263.8;1
199612;83.2;1
199701;38.3;1
199702;118.7;1
199703;42.9;1
199704;61.5;1
199705;82.2;1
199706;221.1;1
199707;80.5;1
199708;115.1;1
199709;43.2;1
199710;99.9;1
199711;158.2;1
199712;201.6;1
199801;111.7;1
199802;38.6;1
199803;62.5;1
199804;197.3;1
199805;70.2;1
199806;113.8;1
199807;63;1
199808;87.3;1
199809;213;1
199810;211.6;1
199811;115.9;1
199812;60.2;1
199901;144.6;1
199902;213.1;1
199903;171.9;1
199904;122.2;1
199905;140.4;1
199906;142.7;1
199907;102.7;1
199908;122.8;1
199909;125.8;1
199910;190.4;1
199911;53;1
199912;272.9;1
200001;95.5;1
200002;227.8;1
200003;61;1
200004;71.4;1
200005;110.1;1
200006;66.5;1
200007;249.8;1
200008;103.4;1
200009;97.3;1
200010;134.1;1
200011;178.3;1
200012;86.8;1
200101;93.8;1
200102;79.8;1
200103;332.5;1
200104;202.6;1
200105;105.2;1
200106;81;1
200107;110.3;1
200108;84;1
200109;147.6;1
200110;105.4;1
200111;146.4;1
200112;82.6;1
200201;81.9;1
200202;154.3;1
200203;72.8;1
200204;49.8;1
200205;133;1
200206;65.8;1
200207;64.4;1
200208;69.6;1
200209;62.2;1
200210;121.5;1
200211;292.1;1
200212;111.8;1
200301;149.6;1
200302;48.4;1
200303;50;1
200304;61.4;1
200305;146.8;1
200306;25.6;1
200307;79.1;1
200308;41.3;1
200309;53.2;1
200310;195.8;1
200311;72.5;1
200312;58.4;1
200401;228.8;1
200402;27.3;1
200403;45.6;1
200404;51.7;1
200405;73.4;1
200406;73.2;1
200407;84.9;1
200408;203.6;1
200409;37.7;1
200410;178.1;1
200411;60;1
200412;116.2;1
200501;87.9;1
200502;111.6;1
200503;44.1;1
200504;133.8;1
200505;130.7;1
200506;49.2;1
200507;137.7;1
200508;45.4;1
200509;58.3;1
200510;64.2;1
200511;60.9;1
200512;127.3;1
200601;50.4;1
200602;82.4;1
200603;221.3;1
200604;87.2;1
200605;145.7;1
200606;47.9;1
200607;21.3;1
200608;260.1;1
200609;206.8;1
200610;106.6;1
200611;102.5;1
200612;77.5;1
200701;170.9;1
200702;125.2;1
200703;131.8;1
200704;28;1
200705;194.7;1
200706;170.7;1
200707;155.5;1
200708;117.1;1
200709;82.6;1
200710;14.7;1
200711;144.2;1
200712;107;1
200801;93.7;1
200802;70.1;1
200803;142.5;1
200804;152.7;1
200805;77.3;1
200806;74.5;1
200807;81.6;1
200808;146.4;1
200809;160.3;1
200810;161.4;1
200811;78.2;1
200812;108.7;1
200901;29.4;1
200902;106;1
200903;112.3;1
200904;33.6;1
200905;60.4;1
200906;103.6;1
200907;137.4;1
200908;33.5;1
200909;52.9;1
200910;60.5;1
200911;170.4;1
200912;179.6;1
201001;78.8;1
201002;127.7;1
201003;74.9;1
201004;34.9;1
201005;108.7;1
201006;73;1
