# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 86294003
# NOM_USUEL= VOUILLE
# LATITUDE (°) = 46.642
# LONGITUDE(°)= 0.2
# ALTITUDE (m) = 111
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2021-04-30
# NUM_SERIE= MRR086294003
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195001 201412
# Date(s) de rupture(s) d'homogénéité : 199212 200912
#     Periode homogénéisée  195001 201412  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;8.1;1
195002;105.6;1
195003;36.3;1
195004;42.6;1
195005;68;1
195006;38.5;1
195007;19.7;1
195008;57.1;1
195009;77.3;1
195010;38.1;1
195011;108.3;1
195012;98.2;1
195101;44.3;1
195102;80;1
195103;92.2;1
195104;44.9;1
195105;99.3;1
195106;82.8;1
195107;49.3;1
195108;46.6;1
195109;37.6;1
195110;50.4;1
195111;58.5;1
195112;72;1
195201;60.7;1
195202;39.2;1
195203;60.2;1
195204;35.4;1
195205;33.9;1
195206;3.3;1
195207;14.1;1
195208;56;1
195209;115.9;1
195210;102;1
195211;114.1;1
195212;100.2;1
195301;14.4;1
195302;26.1;1
195303;0;1
195304;67.5;1
195305;26.1;1
195306;26.9;1
195307;56.4;1
195308;24.2;1
195309;64.2;1
195310;85.1;1
195311;26.8;1
195312;8.2;1
195401;38.7;1
195402;52.1;1
195403;94.8;1
195404;5.4;1
195405;35;1
195406;51.8;1
195407;14.4;1
195408;40.9;1
195409;30.7;1
195410;48.5;1
195411;64;1
195412;75.1;1
195501;126.3;1
195502;139.4;1
195503;36.8;1
195504;2.7;1
195505;37.8;1
195506;73.6;1
195507;87;1
195508;21.1;1
195509;9.4;1
195510;27.1;1
195511;31.9;1
195512;95.8;1
195601;93.6;1
195602;2.2;1
195603;10.7;1
195604;53;1
195605;22.6;1
