# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 63338001
# NOM_USUEL= ST-ELOY-LES-MIN
# LATITUDE (°) = 46.163
# LONGITUDE(°)= 2.837
# ALTITUDE (m) = 500
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2018-12-31
# NUM_SERIE= MRR163338001
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195101 201612
# Date(s) de rupture(s) d'homogénéité : 197108 197812 200912
#     Periode homogénéisée  195101 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;39.9;1
195102;62;1
195103;55.3;1
195104;60.2;1
195105;125.2;1
195106;97;1
195107;46;1
195108;65.6;1
195109;55.7;1
195110;27.4;1
195111;70.8;1
195112;54.7;1
195201;87.5;1
195202;80.9;1
195203;91.5;1
195204;37.4;1
195205;77.8;1
195206;80.1;1
195207;27.8;1
195208;66.5;1
195209;74.2;1
195210;140.9;1
195211;127.4;1
195212;124.3;1
195301;17.4;1
195302;32.9;1
195303;10.5;1
195304;65.3;1
195305;30.1;1
195306;79.2;1
195307;108.2;1
195308;67.4;1
195309;86.5;1
195310;54.9;1
195311;23.3;1
195312;22.1;1
195401;53.3;1
195402;73.1;1
195403;67.2;1
195404;30.6;1
195405;84.8;1
195406;72.3;1
195407;35.5;1
195408;96.7;1
195409;62.5;1
195410;53.8;1
195411;28.4;1
195412;59.2;1
195501;109.6;1
195502;90.3;1
195503;27.2;1
195504;1.2;1
195505;34.5;1
195506;77.7;1
195507;85.8;1
195508;33.9;1
195509;12.6;1
195510;21.3;1
195511;41.4;1
195512;61.9;1
195601;74.5;1
195602;22.9;1
195603;29.8;1
195604;50.7;1
195605;86.2;1
195606;52.6;1
195607;110.1;1
195608;98.8;1
195609;91.1;1
195610;79.3;1
195611;43.8;1
195612;29.5;1
195701;57.7;1
195702;109.6;1
195703;16.3;1
195704;35.7;1
195705;33.5;1
195706;145.2;1
195707;55.7;1
195708;30;1
195709;35.4;1
195710;38.9;1
195711;45.1;1
195712;62.8;1
195801;84.8;1
195802;70.1;1
195803;71.4;1
195804;48.6;1
195805;178.6;1
195806;84.3;1
195807;76.1;1
195808;75.2;1
195809;63.6;1
195810;56.8;1
195811;115;1
195812;75.5;1
195901;76.8;1
