# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 15069001
# NOM_USUEL= FERRIERES.ST.MA
# LATITUDE (°) = 45.184
# LONGITUDE(°)= 3.057
# ALTITUDE (m) = 694
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2021-12-31
# NUM_SERIE= MRR115069001
# Amplitude minimale détectable de la série = 0.09
# Période homogénéisée : 195101 201612
# Date(s) de rupture(s) d'homogénéité : 197012 197312 199905
#     Periode homogénéisée  195101 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;22.2;1
195102;119.9;1
195103;74.1;1
195104;56.7;1
195105;144.1;1
195106;98.3;1
195107;37.3;1
195108;85.4;1
195109;85;1
195110;62.3;1
195111;86.2;1
195112;31.7;1
195201;126.6;1
195202;50.5;1
195203;21.5;1
195204;42.2;1
195205;40.2;1
195206;94;1
195207;11.2;1
195208;63.5;1
195209;74.6;1
195210;75.2;1
195211;124.5;1
195212;66.2;1
195301;11.2;1
195302;34.3;1
195303;2.6;1
195304;58.8;1
195305;44.9;1
195306;96.1;1
195307;33.2;1
195308;25.8;1
195309;96.7;1
195310;34.4;1
195311;21.5;1
195312;40.8;1
195401;29;1
195402;52.6;1
195403;107.4;1
195404;70.9;1
195405;67.6;1
195406;55.4;1
195407;40.8;1
195408;191;1
195409;108;1
195410;12.8;1
195411;73.3;1
195412;45.2;1
195501;159.8;1
195502;51.7;1
195503;9.7;1
195504;0;1
195505;56.6;1
195506;121.8;1
195507;81.1;1
195508;28.9;1
195509;66.8;1
195510;50.3;1
195511;18.7;1
195512;70.8;1
195601;75.2;1
195602;25.8;1
195603;15.5;1
195604;39.2;1
195605;50.2;1
195606;34.8;1
195607;141.9;1
195608;95.7;1
195609;200.5;1
195610;45.2;1
195611;18.8;1
195612;25.4;1
195701;12.4;1
195702;152.1;1
195703;26.3;1
195704;64;1
195705;57.7;1
195706;141.2;1
195707;26.9;1
195708;30;1
195709;53.5;1
195710;15.7;1
195711;50.2;1
195712;61.5;1
195801;61.5;1
195802;47.3;1
195803;54.6;1
195804;45.3;1
195805;94.4;1
195806;59.5;1
195807;64;1
195808;76.6;1
195809;60.8;1
195810;35.8;1
195811;90.8;1
195812;103.9;1
195901;67.9;1
195902;16.4;1
195903;102.7;1
195904;83.4;1
195905;88.7;1
195906;142.2;1
195907;32.9;1
195908;122.4;1
195909;107.4;1
195910;94.1;1
195911;43.5;1
195912;158.7;1
196001;72;1
196002;83.8;1
196003;86.9;1
196004;11.8;1
196005;48.9;1
196006;34.8;1
196007;83.4;1
196008;188.7;1
196009;63.7;1
196010;117.8;1
196011;53.6;1
196012;61.9;1
196101;73.4;1
196102;27.1;1
196103;5.4;1
196104;80;1
196105;57.5;1
196106;38;1
196107;80;1
196108;77.6;1
196109;40.2;1
196110;88.7;1
196111;106.4;1
196112;49.7;1
196201;85.3;1
196202;32.6;1
196203;47.5;1
196204;117.9;1
196205;83.1;1
196206;12.7;1
196207;39.8;1
196208;13.1;1
196209;78.9;1
196210;34.4;1
196211;92.4;1
196212;76.3;1
196301;47.3;1
196302;49.4;1
196303;89.1;1
196304;63.2;1
196305;62.9;1
196306;124.1;1
196307;100;1
196308;147.1;1
196309;73.2;1
196310;63.3;1
196311;51;1
196312;10.7;1
196401;1.9;1
196402;10.3;1
196403;89.2;1
196404;74.2;1
196405;131.8;1
196406;30.3;1
196407;37.1;1
196408;73.5;1
196409;48.6;1
196410;93.6;1
196411;44.3;1
196412;19.3;1
196501;102.1;1
196502;10.4;1
196503;59.6;1
196504;33.3;1
196505;123.4;1
196506;25.4;1
196507;148.1;1
196508;40.1;1
196509;178.7;1
196510;57.2;1
196511;115.6;1
196512;150.5;1
196601;73.5;1
196602;50.7;1
196603;19.6;1
196604;84.6;1
196605;75.6;1
196606;59.1;1
196607;41.1;1
196608;65;1
196609;58.2;1
196610;112;1
196611;97.3;1
196612;78.9;1
196701;53.2;1
196702;67.3;1
196703;45.1;1
196704;14.4;1
196705;97.7;1
196706;67.8;1
196707;87.7;1
196708;82.4;1
196709;60.1;1
196710;10.1;1
196711;139.3;1
196712;37.8;1
196801;65.1;1
196802;55.7;1
196803;20.6;1
196804;80.4;1
196805;168;1
196806;68.7;1
196807;107.7;1
196808;59.8;1
196809;94.5;1
196810;41.3;1
196811;35.1;1
196812;93;1
196901;53.9;1
196902;42.8;1
196903;81.4;1
196904;101.6;1
196905;118.6;1
196906;103.9;1
196907;30.1;1
196908;60.3;1
196909;104.8;1
196910;17.7;1
196911;63.7;1
196912;62.5;1
197001;58.4;1
197002;80.5;1
197003;95.5;1
197004;50.5;1
197005;75.2;1
197006;127.3;1
197007;24.7;1
197008;41.4;1
197009;9.8;1
197010;80.4;1
197011;49.2;1
197012;49.9;1
197101;152.8;1
197102;66.3;1
197103;70.6;1
197104;80.2;1
197105;90.1;1
197106;95.5;1
197107;92.2;1
197108;89.1;1
197109;36.8;1
197110;16.4;1
197111;75.6;1
197112;22.6;1
197201;69;1
197202;71;1
197203;55.5;1
197204;38.9;1
197205;103;1
197206;64.9;1
197207;32.7;1
197208;125;1
197209;19.8;1
197210;90.9;1
197211;46.1;1
197212;71.6;1
197301;50.4;1
197302;46.4;1
197303;10;1
197304;36.6;1
197305;53.6;1
197306;116.5;1
197307;90.3;1
197308;34.7;1
197309;76.8;1
197310;114.7;1
197311;39.9;1
197312;79.8;1
197401;64.2;1
197402;69.2;1
197403;49.2;1
197404;49;1
197405;96.4;1
197406;111.7;1
197407;42.8;1
197408;112.3;1
197409;133.7;1
197410;71.6;1
197411;83.6;1
197412;17.9;1
197501;51.1;1
197502;17.7;1
197503;86.7;1
197504;17.7;1
197505;103.8;1
197506;88.9;1
197507;39.2;1
197508;143.6;1
197509;103.7;1
197510;20.5;1
197511;54.7;1
197512;15.1;1
197601;31;1
197602;40.8;1
197603;15.8;1
197604;53.1;1
197605;38.8;1
197606;3.3;1
197607;71.3;1
197608;96.2;1
197609;111.3;1
197610;208;1
197611;85.8;1
197612;106.4;1
197701;61.1;1
197702;59;1
197703;103.6;1
197704;49.8;1
197705;156.5;1
197706;86.4;1
197707;95.4;1
197708;135.4;1
197709;10.4;1
197710;78.9;1
197711;32.9;1
197712;49.9;1
197801;83;1
197802;62;1
197803;74.3;1
197804;48.3;1
197805;59.2;1
197806;32.7;1
197807;52.9;1
197808;47.9;1
197809;43.3;1
197810;27.2;1
197811;17.6;1
197812;188.3;1
197901;80;1
197902;73;1
197903;62;1
197904;80.1;1
197905;123.3;1
197906;27.6;1
197907;32.8;1
197908;72.2;1
197909;23.3;1
197910;185.6;1
197911;23.2;1
197912;144;1
198001;46.6;1
198002;49.3;1
198003;47.7;1
198004;53.6;1
198005;65.7;1
198006;40.6;1
198007;58.4;1
198008;111.7;1
198009;105.9;1
198010;88.9;1
198011;120.3;1
198012;60.4;1
198101;63.6;1
198102;24.3;1
198103;97.3;1
198104;16.6;1
198105;159.1;1
198106;97.3;1
198107;52.1;1
198108;22;1
198109;93;1
198110;60.6;1
198111;21.9;1
198112;211.7;1
198201;58.3;1
198202;40.7;1
198203;63.1;1
198204;12.8;1
198205;62.6;1
198206;41;1
198207;94.1;1
198208;77;1
198209;91.4;1
198210;91.6;1
198211;62;1
198212;78.2;1
198301;48.8;1
198302;59.9;1
198303;29.9;1
198304;162.1;1
198305;126.5;1
198306;100;1
198307;35.9;1
198308;78.1;1
198309;39.6;1
198310;75.9;1
198311;29.4;1
198312;33.7;1
198401;82.4;1
198402;40.1;1
198403;92;1
198404;7;1
198405;94.1;1
198406;33.7;1
198407;18.2;1
198408;59.3;1
198409;91.4;1
198410;83.9;1
198411;95.7;1
198412;57.7;1
198501;38;1
198502;42.2;1
198503;60.4;1
198504;36.1;1
198505;140.6;1
198506;73.8;1
198507;24.6;1
198508;5.9;1
198509;5.3;1
198510;64.2;1
198511;28.3;1
198512;51.3;1
198601;109.1;1
198602;71.1;1
198603;57.2;1
198604;180.7;1
198605;67.9;1
198606;9.1;1
198607;41.7;1
198608;69;1
198609;53.5;1
198610;99.4;1
198611;22.5;1
198612;68.4;1
198701;46.5;1
198702;39.6;1
198703;40.1;1
198704;52.9;1
198705;55.6;1
198706;89.8;1
198707;59.9;1
198708;98.9;1
198709;42.2;1
198710;96.8;1
198711;60.9;1
198712;54.5;1
198801;136.9;1
198802;71.1;1
198803;94.1;1
198804;79.1;1
198805;168.9;1
198806;66.3;1
198807;62;1
198808;56.1;1
198809;35.8;1
198810;97.8;1
198811;16;1
198812;43.3;1
198901;10.7;1
198902;88.7;1
198903;24.6;1
198904;157.7;1
198905;51.9;1
198906;10.7;1
198907;6.4;1
198908;39.6;1
198909;93.6;1
198910;27.8;1
198911;52.9;1
198912;38.5;1
199001;40.1;1
199002;104.3;1
199003;13.4;1
199004;58.3;1
199005;102.6;1
199006;102.1;1
199007;36.4;1
199008;69;1
199009;28.3;1
199010;88.2;1
199011;48.1;1
199012;47;1
199101;18.2;1
199102;34.8;1
199103;59.3;1
199104;23;1
199105;21.9;1
199106;64.7;1
199107;46.5;1
199108;55.6;1
199109;40.1;1
199110;38.5;1
199111;81.3;1
199112;18.7;1
199201;23.5;1
199202;14.4;1
199203;51.9;1
199204;84.5;1
199205;125.6;1
199206;250.7;1
199207;62.6;1
199208;65.2;1
199209;86.6;1
199210;119.8;1
199211;67.9;1
199212;67.4;1
199301;0.5;1
199302;11.2;1
199303;15.5;1
199304;86.1;1
199305;106.4;1
199306;131;1
199307;102.1;1
199308;34.2;1
199309;143.3;1
199310;95.7;1
199311;16;1
199312;123;1
199401;69.5;1
199402;99.4;1
199403;12.3;1
199404;154;1
199405;77;1
199406;72.2;1
199407;69;1
199408;78.1;1
199409;264.6;1
199410;143.8;1
199411;111.2;1
199412;53.5;1
199501;63.6;1
199502;87.1;1
199503;32.1;1
199504;47.6;1
199505;39;1
199506;134.2;1
199507;41.2;1
199508;68.4;1
199509;136.3;1
199510;58.3;1
199511;47;1
199512;69;1
199601;104.8;1
199602;79.1;1
199603;29.4;1
199604;61.5;1
199605;96.8;1
199606;49.7;1
199607;77;1
199608;43.3;1
199609;36.4;1
199610;37.4;1
199611;146.5;1
199612;48.1;1
199701;70;1
199702;16;1
199703;2.7;1
199704;28.9;1
199705;117.1;1
199706;109.1;1
199707;36.4;1
199708;144.5;1
199709;61.5;1
199710;44.9;1
199711;111.2;1
199712;101;1
199801;78.6;1
199802;20.9;1
199803;35.8;1
199804;173.8;1
199805;84.5;1
199806;17.6;1
199807;88.2;1
199808;16;1
199809;112.8;1
199810;63.6;1
199811;38.5;1
199812;34.2;1
199901;77.5;1
199902;35.8;1
199903;23.5;1
199904;36.4;1
199905;101.6;1
199906;17;1
199907;73.1;1
199908;155.1;1
199909;98.2;1
199910;78.2;1
199911;79.2;1
199912;84.6;1
200001;11.3;1
200002;59.7;1
200003;25.8;1
200004;92.8;1
200005;83.8;1
200006;60.8;1
200007;51.6;1
200008;113.2;1
200009;81.7;1
200010;67.9;1
200011;106;1
200012;31.1;1
200101;100;1
200102;22;1
200103;125.8;1
200104;96.4;1
200105;136.7;1
200106;38.5;1
200107;73.6;1
200108;38.9;1
200109;69;1
200110;107.5;1
200111;34.9;1
200112;14.9;1
200201;17.1;1
200202;37.9;1
200203;23.2;1
200204;36.3;1
200205;94.1;1
200206;93.3;1
200207;44.1;1
200208;105.1;1
200209;100.6;1
200210;64.9;1
200211;111.3;1
200212;95.4;1
200301;80.2;1
200302;55.5;1
200303;16.9;1
200304;46.7;1
200305;22.3;1
200306;25.2;1
200307;53.5;1
200308;174.1;1
200309;75;1
200310;118;1
200311;115.7;1
200312;121;1
200401;101.3;1
200402;34.7;1
200403;68.3;1
200404;119.4;1
200405;71.7;1
200406;15.6;1
200407;13;1
200408;147.5;1
200409;14.2;1
200410;175.7;1
200411;31.9;1
200412;48.5;1
200501;54.9;1
200502;41.2;1
200503;30.1;1
200504;99.3;1
200505;93.8;1
200506;47.8;1
200507;28.9;1
200508;15.1;1
200509;113.1;1
200510;95;1
200511;56.9;1
200512;47.4;1
200601;38.6;1
200602;41.6;1
200603;96;1
200604;72.9;1
200605;78.7;1
200606;52.6;1
200607;123.6;1
200608;57.3;1
200609;92.3;1
200610;80.5;1
200611;32.7;1
200612;27.9;1
200701;47.5;1
200702;80.6;1
200703;40.9;1
200704;33.4;1
200705;79;1
200706;144.2;1
200707;66.9;1
200708;65.8;1
200709;87.4;1
200710;47.9;1
200711;76.6;1
200712;67;1
200801;49.2;1
200802;14.5;1
200803;90.3;1
200804;145.1;1
200805;260.2;1
200806;66.5;1
200807;148.9;1
200808;36.3;1
200809;32.3;1
200810;154.9;1
200811;102.9;1
200812;110.7;1
200901;48.4;1
200902;48.7;1
200903;15.4;1
200904;155.4;1
200905;29.8;1
200906;106.9;1
200907;49.2;1
200908;92.5;1
200909;36.1;1
200910;55.4;1
200911;80.8;1
200912;60.7;1
201001;51.3;1
201002;87;1
201003;72.2;1
201004;37.7;1
201005;118.8;1
201006;103.1;1
201007;41.8;1
201008;26.4;1
201009;84.1;1
201010;100.3;1
201011;96.3;1
201012;67.2;1
201101;12.7;1
201102;20.8;1
201103;67.3;1
201104;10.4;1
201105;57.6;1
201106;58.2;1
201107;90.5;1
201108;87.8;1
201109;20.4;1
201110;38.8;1
201111;82.8;1
201112;95.6;1
201201;52.5;1
201202;10.1;1
201203;30.8;1
201204;136.5;1
201205;110.3;1
201206;59;1
201207;76.1;1
201208;102.4;1
201209;42.6;1
201210;41.3;1
201211;59.5;1
201212;82.5;1
201301;38.3;1
201302;36.7;1
201303;86.4;1
201304;88.7;1
201305;125.7;1
201306;33;1
201307;90.7;1
201308;62;1
201309;86.1;1
201310;118.6;1
201311;91.6;1
201312;35.7;1
201401;87.3;1
201402;77.8;1
201403;28.9;1
201404;58.6;1
201405;45.8;1
201406;35.9;1
201407;149.3;1
201408;63.2;1
201409;50.6;1
201410;44.8;1
201411;214.9;1
201412;30.3;1
201501;39.6;1
201502;37.2;1
201503;33.6;1
201504;40.9;1
201505;31;1
201506;56.2;1
201507;77.8;1
201508;103.4;1
201509;116.7;1
201510;40;1
201511;39.4;1
201512;9.2;1
201601;107.6;1
201602;85.3;1
201603;51.7;1
201604;122.6;1
201605;119.8;1
201606;42.6;1
201607;27.8;1
201608;25.4;1
201609;55.2;1
201610;79.2;1
201611;135.3;1
201612;26;1
201701;28;0
201702;84.4;0
201703;64.6;0
201704;60.8;0
201705;62.7;0
201706;108.2;0
201707;39.4;0
201708;69.3;0
201709;32.5;0
201710;9.2;0
201711;74.3;0
201712;106.5;0
201801;154.6;0
201802;40.4;0
201803;76;0
201804;51.2;0
201805;127;0
201806;50.4;0
201807;44.4;0
201808;26.6;0
201809;71;0
201810;64.4;0
201811;51.5;0
201812;48.5;0
201901;42.3;0
201902;37.7;0
201903;32.9;0
201904;59;0
201905;51.5;0
201906;42.6;0
201907;69.7;0
201908;101.4;0
201909;20.9;0
201910;120.9;0
201911;131.2;0
201912;131.5;0
202001;22.3;0
202002;25.5;0
202003;63.3;0
202004;78.3;0
202005;66.5;0
202006;157.4;0
202007;14.3;0
202008;67.5;0
202009;53.1;0
202010;89.3;0
202011;24.3;0
202012;161.8;0
202101;65.7;0
202102;33.8;0
202103;27.7;0
202104;43;0
202105;76.2;0
202106;148.9;0
202107;44.4;0
202108;34.7;0
202109;127.3;0
202110;56.9;0
202111;43.2;0
202112;72.7;0
