# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 68241001
# NOM_USUEL= OBERENTZEN
# LATITUDE (°) = 47.944
# LONGITUDE(°)= 7.379
# ALTITUDE (m) = 203
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2016-05-31
# NUM_SERIE= MRR168241001
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 195001 201512
# Date(s) de rupture(s) d'homogénéité : 199312
#     Periode homogénéisée  195001 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;17;1
195002;49.4;1
195003;1.6;1
195004;50.5;1
195005;88.5;1
195006;52.5;1
195007;81.3;1
195008;134.7;1
195009;43;1
195010;12.6;1
195011;176.5;1
195012;19.7;1
195101;29.1;1
195102;56.9;1
195103;29.1;1
195104;36;1
195105;69;1
195106;107.2;1
195107;63.6;1
195108;89.6;1
195109;26.4;1
195110;35.9;1
195111;92.9;1
195112;27.9;1
195201;50.7;1
195202;36.4;1
195203;129.1;1
195204;44.9;1
195205;29.9;1
195206;19.6;1
195207;15.6;1
195208;58.1;1
195209;90.9;1
195210;86.4;1
195211;91;1
195212;65.7;1
195301;11.3;1
195302;34;1
195303;4.1;1
195304;34.9;1
195305;31.3;1
195306;98.8;1
195307;77;1
195308;10.5;1
195309;54.3;1
195310;28.2;1
195311;11.6;1
195312;6.4;1
195401;28.1;1
195402;31.3;1
195403;26.3;1
195404;47;1
195405;39.6;1
195406;51.9;1
195407;58.6;1
195408;160.6;1
195409;85.7;1
195410;16.6;1
195411;41.6;1
195412;88.9;1
195501;64.4;1
195502;40.5;1
195503;42.1;1
195504;9.9;1
195505;61.6;1
195506;87.5;1
195507;98.3;1
195508;72.6;1
195509;43.8;1
195510;27.1;1
195511;5.3;1
195512;62.8;1
195601;16.1;1
195602;9.9;1
195603;8.8;1
195604;72.5;1
195605;76.7;1
195606;42.6;1
195607;146.8;1
195608;103.4;1
195609;52.2;1
195610;70.3;1
195611;27.1;1
195612;7.7;1
195701;11.8;1
195702;61.7;1
