# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 49092001
# NOM_USUEL= CHEMILLE
# LATITUDE (°) = 47.218
# LONGITUDE(°)= -0.727
# ALTITUDE (m) = 88
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2018-12-31
# NUM_SERIE= MRR149092001
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195101 201412
# Date(s) de rupture(s) d'homogénéité : 196912 197310
#     Periode homogénéisée  195101 201412  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;57.5;1
195102;72.6;1
195103;94;1
195104;59.5;1
195105;131.9;1
195106;52.3;1
195107;23.1;1
195108;119.4;1
195109;36.3;1
195110;19.9;1
195111;118.2;1
195112;71.2;1
195201;58.1;1
195202;24;1
195203;99.4;1
195204;19.7;1
195205;32.6;1
195206;8.9;1
195207;10.1;1
195208;91.4;1
195209;155.6;1
195210;89.5;1
195211;105.1;1
195212;114.6;1
195301;15.8;1
195302;26.5;1
195303;3.7;1
195304;61.5;1
195305;33.8;1
195306;28.4;1
195307;34.1;1
195308;17.8;1
195309;73.5;1
195310;65.1;1
195311;19.1;1
195312;18.1;1
195401;15.3;1
195402;39.4;1
195403;93.4;1
195404;14.2;1
195405;26.2;1
195406;50.2;1
195407;26.6;1
195408;93.6;1
195409;55.1;1
195410;39;1
195411;55.1;1
195412;64.2;1
195501;103.2;1
195502;94.5;1
195503;28.8;1
195504;0.6;1
195505;38.1;1
195506;117.3;1
195507;6.4;1
195508;6.7;1
195509;15.7;1
195510;28.2;1
195511;22.8;1
195512;85.8;1
195601;85;1
195602;4.3;1
195603;13.2;1
195604;69.3;1
195605;10.5;1
195606;22.5;1
195607;58.2;1
195608;89.9;1
195609;52.5;1
195610;29.9;1
195611;13.5;1
195612;44.2;1
195701;27.9;1
195702;140.6;1
195703;18.4;1
195704;36.7;1
195705;24.9;1
195706;23.4;1
195707;33.2;1
195708;41.8;1
195709;59.5;1
195710;28.1;1
195711;85.8;1
195712;68.1;1
195801;125.9;1
195802;94.4;1
195803;62.3;1
195804;41.8;1
195805;51.2;1
195806;140.4;1
195807;51.8;1
195808;39.4;1
195809;47.3;1
195810;42.7;1
195811;30.5;1
195812;108.7;1
195901;82.2;1
195902;3.1;1
195903;48.9;1
195904;81.4;1
195905;46.4;1
195906;33.4;1
195907;18.1;1
195908;25.3;1
195909;18.4;1
195910;59.8;1
195911;43.6;1
195912;95.1;1
196001;53.5;1
196002;54.8;1
196003;65.9;1
196004;12.8;1
196005;93.4;1
196006;25.8;1
196007;58.1;1
196008;27.6;1
196009;112;1
196010;129;1
196011;158.8;1
196012;103.8;1
196101;132.1;1
196102;28.5;1
196103;2.9;1
196104;75.9;1
196105;16.4;1
196106;24.9;1
196107;60.9;1
196108;0;1
196109;34.1;1
196110;99.2;1
196111;121.3;1
196112;115.4;1
196201;69.9;1
196202;23.9;1
196203;88.5;1
196204;26.6;1
196205;60.7;1
196206;5.4;1
196207;18.1;1
196208;9;1
196209;56.7;1
196210;30;1
196211;92.9;1
196212;39.4;1
196301;37.9;1
196302;33.1;1
196303;66.2;1
196304;96.4;1
196305;45.2;1
196306;100.7;1
196307;6.8;1
196308;102.9;1
196309;29.6;1
196310;49.5;1
196311;107.4;1
196312;7.7;1
196401;13.4;1
196402;68.7;1
196403;80.6;1
196404;64;1
196405;66.6;1
196406;58.2;1
196407;9;1
196408;22.4;1
196409;43.2;1
196410;69.8;1
196411;58.3;1
196412;81.6;1
196501;89.9;1
196502;4.5;1
196503;70.8;1
196504;30.4;1
196505;35.8;1
196506;21.8;1
196507;28.1;1
196508;182.9;1
196509;87.6;1
196510;28.7;1
196511;115.5;1
196512;99.3;1
196601;71.3;1
196602;87.8;1
196603;12.7;1
196604;74.6;1
196605;43.2;1
196606;45;1
196607;47.8;1
196608;39;1
196609;25.2;1
196610;204.1;1
196611;113.7;1
196612;77.7;1
196701;46.1;1
