# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 28018001
# NOM_USUEL= AUTHON
# LATITUDE (°) = 48.2
# LONGITUDE(°)= 0.887
# ALTITUDE (m) = 233
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2023-01-31
# NUM_SERIE= MRR228018001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 194801 201712
# Date(s) de rupture(s) d'homogénéité : 194912 196712 197705
#     Periode homogénéisée  194801 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
194801;98.7;1
194802;30.5;1
194803;19.7;1
194804;79;1
194805;45.5;1
194806;59.1;1
194807;25.9;1
194808;92.3;1
194809;21.2;1
194810;23.4;1
194811;48.8;1
194812;49.1;1
194901;18.8;1
194902;15.4;1
194903;26.5;1
194904;32;1
194905;28.8;1
194906;16.4;1
194907;17.4;1
194908;86.7;1
194909;96.1;1
194910;59;1
194911;68.4;1
194912;52.2;1
195001;30.3;1
195002;89.2;1
195003;49.2;1
195004;64.6;1
195005;71.5;1
195006;35.9;1
195007;61.8;1
195008;66.9;1
195009;59.3;1
195010;30.2;1
195011;113.4;1
195012;87.5;1
195101;55.2;1
195102;80.2;1
195103;70.2;1
195104;44.3;1
195105;94;1
195106;87.3;1
195107;111.5;1
195108;107.5;1
195109;41.5;1
195110;30.3;1
195111;86.5;1
195112;76.5;1
195201;96.7;1
195202;47.2;1
195203;100.1;1
195204;19.8;1
195205;43.8;1
195206;24.3;1
195207;22;1
195208;25.9;1
195209;134.4;1
195210;106.2;1
195211;82.1;1
195212;101.2;1
195301;27.7;1
195302;36.2;1
195303;0.8;1
195304;60.4;1
195305;14.7;1
195306;80;1
195307;104.2;1
195308;26.2;1
195309;59.6;1
195310;42.7;1
195311;26;1
195312;13.9;1
195401;29.1;1
195402;62.9;1
195403;67.1;1
195404;14.9;1
195405;12.7;1
195406;52.2;1
195407;42.7;1
195408;74.5;1
195409;78;1
195410;39.7;1
195411;64.3;1
195412;67.9;1
195501;129.7;1
195502;82.6;1
195503;25.2;1
195504;6.5;1
195505;52.8;1
195506;79.9;1
195507;115.6;1
195508;56.2;1
195509;29.5;1
195510;64.9;1
195511;18.9;1
195512;86.8;1
195601;97;1
195602;8.2;1
195603;20.1;1
195604;61.5;1
195605;93.2;1
195606;42.8;1
195607;74.4;1
195608;99.9;1
195609;40.4;1
195610;50.3;1
195611;46.1;1
195612;52.4;1
195701;41.8;1
195702;145.7;1
195703;35.4;1
195704;36.7;1
195705;29.7;1
195706;74.1;1
195707;63.5;1
195708;53.8;1
