# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 53152001
# NOM_USUEL= MESLAY-DU-MAINE
# LATITUDE (°) = 47.943
# LONGITUDE(°)= -0.553
# ALTITUDE (m) = 86
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2020-12-31
# NUM_SERIE= MRR053152001
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195101 202012
# Date(s) de rupture(s) d'homogénéité : 196012 197212 199412
#     Periode homogénéisée  195101 202012  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;54.6;1
195102;80.6;1
195103;87.4;1
195104;64.9;1
195105;102;1
195106;115.8;1
195107;38.8;1
195108;116.8;1
195109;97.9;1
195110;40.9;1
195111;135.6;1
195112;78;1
195201;94.1;1
195202;39.9;1
195203;120.8;1
195204;37.7;1
195205;39.9;1
195206;8.4;1
195207;41.3;1
195208;48.8;1
195209;138.3;1
195210;104.8;1
195211;116.2;1
195212;142.1;1
195301;17.2;1
195302;27.2;1
195303;4.1;1
195304;79.8;1
195305;22.1;1
195306;60.7;1
195307;85.7;1
195308;12.3;1
195309;92.5;1
195310;112.9;1
195311;33;1
195312;21.2;1
195401;24.9;1
195402;48.7;1
195403;71;1
195404;12.5;1
195405;41.7;1
195406;44.5;1
195407;34.2;1
195408;73.9;1
195409;71;1
195410;45.4;1
195411;67.2;1
195412;72.6;1
195501;106.3;1
195502;100.1;1
195503;35.3;1
195504;1;1
195505;33.5;1
195506;100.2;1
195507;31.4;1
195508;8.3;1
195509;26.6;1
195510;20.6;1
195511;24.3;1
195512;114.4;1
195601;98.7;1
195602;3.2;1
195603;23;1
195604;68.4;1
195605;18.3;1
195606;20.2;1
195607;96.1;1
195608;113.5;1
195609;43;1
195610;44.3;1
195611;9.3;1
195612;59.1;1
195701;28.9;1
195702;160.9;1
195703;16;1
195704;55.2;1
195705;35.1;1
195706;63;1
195707;69;1
195708;79.2;1
195709;69.7;1
195710;20.2;1
195711;81.4;1
195712;36.3;1
195801;135.2;1
195802;100.1;1
195803;65.8;1
195804;42.8;1
195805;62.7;1
195806;109.6;1
195807;32;1
195808;76.9;1
195809;50.5;1
195810;45;1
195811;67.5;1
195812;76;1
195901;96.2;1
195902;12.1;1
195903;43.7;1
195904;87.5;1
195905;44.9;1
195906;32.7;1
195907;16.7;1
195908;28.4;1
195909;15.4;1
195910;98.1;1
195911;28.9;1
195912;182.4;1
196001;58.3;1
196002;40.8;1
196003;83;1
196004;19.4;1
196005;51.6;1
196006;38.1;1
196007;65.3;1
196008;64.5;1
196009;119.1;1
196010;147.5;1
196011;166.6;1
196012;147.3;1
196101;98.3;1
196102;46.5;1
196103;4.9;1
196104;64.2;1
196105;35.9;1
196106;27.3;1
196107;101.1;1
196108;2.5;1
196109;68.4;1
196110;104.1;1
196111;93.7;1
196112;107.2;1
196201;89.7;1
196202;32.4;1
196203;98.3;1
196204;34.1;1
196205;34.2;1
196206;0.1;1
196207;40.2;1
196208;37.4;1
196209;76.1;1
196210;38.5;1
196211;125.5;1
196212;41.1;1
196301;42.8;1
196302;47.1;1
196303;99.6;1
196304;78.7;1
196305;32;1
196306;100.8;1
196307;42.1;1
196308;139.1;1
196309;44.7;1
196310;54.6;1
196311;155.6;1
