# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 21142001
# NOM_USUEL= CHANCEAUX
# LATITUDE (°) = 47.524
# LONGITUDE(°)= 4.713
# ALTITUDE (m) = 465
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2017-05-31
# NUM_SERIE= MRR221142001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195101 201412
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195101 201412  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;58.7;1
195102;86.1;1
195103;87.7;1
195104;91.5;1
195105;108.8;1
195106;151.3;1
195107;46.4;1
195108;86;1
195109;62.2;1
195110;19.8;1
195111;156.7;1
195112;52.2;1
195201;157.4;1
195202;84.1;1
195203;135;1
195204;14.5;1
195205;63.9;1
195206;26.9;1
195207;18.9;1
195208;66.8;1
195209;138;1
195210;142.3;1
195211;135;1
195212;139.2;1
195301;29.2;1
195302;36.5;1
195303;3.1;1
195304;51.4;1
195305;52.3;1
195306;160.8;1
195307;111.6;1
195308;34.7;1
195309;73.5;1
195310;45.4;1
195311;15;1
195312;21.1;1
195401;58.2;1
195402;46.6;1
195403;67.2;1
195404;53.5;1
195405;52.5;1
195406;78.6;1
195407;38.4;1
195408;179.3;1
195409;92.2;1
195410;75.1;1
195411;43.1;1
195412;118.9;1
195501;189.6;1
195502;138.5;1
195503;36.5;1
195504;0;1
195505;26.6;1
195506;115.1;1
195507;37.2;1
195508;21.3;1
195509;47;1
195510;37.6;1
195511;33.8;1
195512;153.5;1
195601;87.9;1
195602;20.7;1
195603;83.8;1
195604;50.9;1
195605;45.8;1
195606;73.6;1
195607;99.7;1
195608;159;1
195609;156;1
195610;90.6;1
195611;53.6;1
195612;27.8;1
195701;45.7;1
195702;152.3;1
195703;43.3;1
195704;29.3;1
195705;20.8;1
195706;130.3;1
195707;108.3;1
195708;55.5;1
195709;97.2;1
195710;32.8;1
195711;47.8;1
195712;70.3;1
195801;98.2;1
195802;172.4;1
195803;69.5;1
195804;34;1
195805;145;1
195806;107;1
195807;46.5;1
195808;87.8;1
195809;95.1;1
195810;74.9;1
195811;44.3;1
195812;103.3;1
195901;103;1
195902;0;1
195903;71.8;1
195904;81.3;1
195905;44.6;1
195906;142.2;1
195907;12.5;1
195908;8.9;1
195909;49.6;1
195910;39.2;1
195911;57.4;1
195912;96.8;1
196001;74.8;1
196002;67.9;1
196003;56.5;1
196004;16.9;1
196005;60.1;1
196006;63.2;1
196007;72.8;1
196008;202.6;1
196009;71.3;1
196010;131.1;1
196011;63.6;1
196012;64.9;1
196101;87.4;1
196102;87.8;1
196103;14.1;1
196104;48.1;1
196105;61.8;1
196106;63.8;1
196107;82.4;1
196108;69.8;1
196109;26.1;1
196110;154.1;1
196111;70.4;1
196112;121.1;1
196201;96.6;1
196202;82.9;1
196203;107.1;1
196204;98.3;1
196205;90.9;1
196206;22.5;1
196207;54.7;1
196208;44.2;1
196209;77.2;1
196210;34.7;1
196211;46.3;1
196212;123.5;1
196301;36.3;1
196302;31;1
196303;87.5;1
196304;43;1
196305;64.4;1
196306;124.7;1
196307;65.9;1
196308;149.2;1
196309;33.2;1
196310;50.4;1
196311;101.2;1
196312;6.6;1
196401;29.8;1
196402;23.1;1
196403;53.6;1
196404;82;1
196405;42.5;1
196406;29.9;1
196407;17.8;1
196408;68.3;1
196409;89.4;1
196410;47.6;1
196411;45.7;1
196412;30.6;1
196501;113.5;1
196502;23.4;1
196503;144;1
196504;95.9;1
196505;118.8;1
196506;144;1
196507;81.4;1
196508;57.5;1
196509;209;1
196510;13.2;1
196511;117.3;1
196512;179.4;1
196601;108.7;1
196602;93.4;1
196603;67.1;1
