# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 78646001
# NOM_USUEL= VERSAILLES
# LATITUDE (°) = 48.802
# LONGITUDE(°)= 2.137
# ALTITUDE (m) = 157
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2022-01-01
# NUM_SERIE= MRR178646001
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 194701 201612
# Date(s) de rupture(s) d'homogénéité : 195212 197203
#     Periode homogénéisée  194701 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
194701;39;1
194702;34.6;1
194703;71.6;1
194704;73.7;1
194705;56.6;1
194706;85.7;1
194707;37.4;1
194708;34.8;1
194709;7.8;1
194710;28.3;1
194711;56;1
194712;82.4;1
194801;66.4;1
194802;36.6;1
194803;23;1
194804;88.6;1
194805;42.4;1
194806;97.4;1
194807;21.1;1
194808;86.6;1
194809;32.3;1
194810;20.7;1
194811;58.4;1
194812;42.4;1
194901;20.4;1
194902;11.6;1
194903;12.4;1
194904;21.3;1
194905;39.3;1
194906;30.2;1
194907;7.5;1
194908;26.8;1
194909;72.6;1
194910;53.8;1
194911;72.2;1
194912;30.7;1
195001;28.2;1
195002;71.2;1
195003;22.6;1
195004;66.8;1
195005;58;1
195006;24.4;1
195007;73.3;1
195008;71.2;1
195009;106;1
195010;10.6;1
195011;67.5;1
195012;80.8;1
195101;31.4;1
195102;55.6;1
195103;53.9;1
195104;43.8;1
195105;95.3;1
195106;93.1;1
195107;28.5;1
195108;110.7;1
195109;39.6;1
195110;27.1;1
195111;91.3;1
195112;66.5;1
195201;81.3;1
195202;36;1
195203;82.1;1
195204;9.1;1
195205;37.7;1
195206;42.8;1
195207;1.8;1
195208;74.9;1
195209;118.6;1
195210;94.3;1
195211;91;1
195212;74.7;1
195301;14.5;1
195302;28.2;1
195303;0.1;1
195304;48.1;1
195305;34.7;1
195306;52.9;1
195307;57;1
195308;38.9;1
195309;62.6;1
195310;24.9;1
195311;15.7;1
195312;5;1
195401;40.8;1
195402;37.6;1
195403;43.3;1
195404;0.7;1
195405;34.9;1
195406;60.8;1
195407;37.1;1
195408;63.3;1
195409;113.4;1
195410;37.7;1
195411;35.2;1
195412;62.7;1
195501;98.1;1
195502;66.4;1
195503;20.1;1
195504;0;1
195505;85.1;1
195506;60.9;1
195507;102.7;1
195508;26.4;1
195509;32.3;1
195510;56.8;1
195511;21.8;1
195512;73.6;1
195601;61.4;1
195602;12.9;1
195603;9;1
195604;57.1;1
195605;37.6;1
195606;56.8;1
195607;29.5;1
195608;84.7;1
195609;33.9;1
195610;58.1;1
195611;44.1;1
195612;30;1
195701;25.2;1
195702;91.2;1
195703;27.8;1
195704;15.8;1
195705;30;1
195706;55.7;1
195707;92.7;1
195708;25.1;1
195709;88.9;1
195710;27.6;1
195711;28.1;1
195712;28.4;1
195801;89.1;1
195802;101.1;1
195803;30.4;1
195804;57.4;1
195805;60.2;1
195806;100.6;1
195807;123;1
195808;43.5;1
195809;34;1
195810;48.2;1
195811;46.6;1
195812;82.6;1
195901;105.6;1
195902;0.1;1
195903;60;1
195904;83;1
195905;25.6;1
195906;36.5;1
195907;17;1
195908;29.4;1
195909;0.8;1
195910;51.8;1
195911;46.5;1
195912;91.6;1
196001;45.6;1
196002;41.4;1
196003;60;1
196004;16.7;1
196005;24.4;1
196006;69.6;1
196007;94.8;1
196008;94.3;1
196009;64;1
196010;99.4;1
196011;70.1;1
196012;62.9;1
196101;65.1;1
196102;36.7;1
196103;2;1
196104;49.3;1
196105;59.3;1
196106;52.6;1
196107;55.1;1
196108;6;1
196109;53.3;1
196110;61.6;1
196111;64.2;1
196112;46.7;1
196201;66.8;1
196202;21.9;1
196203;57.7;1
196204;47.8;1
196205;33.3;1
196206;7.2;1
196207;41.8;1
196208;38.4;1
196209;39.9;1
196210;30.3;1
196211;80.2;1
196212;45.8;1
196301;10.9;1
196302;13.1;1
196303;61.7;1
196304;69.6;1
196305;64.5;1
196306;86.7;1
196307;17.2;1
196308;133.5;1
196309;31.9;1
196310;24.7;1
196311;88.6;1
196312;3.7;1
196401;19.1;1
196402;46.7;1
196403;44.8;1
196404;59.5;1
196405;20.6;1
196406;73.5;1
196407;28.3;1
196408;40.5;1
196409;36.5;1
196410;56.9;1
196411;37.9;1
196412;38.5;1
196501;94.1;1
196502;8.5;1
196503;71.8;1
196504;50.8;1
196505;88.2;1
196506;41.5;1
196507;113.3;1
196508;80.8;1
