# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 45089001
# NOM_USUEL= CHECY
# LATITUDE (°) = 47.903
# LONGITUDE(°)= 2.008
# ALTITUDE (m) = 111
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2022-04-01
# NUM_SERIE= MRR145089001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195201 201712
# Date(s) de rupture(s) d'homogénéité : 197404 198001 200112
#     Periode homogénéisée  195201 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195201;59.1;1
195202;48.4;1
195203;96.1;1
195204;15.3;1
195205;71.3;1
195206;17.2;1
195207;0.4;1
195208;76;1
195209;99.6;1
195210;105.7;1
195211;111.4;1
195212;95.9;1
195301;15.5;1
195302;27.2;1
195303;1.1;1
195304;39;1
195305;12.3;1
195306;60.5;1
195307;86.5;1
195308;86;1
195309;61.6;1
195310;74;1
195311;25.4;1
195312;20.1;1
195401;30.9;1
195402;72.2;1
195403;83.3;1
195404;8.4;1
195405;20.2;1
195406;27.5;1
195407;38.1;1
195408;70.3;1
195409;61.4;1
195410;32.8;1
195411;32.6;1
195412;74.5;1
195501;125.5;1
195502;86.2;1
195503;48.9;1
195504;4.8;1
195505;42.2;1
195506;72.5;1
195507;55.4;1
195508;33.9;1
195509;34.9;1
195510;59.7;1
195511;39.3;1
195512;87.9;1
195601;78.5;1
195602;7.4;1
195603;22.8;1
195604;65.2;1
195605;37.6;1
195606;49;1
195607;37.9;1
195608;69.6;1
195609;76.5;1
195610;42.8;1
195611;48.1;1
195612;38;1
195701;26.8;1
195702;117.4;1
195703;40.3;1
195704;33.1;1
195705;53.6;1
195706;65.3;1
195707;69.4;1
195708;54.1;1
195709;78.7;1
195710;30.9;1
195711;46.2;1
195712;40.3;1
195801;77.5;1
195802;109.7;1
195803;49.4;1
195804;57.7;1
195805;112.1;1
195806;107.6;1
195807;76.6;1
195808;103;1
195809;89.6;1
195810;55.1;1
195811;58.8;1
195812;83.9;1
195901;71.7;1
195902;0.5;1
195903;32.8;1
195904;90.3;1
195905;5.9;1
195906;41.8;1
195907;10.1;1
195908;46.7;1
195909;6.6;1
195910;58.1;1
195911;54.5;1
195912;58.7;1
196001;54.5;1
196002;43.8;1
196003;50.8;1
196004;19.5;1
196005;54.6;1
196006;56.9;1
196007;72.8;1
196008;58.7;1
196009;49.6;1
196010;179.7;1
196011;60.4;1
196012;66;1
196101;86;1
196102;33.4;1
196103;3.9;1
196104;35.4;1
196105;48.2;1
196106;22.6;1
196107;29.8;1
196108;1.4;1
196109;50.2;1
196110;81.5;1
196111;71.1;1
196112;66.8;1
196201;46.7;1
196202;21.2;1
196203;76.4;1
196204;43.4;1
196205;81.6;1
196206;11.6;1
196207;80.9;1
196208;3.9;1
196209;36.1;1
196210;21.9;1
196211;108.9;1
196212;54.3;1
196301;24.3;1
196302;34.4;1
196303;67.9;1
196304;56.6;1
196305;55.3;1
196306;87;1
196307;20.2;1
196308;120.9;1
196309;29.7;1
196310;30.6;1
196311;65;1
196312;2.7;1
196401;23;1
196402;61.3;1
196403;56.8;1
196404;69.9;1
196405;38.8;1
196406;32.4;1
196407;12.4;1
196408;15.8;1
196409;44.5;1
196410;56.6;1
196411;20.9;1
196412;54.7;1
196501;124.5;1
196502;8.3;1
196503;54.5;1
196504;67.3;1
196505;48.6;1
196506;40.9;1
196507;57.1;1
196508;73.6;1
196509;156.8;1
196510;21.4;1
196511;109.6;1
196512;132.5;1
196601;113.2;1
196602;103.7;1
196603;16.3;1
196604;87;1
196605;48.1;1
196606;60.5;1
196607;81.2;1
196608;91.8;1
196609;10.3;1
196610;107.3;1
196611;78;1
196612;93.1;1
196701;19.6;1
196702;37.4;1
196703;40.3;1
196704;18.1;1
196705;59;1
196706;25.1;1
196707;0.8;1
196708;41.3;1
196709;84.7;1
196710;89.7;1
196711;65.3;1
196712;68.2;1
196801;106.9;1
196802;67.5;1
196803;48.4;1
196804;50.9;1
196805;52.9;1
196806;49.6;1
196807;102.9;1
196808;80.3;1
196809;59.8;1
196810;44.3;1
196811;35.9;1
196812;56.6;1
196901;48.8;1
196902;27.5;1
196903;52.2;1
196904;29.9;1
196905;64.5;1
196906;43.6;1
196907;26.9;1
196908;79;1
196909;48.1;1
196910;5.5;1
196911;127.1;1
196912;57.3;1
197001;74.4;1
197002;107.2;1
197003;76.9;1
197004;53.4;1
197005;43.2;1
197006;153.1;1
197007;20.1;1
197008;75.7;1
197009;24.4;1
197010;15.6;1
197011;51.7;1
197012;21.3;1
197101;53.9;1
197102;36.3;1
197103;28.5;1
197104;26.5;1
197105;133.2;1
197106;59;1
197107;45;1
197108;107.3;1
197109;14.5;1
197110;11.8;1
197111;53.7;1
197112;5.2;1
197201;57.7;1
197202;52.5;1
197203;25.1;1
197204;43.3;1
197205;44.8;1
197206;39.3;1
197207;94.5;1
197208;85.5;1
197209;50.5;1
197210;16.9;1
197211;85.5;1
197212;26.6;1
197301;45.8;1
197302;56;1
197303;5.7;1
197304;46.8;1
197305;78;1
197306;49.8;1
197307;65.9;1
197308;17.2;1
197309;45;1
197310;30;1
197311;43.2;1
197312;68.8;1
197401;68.1;1
197402;34;1
197403;69;1
197404;21.5;1
197405;49.8;1
197406;70.1;1
197407;8.2;1
197408;24;1
197409;74.3;1
197410;91.2;1
197411;60;1
197412;43.9;1
197501;43.1;1
197502;5.1;1
197503;61.9;1
197504;53.7;1
197505;81.7;1
197506;43.5;1
197507;31.4;1
197508;34.4;1
197509;124.4;1
197510;34.4;1
197511;95.5;1
197512;20.2;1
197601;12.8;1
197602;45.8;1
197603;28.7;1
197604;13.2;1
197605;9.2;1
197606;0;1
197607;79.9;1
197608;23.4;1
197609;58;1
197610;49.4;1
197611;55.3;1
197612;76.1;1
197701;44.7;1
197702;110.5;1
197703;49.8;1
197704;46.8;1
197705;90;1
197706;101.4;1
197707;106.2;1
197708;60;1
197709;13.9;1
197710;83;1
197711;65;1
197712;42.6;1
197801;104;1
197802;107.2;1
197803;105.6;1
197804;88.6;1
197805;59.5;1
197806;60.9;1
197807;62.6;1
197808;21.2;1
197809;21.9;1
197810;11.1;1
197811;22.6;1
197812;111.5;1
197901;79.9;1
197902;99.8;1
197903;129.5;1
197904;63.4;1
197905;91.1;1
197906;55.1;1
197907;14.3;1
197908;64.3;1
197909;30.3;1
197910;125.4;1
197911;56.7;1
197912;77.4;1
198001;45.7;1
198002;57.2;1
198003;84.5;1
198004;11.1;1
198005;67.6;1
198006;87.4;1
198007;80;1
198008;30.4;1
198009;21.4;1
198010;64.8;1
198011;51.5;1
198012;69.5;1
198101;85.3;1
198102;51.2;1
198103;72.4;1
198104;38.3;1
198105;111.7;1
198106;55.1;1
198107;50.8;1
198108;85.8;1
198109;50.3;1
198110;144.8;1
198111;36.8;1
198112;119.8;1
198201;70.1;1
198202;27.1;1
198203;58.3;1
198204;8.2;1
198205;45.8;1
198206;84.7;1
198207;43.5;1
198208;32.9;1
198209;65;1
198210;139.4;1
198211;54.6;1
198212;103.6;1
198301;55;1
198302;70.1;1
198303;65.3;1
198304;127.9;1
198305;79;1
198306;60.9;1
198307;70.3;1
198308;67.7;1
198309;67.3;1
198310;33.1;1
198311;25.2;1
198312;30.4;1
198401;104.9;1
198402;24.1;1
198403;71.1;1
198404;8.4;1
198405;142.7;1
198406;39.9;1
198407;38.8;1
198408;43;1
198409;149;1
198410;101.8;1
198411;100.7;1
198412;47.2;1
198501;25.2;1
198502;43.7;1
198503;66.1;1
198504;48.3;1
198505;118.6;1
198506;49.7;1
198507;47.2;1
198508;41.7;1
198509;14.8;1
198510;6.5;1
198511;52.5;1
198512;45.5;1
198601;83.5;1
198602;55.5;1
198603;59.8;1
198604;92;1
198605;107.8;1
198606;46.3;1
198607;15.4;1
198608;52;1
198609;84.6;1
198610;63.6;1
198611;67.6;1
198612;94.5;1
198701;27.4;1
198702;62.8;1
198703;48.3;1
198704;47;1
198705;46.5;1
198706;99.1;1
198707;105.5;1
198708;74.7;1
198709;23.5;1
198710;127.8;1
198711;73.3;1
198712;57.7;1
198801;126.8;1
198802;86;1
198803;60.2;1
198804;23.5;1
198805;76.9;1
198806;17.6;1
198807;95.5;1
198808;24.9;1
198809;34.4;1
198810;63.7;1
198811;43;1
198812;37.7;1
198901;25.9;1
198902;53.3;1
198903;50.9;1
198904;82.3;1
198905;30.9;1
198906;44.8;1
198907;70.7;1
198908;27.8;1
198909;16.8;1
198910;71.3;1
198911;49.3;1
198912;84.7;1
199001;30.3;1
199002;51.8;1
199003;15.8;1
199004;41.4;1
199005;15.1;1
199006;44.3;1
199007;35.7;1
199008;15;1
199009;55;1
199010;58.1;1
199011;75.2;1
199012;52.6;1
199101;50.1;1
199102;30.5;1
199103;57.6;1
199104;23.5;1
199105;21.7;1
199106;65.7;1
199107;74;1
199108;37.5;1
199109;59.9;1
199110;36.4;1
199111;68.2;1
199112;17.2;1
199201;6.8;1
199202;18.8;1
199203;42.7;1
199204;30.7;1
199205;28.9;1
199206;55;1
199207;54.4;1
199208;42.7;1
199209;45.5;1
199210;56.6;1
199211;110.9;1
199212;56.2;1
199301;39.7;1
199302;22.7;1
199303;8.8;1
199304;78.6;1
199305;86.9;1
199306;98.8;1
199307;23.4;1
199308;24;1
199309;113.4;1
199310;73.1;1
199311;21.1;1
199312;68.9;1
199401;75.1;1
199402;98.2;1
199403;36;1
199404;52.3;1
199405;61.7;1
199406;62.5;1
199407;47.9;1
199408;81.3;1
199409;105.8;1
199410;54.6;1
199411;56.2;1
199412;85.8;1
199501;121.5;1
199502;79.1;1
199503;110.3;1
199504;48.1;1
199505;78.4;1
199506;21.4;1
199507;40.7;1
199508;29.4;1
199509;92.1;1
199510;26;1
199511;28.9;1
199512;68.3;1
199601;76.5;1
199602;55;1
199603;12.1;1
199604;6.4;1
199605;76.7;1
199606;18.7;1
199607;31.2;1
199608;59.1;1
199609;51.1;1
