# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 49054001
# NOM_USUEL= CANDE
# LATITUDE (°) = 47.56
# LONGITUDE(°)= -1.034
# ALTITUDE (m) = 44
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2018-12-31
# NUM_SERIE= MRR149054001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195101 201612
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195101 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;60.7;1
195102;57.5;1
195103;86.4;1
195104;56;1
195105;97.9;1
195106;62.7;1
195107;32.9;1
195108;75.5;1
195109;73.8;1
195110;34.3;1
195111;94.2;1
195112;59;1
195201;82.6;1
195202;27.6;1
195203;119.5;1
195204;33.6;1
195205;27.1;1
195206;14.3;1
195207;17;1
195208;71.9;1
195209;129.9;1
195210;109.6;1
195211;103.8;1
195212;134.8;1
195301;17;1
195302;25.6;1
195303;4;1
195304;79.7;1
195305;29;1
195306;40;1
195307;58.1;1
195308;6.8;1
195309;75.6;1
195310;64.9;1
195311;26.9;1
195312;13.2;1
195401;28.1;1
195402;61.2;1
195403;73.9;1
195404;12.9;1
195405;10.8;1
195406;49.5;1
195407;13;1
195408;70.4;1
195409;53.1;1
195410;40;1
195411;102.1;1
195412;55.3;1
195501;108.9;1
195502;119.2;1
195503;33.2;1
195504;1;1
195505;45.2;1
195506;121.7;1
195507;30.9;1
195508;6.1;1
195509;21.6;1
195510;30.5;1
195511;24.6;1
195512;117.6;1
195601;110.5;1
195602;6.7;1
195603;22.4;1
195604;54.2;1
195605;40.9;1
195606;29;1
195607;76;1
195608;103.1;1
195609;58.7;1
195610;19;1
195611;16.3;1
195612;66.3;1
195701;26.5;1
195702;159.2;1
195703;22.6;1
195704;55.1;1
195705;18.4;1
195706;47.9;1
195707;86.7;1
195708;57.8;1
195709;54.2;1
195710;13.2;1
195711;82.5;1
195712;50.6;1
195801;160.6;1
195802;116.5;1
195803;71.5;1
195804;34.3;1
195805;56.1;1
195806;95.9;1
195807;71;1
195808;68.8;1
195809;56.1;1
195810;34.6;1
195811;41.6;1
195812;90;1
195901;74.6;1
195902;5;1
195903;32.7;1
195904;87;1
195905;19.4;1
195906;30;1
195907;23.7;1
195908;28.4;1
195909;3;1
195910;104.8;1
195911;38.6;1
195912;140.3;1
196001;45.3;1
196002;43.7;1
196003;64.7;1
196004;9.8;1
196005;53.1;1
196006;36.1;1
196007;52.9;1
196008;64.1;1
196009;92.9;1
196010;130.9;1
196011;159.7;1
196012;141.5;1
196101;122.2;1
196102;43.4;1
196103;6.6;1
196104;46.2;1
196105;17.5;1
196106;26.5;1
196107;67;1
196108;2.1;1
196109;51.2;1
196110;136.1;1
196111;89.3;1
196112;117.7;1
196201;101.8;1
196202;25.6;1
196203;96.8;1
196204;31.5;1
196205;35.5;1
196206;0;1
196207;19.8;1
196208;11.7;1
196209;60;1
196210;22.3;1
196211;102.6;1
196212;40.8;1
196301;45.7;1
196302;43.3;1
196303;83.9;1
196304;65.5;1
196305;36.7;1
196306;111.5;1
196307;31.5;1
196308;128.2;1
196309;68.8;1
196310;53.6;1
196311;168.8;1
196312;9.7;1
196401;19.9;1
196402;75.3;1
196403;93;1
196404;67;1
196405;73.2;1
196406;55.7;1
196407;19.9;1
196408;13;1
196409;23.4;1
196410;74.8;1
196411;31.1;1
196412;89.4;1
196501;111.9;1
196502;3.6;1
196503;90.6;1
196504;37.6;1
196505;37;1
196506;34.8;1
196507;37.6;1
196508;124.2;1
196509;84;1
196510;21.7;1
196511;121.5;1
196512;103;1
196601;71.1;1
196602;95.2;1
196603;15;1
196604;103;1
196605;63.3;1
196606;55.8;1
196607;48.8;1
196608;59.4;1
196609;30.1;1
196610;238.4;1
196611;100.6;1
196612;83.1;1
196701;38.1;1
196702;93.5;1
196703;47.3;1
196704;16.2;1
196705;90.3;1
196706;18.3;1
196707;9.4;1
196708;53.8;1
196709;50.3;1
196710;80.6;1
196711;74.3;1
196712;44.7;1
196801;57.1;1
196802;45;1
196803;27.8;1
196804;41.9;1
196805;46.8;1
196806;93.3;1
196807;72.7;1
196808;65.7;1
196809;94.1;1
196810;43.9;1
196811;12.2;1
196812;75.1;1
196901;67.4;1
196902;32.5;1
196903;66.5;1
196904;31.7;1
196905;68.1;1
196906;30.6;1
196907;10.1;1
196908;6;1
196909;45.9;1
196910;1.8;1
196911;130.5;1
196912;82.4;1
197001;78.9;1
197002;86.5;1
197003;47.5;1
197004;27.3;1
197005;17.5;1
197006;30.4;1
197007;28.2;1
197008;117;1
197009;33.3;1
197010;40.4;1
197011;119.5;1
197012;20.2;1
197101;74;1
197102;29.9;1
197103;53.7;1
197104;40.2;1
197105;93.1;1
197106;39.6;1
197107;34.8;1
197108;40.2;1
197109;28.9;1
197110;7;1
197111;64.2;1
197112;20.4;1
197201;82.9;1
197202;102.4;1
197203;44.5;1
197204;57.2;1
197205;36.5;1
197206;17.5;1
197207;64.7;1
197208;42.5;1
197209;26.6;1
197210;23.4;1
197211;76.8;1
197212;25.5;1
197301;37.7;1
197302;45.2;1
197303;3.8;1
197304;30.1;1
197305;77.8;1
197306;22.2;1
197307;86.5;1
197308;48.4;1
197309;67.9;1
197310;56.5;1
197311;28.2;1
197312;36.6;1
197401;77.6;1
197402;69.6;1
197403;61.1;1
197404;18.1;1
197405;52.7;1
197406;28.4;1
197407;3;1
197408;43.3;1
197409;72.1;1
197410;44.1;1
197411;116.9;1
197412;32.3;1
197501;93.1;1
197502;14.5;1
197503;78.5;1
197504;35.6;1
197505;59;1
197506;23.6;1
197507;64.8;1
197508;14.2;1
197509;96.9;1
197510;28.5;1
197511;63.1;1
197512;24.2;1
197601;14;1
197602;42.2;1
197603;21.1;1
197604;7.5;1
197605;36.6;1
197606;0;1
197607;94;1
197608;1.4;1
197609;97.5;1
197610;96;1
197611;99;1
197612;43.7;1
197701;62.7;1
197702;129.8;1
197703;43.1;1
197704;19.3;1
197705;53.9;1
197706;43.6;1
197707;53.5;1
197708;57.2;1
197709;7.8;1
197710;52.6;1
197711;43.9;1
197712;64.8;1
197801;96.2;1
197802;89.2;1
197803;86.5;1
197804;43.3;1
197805;64.5;1
