# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 79079001
# NOM_USUEL= MAULEON
# LATITUDE (°) = 46.924
# LONGITUDE(°)= -0.744
# ALTITUDE (m) = 175
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2015-12-31
# NUM_SERIE= MRR179079001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195101 201412
# Date(s) de rupture(s) d'homogénéité : 196301
#     Periode homogénéisée  195101 201412  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;63.9;1
195102;84.4;1
195103;88.5;1
195104;84.5;1
195105;129.7;1
195106;99.5;1
195107;23.1;1
195108;133.3;1
195109;59;1
195110;48.2;1
195111;139.8;1
195112;89.5;1
195201;90;1
195202;47.8;1
195203;109.6;1
195204;62;1
195205;28.5;1
195206;16;1
195207;20;1
195208;104.2;1
195209;167.4;1
195210;110;1
195211;115.6;1
195212;132.9;1
195301;25.5;1
195302;50.8;1
195303;6.6;1
195304;60.8;1
195305;19.2;1
195306;32.9;1
195307;70.8;1
195308;18.8;1
195309;92.9;1
195310;88.2;1
195311;31.1;1
195312;11.9;1
195401;46.4;1
195402;86.2;1
195403;110.9;1
195404;18.8;1
195405;24.7;1
195406;69.3;1
195407;39.8;1
195408;67.4;1
195409;57.2;1
195410;60.8;1
195411;50.3;1
195412;99.6;1
195501;198.5;1
195502;138.7;1
195503;28.6;1
195504;0;1
195505;43.9;1
195506;153.1;1
195507;58.5;1
195508;7;1
195509;6.1;1
195510;37.7;1
195511;10.3;1
195512;116.3;1
195601;99.3;1
195602;6.6;1
195603;22.6;1
195604;53;1
195605;11.4;1
195606;16.5;1
195607;73.6;1
195608;89.7;1
195609;87.7;1
195610;34.5;1
195611;14.3;1
195612;56.8;1
195701;44.1;1
195702;180.9;1
195703;41;1
195704;30.5;1
195705;46.2;1
195706;60.8;1
195707;94.6;1
195708;23.6;1
195709;83.2;1
195710;16.5;1
195711;100.2;1
195712;71.6;1
195801;177.6;1
195802;100.7;1
195803;75.5;1
195804;59.6;1
195805;68;1
195806;115.8;1
195807;79.4;1
195808;46.9;1
195809;56.4;1
195810;61.6;1
195811;37.7;1
195812;131.1;1
195901;97.9;1
195902;3.5;1
195903;29.9;1
195904;106.3;1
195905;26.5;1
195906;50.5;1
195907;9.4;1
195908;101.5;1
195909;0;1
195910;94.5;1
195911;51.1;1
195912;163.3;1
196001;65.2;1
196002;48.9;1
196003;91.9;1
196004;29.1;1
196005;95.7;1
196006;12.5;1
196007;62.3;1
196008;42.9;1
196009;131;1
196010;176.6;1
196011;189.7;1
196012;145;1
196101;193.7;1
196102;30.5;1
196103;0;1
196104;70;1
196105;32.2;1
196106;52.8;1
196107;87.7;1
196108;7.5;1
196109;52.7;1
196110;221;1
196111;144.2;1
196112;154.6;1
196201;119.4;1
196202;34.6;1
196203;119.9;1
196204;40.5;1
196205;64.8;1
196206;55.8;1
196207;23.9;1
196208;16.3;1
196209;88.3;1
196210;47.9;1
196211;127.3;1
196212;35.3;1
196301;48.5;1
196302;35;1
196303;88.2;1
196304;67;1
196305;38.3;1
196306;108.8;1
196307;8.6;1
196308;121;1
196309;43.7;1
196310;44.1;1
196311;147.2;1
196312;16.8;1
196401;18.9;1
196402;82.2;1
196403;87.7;1
196404;59.1;1
196405;94;1
196406;60.3;1
196407;18;1
196408;16;1
196409;79.9;1
196410;99;1
196411;59;1
196412;85;1
196501;131;1
196502;4.5;1
196503;100.3;1
196504;32.3;1
196505;48.1;1
196506;57;1
196507;64.2;1
196508;138.7;1
196509;126.2;1
196510;19.3;1
196511;137.6;1
196512;159;1
196601;97.4;1
196602;141.1;1
196603;36.5;1
196604;92.8;1
196605;59.7;1
196606;48.2;1
196607;39.3;1
196608;82.1;1
196609;29.9;1
196610;185.5;1
196611;138.1;1
196612;128.1;1
196701;58.5;1
196702;92;1
196703;100;1
196704;32.2;1
196705;120.7;1
196706;39.8;1
196707;2.1;1
196708;53.8;1
196709;51.5;1
196710;104;1
196711;92;1
196712;71.2;1
196801;73.9;1
196802;80.7;1
196803;54.6;1
196804;61.1;1
196805;51.5;1
196806;54;1
196807;88;1
196808;74.5;1
196809;134;1
196810;65.2;1
196811;16.5;1
196812;89.1;1
196901;76.5;1
196902;39.1;1
196903;103.2;1
196904;68.5;1
196905;130.8;1
196906;27.7;1
196907;24.4;1
196908;25.4;1
196909;58.3;1
196910;4.4;1
196911;143.1;1
196912;69.4;1
197001;77.9;1
197002;119;1
197003;51.9;1
197004;50.4;1
197005;17.3;1
197006;93.3;1
197007;18.3;1
197008;75.4;1
197009;36.6;1
197010;36.9;1
197011;120.6;1
197012;30.4;1
197101;95.1;1
197102;40.6;1
197103;38.7;1
197104;38.5;1
197105;145.3;1
197106;72.8;1
197107;27.9;1
197108;45.3;1
197109;85.5;1
197110;8.9;1
197111;71.8;1
197112;21.5;1
197201;92.1;1
197202;114.1;1
197203;77;1
197204;69.2;1
197205;43.9;1
197206;29.4;1
197207;17.1;1
197208;88;1
197209;17.9;1
197210;37.4;1
197211;122.6;1
197212;37.5;1
197301;39.2;1
197302;57.1;1
197303;3.6;1
197304;52.4;1
197305;87.7;1
197306;14.2;1
197307;127.8;1
197308;42.1;1
197309;47.2;1
197310;50.8;1
197311;39.8;1
197312;60.6;1
197401;94;1
197402;95.5;1
197403;49.1;1
197404;30.4;1
197405;35.5;1
197406;56.8;1
197407;8.9;1
197408;60.4;1
197409;101.4;1
197410;54;1
197411;150.5;1
197412;35.2;1
197501;157.8;1
197502;13.9;1
197503;100.6;1
197504;36.9;1
197505;70;1
197506;20.1;1
197507;29.2;1
197508;57.7;1
197509;133.6;1
197510;34.8;1
197511;104.7;1
197512;29.5;1
197601;21.6;1
197602;63.8;1
197603;56;1
197604;21.1;1
197605;15.6;1
197606;4.6;1
197607;51.9;1
197608;53.9;1
197609;118.5;1
197610;97.3;1
197611;163.3;1
197612;94;1
197701;139.7;1
197702;195.5;1
197703;67.5;1
197704;46.2;1
197705;64.8;1
197706;58.2;1
197707;60.8;1
197708;67.1;1
197709;16;1
197710;65.1;1
197711;64.1;1
197712;57.7;1
197801;141;1
197802;85.5;1
197803;127.9;1
197804;67;1
197805;36.3;1
197806;76.5;1
197807;37.4;1
197808;28.6;1
197809;35.8;1
197810;6;1
197811;16.3;1
197812;191.6;1
197901;71.2;1
197902;155.5;1
197903;118.9;1
197904;73.5;1
197905;105.8;1
197906;22.5;1
197907;35.8;1
197908;36.5;1
197909;28.9;1
197910;94;1
197911;58.1;1
197912;192.5;1
198001;121;1
198002;51.5;1
198003;133.2;1
198004;12.2;1
198005;34.4;1
198006;81.1;1
198007;88.5;1
198008;19.2;1
198009;54.6;1
198010;71.6;1
198011;78.7;1
198012;78.8;1
198101;69.3;1
198102;47.9;1
198103;104.3;1
198104;17.8;1
198105;163.7;1
198106;39.1;1
198107;64.6;1
198108;60.7;1
198109;84;1
198110;165.7;1
198111;21.6;1
198112;154.6;1
198201;96.3;1
198202;34.2;1
198203;69.6;1
198204;8.9;1
198205;35.8;1
198206;67;1
198207;66.9;1
198208;80.2;1
198209;91.6;1
198210;150.4;1
198211;102;1
198212;178.7;1
198301;56.5;1
198302;66.6;1
198303;41.1;1
198304;227.1;1
198305;108.6;1
198306;47.5;1
198307;259.5;1
198308;88.1;1
198309;72;1
198310;51.3;1
198311;59.2;1
198312;71.9;1
198401;178.8;1
198402;46.8;1
198403;83.2;1
198404;7.6;1
198405;110.1;1
198406;55.8;1
198407;65.4;1
198408;52.7;1
198409;125.3;1
198410;94.8;1
198411;155.2;1
198412;70.9;1
198501;41;1
198502;70.9;1
198503;80.4;1
198504;86.2;1
198505;132.9;1
198506;51.5;1
198507;66.1;1
198508;43.5;1
198509;16;1
198510;12.7;1
198511;86.3;1
198512;103.8;1
198601;168.5;1
198602;91.4;1
198603;85.3;1
198604;130.7;1
198605;54.1;1
198606;48.9;1
198607;17.5;1
198608;78.9;1
198609;46.3;1
198610;83.6;1
198611;85.6;1
198612;90.8;1
198701;33.8;1
198702;36.2;1
198703;51.4;1
198704;40.7;1
198705;32.6;1
198706;85.8;1
198707;67;1
198708;36.8;1
198709;35.5;1
198710;169.5;1
198711;87.3;1
198712;70.1;1
198801;218.7;1
198802;118.5;1
198803;113.7;1
198804;93.3;1
198805;49.6;1
198806;49.4;1
198807;124.2;1
198808;15.7;1
198809;64.8;1
198810;50.9;1
198811;25.5;1
198812;26.9;1
198901;28.7;1
198902;70.9;1
198903;79;1
198904;133.9;1
198905;31.7;1
198906;26.4;1
198907;34.5;1
198908;8.9;1
198909;8.7;1
198910;57.9;1
198911;61.4;1
198912;134.5;1
199001;92.7;1
199002;157.4;1
199003;6.3;1
199004;69;1
199005;16.1;1
199006;55.2;1
199007;20.5;1
199008;7.6;1
199009;29.6;1
199010;127.5;1
199011;60.1;1
199012;86.2;1
199101;154.9;1
199102;40;1
199103;63.2;1
199104;46.8;1
199105;22.3;1
199106;55;1
199107;25.4;1
199108;51.9;1
199109;76.1;1
199110;50;1
199111;129.3;1
199112;19.4;1
199201;18.6;1
199202;65.6;1
199203;60.5;1
199204;52.2;1
199205;78.4;1
199206;42.1;1
199207;65.3;1
199208;105.2;1
199209;80.6;1
199210;90.4;1
199211;156.3;1
199212;83.7;1
199301;117.6;1
199302;6.1;1
199303;11.9;1
199304;100.2;1
199305;72.9;1
199306;97.1;1
199307;21.8;1
199308;29.4;1
199309;120.6;1
199310;156.4;1
199311;24.2;1
199312;173.1;1
199401;159.1;1
199402;130.3;1
199403;39.3;1
199404;82.1;1
199405;81;1
199406;44.6;1
199407;32.1;1
199408;63.5;1
199409;133.2;1
199410;120;1
199411;102.7;1
199412;155.3;1
199501;183.7;1
199502;182.3;1
199503;116.9;1
199504;39.2;1
199505;34;1
199506;14.4;1
199507;51.4;1
199508;17.5;1
199509;82.1;1
199510;18.8;1
199511;72.9;1
199512;93.6;1
199601;67.9;1
199602;86.5;1
199603;23.3;1
199604;32.5;1
199605;46.4;1
199606;4.7;1
199607;31.3;1
199608;35.2;1
199609;41.7;1
199610;36.5;1
199611;159.1;1
199612;60.3;1
199701;46.5;1
199702;113.6;1
199703;5.9;1
199704;13;1
199705;107.3;1
199706;95;1
199707;22.3;1
199708;50;1
199709;1.9;1
199710;68;1
199711;115.9;1
199712;135.1;1
199801;140.6;1
199802;18.5;1
199803;27.4;1
199804;240.2;1
199805;42;1
199806;42.3;1
199807;75.3;1
199808;13;1
199809;90.5;1
199810;117.8;1
199811;39.1;1
199812;144.7;1
199901;88.6;1
199902;69.3;1
199903;65.8;1
199904;137.9;1
199905;73.4;1
199906;25.2;1
199907;89.2;1
199908;69.7;1
199909;228.5;1
199910;135.5;1
199911;86.9;1
199912;208.3;1
200001;25.8;1
200002;111.7;1
200003;45.8;1
200004;82;1
200005;79.8;1
200006;36.2;1
200007;134;1
