# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 57253001
# NOM_USUEL= GONDREXANGE
# LATITUDE (°) = 48.688
# LONGITUDE(°)= 6.928
# ALTITUDE (m) = 266
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = ouvert
# NUM_SERIE= MRR157253001
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195001 201512
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195001 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;38.2;1
195002;113.8;1
195003;24;1
195004;137.4;1
195005;53.6;1
195006;62.6;1
195007;65.7;1
195008;93.8;1
195009;102.5;1
195010;30.1;1
195011;119.8;1
195012;74.9;1
195101;71;1
195102;60.1;1
195103;93;1
195104;65.8;1
195105;48.2;1
195106;195;1
195107;33.9;1
195108;62.7;1
195109;63.9;1
195110;32.5;1
195111;119.7;1
195112;57.1;1
195201;84.4;1
195202;26.3;1
195203;150.7;1
195204;39.2;1
195205;27.7;1
195206;69.6;1
195207;25.7;1
195208;100.9;1
195209;101.3;1
195210;125.8;1
195211;149.8;1
195212;78.4;1
195301;14.7;1
195302;57.9;1
195303;4.6;1
195304;49.1;1
195305;40.3;1
195306;151.7;1
195307;139.4;1
195308;19.4;1
195309;54.6;1
195310;21.6;1
195311;7.8;1
195312;24.2;1
195401;69.3;1
195402;54.9;1
195403;24.1;1
195404;55.2;1
195405;53.7;1
195406;36.7;1
195407;80.7;1
195408;124;1
195409;105.3;1
195410;65.7;1
195411;41.5;1
195412;109.6;1
195501;123.3;1
195502;78.4;1
195503;32.6;1
195504;15.6;1
195505;86.5;1
195506;179;1
195507;68.7;1
195508;30.4;1
195509;64.7;1
195510;30.5;1
195511;18.4;1
195512;100.6;1
195601;79.2;1
195602;22.1;1
195603;58;1
195604;83.8;1
195605;64.6;1
195606;79.6;1
195607;70.6;1
195608;86.8;1
195609;76.2;1
195610;89.4;1
195611;43.6;1
195612;31.2;1
195701;47.6;1
195702;131.1;1
195703;68.4;1
195704;14.3;1
195705;27.5;1
195706;98.7;1
195707;69.1;1
195708;76.8;1
195709;83.1;1
195710;28.2;1
195711;27.5;1
195712;58.1;1
195801;100.7;1
195802;176.9;1
195803;39.4;1
195804;36.7;1
195805;138.9;1
195806;85.4;1
195807;61.2;1
195808;149.1;1
195809;51.3;1
195810;55.3;1
195811;58.4;1
195812;84.3;1
195901;107.8;1
195902;6.9;1
195903;66;1
195904;76.4;1
195905;19.6;1
195906;64.6;1
195907;43.5;1
195908;61.6;1
195909;5.8;1
195910;36.5;1
195911;38.9;1
195912;81.2;1
196001;54.3;1
196002;97;1
196003;42.6;1
196004;28.7;1
196005;49.4;1
196006;108.9;1
196007;96.9;1
196008;138.2;1
196009;43.4;1
196010;74.1;1
196011;85;1
196012;60.2;1
196101;89.2;1
196102;64.6;1
196103;15.8;1
196104;74;1
196105;88.8;1
196106;66.8;1
196107;97.2;1
196108;51.1;1
196109;26.8;1
196110;81.2;1
196111;61.8;1
196112;97.2;1
196201;83;1
196202;65.6;1
196203;72.8;1
196204;68;1
196205;91.7;1
196206;3.5;1
196207;58.4;1
196208;50.8;1
196209;54.2;1
196210;12.7;1
196211;25.4;1
196212;66.1;1
196301;24.5;1
196302;36.8;1
196303;70.6;1
196304;35.9;1
196305;45.9;1
196306;90.5;1
196307;31.1;1
196308;120.8;1
196309;58.2;1
196310;42.4;1
196311;164;1
196312;0.3;1
196401;29.2;1
196402;36;1
196403;74.5;1
