# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 66127001
# NOM_USUEL= OPOUL PERILLOS
# LATITUDE (°) = 42.867
# LONGITUDE(°)= 2.877
# ALTITUDE (m) = 180
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2017-12-31
# NUM_SERIE= MRR066127001
# Amplitude minimale détectable de la série = 0.14
# Période homogénéisée : 195701 201712
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195701 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195701;19.8;1
195702;0.4;1
195703;10.7;1
195704;132.1;1
195705;101.8;1
195706;92.4;1
195707;12.5;1
195708;37.9;1
195709;4.6;1
195710;18.8;1
195711;87;1
195712;17.9;1
195801;41.8;1
195802;0;1
195803;43.9;1
195804;30.6;1
195805;35.7;1
195806;7.1;1
195807;11.5;1
195808;1.9;1
195809;19.8;1
195810;8.2;1
195811;137.9;1
195812;128.9;1
195901;3.6;1
195902;346.7;1
195903;109.7;1
195904;26;1
195905;5;1
195906;35.7;1
195907;26.1;1
195908;81.1;1
195909;350.1;1
195910;246.6;1
195911;20.5;1
195912;33.9;1
196001;11.7;1
196002;2.2;1
196003;149.2;1
196004;4.1;1
196005;1.9;1
196006;38.3;1
196007;43.3;1
196008;13.4;1
196009;17.6;1
196010;54.6;1
196011;1.9;1
196012;148.3;1
196101;38.2;1
196102;29.2;1
196103;0;1
196104;48.8;1
196105;32.6;1
196106;40.2;1
196107;0;1
196108;10.6;1
196109;58.7;1
196110;82.1;1
196111;156.2;1
196112;31.7;1
196201;49.9;1
196202;43.3;1
196203;109;1
196204;108.6;1
196205;27.3;1
196206;37.1;1
196207;3.2;1
196208;5.6;1
196209;84.9;1
196210;165.7;1
196211;195.8;1
196212;18.7;1
196301;54.8;1
196302;106;1
196303;11.5;1
196304;56.9;1
196305;3.9;1
196306;13.1;1
196307;14.8;1
196308;43;1
196309;259.8;1
196310;11.2;1
196311;32.5;1
196312;72.4;1
196401;3.4;1
196402;66.8;1
196403;45.1;1
196404;39.4;1
196405;104.9;1
196406;0;1
196407;34.5;1
196408;18.8;1
196409;49.8;1
196410;38.7;1
196411;200.9;1
196412;154.7;1
196501;81;1
196502;38.9;1
196503;42.5;1
196504;25.4;1
196505;13.7;1
196506;7.2;1
196507;21.8;1
196508;31.3;1
196509;88.8;1
196510;852.5;1
196511;23.3;1
196512;58.2;1
196601;17.5;1
196602;53.1;1
196603;10.6;1
196604;31.4;1
196605;50.3;1
196606;1.7;1
196607;20.6;1
196608;35.8;1
196609;7.6;1
196610;159.4;1
196611;49.1;1
196612;59.1;1
196701;23;1
196702;202.2;1
196703;16.8;1
196704;39.5;1
196705;13.9;1
196706;0;1
196707;13;1
196708;6.7;1
196709;24.6;1
196710;24.9;1
196711;98.4;1
196712;31.8;1
196801;16.5;1
196802;55.8;1
196803;25.8;1
196804;34.6;1
196805;84.4;1
196806;47.6;1
196807;7.2;1
196808;31.3;1
196809;7.3;1
196810;6.1;1
196811;260.3;1
196812;141.2;1
196901;15.7;1
196902;31.5;1
196903;208.4;1
196904;302.5;1
196905;8.9;1
196906;16.1;1
196907;32.7;1
196908;1;1
196909;133.7;1
196910;211.2;1
196911;16;1
196912;96.8;1
197001;19.4;1
197002;11.1;1
197003;64.2;1
197004;7.8;1
197005;80.7;1
197006;55.2;1
197007;2.4;1
197008;26.1;1
197009;2.6;1
197010;192.3;1
197011;14.1;1
197012;81.7;1
197101;46.2;1
197102;18.7;1
197103;88.2;1
197104;77;1
197105;43.7;1
197106;30.9;1
197107;23.2;1
197108;16.4;1
197109;292.1;1
197110;52.2;1
197111;13.7;1
197112;245.7;1
197201;242;1
197202;70;1
197203;70.7;1
197204;39.8;1
197205;29.6;1
197206;54.2;1
197207;43.5;1
197208;29.9;1
197209;93;1
197210;113.3;1
197211;68.1;1
197212;52.6;1
197301;10.7;1
197302;26.1;1
197303;4.6;1
197304;13.4;1
197305;14.4;1
197306;121.3;1
197307;5.1;1
197308;15.9;1
197309;22.9;1
197310;5.3;1
197311;5.7;1
197312;113.9;1
197401;7;1
197402;46.8;1
197403;79.7;1
197404;63.4;1
197405;17.2;1
197406;10.9;1
197407;21.7;1
197408;89;1
197409;34.6;1
197410;30.6;1
197411;14.9;1
197412;1.1;1
197501;2.1;1
197502;40.4;1
197503;39.7;1
197504;12.6;1
197505;96;1
197506;36.9;1
197507;17.5;1
197508;94.7;1
197509;16.8;1
197510;0.2;1
197511;37.6;1
197512;69.7;1
197601;16.6;1
197602;49.3;1
197603;19.8;1
197604;77.2;1
197605;25;1
197606;5;1
197607;20.1;1
197608;49.1;1
197609;24;1
197610;94.1;1
197611;19.1;1
197612;48.6;1
197701;86.7;1
197702;6.5;1
197703;32.9;1
197704;21.6;1
197705;197.4;1
197706;111.6;1
197707;13.9;1
197708;13.2;1
197709;1.8;1
197710;206.8;1
197711;28.8;1
197712;27.5;1
197801;72.7;1
197802;58.3;1
197803;84;1
197804;71;1
197805;41.3;1
197806;28.8;1
197807;9.1;1
197808;1.6;1
197809;23.3;1
197810;6;1
197811;2.3;1
197812;35;1
197901;317.4;1
197902;21.2;1
197903;42.4;1
197904;38.7;1
197905;25.7;1
197906;14.3;1
197907;2.7;1
197908;22.8;1
197909;13;1
197910;213;1
197911;12.5;1
197912;19.2;1
198001;80.4;1
198002;34.2;1
198003;48.1;1
198004;79.1;1
198005;72.4;1
198006;14;1
198007;9.9;1
198008;43.2;1
198009;15.2;1
198010;11;1
198011;88.9;1
198012;65.6;1
198101;143.1;1
198102;35;1
198103;65.5;1
198104;67;1
198105;39.4;1
198106;90.5;1
198107;36.4;1
198108;4.6;1
198109;26;1
198110;29.3;1
198111;4.2;1
198112;96.1;1
198201;164.4;1
198202;253.6;1
198203;70.4;1
198204;37.5;1
198205;0;1
198206;31.9;1
198207;6.6;1
198208;31.4;1
198209;70.6;1
198210;74.1;1
198211;128.4;1
198212;34.8;1
198301;0;1
198302;98.4;1
198303;7.1;1
198304;10.2;1
198305;15;1
198306;7.1;1
198307;1.7;1
198308;34.6;1
