# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 86244004
# NOM_USUEL= ST SAUVANT CHAT
# LATITUDE (°) = 46.376
# LONGITUDE(°)= 0.128
# ALTITUDE (m) = 155
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2014-12-31
# NUM_SERIE= MRR186244004
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195001 201412
# Date(s) de rupture(s) d'homogénéité : 195412
#     Periode homogénéisée  195001 201412  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;20.7;1
195002;140.1;1
195003;48.3;1
195004;70.3;1
195005;55.3;1
195006;33.2;1
195007;46.7;1
195008;70.5;1
195009;96.8;1
195010;45.8;1
195011;175.9;1
195012;120.5;1
195101;52.4;1
195102;89.7;1
195103;108.6;1
195104;44.7;1
195105;133.8;1
195106;91.7;1
195107;25.3;1
195108;59.5;1
195109;46.2;1
195110;62.3;1
195111;75.8;1
195112;86.3;1
195201;58;1
195202;67.1;1
195203;79.9;1
195204;51.2;1
195205;39;1
195206;10;1
195207;19;1
195208;111.9;1
195209;136.2;1
195210;147.8;1
195211;127.1;1
195212;137.2;1
195301;24.1;1
195302;14;1
195303;0.2;1
195304;66.8;1
195305;16.6;1
195306;41.4;1
195307;86.7;1
195308;30.2;1
195309;86.4;1
195310;94;1
195311;26.7;1
195312;8.2;1
195401;48.7;1
195402;90.8;1
195403;99.5;1
195404;7;1
195405;31.2;1
195406;83.5;1
195407;28.1;1
195408;63.7;1
195409;46.3;1
195410;54;1
195411;76;1
195412;81.8;1
195501;194.9;1
195502;179.3;1
195503;55.2;1
195504;0;1
195505;47.5;1
195506;134.3;1
195507;82.7;1
195508;37.1;1
195509;17.7;1
195510;35.4;1
195511;34;1
195512;142.3;1
195601;102.6;1
195602;4.4;1
195603;22.7;1
195604;57.7;1
195605;34.5;1
195606;37.4;1
195607;72.6;1
195608;112.7;1
195609;70.7;1
195610;38.8;1
195611;18.2;1
195612;41.2;1
195701;34.9;1
195702;162;1
195703;44.1;1
195704;42.1;1
195705;46.2;1
195706;55.6;1
195707;57.8;1
195708;33.3;1
195709;43.2;1
195710;21.7;1
195711;52.2;1
195712;52.1;1
195801;144.2;1
195802;62.9;1
195803;82.1;1
195804;48.5;1
195805;104.4;1
195806;105.8;1
195807;99.4;1
195808;100.5;1
195809;64.4;1
195810;45.7;1
195811;59;1
195812;169;1
195901;90.9;1
195902;10.1;1
195903;53.1;1
195904;123;1
195905;50.3;1
195906;62.3;1
195907;3.1;1
195908;52.3;1
195909;17.2;1
195910;101;1
195911;45.7;1
195912;190.3;1
196001;91.8;1
196002;77.3;1
196003;70.1;1
196004;27;1
196005;85.6;1
196006;34.6;1
196007;68.6;1
196008;75;1
196009;64.2;1
196010;185.5;1
196011;115.7;1
196012;146.2;1
196101;184.4;1
196102;33.7;1
196103;2.6;1
196104;89;1
196105;90.9;1
196106;62.8;1
196107;69.1;1
196108;16.6;1
196109;32.4;1
196110;93.1;1
196111;126.4;1
196112;168.6;1
196201;139.5;1
196202;36.2;1
196203;113.1;1
196204;46.5;1
196205;63.6;1
196206;19.6;1
196207;62.7;1
196208;10.9;1
196209;66.2;1
196210;35.9;1
196211;83.9;1
196212;60.1;1
196301;49.6;1
196302;76.1;1
196303;130.1;1
196304;105.8;1
196305;33.8;1
196306;127.9;1
196307;24.4;1
196308;166.6;1
196309;129.1;1
196310;36.3;1
196311;152.7;1
196312;23.1;1
196401;12;1
196402;72.5;1
196403;56.9;1
196404;81.7;1
196405;135.3;1
196406;37.9;1
196407;15.3;1
196408;23.7;1
196409;55.6;1
196410;108.2;1
196411;43;1
196412;36.8;1
196501;125;1
196502;4;1
196503;100;1
196504;42;1
196505;50;1
196506;35.3;1
196507;75.2;1
196508;84.3;1
196509;178;1
196510;21.4;1
196511;171.1;1
196512;174.2;1
196601;117.9;1
196602;192.1;1
196603;36.8;1
196604;111.8;1
196605;66.4;1
196606;56.7;1
196607;45.2;1
196608;77.3;1
196609;24;1
196610;119.9;1
196611;173.3;1
196612;128.3;1
196701;43.1;1
196702;77.9;1
196703;51;1
196704;40.4;1
196705;123.8;1
196706;26.1;1
196707;29.9;1
196708;60.8;1
196709;65.4;1
196710;82.7;1
196711;65.1;1
196712;55.5;1
196801;65.7;1
196802;62.3;1
196803;51.7;1
196804;103.6;1
196805;32.6;1
196806;30.7;1
