# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 36094001
# NOM_USUEL= LIGNAC
# LATITUDE (°) = 46.465
# LONGITUDE(°)= 1.193
# ALTITUDE (m) = 149
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2022-04-01
# NUM_SERIE= MRR036094001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 194701 201812
# Date(s) de rupture(s) d'homogénéité : 198409
#     Periode homogénéisée  194701 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
194701;58.3;1
194702;81.5;1
194703;80.9;1
194704;21;1
194705;83.7;1
194706;35.8;1
194707;39.3;1
194708;41.1;1
194709;36.4;1
194710;58.8;1
194711;47.9;1
194712;88.8;1
194801;108.8;1
194802;16.6;1
194803;18.4;1
194804;58.4;1
194805;71.5;1
194806;58.3;1
194807;56.6;1
194808;74.6;1
194809;59.4;1
194810;23.5;1
194811;51.5;1
194812;35.9;1
194901;37.1;1
194902;6.9;1
194903;38.6;1
194904;26;1
194905;48.5;1
194906;47.5;1
194907;17.5;1
194908;45.3;1
194909;129.9;1
194910;40.1;1
194911;111.3;1
194912;48.7;1
195001;9;1
195002;92.5;1
195003;21.4;1
195004;65.2;1
195005;74;1
195006;35.4;1
195007;34.6;1
195008;45.4;1
195009;54;1
195010;57.5;1
195011;166.7;1
195012;95.3;1
195101;46.6;1
195102;77.6;1
195103;110.4;1
195104;55.3;1
195105;161.2;1
195106;125.8;1
195107;54.8;1
195108;54.5;1
195109;38.2;1
195110;39.4;1
195111;68;1
195112;49.5;1
195201;74.2;1
195202;55.6;1
195203;82.9;1
195204;19;1
195205;39.5;1
195206;16.6;1
195207;13.6;1
195208;94.6;1
195209;124.6;1
195210;151.6;1
195211;95.5;1
195212;110.4;1
195301;19.3;1
195302;40.6;1
195303;2.2;1
195304;73.7;1
195305;51.2;1
195306;59.9;1
195307;65.2;1
195308;30.5;1
195309;83.2;1
195310;67.6;1
195311;41.7;1
195312;11.7;1
195401;27;1
195402;59.9;1
195403;105.1;1
195404;11.7;1
195405;60;1
195406;33.5;1
195407;16.9;1
195408;82.4;1
195409;32.5;1
195410;46;1
195411;62.8;1
195412;59.8;1
195501;138.3;1
195502;128.4;1
195503;79.4;1
195504;0.2;1
195505;50.5;1
195506;164.6;1
195507;35.2;1
195508;16;1
195509;20.5;1
195510;29;1
195511;39.6;1
195512;106.8;1
195601;85.9;1
195602;10;1
195603;8.6;1
195604;94.3;1
195605;80.8;1
195606;45.5;1
195607;41.6;1
195608;95.4;1
195609;48.5;1
195610;23.4;1
195611;26.2;1
195612;37.1;1
195701;26.7;1
195702;116.2;1
195703;30.8;1
195704;47.6;1
195705;37.1;1
195706;40.1;1
195707;60.1;1
195708;43.1;1
195709;62.5;1
195710;40.5;1
195711;31.7;1
195712;30.2;1
195801;80.9;1
195802;46.5;1
195803;62;1
195804;44.7;1
195805;126.4;1
195806;139.8;1
195807;126.5;1
195808;44.1;1
195809;40;1
195810;61.1;1
195811;54.5;1
195812;100.8;1
195901;96;1
195902;17.1;1
195903;39.8;1
195904;133.1;1
195905;92.7;1
195906;40.5;1
195907;0;1
195908;72.3;1
195909;35.6;1
195910;57.8;1
195911;65.9;1
195912;86.9;1
196001;81;1
196002;61.4;1
196003;62.9;1
196004;16.7;1
196005;72.3;1
196006;61.1;1
196007;66.4;1
196008;73.2;1
196009;112.1;1
196010;189.1;1
196011;97.3;1
196012;114.3;1
196101;97.2;1
196102;45;1
196103;4.9;1
196104;39.7;1
196105;61.2;1
196106;43.1;1
196107;63.5;1
196108;16.4;1
196109;52.3;1
196110;53.3;1
196111;103.8;1
196112;94.2;1
196201;98.1;1
196202;32.6;1
196203;130;1
196204;70.2;1
196205;98.8;1
196206;14.7;1
196207;44.3;1
196208;18;1
196209;40.4;1
196210;34.5;1
196211;141.7;1
196212;72.1;1
196301;41.7;1
196302;54.4;1
196303;112;1
196304;29.7;1
196305;57.4;1
196306;89.7;1
196307;29.5;1
196308;121.2;1
196309;36.7;1
196310;31.1;1
196311;81.4;1
196312;41.7;1
196401;15.8;1
196402;73.5;1
196403;81.4;1
196404;112.3;1
196405;74.5;1
196406;34.1;1
196407;16.1;1
196408;34.5;1
196409;70;1
196410;95.3;1
196411;48.6;1
196412;32.5;1
196501;79.7;1
196502;10.1;1
196503;72.3;1
196504;71.3;1
196505;59.2;1
196506;22.8;1
196507;54;1
196508;67;1
196509;177;1
196510;17.6;1
196511;93.7;1
196512;131.4;1
196601;84.8;1
196602;139;1
196603;35.7;1
196604;60.3;1
196605;36.6;1
196606;48.6;1
196607;73.3;1
196608;51.4;1
196609;5.3;1
196610;128.3;1
196611;72.3;1
196612;96.6;1
196701;36.5;1
196702;59.1;1
196703;57.7;1
196704;12.6;1
196705;117.6;1
196706;12.5;1
196707;10.8;1
196708;39.6;1
196709;95.6;1
196710;78;1
196711;72.8;1
196712;63.2;1
196801;76.8;1
196802;81.6;1
196803;44.4;1
196804;89.9;1
196805;59.5;1
196806;37.8;1
196807;102.7;1
196808;174.6;1
196809;67;1
196810;52.9;1
196811;47.6;1
196812;102.7;1
196901;35.4;1
196902;38.7;1
196903;73.6;1
196904;42.1;1
196905;100.8;1
196906;80.2;1
196907;15.6;1
196908;60.7;1
196909;77.8;1
196910;5;1
196911;153.4;1
196912;65.7;1
197001;77.6;1
197002;122.8;1
197003;63;1
197004;74.8;1
197005;28;1
197006;85.3;1
197007;34.8;1
197008;75.5;1
197009;38.4;1
197010;47.7;1
197011;72.9;1
197012;17.6;1
197101;62.5;1
197102;46.6;1
197103;45.9;1
197104;52.1;1
197105;142.8;1
197106;78.4;1
197107;34.4;1
197108;127.3;1
197109;66.7;1
197110;15.4;1
197111;66.9;1
197112;14.4;1
197201;43.8;1
197202;74.8;1
197203;38.4;1
197204;48;1
197205;52.5;1
197206;51.2;1
197207;28.8;1
197208;63.8;1
197209;22.6;1
197210;17.7;1
197211;102.9;1
197212;31.8;1
197301;46.6;1
197302;63.1;1
197303;18.1;1
197304;41.6;1
197305;79.2;1
197306;44.4;1
197307;71.3;1
197308;90.9;1
197309;62.5;1
197310;90.9;1
197311;41;1
197312;75.2;1
197401;52;1
197402;52.4;1
197403;105.6;1
197404;23.7;1
197405;35.5;1
197406;63.4;1
197407;12;1
197408;32.7;1
197409;87.1;1
197410;105.3;1
197411;74.5;1
197412;28.8;1
197501;52.3;1
197502;7.6;1
197503;81.9;1
197504;55.5;1
197505;99.7;1
197506;19;1
197507;21.9;1
197508;79.2;1
197509;207.5;1
197510;17.8;1
197511;93.3;1
197512;39.4;1
197601;30.7;1
197602;63.3;1
197603;33.3;1
197604;43.7;1
197605;25;1
197606;0;1
197607;79.6;1
197608;52.5;1
197609;122.9;1
197610;99.2;1
197611;115.7;1
197612;96.8;1
197701;83.7;1
197702;159.7;1
197703;45;1
197704;39.5;1
197705;109.1;1
197706;105;1
197707;101.7;1
197708;52.9;1
197709;12;1
197710;84;1
197711;53.3;1
197712;61.2;1
197801;105.3;1
197802;77.9;1
