# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 20232001
# NOM_USUEL= PILA CANALE-GEND
# LATITUDE (°) = 41.809
# LONGITUDE(°)= 8.914
# ALTITUDE (m) = 389
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2018-12-31
# NUM_SERIE= MRR120232001
# Amplitude minimale détectable de la série = 0.11
# Période homogénéisée : 195701 201512
# Date(s) de rupture(s) d'homogénéité : 198712 200412
#     Periode homogénéisée  195701 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195701;84.3;1
195702;66.5;1
195703;20.8;1
195704;84.4;1
195705;71.7;1
195706;39.8;1
195707;2.4;1
195708;2.5;1
195709;2.3;1
195710;49.7;1
195711;118.9;1
195712;139.5;1
195801;85.9;1
195802;30.3;1
195803;133.6;1
195804;91.1;1
195805;35.9;1
195806;23.7;1
195807;34;1
195808;20;1
195809;20.1;1
195810;104.3;1
195811;172.7;1
195812;206;1
195901;45.8;1
195902;10.8;1
195903;86.2;1
195904;64.3;1
195905;148.9;1
195906;40.3;1
195907;0;1
195908;83.2;1
195909;99.9;1
195910;201.7;1
195911;115.7;1
195912;212.1;1
196001;142.9;1
196002;187.9;1
196003;153.6;1
196004;58.6;1
196005;18.9;1
196006;8.9;1
196007;0;1
196008;1.1;1
196009;88.3;1
196010;157.1;1
196011;165.3;1
196012;286.5;1
196101;153.9;1
196102;19.8;1
196103;2.9;1
196104;75.5;1
196105;30.6;1
196106;54;1
196107;0;1
196108;0;1
196109;12.1;1
196110;199.4;1
196111;261.3;1
196112;78;1
196201;29.2;1
196202;109.1;1
196203;56.8;1
196204;22.5;1
196205;41.4;1
196206;4.8;1
196207;0;1
196208;0;1
196209;40.4;1
196210;120.9;1
196211;168.2;1
196212;155.8;1
196301;153.4;1
196302;211.8;1
196303;36.5;1
196304;68.2;1
196305;36;1
196306;24.7;1
196307;113.7;1
196308;47.8;1
196309;112.5;1
196310;50.4;1
196311;147.9;1
196312;72.5;1
196401;2.6;1
196402;163.8;1
196403;124.9;1
196404;71;1
196405;1.6;1
196406;18.7;1
196407;19.8;1
196408;20.5;1
196409;10.5;1
196410;163.2;1
196411;68;1
196412;166.6;1
196501;122.7;1
196502;24.3;1
196503;93.2;1
196504;19.3;1
196505;13.8;1
196506;20.5;1
196507;0;1
196508;48.7;1
196509;133.3;1
196510;101.4;1
196511;152.8;1
196512;82.4;1
196601;98.6;1
196602;260.7;1
196603;47.2;1
196604;52.4;1
196605;37.4;1
196606;9;1
196607;22.3;1
196608;77.5;1
196609;58.3;1
196610;346.2;1
196611;137.9;1
196612;91;1
196701;105;1
196702;38.9;1
196703;18.7;1
196704;10.3;1
196705;50.6;1
196706;25.4;1
196707;0;1
196708;15.4;1
196709;44.3;1
196710;25;1
196711;122.3;1
196712;77.4;1
196801;74.6;1
196802;98.2;1
196803;26.1;1
196804;65;1
196805;47.7;1
196806;10.8;1
196807;28.5;1
196808;60.1;1
196809;2.8;1
196810;14.8;1
196811;164.7;1
196812;132.6;1
196901;129.2;1
196902;148.9;1
196903;124.2;1
196904;31.4;1
196905;133.3;1
196906;17.4;1
196907;22.7;1
196908;8.6;1
196909;89.1;1
196910;1.4;1
196911;128.7;1
196912;187.7;1
197001;101.8;1
197002;82;1
197003;92.8;1
197004;24.5;1
197005;27.6;1
197006;17.7;1
197007;0;1
197008;19.3;1
197009;3.4;1
197010;4.9;1
197011;106.3;1
197012;152.4;1
197101;213;1
197102;72.9;1
197103;105.7;1
197104;69.3;1
197105;147.4;1
197106;95.8;1
197107;1;1
197108;0.3;1
197109;13.6;1
197110;59.7;1
197111;317.9;1
197112;50;1
197201;228.9;1
197202;250.6;1
197203;96.2;1
197204;88.3;1
197205;29.1;1
197206;12.3;1
197207;0;1
197208;2.2;1
197209;62.9;1
197210;82.5;1
197211;15.8;1
197212;30.4;1
197301;114.2;1
197302;59.2;1
197303;31.6;1
197304;30;1
197305;20.4;1
197306;31.6;1
197307;13.4;1
197308;10.6;1
197309;69.2;1
197310;30;1
197311;57.6;1
197312;77;1
197401;52.8;1
197402;125.1;1
197403;56.4;1
197404;181.9;1
197405;45.8;1
197406;0.1;1
197407;0.7;1
197408;5.1;1
197409;167.8;1
197410;63.2;1
197411;58;1
197412;8.7;1
197501;63.3;1
197502;104.9;1
197503;212.2;1
197504;92.3;1
197505;40.8;1
197506;38;1
197507;0.6;1
197508;27;1
197509;66;1
197510;84.6;1
197511;208.1;1
197512;41.6;1
197601;53.8;1
197602;131.8;1
197603;41.7;1
197604;92.8;1
197605;24.1;1
197606;48.4;1
197607;41.7;1
197608;40.3;1
197609;114.5;1
197610;240.3;1
197611;150.9;1
197612;112;1
197701;95.4;1
197702;74.4;1
197703;48.4;1
197704;36.2;1
197705;47.7;1
197706;29.1;1
197707;61.3;1
197708;96;1
197709;21.6;1
197710;105.5;1
197711;52.1;1
197712;87.4;1
197801;135.8;1
197802;162.5;1
197803;96.6;1
197804;159.9;1
197805;89.6;1
197806;27.7;1
197807;5.9;1
197808;2.2;1
197809;14.5;1
197810;115.9;1
197811;14;1
197812;138.1;1
197901;144.1;1
197902;130.6;1
197903;102.4;1
197904;114.8;1
197905;0.6;1
197906;17.5;1
197907;0.6;1
197908;59.6;1
197909;68.5;1
197910;116.2;1
197911;74.9;1
197912;109;1
198001;111.6;1
198002;24.7;1
198003;139.3;1
198004;34.4;1
198005;182.2;1
198006;11.2;1
198007;2.3;1
198008;18.7;1
198009;0;1
198010;139.4;1
198011;264.6;1
198012;54.2;1
198101;42.1;1
198102;68.2;1
198103;81.7;1
198104;63.8;1
198105;108.3;1
198106;7.3;1
198107;5.2;1
198108;20.6;1
198109;50.2;1
198110;89.7;1
198111;8.2;1
198112;157.6;1
198201;24.4;1
198202;82.7;1
198203;51.9;1
198204;52.9;1
198205;34.7;1
198206;23.7;1
198207;0;1
198208;16.6;1
198209;28.2;1
198210;176.2;1
198211;159.2;1
198212;175.2;1
198301;14.1;1
198302;128.6;1
198303;73.1;1
198304;82.1;1
198305;22.8;1
198306;30.9;1
198307;13.9;1
198308;89.5;1
198309;63.1;1
198310;14.4;1
198311;100.7;1
198312;102.8;1
198401;168.7;1
198402;119.8;1
198403;54;1
198404;37.6;1
198405;147;1
198406;22.2;1
198407;0;1
198408;80.5;1
198409;89;1
198410;81.4;1
198411;180.7;1
198412;87.4;1
198501;163.2;1
198502;41.5;1
198503;66.4;1
198504;30.9;1
198505;133.1;1
198506;2.9;1
198507;3.4;1
198508;9.9;1
198509;6.8;1
198510;31.3;1
198511;136.2;1
198512;26.7;1
198601;183.3;1
198602;128;1
198603;156.2;1
198604;148.7;1
198605;18.6;1
198606;64.1;1
198607;25.7;1
198608;2.9;1
198609;31.2;1
198610;36.6;1
198611;38.8;1
198612;103.9;1
198701;142.4;1
198702;61.4;1
198703;49.6;1
198704;33.7;1
198705;39.7;1
198706;34.5;1
198707;1.4;1
198708;0.6;1
198709;3.5;1
198710;166;1
198711;208.9;1
198712;131.2;1
198801;76.5;1
198802;62.7;1
198803;66.9;1
198804;89.1;1
198805;50.5;1
198806;87.7;1
198807;1.6;1
198808;16.2;1
198809;16.3;1
198810;90.3;1
198811;35.7;1
198812;58.2;1
198901;22.7;1
198902;148.8;1
198903;25.2;1
198904;178.7;1
198905;19.1;1
198906;32.3;1
198907;24.8;1
198908;7;1
198909;29.9;1
198910;42.6;1
198911;74.7;1
198912;78.8;1
199001;42.5;1
199002;62.8;1
199003;50.9;1
199004;161.7;1
199005;55.6;1
199006;27.3;1
199007;4.3;1
199008;42.5;1
199009;20.5;1
199010;189.4;1
199011;109.2;1
199012;110.4;1
199101;20.3;1
199102;72;1
199103;60.1;1
199104;61.5;1
199105;41.7;1
199106;15.7;1
199107;2.4;1
199108;0.4;1
199109;56.1;1
199110;157.4;1
199111;148.8;1
199112;2.9;1
199201;17.8;1
199202;17.9;1
199203;52.8;1
