# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 15214001
# NOM_USUEL= ST SAURY
# LATITUDE (°) = 44.868
# LONGITUDE(°)= 2.14
# ALTITUDE (m) = 705
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2022-12-31
# NUM_SERIE= MRR115214001
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 196201 202012
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  196201 202012  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196201;223.9;1
196202;90.1;1
196203;184.3;1
196204;119;1
196205;143.3;1
196206;17.7;1
196207;66.8;1
196208;22.6;1
196209;57.1;1
196210;54.9;1
196211;226.1;1
196212;196.8;1
196301;67.6;1
196302;190.6;1
196303;237.2;1
196304;132.4;1
196305;87.5;1
196306;237;1
196307;40;1
196308;160;1
196309;138.3;1
196310;108.5;1
196311;186;1
196312;57.6;1
196401;16.2;1
196402;92;1
196403;139;1
196404;145;1
196405;161.4;1
196406;96.2;1
196407;37.1;1
196408;108.2;1
196409;70.8;1
196410;175.4;1
196411;101.7;1
196412;65.8;1
196501;204.1;1
196502;12.5;1
196503;175.6;1
196504;146.7;1
196505;147.1;1
196506;65.4;1
196507;145.7;1
196508;105.3;1
196509;257.5;1
196510;51;1
196511;298.6;1
196512;407.3;1
196601;215.1;1
196602;158.3;1
196603;85.2;1
196604;144.6;1
196605;193.4;1
196606;96;1
196607;113;1
196608;108;1
196609;22;1
196610;173.2;1
196611;189.8;1
196612;290.9;1
196701;101.9;1
196702;173.5;1
196703;103;1
196704;22.7;1
196705;154.7;1
196706;42.4;1
196707;17.1;1
196708;87.2;1
196709;98.6;1
196710;99;1
196711;162.1;1
196712;151.3;1
196801;171;1
196802;98.1;1
196803;74.7;1
196804;77.3;1
196805;194.2;1
196806;66.5;1
196807;90.5;1
196808;152.7;1
196809;161.5;1
196810;58.4;1
196811;48.8;1
196812;188.9;1
196901;156.8;1
196902;138.9;1
196903;247.8;1
196904;167.1;1
196905;297.1;1
196906;101.9;1
196907;60.5;1
196908;59.8;1
196909;186.6;1
196910;28.9;1
196911;180;1
196912;143.7;1
197001;145.8;1
197002;327.6;1
197003;121.6;1
197004;165.3;1
197005;55.5;1
197006;65;1
197007;24;1
197008;72.4;1
197009;21.8;1
197010;85.8;1
197011;113.6;1
197012;58.7;1
197101;266.3;1
197102;77.2;1
197103;113.8;1
197104;138.9;1
197105;115.6;1
197106;96.1;1
197107;115.3;1
197108;156.7;1
197109;73.7;1
197110;55.1;1
197111;182.5;1
197112;32.7;1
197201;104.5;1
197202;164.6;1
197203;115.7;1
197204;99.7;1
197205;45.5;1
197206;30.8;1
197207;46.5;1
197208;112.6;1
197209;51.6;1
197210;93.9;1
197211;208.1;1
197212;96.2;1
197301;156.8;1
197302;158.3;1
197303;10.2;1
197304;56.8;1
197305;109.9;1
197306;61.2;1
197307;175.8;1
197308;36.6;1
197309;70.6;1
197310;161.2;1
197311;126;1
197312;154;1
197401;114.8;1
197402;194;1
197403;110.3;1
197404;52.9;1
197405;127.6;1
197406;115.1;1
197407;48.3;1
197408;129.9;1
197409;260.6;1
197410;203.8;1
197411;212.4;1
197412;99.1;1
197501;262.5;1
197502;58.9;1
197503;149.7;1
197504;105.1;1
197505;156.6;1
197506;38.3;1
197507;38.5;1
197508;100.7;1
197509;171.2;1
197510;81.1;1
197511;168.1;1
197512;54.8;1
197601;46.4;1
197602;112.7;1
197603;72.2;1
197604;47.6;1
197605;80.7;1
197606;33.7;1
197607;128.3;1
197608;93.4;1
197609;103.6;1
197610;275.2;1
197611;177.3;1
197612;223.2;1
197701;154.3;1
197702;241.8;1
197703;155.5;1
197704;100.6;1
197705;167.8;1
197706;223.6;1
197707;82.3;1
197708;158.8;1
197709;12.7;1
197710;94.7;1
197711;152.4;1
197712;97.5;1
197801;205;1
197802;173.1;1
197803;262.8;1
197804;130.6;1
197805;106.5;1
197806;68.4;1
197807;54.6;1
197808;18.1;1
197809;103.7;1
197810;17.2;1
197811;16.9;1
197812;296.9;1
197901;141.7;1
197902;181.4;1
197903;217.5;1
197904;167.6;1
197905;196;1
197906;58.9;1
197907;12.7;1
197908;76.5;1
197909;54.3;1
197910;203;1
197911;138.5;1
197912;310.1;1
198001;165.6;1
198002;193.5;1
198003;168.4;1
198004;42.4;1
198005;141.5;1
198006;140.6;1
198007;136.1;1
198008;97.2;1
198009;68.8;1
198010;210.2;1
198011;148.4;1
198012;148.9;1
198101;226.5;1
198102;82;1
198103;191.5;1
198104;24.5;1
198105;286;1
198106;127.4;1
198107;88.1;1
198108;21.2;1
198109;100.1;1
198110;211.6;1
198111;42.9;1
198112;428.5;1
198201;155.8;1
198202;74;1
198203;117.4;1
198204;32.4;1
198205;85.1;1
198206;108.3;1
198207;162.6;1
198208;70;1
198209;102.2;1
198210;277.9;1
198211;116.7;1
198212;306.3;1
198301;88.2;1
198302;174.6;1
198303;107;1
198304;225.5;1
198305;188.9;1
198306;44.6;1
198307;34.5;1
198308;110;1
198309;82.8;1
198310;82.6;1
198311;106.7;1
198312;178.9;1
198401;315.1;1
198402;175.1;1
198403;124.7;1
198404;21.3;1
198405;179;1
198406;153.2;1
198407;45.4;1
198408;100.4;1
198409;235.8;1
198410;153.3;1
198411;162.7;1
198412;109.9;1
198501;91.5;1
198502;144.1;1
198503;156.5;1
198504;134.2;1
198505;191.2;1
198506;113.7;1
198507;41;1
198508;17.3;1
198509;3.2;1
198510;17.2;1
198511;92.9;1
198512;97.5;1
198601;324;1
198602;120.3;1
198603;177.6;1
198604;212.5;1
198605;136;1
198606;34.2;1
198607;42;1
198608;114.2;1
198609;136.2;1
198610;165.9;1
198611;89.7;1
198612;210;1
198701;56.2;1
198702;84.6;1
198703;104.2;1
198704;80.2;1
198705;78.9;1
198706;193.4;1
198707;120.5;1
198708;79.6;1
198709;81.5;1
198710;185.3;1
198711;166.3;1
198712;47.7;1
198801;259.3;1
198802;147.1;1
198803;240.8;1
198804;128.9;1
198805;175.8;1
198806;111.6;1
198807;125.2;1
198808;34.7;1
198809;71.3;1
198810;126.2;1
198811;39.5;1
198812;122.7;1
198901;38.5;1
198902;120.7;1
198903;82.4;1
198904;296.7;1
198905;84.3;1
198906;52.4;1
198907;17.6;1
198908;45.1;1
198909;121.8;1
198910;65.5;1
198911;89.9;1
198912;46.5;1
199001;61.6;1
199002;292.5;1
199003;11.2;1
199004;141.3;1
199005;117.6;1
199006;116.4;1
199007;40.3;1
199008;81.4;1
199009;112.3;1
199010;278.4;1
199011;173.9;1
199012;100.8;1
199101;85.8;1
199102;98;1
199103;76.1;1
199104;87.4;1
199105;33;1
199106;140;1
199107;102.5;1
199108;46.7;1
199109;111.9;1
199110;111.2;1
199111;204.6;1
199112;80.9;1
199201;41;1
199202;56;1
199203;120.2;1
199204;79.2;1
199205;84.2;1
199206;170.6;1
199207;115.6;1
199208;122;1
199209;243.9;1
199210;269.7;1
199211;251.8;1
199212;140.1;1
199301;20.1;1
199302;13.4;1
199303;30.6;1
199304;215.8;1
199305;161.1;1
199306;210.6;1
199307;191.7;1
199308;117.7;1
199309;214.2;1
199310;151.8;1
199311;48.4;1
199312;410.3;1
199401;242.8;1
199402;223.5;1
199403;62.1;1
199404;273.3;1
199405;176.5;1
199406;168.7;1
199407;30.6;1
199408;97.1;1
199409;293.7;1
199410;149.9;1
199411;159.4;1
199412;134.9;1
199501;223.5;1
199502;288.1;1
199503;168.9;1
199504;100.6;1
199505;69.8;1
199506;37.6;1
199507;60.8;1
199508;120;1
199509;185.5;1
199510;44.1;1
199511;99.4;1
199512;239.9;1
199601;137.6;1
199602;160.9;1
199603;37.1;1
199604;102.7;1
199605;205.9;1
199606;32.2;1
199607;94.5;1
199608;119.3;1
199609;113.3;1
199610;88.8;1
199611;283;1
199612;95.1;1
199701;58.4;1
199702;153.3;1
199703;4.5;1
199704;42.8;1
199705;144.2;1
199706;203.5;1
199707;34.9;1
199708;128.2;1
199709;80.9;1
199710;92;1
199711;188.4;1
199712;236.3;1
199801;181;1
199802;41.1;1
199803;87.5;1
199804;322.8;1
199805;48.9;1
199806;81;1
199807;106.1;1
199808;34.5;1
199809;222.4;1
199810;204.5;1
199811;111.8;1
199812;83.9;1
199901;161.7;1
199902;164.3;1
199903;141.5;1
199904;143.5;1
199905;205.3;1
199906;35.9;1
199907;71.7;1
199908;149.9;1
199909;226.1;1
199910;135.4;1
199911;139.9;1
199912;229.2;1
200001;29;1
200002;259.3;1
200003;71.9;1
200004;228.3;1
200005;111.2;1
200006;54.1;1
200007;112.4;1
200008;114.8;1
200009;183.4;1
200010;171.3;1
200011;379.4;1
200012;65;1
200101;157;1
200102;67;1
200103;296;1
200104;268;1
200105;88.4;1
200106;51.1;1
200107;201.1;1
200108;85.4;1
200109;101.3;1
200110;78.2;1
200111;111.6;1
200112;110.5;1
200201;47.7;1
200202;184.3;1
200203;54.9;1
