# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 49218002
# NOM_USUEL= MONTREVAULT
# LATITUDE (°) = 47.258
# LONGITUDE(°)= -1.048
# ALTITUDE (m) = 55
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2018-12-31
# NUM_SERIE= MRR149218002
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195101 201412
# Date(s) de rupture(s) d'homogénéité : 195711 197212 198810
#     Periode homogénéisée  195101 201412  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;86.1;1
195102;81.4;1
195103;94.6;1
195104;76.6;1
195105;127.7;1
195106;55.8;1
195107;17.2;1
195108;85.1;1
195109;65.3;1
195110;31.2;1
195111;88;1
195112;75.7;1
195201;56.3;1
195202;30.3;1
195203;108.8;1
195204;27;1
195205;28.4;1
195206;0;1
195207;24.6;1
195208;64.4;1
195209;159.9;1
195210;112.1;1
195211;106;1
195212;131.7;1
195301;32.2;1
195302;28.4;1
195303;5.7;1
195304;84.3;1
195305;22.5;1
195306;24.4;1
195307;43.6;1
195308;22.2;1
195309;85;1
195310;72.2;1
195311;18.5;1
195312;31.1;1
195401;29.2;1
195402;64.1;1
195403;94.5;1
195404;18.9;1
195405;19.7;1
195406;40.3;1
195407;32.7;1
195408;76.2;1
195409;80.7;1
195410;51.7;1
195411;99.8;1
195412;64.1;1
195501;130.6;1
195502;113.1;1
195503;22.3;1
195504;0.4;1
195505;43.5;1
195506;162.1;1
195507;16.9;1
195508;7.6;1
195509;35;1
195510;49.5;1
195511;11.6;1
195512;102.5;1
195601;122.9;1
195602;0.4;1
195603;13.7;1
195604;65.3;1
195605;25.9;1
195606;19.4;1
195607;111.7;1
195608;102.4;1
195609;59.1;1
195610;29.8;1
195611;11.5;1
195612;70.8;1
195701;47;1
195702;163.9;1
195703;37.1;1
195704;23.5;1
195705;17.5;1
195706;57.5;1
195707;58.4;1
195708;75;1
195709;75;1
195710;22.1;1
195711;86.6;1
195712;64.2;1
195801;153.5;1
195802;109.3;1
195803;82.8;1
195804;42.9;1
195805;51.8;1
195806;140.4;1
195807;41.6;1
195808;76.9;1
195809;68.6;1
195810;36.9;1
195811;31.4;1
195812;115.2;1
195901;91.7;1
195902;4.2;1
195903;44.7;1
195904;81.8;1
195905;44.7;1
195906;24.3;1
195907;14.9;1
195908;24.5;1
195909;22.7;1
195910;98.8;1
195911;91.2;1
195912;139.6;1
196001;61.5;1
196002;82;1
196003;79.1;1
196004;19.5;1
196005;62.9;1
196006;31.8;1
196007;68.6;1
196008;49.3;1
196009;112.4;1
196010;148.6;1
196011;146.5;1
196012;131;1
196101;134.1;1
196102;47.2;1
196103;4.6;1
196104;48;1
196105;19.5;1
196106;33.3;1
196107;59.9;1
196108;0.7;1
196109;51.8;1
196110;130.2;1
196111;125.7;1
196112;131.8;1
196201;86.5;1
196202;24.9;1
196203;126.8;1
196204;24.1;1
196205;56.8;1
196206;1;1
196207;23.6;1
196208;22.9;1
196209;45;1
196210;30.9;1
196211;83.3;1
196212;36.9;1
196301;49.3;1
196302;44.4;1
196303;83.4;1
196304;69.3;1
196305;47.9;1
196306;88.1;1
196307;6.2;1
196308;125.8;1
196309;56.9;1
196310;54.7;1
196311;127.7;1
196312;7.1;1
196401;19.6;1
196402;62.3;1
196403;83;1
196404;61.4;1
196405;60.4;1
196406;51.3;1
196407;10;1
196408;22.5;1
196409;40.4;1
196410;103.4;1
196411;51.5;1
196412;89;1
196501;107.7;1
196502;3;1
196503;87.6;1
196504;24.6;1
196505;50;1
196506;28.2;1
196507;27.8;1
196508;183.9;1
196509;111.9;1
196510;20.1;1
196511;146.4;1
196512;127.3;1
196601;89.9;1
196602;105.7;1
196603;16.8;1
196604;115.6;1
196605;65.3;1
196606;95.9;1
196607;33.2;1
196608;51.1;1
196609;18.6;1
196610;215.7;1
196611;134.4;1
196612;101.4;1
196701;52;1
196702;85;1
196703;92.1;1
196704;15.8;1
196705;89.3;1
196706;25.7;1
196707;2.6;1
196708;54.4;1
196709;58.4;1
196710;76.3;1
196711;89;1
196712;77.3;1
196801;53.3;1
196802;63.1;1
196803;39.1;1
196804;32.2;1
196805;64.3;1
196806;58.1;1
196807;69.9;1
196808;58.5;1
196809;97.7;1
196810;49.4;1
196811;17.3;1
196812;90.1;1
196901;81.6;1
196902;32.9;1
196903;94.7;1
196904;41;1
196905;85.9;1
196906;22.2;1
196907;21.5;1
196908;10.4;1
196909;56;1
196910;2.7;1
196911;132.9;1
196912;98.6;1
197001;68.1;1
197002;117.3;1
197003;50.6;1
197004;49.7;1
197005;20.4;1
197006;33.4;1
197007;25.9;1
197008;82.4;1
197009;44.4;1
197010;46.6;1
197011;106.9;1
197012;21.3;1
197101;123.4;1
197102;33.2;1
197103;36.7;1
197104;41.2;1
197105;78.1;1
197106;93.5;1
197107;18.3;1
197108;62.2;1
197109;76.5;1
197110;9.7;1
197111;76.8;1
197112;20.5;1
197201;70.9;1
197202;93;1
197203;67.1;1
197204;70.8;1
197205;34.4;1
197206;25.7;1
197207;34.9;1
197208;33.3;1
197209;24.8;1
197210;25.1;1
197211;117.2;1
197212;22.5;1
197301;27.4;1
197302;57.4;1
197303;6.5;1
197304;67.7;1
197305;97.3;1
197306;16.6;1
197307;77.1;1
197308;109.9;1
197309;64.3;1
197310;40.5;1
197311;37.9;1
197312;37.3;1
197401;111.3;1
197402;73.6;1
197403;62.6;1
197404;34.3;1
197405;40.8;1
197406;37;1
197407;5.2;1
197408;43.5;1
197409;93.9;1
197410;66;1
197411;113;1
197412;27.2;1
197501;104.1;1
197502;9.9;1
197503;66.8;1
197504;39.8;1
197505;59.5;1
197506;14.8;1
197507;59.2;1
197508;29.6;1
197509;117.7;1
197510;42.9;1
197511;93;1
197512;27.5;1
197601;18.8;1
197602;61.5;1
197603;39.1;1
197604;9.6;1
197605;8.8;1
197606;0;1
197607;33.5;1
197608;25.1;1
197609;92.9;1
197610;116.7;1
197611;110.6;1
197612;62.6;1
197701;79.5;1
197702;184.2;1
197703;63.5;1
197704;29.8;1
197705;34.1;1
197706;72.7;1
197707;51.5;1
197708;46.6;1
197709;11.4;1
197710;51.5;1
197711;66.5;1
197712;67.6;1
197801;133.8;1
197802;79.3;1
197803;92.4;1
197804;46;1
197805;43.4;1
197806;56.3;1
197807;28;1
197808;26;1
197809;27.4;1
197810;3.2;1
197811;19.1;1
197812;149.3;1
197901;71.4;1
197902;121.7;1
197903;102.4;1
197904;60.4;1
197905;78.9;1
197906;32.1;1
197907;41.2;1
197908;32.9;1
197909;19.5;1
197910;112.7;1
197911;47.7;1
197912;185.3;1
198001;84.1;1
198002;42;1
198003;104.7;1
198004;4.3;1
198005;13.8;1
198006;82.5;1
198007;86.1;1
198008;6.8;1
198009;73.2;1
198010;79.6;1
198011;83.6;1
198012;66.1;1
198101;35;1
198102;46.4;1
198103;122.4;1
198104;12.8;1
198105;176.7;1
198106;31.5;1
198107;44.6;1
198108;23.2;1
198109;61.4;1
198110;152.7;1
198111;22.6;1
198112;134.8;1
198201;97.9;1
198202;39.2;1
198203;54.6;1
198204;6.4;1
198205;25;1
198206;73.9;1
198207;108.8;1
198208;53.8;1
198209;100.6;1
198210;142.4;1
