# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 67476002
# NOM_USUEL= STATTMATTEN SA
# LATITUDE (°) = 48.795
# LONGITUDE(°)= 8.002
# ALTITUDE (m) = 121
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2017-10-04
# NUM_SERIE= MRR067476002
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195401 201612
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195401 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195401;53.5;1
195402;29.5;1
195403;14.8;1
195404;43.7;1
195405;67.8;1
195406;50.4;1
195407;94.7;1
195408;111.8;1
195409;143.9;1
195410;65.4;1
195411;55.5;1
195412;93.6;1
195501;109.7;1
195502;70.7;1
195503;26.1;1
195504;26.3;1
195505;116.9;1
195506;103.8;1
195507;80.9;1
195508;27.9;1
195509;52.5;1
195510;28.5;1
195511;7.1;1
195512;125.4;1
195601;64.5;1
195602;27.5;1
195603;22.8;1
195604;90.4;1
195605;60.5;1
195606;51.9;1
195607;127.5;1
195608;119.7;1
195609;63.3;1
195610;95.9;1
195611;47.5;1
195612;24.1;1
195701;46.8;1
195702;96;1
195703;48.9;1
195704;24;1
195705;51.1;1
195706;83.1;1
195707;75;1
195708;92.9;1
195709;109.4;1
195710;15.6;1
195711;27.1;1
195712;38;1
195801;99.5;1
195802;177.3;1
195803;36.6;1
195804;39.7;1
195805;102.5;1
195806;107;1
195807;62.2;1
195808;104.2;1
195809;67.2;1
195810;71.6;1
195811;39.9;1
195812;85.9;1
195901;88.4;1
195902;3.2;1
195903;70.4;1
195904;85.9;1
195905;19.1;1
195906;60.9;1
195907;62.3;1
195908;48.4;1
195909;14.9;1
195910;61.9;1
195911;30.7;1
195912;52.2;1
196001;53.4;1
196002;90.9;1
196003;31.9;1
196004;26.7;1
196005;78.2;1
196006;84.3;1
196007;104.3;1
196008;131.6;1
196009;24.5;1
196010;100.1;1
196011;105;1
196012;55.3;1
196101;97.2;1
196102;52.1;1
196103;20.4;1
196104;85;1
196105;93.9;1
196106;87.8;1
196107;111.4;1
196108;83;1
196109;32;1
196110;53.6;1
196111;55.6;1
196112;90.8;1
196201;80.5;1
196202;57.3;1
196203;88.1;1
196204;62.8;1
196205;96;1
196206;38.5;1
196207;50.1;1
196208;67.2;1
196209;64.7;1
196210;13;1
196211;30.9;1
196212;55.8;1
196301;21.8;1
196302;27.6;1
196303;72.8;1
196304;35.9;1
196305;28.8;1
196306;95.1;1
196307;45;1
196308;167.5;1
196309;49.1;1
196310;45.8;1
196311;131.8;1
196312;1.7;1
196401;15.5;1
196402;47.5;1
196403;75.9;1
196404;44.4;1
196405;52.9;1
196406;62.1;1
196407;12.2;1
196408;46.3;1
196409;61.6;1
196410;48.7;1
196411;70.4;1
196412;34.6;1
196501;115.6;1
196502;23;1
196503;95.6;1
196504;88.1;1
196505;133.8;1
196506;132.9;1
196507;81;1
196508;48.8;1
196509;106.2;1
196510;7.8;1
196511;116.9;1
196512;140.2;1
196601;49.6;1
196602;55;1
196603;50.6;1
196604;65.5;1
196605;64.1;1
196606;127.4;1
196607;102.1;1
196608;170.9;1
196609;64.8;1
196610;58.9;1
196611;58.3;1
196612;136.2;1
196701;56.8;1
196702;37.6;1
196703;48.2;1
196704;40.6;1
196705;116;1
196706;66.1;1
196707;54.3;1
196708;83;1
196709;97.6;1
196710;59.1;1
196711;70.6;1
196712;101.3;1
196801;77.3;1
196802;70.2;1
196803;33.7;1
196804;146.3;1
196805;103.4;1
196806;60.8;1
196807;118.4;1
196808;140.8;1
196809;108.1;1
196810;51.3;1
196811;46;1
196812;51.7;1
196901;55.1;1
196902;115.9;1
196903;71.4;1
196904;108.6;1
196905;115;1
196906;85.2;1
196907;48.4;1
196908;82.2;1
196909;20.7;1
196910;1.9;1
196911;108.4;1
196912;51.4;1
197001;61.7;1
197002;131.8;1
197003;70.4;1
197004;113.6;1
197005;198.6;1
197006;84;1
197007;76.9;1
197008;68.9;1
197009;76.4;1
197010;41.7;1
197011;35.3;1
197012;47.2;1
197101;29.1;1
197102;22.9;1
197103;51.7;1
197104;20.8;1
