# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 34200003
# NOM_USUEL= PEZENES-MAS BOUSQUET
# LATITUDE (°) = 43.622
# LONGITUDE(°)= 3.251
# ALTITUDE (m) = 389
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2020-01-01
# NUM_SERIE= MRR034200003
# Amplitude minimale détectable de la série = 0.1
# Période homogénéisée : 195901 201712
# Date(s) de rupture(s) d'homogénéité : 198905
#     Periode homogénéisée  195901 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;45.3;1
195902;89.1;1
195903;165.1;1
195904;114.5;1
195905;35.8;1
195906;67.5;1
195907;30;1
195908;106.6;1
195909;183.5;1
195910;332.2;1
195911;96.5;1
195912;157.7;1
196001;117.5;1
196002;16.8;1
196003;450.1;1
196004;6.6;1
196005;11.2;1
196006;26;1
196007;69.2;1
196008;113.5;1
196009;51.6;1
196010;135.6;1
196011;15.8;1
196012;61.3;1
196101;58.8;1
196102;48.6;1
196103;0;1
196104;112.4;1
196105;68.7;1
196106;56.6;1
196107;19;1
196108;20.1;1
196109;98.9;1
196110;79.1;1
196111;144.7;1
196112;33.9;1
196201;74;1
196202;25;1
196203;175.3;1
196204;96.7;1
196205;52.2;1
196206;28.3;1
196207;11.8;1
196208;21.9;1
196209;138.3;1
196210;235.5;1
196211;333.3;1
196212;81.6;1
196301;158;1
196302;103.2;1
196303;23.4;1
196304;164.5;1
196305;39.1;1
196306;80.9;1
196307;97.9;1
196308;58.5;1
196309;245.5;1
196310;143.1;1
196311;57.3;1
196312;164;1
196401;57.1;1
196402;423.4;1
196403;127.3;1
196404;103;1
196405;198.7;1
196406;31;1
196407;74.1;1
196408;63.7;1
196409;453.1;1
196410;53.7;1
196411;119.5;1
196412;83.6;1
196501;96.1;1
196502;53.7;1
196503;94;1
196504;9.8;1
196505;31.7;1
196506;12.2;1
196507;23.4;1
196508;18.5;1
196509;129.3;1
196510;573.4;1
196511;52.2;1
196512;63.4;1
196601;81;1
196602;139.8;1
196603;5;1
196604;120.2;1
196605;165.5;1
196606;57.4;1
196607;47.8;1
196608;34.8;1
196609;62.1;1
196610;191.2;1
196611;53;1
196612;34.7;1
196701;110.6;1
196702;153.8;1
196703;30.4;1
196704;26.4;1
196705;31.8;1
196706;9.9;1
196707;20.3;1
196708;26.5;1
196709;25.4;1
196710;17.9;1
196711;82.2;1
196712;13.2;1
196801;19.9;1
196802;74.1;1
196803;11.2;1
196804;142.8;1
196805;110.3;1
196806;78.4;1
196807;22.3;1
196808;196.7;1
196809;47.2;1
196810;18.8;1
196811;152.7;1
196812;130.4;1
196901;127;1
196902;149.8;1
196903;467.2;1
196904;223.3;1
196905;74.4;1
196906;38.5;1
196907;37.7;1
196908;53.1;1
196909;216.4;1
196910;472;1
196911;54.4;1
196912;88.6;1
197001;154.3;1
197002;13.5;1
197003;25;1
197004;15.8;1
197005;62.1;1
197006;72.6;1
197007;0;1
197008;29.8;1
197009;38.5;1
197010;146.2;1
197011;13.4;1
197012;61.8;1
197101;243.5;1
197102;6.3;1
197103;128.9;1
197104;215.2;1
197105;54;1
197106;83.7;1
197107;30.9;1
197108;22;1
197109;125.2;1
197110;82.8;1
197111;28.2;1
197112;137.9;1
197201;322.1;1
197202;327.4;1
197203;185.8;1
197204;59.3;1
197205;70.2;1
197206;117.3;1
197207;44.3;1
197208;26.9;1
197209;211.2;1
197210;152.9;1
197211;46.7;1
197212;58.3;1
197301;160.6;1
197302;7.8;1
197303;21.1;1
197304;43.1;1
197305;18.6;1
197306;76.6;1
197307;14.9;1
197308;2.1;1
197309;17.6;1
197310;33.2;1
197311;68.2;1
197312;198.2;1
197401;54;1
197402;123.7;1
197403;156.7;1
197404;77.7;1
197405;50.5;1
197406;140.5;1
197407;57.9;1
197408;109.5;1
197409;171.4;1
197410;20.4;1
197411;23.7;1
197412;0;1
197501;55.4;1
197502;54;1
197503;34.5;1
197504;14.8;1
197505;116.5;1
197506;52.7;1
197507;3.1;1
197508;85.9;1
197509;88.9;1
197510;8.8;1
197511;65.8;1
197512;123;1
197601;20.3;1
197602;192;1
197603;47.6;1
197604;102.6;1
197605;72.8;1
197606;0;1
197607;29.7;1
197608;154.5;1
197609;137.9;1
197610;257;1
197611;30.8;1
197612;123.6;1
197701;175.9;1
197702;52.1;1
197703;84.5;1
197704;69.8;1
197705;179.9;1
197706;81.8;1
197707;110.6;1
197708;57.9;1
197709;18.7;1
197710;223.3;1
197711;13.4;1
197712;73.3;1
197801;75;1
197802;74.7;1
197803;158.5;1
197804;227.2;1
197805;69.3;1
197806;206.5;1
197807;5.6;1
197808;0;1
197809;23.8;1
197810;1.7;1
197811;34.1;1
197812;121;1
197901;404.5;1
197902;34.2;1
197903;39.4;1
197904;49.1;1
197905;71.4;1
197906;11;1
197907;17;1
197908;14.8;1
197909;27.8;1
197910;391.8;1
197911;12.7;1
197912;26.3;1
198001;128.2;1
198002;141.4;1
198003;101.4;1
198004;95.3;1
198005;162.2;1
198006;26.5;1
198007;17.7;1
198008;54.9;1
198009;24.9;1
198010;31.7;1
198011;127.1;1
198012;31.2;1
198101;52.1;1
198102;147.9;1
198103;105.3;1
198104;32.8;1
198105;101.3;1
198106;111.8;1
198107;11.1;1
198108;5.6;1
198109;48.3;1
198110;134;1
198111;2.2;1
198112;234.2;1
198201;149.4;1
198202;91.8;1
198203;48.6;1
198204;96.1;1
198205;31.4;1
198206;54.5;1
198207;40.1;1
198208;61.3;1
198209;33;1
198210;66.2;1
198211;293.4;1
198212;31.5;1
198301;0.6;1
198302;143.8;1
198303;21.6;1
198304;115.8;1
198305;43.3;1
198306;37.7;1
198307;0.6;1
198308;168.2;1
198309;57.2;1
198310;53.4;1
198311;121.3;1
198312;53.5;1
198401;47.5;1
198402;25;1
198403;177.7;1
198404;25.8;1
198405;129.1;1
198406;7.8;1
198407;12.8;1
198408;93.1;1
198409;110.9;1
198410;32.2;1
198411;347.4;1
198412;70.3;1
198501;25.8;1
198502;77.4;1
198503;32.4;1
198504;74.4;1
198505;94.7;1
198506;43;1
198507;27;1
198508;25.1;1
198509;0;1
198510;107.7;1
198511;20.6;1
198512;59;1
198601;113.3;1
198602;268.2;1
198603;41.3;1
198604;73.9;1
198605;36.7;1
198606;4.3;1
198607;0.6;1
198608;50.2;1
198609;93.2;1
198610;280.9;1
198611;51.1;1
198612;30.5;1
198701;32.9;1
198702;234.9;1
198703;74;1
198704;56.9;1
198705;24.5;1
198706;36.8;1
198707;70.3;1
198708;15.8;1
198709;24.8;1
198710;352.4;1
198711;121.7;1
198712;353.7;1
198801;139;1
198802;20.1;1
198803;27.9;1
198804;145.3;1
198805;99.4;1
198806;108.9;1
198807;2.6;1
198808;24.4;1
198809;12.4;1
198810;49.7;1
198811;226.9;1
198812;11.7;1
198901;45.4;1
198902;26.9;1
198903;22.7;1
