# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 70408001
# NOM_USUEL= PESMES
# LATITUDE (°) = 47.281
# LONGITUDE(°)= 5.57
# ALTITUDE (m) = 210
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2018-12-31
# NUM_SERIE= MRR070408001
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195701 201712
# Date(s) de rupture(s) d'homogénéité : 196712 197609 200012
#     Periode homogénéisée  195701 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195701;15.4;1
195702;106.5;1
195703;25.6;1
195704;1.7;1
195705;72.1;1
195706;151.3;1
195707;98;1
195708;31.7;1
195709;93.6;1
195710;12.3;1
195711;25.3;1
195712;70;1
195801;72.3;1
195802;108.7;1
195803;35.6;1
195804;40.1;1
195805;93.5;1
195806;133.7;1
195807;27.2;1
195808;122.8;1
195809;103;1
195810;52.7;1
195811;24.2;1
195812;99.5;1
195901;97.7;1
195902;1.4;1
195903;80.7;1
195904;92.3;1
195905;23.3;1
195906;63.7;1
195907;7.3;1
195908;31.8;1
195909;15.5;1
195910;59.1;1
195911;94.9;1
195912;67.7;1
196001;58.8;1
196002;86.9;1
196003;44.6;1
196004;24.1;1
196005;62.7;1
196006;92.6;1
196007;53.6;1
196008;212.1;1
196009;139.4;1
196010;134.9;1
196011;65.3;1
196012;56.2;1
196101;91.9;1
196102;60.1;1
196103;13.6;1
196104;82;1
196105;68.6;1
196106;49.4;1
196107;67;1
196108;81.9;1
196109;15.8;1
196110;78.5;1
196111;54.5;1
196112;70.6;1
196201;80;1
196202;51.1;1
196203;116.2;1
196204;52;1
196205;95.9;1
196206;1;1
196207;35.5;1
196208;35.5;1
196209;80.9;1
196210;26.8;1
196211;48.7;1
196212;61.2;1
196301;26.9;1
196302;51.1;1
196303;72.9;1
196304;67.9;1
196305;50.2;1
196306;146.2;1
196307;41.4;1
196308;120.2;1
196309;33.3;1
196310;19.8;1
196311;161.3;1
196312;5.1;1
196401;51.8;1
196402;20.1;1
196403;61.6;1
196404;43.9;1
196405;60.6;1
196406;9.9;1
196407;2.3;1
196408;73.8;1
196409;47.2;1
196410;39.4;1
196411;41.3;1
196412;26.8;1
196501;88.5;1
196502;6.7;1
196503;86.1;1
196504;57.8;1
196505;162;1
196506;70.3;1
196507;114.1;1
196508;73.8;1
196509;165.2;1
196510;19.6;1
196511;88.6;1
196512;81.3;1
196601;57.4;1
196602;54.3;1
196603;37.6;1
196604;82.8;1
