# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 22115001
# NOM_USUEL= LANRIVAIN
# LATITUDE (°) = 48.348
# LONGITUDE(°)= -3.216
# ALTITUDE (m) = 255
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2020-12-31
# NUM_SERIE= MRR122115001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195501 201812
# Date(s) de rupture(s) d'homogénéité : 198406
#     Periode homogénéisée  195501 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;140.8;1
195502;100.3;1
195503;87.1;1
195504;7;1
195505;41.6;1
195506;96.5;1
195507;17.5;1
195508;0.9;1
195509;43.4;1
195510;69.5;1
195511;41.7;1
195512;141.7;1
195601;160.7;1
195602;21;1
195603;37.3;1
195604;43.3;1
195605;19.9;1
195606;44.2;1
195607;66.4;1
195608;113.7;1
195609;130.5;1
195610;51.2;1
195611;60;1
195612;166.8;1
195701;103.4;1
195702;222.3;1
195703;35.6;1
195704;50.2;1
195705;35.1;1
195706;90.3;1
195707;55.3;1
195708;77.4;1
195709;84.3;1
195710;39.6;1
195711;104.6;1
195712;143.6;1
195801;158.5;1
195802;140.8;1
195803;95.5;1
195804;40.7;1
195805;91.1;1
195806;139.7;1
195807;55.4;1
195808;94.6;1
195809;112.6;1
195810;46.6;1
195811;40.2;1
195812;134.7;1
195901;160.2;1
195902;10.8;1
195903;80.5;1
195904;116.1;1
195905;28.8;1
195906;14.8;1
195907;7.7;1
195908;52;1
195909;12.3;1
195910;177.5;1
195911;146.6;1
195912;200.9;1
196001;101.5;1
196002;68.5;1
196003;93;1
196004;30.9;1
196005;42.3;1
196006;45.2;1
196007;79.8;1
196008;173.2;1
196009;72.2;1
196010;246.7;1
196011;148.4;1
196012;138.5;1
196101;140.8;1
196102;70.8;1
196103;10.3;1
196104;97.5;1
196105;45.6;1
196106;21.5;1
196107;63.8;1
196108;15.4;1
196109;42;1
196110;147.9;1
196111;146.5;1
196112;136.2;1
196201;150.2;1
196202;41.8;1
196203;102.8;1
196204;111.1;1
196205;73;1
196206;2.9;1
196207;24.7;1
196208;52.2;1
196209;72.5;1
196210;38.8;1
196211;148;1
196212;69.7;1
196301;45.1;1
196302;86.7;1
196303;128.1;1
196304;94.9;1
196305;27.2;1
196306;98.6;1
196307;33.7;1
196308;108.3;1
196309;39.6;1
196310;56.7;1
196311;237.3;1
196312;64.9;1
196401;49.2;1
196402;61.6;1
196403;129.8;1
196404;93.1;1
196405;59;1
196406;79.2;1
196407;17.6;1
196408;15.5;1
196409;29.9;1
196410;113.9;1
196411;68.7;1
196412;165.9;1
196501;174.2;1
196502;12.3;1
196503;117.3;1
196504;58.4;1
196505;77.3;1
196506;80.2;1
196507;60.2;1
196508;74.6;1
196509;91.4;1
196510;37.3;1
196511;172.4;1
