# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 56124001
# NOM_USUEL= MALESTROIT
# LATITUDE (°) = 47.813
# LONGITUDE(°)= -2.383
# ALTITUDE (m) = 15
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2020-12-31
# NUM_SERIE= MRR156124001
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195101 201812
# Date(s) de rupture(s) d'homogénéité : 197012 198602
#     Periode homogénéisée  195101 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;73.2;1
195102;143.2;1
195103;110.6;1
195104;52;1
195105;163.5;1
195106;100;1
195107;21.4;1
195108;147.3;1
195109;88.1;1
195110;63.1;1
195111;212.1;1
195112;80.4;1
195201;54.7;1
195202;17.5;1
195203;75.5;1
195204;67.5;1
195205;85.1;1
195206;27.8;1
195207;44;1
195208;117;1
195209;158.7;1
195210;91.2;1
195211;112.4;1
195212;153.4;1
195301;28.4;1
195302;36.9;1
195303;1.5;1
195304;112.2;1
195305;29.7;1
195306;38.8;1
195307;31.6;1
195308;21;1
195309;85.5;1
195310;86.5;1
195311;22.6;1
195312;23.7;1
195401;32.8;1
195402;70.4;1
195403;83.7;1
195404;16.4;1
195405;28.8;1
195406;45.4;1
195407;24.6;1
195408;81.3;1
195409;90.4;1
195410;73.2;1
195411;170.4;1
195412;67.9;1
195501;132.7;1
195502;86;1
195503;22.7;1
195504;4.1;1
195505;66;1
195506;63.9;1
195507;1.9;1
195508;0.2;1
195509;30.8;1
195510;42.8;1
195511;34.8;1
195512;128.3;1
195601;97.4;1
195602;6.7;1
195603;27.8;1
195604;66.9;1
195605;24.9;1
195606;33.2;1
195607;44.4;1
195608;139.5;1
195609;131.4;1
195610;28.6;1
195611;26.1;1
195612;139.2;1
195701;48.1;1
195702;188.5;1
195703;26.9;1
195704;34.4;1
195705;33.3;1
195706;62.5;1
195707;61.5;1
195708;64.1;1
195709;62.6;1
195710;27.1;1
195711;69.7;1
195712;64;1
195801;120.9;1
195802;73.6;1
195803;118.6;1
195804;26.1;1
195805;82.1;1
195806;153.7;1
195807;87.5;1
195808;88.4;1
195809;87.8;1
195810;45.3;1
195811;34.1;1
195812;106;1
195901;107.7;1
195902;4.9;1
195903;77.2;1
195904;126.6;1
195905;43.3;1
195906;24.3;1
195907;9.8;1
195908;35.3;1
195909;7.3;1
195910;115.1;1
195911;104.5;1
195912;202.2;1
196001;104.4;1
196002;78;1
196003;89.3;1
196004;20.5;1
196005;28.7;1
196006;36.2;1
196007;44.4;1
196008;223.4;1
196009;84.4;1
196010;186.1;1
196011;135.8;1
196012;130.1;1
196101;107.7;1
196102;58;1
196103;2.3;1
196104;101.7;1
196105;53.8;1
196106;38.6;1
196107;74.8;1
196108;7.1;1
196109;24.2;1
196110;129.7;1
196111;88;1
196112;139.8;1
196201;100.7;1
196202;20;1
196203;73;1
196204;49.9;1
196205;42;1
196206;2.4;1
196207;41.9;1
196208;28;1
196209;72.9;1
196210;50.1;1
196211;122.1;1
196212;49.8;1
196301;32.2;1
196302;77.4;1
196303;90.1;1
196304;74.2;1
196305;28.6;1
196306;45.8;1
196307;13.9;1
196308;72.8;1
196309;43.7;1
196310;71.1;1
196311;258.3;1
196312;47.4;1
196401;17.9;1
196402;85.7;1
196403;96.7;1
196404;74.2;1
196405;74.5;1
196406;63.5;1
196407;7.6;1
196408;26.2;1
196409;65.8;1
196410;65.5;1
196411;34.2;1
196412;148.5;1
196501;94;1
196502;0;1
196503;99;1
196504;19.8;1
196505;33.2;1
196506;61.3;1
196507;90.1;1
196508;53.4;1
196509;83.4;1
196510;18.5;1
196511;152.1;1
196512;121.1;1
196601;90;1
196602;148.5;1
196603;13.5;1
196604;156.2;1
196605;71.2;1
196606;83.2;1
196607;12.5;1
196608;50.7;1
196609;62.3;1
196610;289.6;1
196611;67.7;1
196612;82.2;1
196701;68.5;1
196702;116.4;1
196703;53.4;1
196704;17.6;1
196705;102.3;1
196706;22.6;1
196707;12.4;1
196708;51.6;1
196709;106.2;1
196710;94.1;1
196711;70.4;1
196712;67.2;1
196801;56.4;1
196802;72.2;1
196803;40;1
196804;89.2;1
196805;64.8;1
196806;41.8;1
196807;63;1
196808;54.7;1
196809;100.1;1
196810;87.7;1
196811;37;1
196812;83.1;1
196901;80.2;1
196902;68.2;1
196903;73.8;1
196904;30.2;1
196905;123.9;1
196906;46.3;1
196907;10.3;1
196908;13.1;1
196909;60;1
196910;6.3;1
196911;177.2;1
196912;75.4;1
197001;130.2;1
197002;91.2;1
197003;48.1;1
197004;22.9;1
197005;16.9;1
197006;85.5;1
197007;61.4;1
197008;64.6;1
197009;41.9;1
197010;30.5;1
197011;94;1
197012;23;1
197101;98.4;1
197102;34.4;1
197103;45.8;1
197104;46;1
197105;86.6;1
197106;30.9;1
197107;16.9;1
197108;45.3;1
197109;46.2;1
197110;23.3;1
197111;70.7;1
197112;36.3;1
197201;85.7;1
197202;136.7;1
197203;79.7;1
197204;72.8;1
197205;79;1
197206;49;1
197207;48.1;1
197208;42.6;1
197209;27.6;1
197210;33.2;1
197211;101.8;1
197212;78.8;1
197301;33.8;1
197302;40.5;1
197303;9.2;1
197304;55.8;1
197305;83.5;1
197306;18.5;1
197307;69.8;1
197308;16.8;1
197309;93.7;1
197310;53.2;1
197311;42.7;1
197312;47.6;1
197401;145.2;1
197402;202.7;1
197403;77.5;1
197404;33.1;1
197405;69;1
197406;29.4;1
197407;9.1;1
197408;41.4;1
197409;130;1
197410;68.4;1
197411;151.3;1
197412;43.8;1
197501;99.6;1
197502;21.6;1
197503;68.4;1
197504;42.5;1
197505;64.4;1
197506;15.7;1
197507;34.2;1
197508;27.4;1
197509;102.3;1
197510;18.5;1
197511;74;1
197512;19.9;1
197601;35;1
197602;36.6;1
197603;46.2;1
197604;5.8;1
197605;9.6;1
197606;0;1
197607;19.2;1
197608;28.9;1
197609;117.9;1
197610;134.3;1
197611;140.1;1
197612;84.1;1
197701;83.8;1
197702;138.9;1
197703;56.7;1
197704;55.2;1
197705;60;1
197706;57;1
197707;54.5;1
197708;83.3;1
197709;16;1
197710;49.6;1
197711;72.5;1
197712;118.7;1
197801;139.9;1
197802;95.4;1
197803;88;1
197804;47.6;1
197805;49.4;1
197806;25;1
197807;54.9;1
197808;67.2;1
197809;15.2;1
197810;6;1
197811;21.5;1
197812;203.6;1
197901;87.8;1
197902;145.5;1
197903;109.5;1
197904;46.6;1
197905;97.3;1
197906;1.1;1
197907;7.4;1
197908;31.2;1
197909;9.5;1
197910;37;1
197911;31.2;1
197912;178.3;1
198001;130.7;1
198002;54;1
198003;97.3;1
198004;1.6;1
198005;32.3;1
198006;136;1
198007;48.7;1
198008;26.5;1
198009;66.1;1
198010;71.4;1
198011;69.3;1
198012;45;1
198101;28.8;1
198102;49.9;1
198103;109.5;1
198104;18;1
198105;196.8;1
198106;19.6;1
198107;29.1;1
198108;41.8;1
198109;166.7;1
198110;108.5;1
198111;16.4;1
198112;138.1;1
198201;116.4;1
198202;55;1
198203;48.9;1
