# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 75113002
# NOM_USUEL= SALPETRIERE
# LATITUDE (°) = 48.839
# LONGITUDE(°)= 2.367
# ALTITUDE (m) = 34
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2022-12-31
# NUM_SERIE= MRR075113002
# Amplitude minimale détectable de la série = 0.05
# Période homogénéisée : 195001 201612
# Date(s) de rupture(s) d'homogénéité : 196812 198212 198612
#     Periode homogénéisée  195001 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;25.3;1
195002;52.8;1
195003;16.8;1
195004;55.9;1
195005;52.2;1
195006;45.2;1
195007;85.9;1
195008;39.3;1
195009;85.2;1
195010;11.1;1
195011;45.4;1
195012;64.4;1
195101;32.8;1
195102;50.6;1
195103;45;1
195104;36.8;1
195105;85.7;1
195106;85.5;1
195107;29.5;1
195108;114.9;1
195109;44.4;1
195110;29.1;1
195111;62.1;1
195112;34.1;1
195201;48.1;1
195202;40.9;1
195203;81.5;1
195204;7.7;1
195205;38.6;1
195206;26.5;1
195207;24.1;1
195208;59.9;1
195209;110.5;1
195210;58.7;1
195211;89.4;1
195212;78.3;1
195301;14.4;1
195302;26.3;1
195303;0;1
195304;53.2;1
195305;22.5;1
195306;64.8;1
195307;54.3;1
195308;44.6;1
195309;31.3;1
195310;20.3;1
195311;13.9;1
195312;6.5;1
195401;20.8;1
195402;39.2;1
195403;37.5;1
195404;3.3;1
195405;23.4;1
195406;47.7;1
195407;27.9;1
195408;55.6;1
195409;91.7;1
195410;35.3;1
195411;28.5;1
195412;38.5;1
195501;83.4;1
195502;70.3;1
195503;24.5;1
195504;6.9;1
195505;45.8;1
195506;69.1;1
195507;115.8;1
195508;12.4;1
195509;37.6;1
195510;40.1;1
195511;20.6;1
195512;51.8;1
195601;62.4;1
195602;13.5;1
195603;9.7;1
195604;61.7;1
195605;21.3;1
195606;51.4;1
195607;38.1;1
195608;92;1
195609;32.8;1
195610;61.9;1
195611;35.5;1
195612;31.1;1
195701;19.8;1
195702;86.5;1
195703;22.6;1
195704;15.9;1
195705;22.5;1
195706;68.8;1
195707;65.7;1
195708;45.9;1
195709;87.3;1
195710;26.7;1
195711;27.7;1
195712;39.7;1
195801;83.9;1
195802;90.1;1
195803;25.1;1
195804;62.9;1
195805;87.9;1
195806;118.5;1
195807;63.6;1
195808;55.4;1
195809;30.7;1
195810;37.3;1
195811;52.6;1
195812;58.8;1
195901;86.8;1
195902;0.3;1
195903;43.2;1
195904;67.6;1
195905;20.4;1
195906;27.2;1
195907;5.2;1
195908;28.6;1
195909;3;1
195910;49.7;1
195911;44.2;1
195912;73.6;1
196001;37.7;1
196002;34.4;1
196003;44.2;1
196004;13.1;1
196005;29.6;1
196006;89.8;1
196007;61.8;1
196008;79.8;1
196009;59.8;1
196010;135.5;1
196011;64.9;1
196012;58.6;1
196101;63.3;1
196102;40.8;1
196103;4.4;1
196104;38.2;1
196105;51.9;1
196106;27.5;1
196107;56.1;1
196108;6.2;1
196109;63.9;1
196110;60.1;1
196111;58.4;1
196112;43.9;1
196201;55.9;1
196202;23.1;1
196203;52.7;1
196204;37.5;1
196205;51.2;1
196206;18.8;1
196207;54.8;1
196208;38.2;1
196209;40;1
196210;28.8;1
196211;91.9;1
196212;44.1;1
196301;14.2;1
196302;16.2;1
196303;57.8;1
196304;45;1
196305;51.8;1
196306;78.5;1
196307;24.8;1
196308;118.6;1
196309;27.5;1
196310;21.8;1
196311;85;1
196312;4.9;1
196401;13.2;1
196402;43.6;1
196403;41.6;1
196404;62.7;1
196405;52.6;1
196406;51.5;1
196407;29.4;1
196408;23.8;1
196409;40.6;1
196410;54.1;1
196411;40.7;1
196412;47;1
196501;89.4;1
196502;6.5;1
196503;78.6;1
196504;50.6;1
196505;74.3;1
196506;40.5;1
196507;122.5;1
196508;103.8;1
196509;117.5;1
196510;15.2;1
196511;108.1;1
196512;86;1
196601;70.2;1
196602;63.6;1
196603;20.6;1
196604;111.6;1
196605;34.2;1
196606;48.2;1
196607;85.2;1
196608;63.6;1
196609;26.7;1
196610;130.4;1
196611;72.8;1
196612;82.1;1
196701;27.4;1
196702;45.8;1
196703;28.5;1
196704;31.6;1
196705;93.1;1
196706;9.1;1
196707;45.2;1
196708;38.8;1
196709;73.1;1
196710;104.5;1
196711;55.2;1
196712;67.9;1
196801;83.4;1
196802;64.4;1
196803;45.3;1
196804;39.5;1
196805;50.3;1
196806;49.2;1
196807;36.7;1
196808;103.8;1
196809;80.1;1
196810;38.2;1
196811;23.3;1
196812;44.5;1
196901;30.1;1
196902;29.4;1
196903;48.7;1
196904;53.4;1
196905;87.7;1
196906;58.6;1
196907;22.3;1
196908;95.5;1
196909;36.3;1
196910;6.7;1
196911;75.3;1
196912;63.9;1
197001;54.8;1
197002;114.2;1
197003;67.4;1
197004;64.3;1
197005;38;1
197006;51.7;1
197007;31.2;1
197008;37.8;1
197009;21.8;1
197010;18.1;1
197011;52.6;1
197012;27.9;1
197101;58.4;1
197102;32.2;1
197103;33.8;1
197104;41.6;1
197105;100.3;1
197106;70.7;1
197107;52.5;1
197108;57.5;1
197109;8.5;1
197110;12.5;1
197111;55.8;1
197112;7.1;1
197201;99.6;1
197202;64.3;1
197203;29.7;1
197204;45.3;1
197205;60.5;1
197206;32.8;1
197207;100.3;1
197208;55.4;1
197209;41.9;1
197210;19.7;1
197211;90.1;1
197212;19.1;1
197301;22.1;1
197302;37.4;1
197303;4.1;1
197304;53;1
197305;78.2;1
197306;56;1
197307;57.9;1
197308;96.5;1
197309;72.4;1
197310;54.9;1
197311;50.9;1
197312;41;1
197401;60.1;1
197402;31.2;1
197403;60.1;1
197404;25.1;1
197405;52.2;1
197406;76.7;1
197407;24.6;1
197408;46;1
197409;105.8;1
197410;92.7;1
197411;63.3;1
197412;30.8;1
197501;65.8;1
197502;20.6;1
197503;63.1;1
197504;36.6;1
197505;114.2;1
197506;29.9;1
197507;38.1;1
197508;53.9;1
197509;149.7;1
197510;24.4;1
197511;67.3;1
197512;11.2;1
197601;11.3;1
197602;26.1;1
197603;28.7;1
197604;24;1
197605;10;1
197606;0.6;1
197607;92.8;1
197608;12.7;1
197609;45.9;1
197610;39.7;1
197611;42.1;1
197612;65.2;1
197701;60.1;1
197702;83.8;1
197703;38;1
197704;45.7;1
197705;81.6;1
197706;72.3;1
197707;87.5;1
197708;60.2;1
197709;9.7;1
197710;55.9;1
197711;78;1
197712;42.1;1
197801;82.7;1
197802;85;1
197803;99;1
197804;61.8;1
197805;60.4;1
197806;55;1
197807;60.9;1
197808;37.3;1
197809;48.1;1
197810;6.3;1
197811;9;1
197812;112.4;1
197901;23;1
197902;59.9;1
197903;88.6;1
197904;50;1
197905;45.2;1
197906;62.9;1
197907;8.7;1
197908;53.5;1
197909;17.6;1
197910;82.9;1
197911;43.5;1
197912;86.6;1
198001;26.5;1
198002;37.5;1
198003;72.5;1
198004;8.7;1
198005;54.6;1
198006;74;1
198007;124.9;1
