# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 53188002
# NOM_USUEL= RENAZE
# LATITUDE (°) = 47.794
# LONGITUDE(°)= -1.063
# ALTITUDE (m) = 83
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2020-12-31
# NUM_SERIE= MRR053188002
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195101 201912
# Date(s) de rupture(s) d'homogénéité : 195808 198312
#     Periode homogénéisée  195101 201912  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;51.5;1
195102;92.9;1
195103;104.1;1
195104;45.2;1
195105;103.3;1
195106;78.3;1
195107;43;1
195108;115.6;1
195109;68.2;1
195110;47.7;1
195111;106.9;1
195112;76;1
195201;77.9;1
195202;33.5;1
195203;114.8;1
195204;24.5;1
195205;50.9;1
195206;26.2;1
195207;28;1
195208;58.1;1
195209;131.4;1
195210;114.4;1
195211;109;1
195212;133.5;1
195301;13;1
195302;28.1;1
195303;3.7;1
195304;93;1
195305;26.3;1
195306;71.4;1
195307;80;1
195308;7.3;1
195309;72.1;1
195310;59.6;1
195311;13.8;1
195312;25.6;1
195401;23.8;1
195402;57.3;1
195403;89.8;1
195404;11.1;1
195405;39.9;1
195406;30.5;1
195407;37.2;1
195408;53.4;1
195409;47.8;1
195410;37.3;1
195411;91.5;1
195412;68.3;1
195501;121.2;1
195502;85.9;1
195503;29.4;1
195504;1;1
195505;45.3;1
195506;88.4;1
195507;62.1;1
195508;5.5;1
195509;30.7;1
195510;41.6;1
195511;36.4;1
195512;102.6;1
195601;103.1;1
195602;9.2;1
195603;20.7;1
195604;79.2;1
195605;35.1;1
195606;29.4;1
195607;69.6;1
195608;100.3;1
195609;47.2;1
195610;35.4;1
195611;24.5;1
195612;94.6;1
195701;32.2;1
195702;165.5;1
195703;21.5;1
195704;43.2;1
195705;22.9;1
195706;54.8;1
195707;66.9;1
195708;41.1;1
195709;70;1
195710;17.1;1
195711;61.3;1
195712;49.2;1
195801;139.4;1
195802;97;1
195803;82.2;1
195804;51;1
195805;58.3;1
195806;126;1
195807;26.6;1
195808;92.1;1
195809;45.8;1
195810;69.3;1
195811;52;1
195812;86.4;1
195901;85.3;1
195902;8.3;1
195903;49.8;1
195904;77.9;1
195905;26.9;1
195906;57.7;1
195907;21.6;1
195908;30.4;1
195909;22.2;1
195910;121.5;1
195911;41.5;1
195912;136.5;1
196001;53.5;1
196002;50.6;1
196003;62.5;1
196004;10.4;1
196005;44.5;1
196006;18;1
196007;39.6;1
196008;61.6;1
196009;90;1
196010;147.9;1
196011;151.6;1
196012;114.8;1
196101;84.2;1
196102;42.3;1
196103;6.1;1
196104;99.7;1
196105;34.1;1
196106;22.1;1
196107;61.1;1
196108;21.2;1
196109;46.8;1
196110;105.8;1
196111;84.4;1
196112;103.9;1
196201;82.3;1
196202;23;1
196203;86.4;1
196204;31.2;1
196205;41.6;1
196206;0;1
196207;28.2;1
196208;24.7;1
196209;47;1
196210;37.5;1
196211;108.8;1
196212;41.3;1
196301;47.4;1
196302;41.5;1
196303;75.5;1
196304;70.2;1
196305;29.7;1
196306;71.9;1
196307;30.2;1
196308;129.8;1
196309;62.6;1
196310;58.8;1
196311;154.9;1
196312;16.7;1
196401;15.1;1
196402;71.2;1
196403;89.6;1
196404;54;1
196405;63.5;1
196406;85.1;1
196407;7.6;1
196408;24.5;1
196409;15.2;1
196410;72.7;1
196411;24.6;1
196412;96.3;1
196501;103.9;1
196502;3.7;1
196503;73.6;1
196504;34.4;1
196505;26.3;1
196506;38.3;1
196507;21.1;1
196508;101.3;1
196509;117.6;1
196510;34.3;1
196511;128.1;1
196512;97;1
196601;74.1;1
196602;72;1
196603;13.1;1
196604;96.1;1
196605;61.3;1
196606;55.2;1
196607;50.6;1
196608;65.7;1
196609;48.8;1
196610;244.9;1
196611;100.6;1
196612;88;1
196701;23.7;1
196702;82.3;1
196703;47.5;1
196704;19.4;1
196705;85.9;1
196706;35.9;1
196707;7;1
196708;70.4;1
196709;80.3;1
196710;104.2;1
196711;64.4;1
196712;58.7;1
196801;50.4;1
196802;71;1
196803;28.8;1
196804;47.7;1
196805;49.2;1
196806;61;1
196807;57.9;1
196808;38;1
196809;66.4;1
196810;36;1
196811;8;1
196812;57.6;1
196901;62.7;1
196902;47.4;1
196903;61;1
196904;28.9;1
196905;104.8;1
196906;27.8;1
196907;21.4;1
196908;10.7;1
196909;48.2;1
196910;6.3;1
196911;136.3;1
196912;78.7;1
197001;84.7;1
197002;87.1;1
197003;42.5;1
197004;23.6;1
197005;18.2;1
197006;61.4;1
197007;38.8;1
197008;122.5;1
197009;25.2;1
197010;28.4;1
197011;92.6;1
197012;20.9;1
197101;85.6;1
197102;38.1;1
197103;33.7;1
197104;46;1
197105;126.2;1
197106;25;1
197107;38.6;1
197108;46.6;1
197109;33.9;1
197110;4.5;1
197111;54.4;1
197112;21.7;1
197201;80;1
197202;98.9;1
197203;44.4;1
197204;61.4;1
197205;31.7;1
197206;32.6;1
197207;29.1;1
197208;88.5;1
197209;26.3;1
197210;21.4;1
197211;88;1
197212;20.2;1
197301;41.7;1
197302;60.5;1
197303;4.6;1
197304;36.5;1
197305;86.7;1
197306;51.7;1
197307;77.7;1
197308;44.5;1
197309;72.8;1
197310;57.4;1
197311;27.3;1
197312;33.8;1
197401;87.1;1
197402;79.1;1
197403;72.2;1
197404;21.2;1
197405;31.2;1
197406;28;1
197407;12.6;1
197408;67;1
197409;74.4;1
197410;60.2;1
197411;151.4;1
197412;36.4;1
197501;85.9;1
197502;20.9;1
197503;83;1
197504;44.4;1
197505;69.3;1
197506;19.3;1
197507;44.6;1
197508;26.8;1
197509;113.4;1
197510;15.6;1
197511;70.7;1
197512;19.1;1
197601;17.6;1
197602;49.2;1
197603;24.9;1
197604;17.2;1
197605;17.9;1
197606;0.7;1
197607;36.4;1
197608;8.5;1
197609;111.7;1
197610;93.2;1
197611;102.7;1
197612;48.9;1
197701;65.8;1
197702;121.1;1
197703;62.5;1
197704;35.6;1
197705;54;1
197706;23.3;1
197707;58.4;1
197708;46.2;1
197709;9;1
197710;86.6;1
197711;66.3;1
197712;79.4;1
197801;110.4;1
197802;104.5;1
197803;89.6;1
197804;65.6;1
197805;46.5;1
197806;53.8;1
197807;30.1;1
197808;44.4;1
197809;31.6;1
197810;5;1
197811;14.8;1
197812;139.3;1
197901;64.2;1
197902;118.9;1
197903;114.4;1
197904;54.8;1
197905;82.4;1
197906;44.5;1
197907;4.9;1
197908;26.4;1
197909;13.8;1
197910;93.6;1
197911;46.4;1
197912;150.6;1
198001;89.2;1
198002;59.7;1
198003;113.6;1
198004;3.7;1
198005;28.7;1
198006;108;1
198007;54;1
198008;13.1;1
198009;66.4;1
198010;73;1
198011;86.2;1
198012;75.7;1
198101;50.4;1
198102;54;1
198103;82.7;1
198104;17;1
198105;161.1;1
198106;18.4;1
198107;42;1
198108;11.7;1
198109;93.8;1
198110;113.7;1
198111;30.1;1
198112;124.1;1
198201;74.5;1
198202;48.5;1
198203;62.1;1
198204;11.1;1
198205;46.9;1
198206;96.3;1
198207;56.5;1
198208;38.2;1
198209;65.7;1
198210;118.2;1
198211;83.4;1
198212;118.9;1
198301;38;1
198302;48.4;1
198303;30.7;1
198304;130.4;1
198305;77.3;1
198306;69.3;1
198307;48.4;1
198308;23.3;1
198309;81.1;1
198310;44.9;1
198311;42.8;1
198312;70.9;1
198401;115.3;1
198402;29.1;1
198403;85.7;1
198404;2.5;1
198405;130.1;1
198406;64.9;1
198407;44.3;1
198408;27;1
198409;80.4;1
198410;90.7;1
198411;143.7;1
198412;76.1;1
198501;50.1;1
198502;42;1
198503;82.6;1
198504;92.3;1
198505;44.6;1
198506;60;1
198507;55.1;1
198508;89;1
198509;23.8;1
198510;20.3;1
198511;50.1;1
198512;31.3;1
198601;132.6;1
198602;57.9;1
198603;64.3;1
198604;51.3;1
198605;55;1
198606;47.4;1
198607;26.3;1
198608;54.9;1
198609;97.2;1
198610;70.6;1
198611;61.7;1
198612;73;1
198701;15.7;1
198702;37.8;1
198703;63.8;1
198704;30.9;1
198705;47.3;1
198706;105.6;1
198707;94.9;1
198708;30;1
198709;41.8;1
198710;166.7;1
198711;46.6;1
198712;70.8;1
198801;162.3;1
198802;95.2;1
198803;66.5;1
198804;49.8;1
198805;69.6;1
198806;30.4;1
198807;71.5;1
198808;10.1;1
198809;35;1
198810;62.9;1
198811;54;1
198812;29.6;1
198901;33;1
198902;68.6;1
198903;74.2;1
198904;75.6;1
198905;26.1;1
198906;37.2;1
198907;19.9;1
198908;32;1
198909;15.6;1
198910;43.5;1
198911;49.1;1
198912;139.1;1
199001;59.4;1
199002;92.3;1
199003;4.7;1
199004;43.7;1
199005;55.8;1
199006;60;1
199007;32.1;1
199008;4.4;1
199009;24.6;1
199010;77.9;1
199011;42.6;1
199012;61.7;1
199101;91.3;1
199102;31.4;1
199103;49.3;1
199104;57.2;1
199105;21.9;1
199106;58.7;1
199107;18.9;1
199108;30.6;1
199109;76.1;1
199110;46.5;1
199111;59.1;1
199112;15.9;1
199201;9.4;1
199202;30.9;1
199203;41;1
199204;41;1
199205;37.1;1
199206;41;1
199207;26.5;1
199208;119.6;1
199209;33.2;1
199210;66.8;1
199211;130.5;1
199212;68.2;1
199301;68.2;1
199302;1.9;1
199303;8.2;1
199304;64.5;1
199305;51.2;1
199306;77.6;1
199307;42.6;1
199308;2.2;1
199309;111.8;1
199310;125;1
199311;29.5;1
199312;82;1
199401;85;1
199402;104.8;1
199403;25.7;1
199404;66.3;1
199405;111.7;1
199406;34.5;1
199407;42.3;1
199408;53.2;1
199409;137.2;1
199410;68.2;1
199411;85.8;1
199412;100.2;1
199501;154.7;1
199502;91.8;1
199503;74;1
199504;38.8;1
199505;43.4;1
199506;19.9;1
199507;40.3;1
199508;23;1
199509;89.6;1
199510;22.3;1
199511;49;1
199512;97.2;1
199601;57.1;1
199602;109.1;1
199603;25.1;1
199604;48.1;1
199605;75;1
199606;6.4;1
199607;30.3;1
199608;25.1;1
199609;19.9;1
199610;34.8;1
199611;140.1;1
199612;64.6;1
199701;33.6;1
199702;102;1
199703;12.3;1
199704;5.8;1
199705;61.5;1
199706;84;1
199707;12.5;1
199708;37.4;1
199709;9.1;1
199710;46.5;1
199711;99.6;1
199712;94.5;1
199801;99;1
199802;11.8;1
199803;33.2;1
199804;139;1
199805;15.9;1
199806;55.3;1
199807;54.6;1
199808;13;1
199809;131.6;1
199810;101.4;1
199811;32.5;1
199812;112.1;1
199901;98.9;1
199902;63.2;1
199903;38.9;1
199904;92.6;1
199905;53.3;1
199906;66.2;1
199907;31.4;1
199908;61.5;1
199909;132.1;1
199910;85;1
199911;39.9;1
199912;198.9;1
200001;35.2;1
200002;70.9;1
200003;36.3;1
200004;72.2;1
200005;120.6;1
200006;23.2;1
200007;78.3;1
200008;41.1;1
200009;76.5;1
200010;145.6;1
200011;139.2;1
200012;130.9;1
200101;171.1;1
200102;79.8;1
200103;146.9;1
200104;102.8;1
200105;20.1;1
200106;23.8;1
200107;91.6;1
200108;39.3;1
200109;51.5;1
200110;94.2;1
200111;34.1;1
200112;39.8;1
200201;46.9;1
200202;81.4;1
200203;64.2;1
200204;19.2;1
200205;67.8;1
200206;38.4;1
200207;29.2;1
200208;42.7;1
200209;78.1;1
200210;120;1
200211;137.5;1
200212;124.2;1
200301;59;1
200302;48.7;1
200303;28.3;1
200304;55.1;1
200305;65.3;1
200306;50.3;1
200307;85.1;1
200308;6.4;1
200309;23.2;1
200310;70.7;1
200311;102.9;1
200312;69.2;1
200401;144.2;1
200402;12.7;1
200403;45.3;1
