# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 51135001
# NOM_USUEL= CHATILLON SUR BROUE
# LATITUDE (°) = 48.551
# LONGITUDE(°)= 4.707
# ALTITUDE (m) = 138
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2019-12-31
# NUM_SERIE= MRR051135001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195501 201812
# Date(s) de rupture(s) d'homogénéité : 196109 196812 199612
#     Periode homogénéisée  195501 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;153.1;1
195502;69.6;1
195503;26;1
195504;9;1
195505;60.9;1
195506;95.1;1
195507;90.9;1
195508;8.3;1
195509;29.1;1
195510;42.1;1
195511;39.8;1
195512;92.6;1
195601;61.8;1
195602;8.6;1
195603;33.6;1
195604;35.7;1
195605;40;1
195606;61.8;1
195607;47.7;1
195608;84.2;1
195609;51.2;1
195610;59.9;1
195611;33.6;1
195612;26.3;1
195701;37.6;1
195702;101.1;1
195703;42.9;1
195704;17.8;1
195705;30.2;1
195706;122.5;1
195707;92.1;1
195708;100.9;1
195709;84;1
195710;33.4;1
195711;30.5;1
195712;66.8;1
195801;93.1;1
195802;138;1
195803;21.1;1
195804;37.6;1
195805;144.9;1
195806;71.9;1
195807;46.5;1
195808;82;1
195809;67.6;1
195810;80.5;1
195811;51.2;1
195812;116.4;1
195901;116.2;1
195902;0;1
195903;42.2;1
195904;60.8;1
195905;42.4;1
195906;64.2;1
195907;12;1
195908;27.6;1
195909;0;1
195910;33;1
195911;61;1
195912;61.4;1
196001;37.7;1
196002;61.1;1
196003;40.9;1
196004;26.5;1
196005;48.4;1
196006;50.8;1
196007;125;1
196008;111.8;1
196009;73.4;1
196010;97.1;1
196011;72.3;1
196012;65.1;1
196101;83.9;1
196102;71.4;1
196103;10.5;1
196104;61.3;1
196105;75.4;1
196106;52.6;1
196107;69.5;1
196108;28.2;1
196109;35.9;1
196110;65.8;1
196111;67.7;1
196112;60.9;1
196201;82.3;1
196202;41.2;1
196203;66.8;1
196204;34.2;1
196205;72.3;1
196206;2.2;1
196207;88;1
196208;33.7;1
196209;39.7;1
196210;24.8;1
196211;31;1
196212;56.1;1
196301;24.4;1
196302;17.2;1
196303;58.7;1
196304;19.2;1
196305;64.3;1
196306;136.8;1
196307;27.8;1
196308;120.2;1
196309;45.4;1
196310;43.1;1
196311;119.4;1
196312;8.5;1
196401;19.2;1
196402;29.4;1
196403;58.6;1
196404;30.4;1
196405;56;1
196406;30.3;1
196407;9.1;1
196408;27.4;1
196409;69.2;1
196410;49.4;1
196411;72.6;1
196412;31.6;1
196501;91.8;1
196502;8.2;1
196503;73.7;1
196504;73.5;1
196505;41.9;1
196506;96.4;1
196507;67.2;1
196508;58.4;1
196509;123.6;1
196510;17.9;1
196511;83.8;1
196512;111.5;1
196601;54.2;1
196602;82.4;1
196603;33.5;1
196604;72.8;1
196605;51.2;1
196606;83.9;1
196607;103.4;1
196608;63.5;1
196609;35.3;1
196610;66.2;1
196611;45;1
196612;119.2;1
196701;54;1
196702;37.8;1
196703;34.9;1
196704;25.6;1
196705;57.5;1
196706;35.4;1
196707;43.4;1
196708;60.9;1
196709;149.6;1
196710;112;1
196711;53.2;1
196712;88.2;1
196801;91.4;1
196802;36.4;1
196803;31.2;1
196804;44;1
196805;79.2;1
196806;53.2;1
196807;77;1
196808;141.5;1
196809;95.4;1
196810;38.1;1
196811;32.5;1
196812;48;1
196901;42.7;1
196902;42.5;1
196903;64.3;1
196904;70.4;1
196905;88.1;1
196906;110.4;1
196907;16.4;1
196908;64.1;1
196909;12;1
196910;6.2;1
196911;119.9;1
196912;49.7;1
197001;73.9;1
197002;150.7;1
197003;79.6;1
197004;69.5;1
197005;57.5;1
197006;84.3;1
197007;65;1
197008;79.2;1
197009;57.8;1
197010;64.3;1
197011;54.5;1
197012;41.2;1
197101;54;1
197102;29.2;1
197103;38.5;1
197104;19.7;1
197105;85.9;1
197106;87.5;1
197107;26.6;1
197108;67;1
197109;23.5;1
197110;22.6;1
197111;75.1;1
197112;9.6;1
197201;41.7;1
197202;49.3;1
197203;34.3;1
197204;37.1;1
197205;57.5;1
197206;42.4;1
197207;134.4;1
197208;116.7;1
197209;44.9;1
197210;21.7;1
197211;100.4;1
197212;18.4;1
197301;48.3;1
197302;61.6;1
197303;13.4;1
197304;25.7;1
197305;75.7;1
197306;31.3;1
197307;77.8;1
197308;36;1
197309;74.8;1
197310;38.3;1
197311;52.8;1
197312;112.8;1
197401;38.2;1
197402;40.1;1
197403;67;1
197404;23.6;1
197405;38.7;1
197406;63;1
197407;37.8;1
197408;38.1;1
197409;95.8;1
197410;155.4;1
197411;70.7;1
197412;79.6;1
197501;77;1
197502;11;1
197503;61.4;1
197504;49.9;1
197505;61.4;1
197506;50.4;1
197507;55.7;1
197508;77.7;1
197509;95.9;1
197510;50.5;1
197511;72;1
197512;34.9;1
197601;27.1;1
197602;44.5;1
197603;13.8;1
197604;27.8;1
197605;12.8;1
197606;5.2;1
197607;96.8;1
197608;5.1;1
197609;93.5;1
197610;75.7;1
197611;71;1
197612;53.2;1
197701;71.7;1
197702;131.7;1
197703;46.8;1
197704;40.4;1
197705;73.4;1
197706;85.5;1
197707;108.5;1
197708;119;1
197709;14.7;1
197710;58.9;1
197711;107.7;1
197712;61.6;1
197801;90.4;1
197802;68.1;1
197803;145.9;1
197804;39.4;1
197805;118.4;1
197806;51.2;1
197807;84.5;1
197808;18.6;1
197809;41.2;1
197810;26.9;1
197811;15.2;1
197812;121.7;1
197901;32.1;1
197902;122.7;1
197903;108.1;1
197904;63.5;1
197905;100;1
197906;43.4;1
197907;12.1;1
197908;115.3;1
197909;42.4;1
197910;82.1;1
197911;66.3;1
197912;116.2;1
198001;67.1;1
198002;70.4;1
198003;74.3;1
198004;24.6;1
198005;53.6;1
198006;133.9;1
198007;94.6;1
198008;38.1;1
198009;28.9;1
198010;73.1;1
198011;60.5;1
198012;86;1
198101;80.1;1
198102;52.8;1
198103;105.5;1
198104;30.2;1
198105;114.7;1
198106;106.8;1
198107;63.8;1
198108;58.9;1
198109;85.6;1
198110;121.4;1
198111;44.6;1
198112;135.4;1
198201;98.9;1
198202;15.3;1
198203;85.9;1
198204;14.5;1
198205;45.2;1
198206;77.2;1
198207;40.5;1
198208;45.4;1
198209;66.8;1
198210;94.7;1
198211;67.2;1
198212;137.9;1
198301;80.4;1
198302;60;1
198303;60.6;1
198304;151.7;1
198305;142.3;1
198306;22.9;1
198307;20.4;1
198308;32.5;1
198309;66.4;1
198310;42.7;1
198311;46.2;1
198312;35.9;1
198401;142.1;1
198402;63.8;1
198403;35.2;1
198404;30.6;1
198405;80.5;1
198406;62.2;1
198407;39.8;1
198408;21.6;1
198409;123.8;1
198410;135.1;1
198411;77.3;1
