# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 71029001
# NOM_USUEL= BELLEVESVRE
# LATITUDE (°) = 46.841
# LONGITUDE(°)= 5.366
# ALTITUDE (m) = 190
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2020-12-31
# NUM_SERIE= MRR171029001
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195101 201412
# Date(s) de rupture(s) d'homogénéité : 196012
#     Periode homogénéisée  195101 201412  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;78.5;1
195102;91.8;1
195103;81.8;1
195104;45.1;1
195105;78.5;1
195106;159.8;1
195107;64.8;1
195108;164;1
195109;51.4;1
195110;59.3;1
195111;240.9;1
195112;53.6;1
195201;88.4;1
195202;53.3;1
195203;129.9;1
195204;82.6;1
195205;79.6;1
195206;42.7;1
195207;1.8;1
195208;108.5;1
195209;131.8;1
195210;128;1
195211;105.2;1
195212;100.4;1
195301;14.7;1
195302;23.6;1
195303;12.7;1
195304;51.1;1
195305;34;1
195306;194.4;1
195307;118.9;1
195308;46;1
195309;65.8;1
195310;59.8;1
195311;23.5;1
195312;23;1
195401;51.6;1
195402;49.1;1
195403;54.3;1
195404;46.5;1
195405;52.5;1
195406;16.3;1
195407;43.6;1
195408;200.6;1
195409;106.3;1
195410;62.8;1
195411;72.7;1
195412;88.9;1
195501;153.8;1
195502;107.2;1
195503;34.7;1
195504;0;1
195505;90.8;1
195506;120.8;1
195507;57.4;1
195508;75.4;1
195509;44.8;1
195510;45.9;1
195511;52.3;1
195512;106;1
195601;93.5;1
195602;9;1
195603;54.3;1
195604;91.8;1
195605;93.8;1
195606;92.5;1
195607;139.6;1
195608;163.9;1
195609;164.6;1
195610;128.8;1
195611;48.6;1
195612;42.3;1
195701;40.8;1
195702;160.7;1
195703;24;1
195704;12.2;1
195705;71.4;1
195706;128.5;1
195707;75.6;1
195708;54.6;1
195709;76.5;1
195710;26.9;1
195711;30.9;1
195712;63.2;1
195801;125.5;1
195802;79.1;1
195803;56;1
195804;43.6;1
195805;83.3;1
195806;103.3;1
195807;61.1;1
195808;179.3;1
195809;134.2;1
195810;94.1;1
195811;41.6;1
195812;107.1;1
195901;73.5;1
195902;2.1;1
195903;103.8;1
195904;115;1
195905;16;1
195906;45.1;1
195907;15.7;1
195908;51.8;1
195909;38.8;1
195910;64.7;1
195911;77.8;1
