# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 20050001
# NOM_USUEL= CALVI
# LATITUDE (°) = 42.53
# LONGITUDE(°)= 8.792
# ALTITUDE (m) = 57
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = ouvert
# NUM_SERIE= MRR020050001
# Amplitude minimale détectable de la série = 0.16
# Période homogénéisée : 196101 201512
# Date(s) de rupture(s) d'homogénéité : 200512
#     Periode homogénéisée  196101 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196101;105;1
196102;0.6;1
196103;0;1
196104;82.5;1
196105;51.2;1
196106;2.5;1
196107;4.3;1
196108;0;1
196109;0.7;1
196110;132.4;1
196111;116.7;1
196112;52.9;1
196201;22.9;1
196202;66.5;1
196203;34.1;1
196204;19.7;1
196205;39.4;1
196206;2.1;1
196207;0;1
196208;0;1
196209;65.1;1
196210;67.5;1
196211;149.9;1
196212;60.1;1
196301;115.6;1
196302;95.8;1
196303;63.2;1
196304;54.4;1
196305;34.5;1
196306;34.6;1
196307;13.4;1
196308;51;1
196309;73.5;1
196310;28.6;1
196311;133.8;1
196312;101;1
196401;0.2;1
196402;65.9;1
196403;146.4;1
196404;29.5;1
196405;2.2;1
196406;5.8;1
196407;0;1
196408;22.5;1
196409;9.4;1
196410;182.3;1
196411;40.4;1
196412;133.3;1
196501;89.3;1
196502;30.6;1
196503;57.1;1
196504;29.8;1
196505;18.6;1
196506;12.1;1
196507;0;1
196508;49.2;1
196509;138.4;1
196510;40.7;1
196511;97;1
196512;56.9;1
196601;84.3;1
196602;140.3;1
196603;19;1
196604;18.8;1
196605;16.5;1
196606;0.3;1
196607;32.5;1
196608;39.8;1
196609;30.2;1
196610;157.1;1
196611;105;1
196612;119.9;1
196701;50.6;1
196702;34.4;1
196703;10.7;1
196704;8.3;1
196705;10.9;1
196706;82.2;1
196707;0.3;1
196708;1;1
196709;46;1
196710;20.9;1
196711;78;1
196712;61.8;1
196801;39.3;1
196802;73.2;1
196803;12.7;1
196804;22.7;1
196805;37.7;1
196806;33.3;1
196807;9.3;1
196808;24.9;1
196809;23.5;1
196810;43.6;1
196811;140;1
196812;136.8;1
196901;85.7;1
196902;150.9;1
196903;105;1
196904;12.4;1
196905;39.2;1
196906;3.8;1
196907;10.9;1
196908;1;1
196909;58.8;1
196910;0.5;1
196911;122;1
196912;78.4;1
197001;44;1
197002;93.2;1
197003;150.5;1
197004;12.6;1
197005;10.9;1
197006;8.7;1
197007;0;1
197008;1.5;1
197009;0.3;1
197010;7.1;1
197011;60.4;1
197012;95.7;1
197101;118.5;1
197102;40.6;1
197103;58.7;1
197104;14.9;1
197105;42.6;1
197106;26.9;1
197107;5;1
197108;0;1
197109;38.2;1
197110;3;1
197111;204.9;1
197112;22.4;1
197201;70.5;1
197202;66.5;1
197203;54.7;1
197204;80.7;1
197205;32.8;1
197206;19;1
197207;0;1
197208;52.3;1
197209;59;1
197210;53.9;1
197211;21;1
197212;7.6;1
197301;115.5;1
197302;31.4;1
197303;103.5;1
197304;30;1
197305;12;1
197306;29.2;1
197307;7.7;1
197308;39.3;1
197309;188.3;1
197310;24.5;1
197311;58.5;1
197312;42.2;1
197401;53.2;1
197402;51.1;1
197403;31.3;1
197404;89;1
197405;40.5;1
197406;0.4;1
197407;14.3;1
197408;6.8;1
197409;52.9;1
197410;75.1;1
197411;66.4;1
197412;7.5;1
197501;12.4;1
197502;58.5;1
197503;147.1;1
197504;95.8;1
197505;30.5;1
197506;16;1
197507;0;1
197508;96.7;1
197509;28.8;1
197510;87.7;1
197511;90.6;1
197512;8.4;1
197601;21;1
197602;112.9;1
197603;31;1
197604;68.3;1
197605;52.7;1
197606;18.8;1
197607;71.6;1
197608;12.9;1
197609;79.2;1
197610;112.4;1
197611;136.6;1
197612;42.5;1
197701;115;1
197702;56.1;1
197703;47.3;1
197704;16.8;1
197705;33.4;1
197706;3.2;1
197707;18.4;1
197708;72.9;1
197709;49.5;1
197710;80.2;1
197711;30.2;1
197712;61.2;1
197801;86.7;1
197802;87.7;1
197803;76;1
197804;185.5;1
197805;28.1;1
197806;111.7;1
197807;7.7;1
197808;1.9;1
197809;4.4;1
197810;77.9;1
197811;42.6;1
197812;115.2;1
197901;98.3;1
197902;75.5;1
197903;69.4;1
197904;56.2;1
197905;5;1
197906;10;1
197907;2.8;1
197908;19.9;1
197909;48.6;1
197910;72;1
197911;79.4;1
197912;98.5;1
198001;90.6;1
198002;19.6;1
198003;103;1
198004;39.5;1
198005;98.2;1
198006;2.6;1
198007;6.9;1
198008;7.8;1
198009;2.5;1
198010;144.5;1
198011;181.2;1
198012;63.5;1
198101;40.8;1
198102;51.1;1
198103;46.1;1
198104;26.6;1
198105;50.4;1
198106;63.7;1
198107;10.9;1
198108;0.3;1
198109;72.8;1
198110;62.9;1
198111;0;1
198112;112.7;1
198201;62.2;1
198202;54.9;1
198203;76.4;1
198204;114.4;1
198205;52.8;1
198206;17.6;1
198207;0;1
198208;1.7;1
198209;56.3;1
198210;128.4;1
198211;112.8;1
198212;94.4;1
198301;35.9;1
198302;66.5;1
198303;65.6;1
198304;78.2;1
198305;12.3;1
198306;55.9;1
198307;13.2;1
198308;65.2;1
198309;28;1
198310;9.9;1
198311;20.3;1
198312;97.4;1
198401;99.6;1
198402;45.8;1
198403;37.7;1
198404;66.3;1
198405;135.5;1
198406;27.5;1
198407;0.2;1
198408;46.8;1
198409;67.8;1
198410;38.2;1
198411;110.7;1
198412;33.2;1
198501;103.6;1
198502;17.1;1
198503;47;1
198504;3;1
198505;52.3;1
198506;9.6;1
198507;0.2;1
198508;6.4;1
198509;1;1
198510;32;1
198511;70.2;1
198512;32;1
198601;124.2;1
198602;73.8;1
198603;45.2;1
198604;51.9;1
198605;16.8;1
198606;20.6;1
198607;33.9;1
198608;1.5;1
198609;64.3;1
198610;13.6;1
198611;48.8;1
198612;42.6;1
198701;126.3;1
198702;53.6;1
198703;41.8;1
198704;23.8;1
198705;10.1;1
198706;5;1
198707;0.3;1
198708;16.8;1
198709;5.1;1
198710;105.5;1
198711;155.2;1
198712;68.3;1
198801;42.3;1
198802;29.9;1
198803;49;1
198804;70;1
198805;58;1
198806;58.3;1
198807;0.1;1
198808;0.2;1
198809;28.2;1
198810;70.2;1
198811;24;1
198812;28.4;1
198901;8.4;1
198902;49.8;1
198903;19.1;1
198904;139.5;1
198905;5.5;1
198906;2.9;1
198907;32.8;1
198908;5.2;1
198909;46.8;1
198910;56.1;1
198911;67.5;1
198912;29.9;1
199001;13;1
199002;11.8;1
199003;66.5;1
199004;114.1;1
199005;5;1
199006;8.7;1
199007;7.1;1
199008;14.5;1
199009;0.3;1
199010;109.4;1
199011;92.3;1
199012;82.5;1
199101;6.2;1
199102;58.9;1
199103;19.3;1
199104;48.5;1
199105;45.8;1
199106;32.5;1
199107;3.3;1
199108;0;1
199109;82;1
199110;109.5;1
199111;135.6;1
199112;1.2;1
199201;7.6;1
199202;20.2;1
199203;61.8;1
199204;74.5;1
199205;16.7;1
199206;57.1;1
199207;6.4;1
199208;45.2;1
199209;48.5;1
199210;156.8;1
199211;61.4;1
199212;114.1;1
199301;0;1
199302;6.1;1
199303;63.5;1
199304;104.3;1
199305;20.3;1
199306;6.5;1
199307;3.1;1
199308;11.5;1
199309;65.1;1
199310;113.2;1
199311;84.6;1
199312;118.6;1
199401;53.7;1
199402;35.4;1
199403;0;1
199404;93.1;1
199405;47.7;1
199406;88.1;1
199407;0;1
199408;0.3;1
199409;78.5;1
199410;39.9;1
199411;60.4;1
199412;55.9;1
199501;15.1;1
199502;25.5;1
199503;46.2;1
199504;52.5;1
199505;98.7;1
199506;7.9;1
199507;5.5;1
199508;51;1
199509;59.4;1
199510;2.6;1
199511;89.8;1
199512;122.8;1
199601;50.8;1
199602;105.5;1
199603;22.4;1
199604;61.6;1
199605;15.2;1
199606;30.3;1
199607;4.1;1
199608;19;1
199609;159.4;1
199610;63.3;1
199611;98.1;1
199612;73.6;1
199701;45.2;1
199702;9.4;1
199703;9.9;1
199704;14.4;1
199705;25.3;1
199706;106.1;1
199707;7.5;1
199708;22.4;1
199709;2.4;1
199710;37.6;1
199711;126.4;1
199712;47;1
199801;28.1;1
199802;25.7;1
199803;53.2;1
199804;94.8;1
