# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 28061001
# NOM_USUEL= BROU
# LATITUDE (°) = 48.205
# LONGITUDE(°)= 1.189
# ALTITUDE (m) = 154
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2021-12-31
# NUM_SERIE= MRR128061001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195101 202012
# Date(s) de rupture(s) d'homogénéité : 196912 198912
#     Periode homogénéisée  195101 202012  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;47.9;1
195102;60.8;1
195103;67.9;1
195104;52.6;1
195105;109.7;1
195106;101.3;1
195107;109.7;1
195108;115.2;1
195109;34;1
195110;22;1
195111;73.4;1
195112;64.6;1
195201;74.8;1
195202;44.7;1
195203;91.8;1
195204;3.3;1
195205;40;1
195206;27.7;1
195207;13.5;1
195208;40.6;1
195209;124.9;1
195210;63.4;1
195211;91.1;1
195212;97;1
195301;13.7;1
195302;22.2;1
195303;0.2;1
195304;46.6;1
195305;38.1;1
195306;84.4;1
195307;73.2;1
195308;10.3;1
195309;59.7;1
195310;49.1;1
195311;24.4;1
195312;10.2;1
195401;27;1
195402;43.2;1
195403;65.9;1
195404;4.3;1
195405;24.3;1
195406;51.9;1
195407;27.6;1
195408;41.1;1
195409;68.2;1
195410;30.4;1
195411;55.4;1
195412;61.2;1
195501;117.7;1
195502;61.6;1
195503;28.3;1
195504;2.7;1
195505;51.4;1
195506;36.7;1
195507;34.5;1
195508;44.1;1
195509;25.7;1
195510;50.1;1
195511;28.9;1
195512;68.5;1
195601;73.6;1
195602;5.4;1
195603;17.8;1
195604;47.7;1
195605;70.4;1
195606;42.6;1
195607;54.8;1
195608;80.2;1
195609;22.4;1
195610;56.7;1
195611;26.8;1
195612;40.2;1
195701;20.6;1
195702;96.3;1
195703;35.3;1
195704;37;1
195705;20.3;1
195706;84.1;1
195707;103.8;1
195708;47.6;1
195709;95.3;1
195710;20.7;1
195711;30.9;1
195712;40.6;1
195801;85.7;1
