# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 56105001
# NOM_USUEL= LANVENEGEN
# LATITUDE (°) = 47.991
# LONGITUDE(°)= -3.502
# ALTITUDE (m) = 97
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2020-12-31
# NUM_SERIE= MRR156105001
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 195101 201712
# Date(s) de rupture(s) d'homogénéité : 197203 199006 201512
#     Periode homogénéisée  195101 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;126.5;1
195102;228.3;1
195103;125.5;1
195104;55.7;1
195105;133.3;1
195106;60.8;1
195107;57.9;1
195108;215.8;1
195109;196.3;1
195110;67.3;1
195111;322.4;1
195112;128.6;1
195201;81.3;1
195202;45.6;1
195203;91.3;1
195204;75.6;1
195205;85.1;1
195206;31.4;1
195207;31;1
195208;90.9;1
195209;164.6;1
195210;113.2;1
195211;109;1
195212;145.1;1
195301;17.5;1
195302;48.7;1
195303;15.9;1
195304;122.6;1
195305;90.1;1
195306;67.8;1
195307;77.1;1
195308;42.2;1
195309;105.2;1
195310;99.5;1
195311;41.5;1
195312;19.9;1
195401;62.6;1
195402;95.6;1
195403;112;1
195404;12;1
195405;35.3;1
195406;72.4;1
195407;68;1
195408;85.5;1
195409;93.9;1
195410;119.1;1
195411;194.4;1
195412;92.9;1
195501;182;1
195502;130;1
195503;77.3;1
195504;8.4;1
195505;78.6;1
195506;82;1
195507;5.8;1
195508;0;1
195509;35.6;1
195510;44.9;1
195511;81.7;1
195512;169.5;1
195601;142.4;1
195602;4.8;1
195603;68.6;1
195604;70.1;1
195605;29.3;1
195606;57.6;1
195607;47.7;1
195608;113.9;1
195609;136.1;1
195610;49.7;1
195611;46.6;1
195612;175.1;1
195701;89.5;1
195702;233;1
195703;36.2;1
195704;38.2;1
195705;14.8;1
195706;40.9;1
195707;34.5;1
195708;85.6;1
195709;90.6;1
195710;21.4;1
195711;60.5;1
195712;118.2;1
195801;130.9;1
195802;119.7;1
195803;129.7;1
195804;19.2;1
195805;92.4;1
195806;138.2;1
195807;81.9;1
195808;140;1
195809;68.8;1
195810;67.8;1
195811;29.9;1
195812;131.2;1
195901;139.8;1
195902;3.4;1
195903;72.4;1
195904;157.5;1
195905;35;1
195906;16.7;1
195907;8.1;1
195908;31.9;1
195909;16.8;1
195910;200.4;1
195911;152.4;1
195912;210.4;1
196001;131.5;1
196002;104.3;1
196003;127.5;1
196004;26.1;1
196005;51.6;1
196006;67.9;1
196007;59.6;1
196008;200.2;1
196009;72;1
196010;222.7;1
196011;166;1
196012;90.2;1
196101;147.1;1
196102;64.7;1
196103;2.8;1
196104;115.4;1
196105;62.9;1
196106;25.2;1
196107;50.5;1
196108;14;1
196109;46.6;1
196110;184.1;1
196111;74.7;1
196112;205.6;1
196201;151.9;1
196202;22.3;1
196203;94.7;1
196204;67.4;1
196205;54.2;1
196206;6.4;1
196207;36.5;1
196208;61.4;1
196209;113.8;1
196210;41.7;1
196211;127.5;1
196212;68.9;1
196301;66.9;1
196302;94.3;1
196303;133.3;1
196304;116.9;1
196305;66.6;1
196306;62.9;1
196307;18.8;1
196308;81.8;1
196309;28;1
196310;71;1
196311;260.2;1
196312;84.4;1
196401;27.8;1
196402;72.3;1
196403;169.3;1
196404;71.2;1
196405;96.3;1
196406;47.7;1
196407;12.1;1
196408;24.4;1
196409;57.4;1
196410;100.5;1
196411;39.3;1
196412;180.2;1
196501;128.4;1
196502;3.3;1
196503;124.7;1
196504;21.1;1
196505;60.9;1
196506;70;1
196507;53.7;1
196508;49.3;1
196509;84.9;1
196510;27.3;1
196511;153.9;1
196512;221.6;1
196601;138.4;1
196602;181.4;1
196603;23;1
196604;198.5;1
196605;78.8;1
196606;76.7;1
196607;23.4;1
196608;74.5;1
196609;35.6;1
196610;207.2;1
196611;63.7;1
196612;94.9;1
196701;108.3;1
196702;144.9;1
196703;77.4;1
196704;14.4;1
196705;153.6;1
196706;21.5;1
196707;14.6;1
196708;49.4;1
196709;187.2;1
196710;132.9;1
196711;72;1
196712;82.7;1
196801;72.2;1
196802;79.8;1
196803;24.1;1
196804;95.6;1
196805;68.7;1
196806;90;1
196807;81.6;1
196808;31.5;1
196809;126;1
196810;113.8;1
196811;37.6;1
196812;102.3;1
196901;139.6;1
196902;78.7;1
196903;92.6;1
196904;41.6;1
196905;110.8;1
196906;86.7;1
196907;30.3;1
196908;18.8;1
196909;89.4;1
196910;3.2;1
196911;165;1
196912;112;1
197001;183.4;1
197002;113.1;1
197003;72.5;1
197004;37.9;1
197005;5.7;1
197006;90.2;1
197007;37.1;1
197008;95.1;1
197009;55.6;1
197010;21.9;1
197011;133.4;1
197012;29;1
197101;166;1
197102;55.7;1
197103;64.8;1
197104;52.1;1
197105;39.3;1
197106;28.9;1
197107;29.3;1
197108;61;1
197109;32;1
197110;18.3;1
197111;101.8;1
197112;41.7;1
197201;145.6;1
197202;129.9;1
197203;74.3;1
197204;112.4;1
197205;103.7;1
197206;94;1
197207;43.6;1
197208;36.8;1
197209;84.8;1
197210;72.3;1
197211;129.8;1
197212;133;1
197301;64.7;1
197302;43.8;1
197303;11.4;1
197304;46.5;1
197305;108.9;1
197306;13;1
197307;87.4;1
197308;19.4;1
197309;92.2;1
197310;70.3;1
197311;62.1;1
197312;44;1
197401;188.8;1
197402;247.1;1
197403;73.6;1
197404;35.9;1
197405;87.8;1
197406;38;1
197407;25.4;1
197408;53.6;1
197409;129.5;1
197410;65;1
197411;169.1;1
197412;58.3;1
197501;150.3;1
197502;34.2;1
197503;99.9;1
197504;66.2;1
197505;22.4;1
197506;13.1;1
197507;46.1;1
197508;47.4;1
197509;106.7;1
197510;40.6;1
197511;92.5;1
197512;21.8;1
197601;52;1
197602;53.5;1
197603;53;1
197604;7.4;1
197605;15.1;1
197606;0;1
197607;27.1;1
197608;16.4;1
197609;117.9;1
197610;218.3;1
197611;131;1
197612;151.4;1
197701;137.9;1
197702;243.2;1
197703;113.4;1
197704;55.8;1
197705;64.9;1
197706;53.7;1
197707;28.7;1
197708;66.3;1
197709;28.9;1
197710;44.4;1
197711;76.8;1
197712;156;1
197801;180.9;1
197802;131.5;1
197803;184.8;1
197804;57.8;1
197805;13.8;1
197806;32.1;1
197807;54.4;1
197808;26.5;1
197809;26.8;1
197810;2.6;1
197811;21.9;1
197812;240.7;1
197901;96;1
197902;140.9;1
197903;129.2;1
197904;66.8;1
197905;116.4;1
197906;9.1;1
197907;9.6;1
197908;46.8;1
197909;9.5;1
197910;88.8;1
197911;69.9;1
197912;261.8;1
198001;136.4;1
198002;75.5;1
198003;130.7;1
198004;6;1
198005;38.7;1
198006;131.8;1
198007;57.5;1
198008;48.1;1
198009;40.5;1
198010;137.2;1
198011;88.3;1
198012;86.3;1
198101;56.4;1
198102;74.2;1
198103;133.1;1
198104;31.6;1
198105;175.5;1
198106;26.3;1
198107;21;1
198108;6.2;1
198109;138.2;1
198110;153;1
198111;20.1;1
198112;209.5;1
198201;134.8;1
198202;71.5;1
198203;84.6;1
198204;25.8;1
198205;48.9;1
198206;102.9;1
198207;71.8;1
198208;48.7;1
198209;67.4;1
198210;213.7;1
198211;178.8;1
198212;172.2;1
198301;67.2;1
198302;87;1
198303;49.2;1
198304;131.1;1
198305;147.8;1
198306;16.4;1
198307;8.5;1
198308;49.6;1
198309;114.1;1
198310;50.9;1
198311;61.4;1
198312;120.9;1
198401;241;1
198402;58.1;1
198403;131.2;1
198404;5.8;1
198405;90.2;1
198406;12.8;1
198407;40.1;1
198408;50.7;1
198409;71.4;1
198410;96.9;1
198411;225.4;1
198412;168.8;1
198501;140.2;1
198502;68.2;1
198503;147.2;1
198504;68.4;1
198505;25.4;1
198506;56.2;1
198507;57.3;1
198508;82.3;1
198509;25.1;1
198510;34.1;1
198511;89.3;1
198512;141.2;1
198601;186.5;1
198602;69.3;1
198603;145.7;1
198604;75.8;1
198605;118.2;1
198606;76.9;1
198607;28.8;1
198608;65.9;1
198609;101.3;1
198610;86.8;1
198611;130.2;1
198612;162.6;1
198701;30.4;1
198702;72.1;1
198703;107.8;1
198704;97.5;1
198705;53.1;1
198706;83.8;1
198707;50.1;1
198708;16.2;1
198709;66;1
198710;207.9;1
198711;80.2;1
198712;100.9;1
198801;273.2;1
198802;187.2;1
198803;109.9;1
198804;82.9;1
198805;69.5;1
198806;15.2;1
198807;84.4;1
198808;54.9;1
198809;61.7;1
198810;91;1
