# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 71310002
# NOM_USUEL= MONTCHANIN
# LATITUDE (°) = 46.728
# LONGITUDE(°)= 4.462
# ALTITUDE (m) = 300
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2015-02-01
# NUM_SERIE= MRR071310002
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195101 201412
# Date(s) de rupture(s) d'homogénéité : 195612
#     Periode homogénéisée  195101 201412  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;63.1;1
195102;65.4;1
195103;59.3;1
195104;43.7;1
195105;131.6;1
195106;113.6;1
195107;67.2;1
195108;123.1;1
195109;71.5;1
195110;37;1
195111;200.2;1
195112;34.5;1
195201;102.5;1
195202;80.9;1
195203;70.1;1
195204;55.6;1
195205;47.3;1
195206;66.4;1
195207;4.2;1
195208;80.7;1
195209;88.3;1
195210;150;1
195211;115.9;1
195212;118.1;1
195301;5.1;1
195302;39.9;1
195303;1.1;1
195304;67.5;1
195305;23.5;1
195306;159.3;1
195307;101.6;1
195308;27.4;1
195309;73.8;1
195310;68.2;1
195311;14.6;1
195312;48.5;1
195401;44.1;1
195402;66.5;1
195403;58.4;1
195404;55.5;1
195405;39.9;1
195406;51.5;1
195407;38.8;1
195408;172.4;1
195409;86.2;1
195410;81.8;1
195411;63.1;1
195412;80.2;1
195501;159.9;1
195502;149;1
195503;41.2;1
195504;1.4;1
195505;87.2;1
195506;107.3;1
195507;51.9;1
195508;46;1
195509;64.1;1
195510;17.6;1
195511;33.1;1
195512;147;1
195601;74.8;1
195602;13.2;1
195603;63.2;1
195604;86.2;1
195605;83;1
195606;79.1;1
195607;116.9;1
195608;127.6;1
195609;172.5;1
195610;71.3;1
195611;39.8;1
195612;34.4;1
195701;38.3;1
195702;177.1;1
195703;31.7;1
195704;27.6;1
195705;20.9;1
195706;120.3;1
195707;62.8;1
195708;46.2;1
195709;69.1;1
195710;20.2;1
195711;35.7;1
195712;74.8;1
195801;115.3;1
195802;101;1
195803;83;1
195804;41.3;1
195805;55.9;1
195806;97.3;1
195807;56.4;1
195808;59;1
195809;118.1;1
195810;76.3;1
195811;36.7;1
195812;100.1;1
195901;98.5;1
195902;0.6;1
195903;64.3;1
195904;100.6;1
195905;22;1
195906;82.6;1
195907;18.5;1
195908;58.5;1
195909;30.1;1
195910;66;1
195911;67.7;1
195912;123.1;1
196001;66.1;1
196002;49.2;1
196003;104.2;1
196004;17.9;1
196005;62.8;1
196006;54.1;1
196007;55.1;1
196008;152;1
196009;95.9;1
196010;152.3;1
196011;82.2;1
196012;58.1;1
196101;88.7;1
196102;73.2;1
196103;8.4;1
196104;64.6;1
196105;101.5;1
196106;39.8;1
196107;76.1;1
196108;56.3;1
196109;23.9;1
196110;106.4;1
196111;65.7;1
196112;88.7;1
196201;122.2;1
196202;46;1
196203;135.1;1
196204;101.9;1
196205;77.2;1
196206;32.1;1
196207;56.9;1
196208;18.7;1
196209;87.6;1
196210;37;1
196211;47.8;1
196212;84.5;1
196301;48.7;1
196302;44.2;1
196303;89;1
196304;49;1
196305;51.1;1
196306;55.7;1
196307;28.8;1
196308;99.8;1
196309;24.5;1
196310;71.1;1
196311;139.3;1
196312;6;1
196401;30.9;1
196402;26;1
196403;55.7;1
196404;60.4;1
196405;66.3;1
196406;38;1
196407;2.3;1
196408;59.8;1
196409;51.7;1
196410;71;1
196411;25.7;1
196412;43.2;1
196501;86.6;1
196502;9.9;1
196503;86.6;1
196504;75.9;1
196505;106;1
196506;76.6;1
196507;91.6;1
196508;59.3;1
196509;349.3;1
196510;39.4;1
196511;153;1
196512;165.2;1
196601;81.3;1
196602;124.4;1
196603;50.5;1
196604;97.2;1
196605;48.7;1
196606;70.4;1
196607;33.2;1
196608;82.2;1
196609;25.3;1
196610;88.4;1
196611;89.9;1
196612;109.7;1
196701;44.1;1
196702;55.5;1
196703;58.9;1
196704;21.3;1
196705;90.5;1
196706;74.1;1
196707;44.7;1
196708;94.4;1
196709;93.3;1
196710;58.7;1
196711;103.9;1
196712;65.2;1
196801;108.1;1
196802;66.8;1
196803;29.9;1
196804;59.2;1
196805;122.8;1
196806;74.5;1
196807;59.4;1
196808;101.7;1
196809;194.1;1
196810;49.4;1
196811;91.2;1
196812;106.3;1
196901;67.4;1
196902;75.7;1
196903;67.9;1
196904;98.9;1
196905;123.8;1
196906;79.1;1
196907;18.8;1
196908;93.4;1
196909;32.4;1
196910;14.2;1
196911;106.6;1
196912;48.3;1
197001;82;1
197002;116.9;1
197003;36.5;1
197004;42.7;1
197005;26.2;1
197006;66.9;1
197007;67;1
197008;66.8;1
197009;44.7;1
197010;88.1;1
197011;86.1;1
197012;48.8;1
197101;85.1;1
197102;24.5;1
197103;57.5;1
197104;45.4;1
197105;67.8;1
197106;71.6;1
197107;24.3;1
197108;121.9;1
197109;24.7;1
197110;37.3;1
197111;89.4;1
197112;19.8;1
197201;60.5;1
197202;89.3;1
197203;45.3;1
197204;41;1
197205;54.4;1
197206;51.9;1
197207;36.1;1
197208;51.4;1
197209;28.9;1
197210;66.9;1
197211;139.8;1
197212;66.7;1
197301;59.4;1
197302;47.8;1
197303;1.7;1
197304;31.5;1
197305;118.1;1
197306;27.9;1
197307;100.2;1
197308;10.5;1
197309;87.9;1
197310;74.3;1
197311;69.9;1
197312;91.4;1
197401;54.2;1
197402;55.9;1
197403;40.6;1
197404;37.6;1
197405;87.1;1
197406;68.2;1
197407;47.8;1
197408;48.4;1
197409;158.7;1
197410;134.6;1
197411;103.6;1
197412;47.9;1
197501;78.6;1
197502;9.9;1
197503;65.3;1
197504;56.1;1
197505;89.5;1
197506;75.7;1
197507;51.5;1
197508;125;1
197509;132.1;1
197510;38.8;1
197511;120.3;1
197512;37.8;1
197601;53.3;1
197602;73.8;1
197603;7.6;1
197604;31.2;1
197605;30.1;1
197606;2.5;1
197607;54;1
197608;85.1;1
197609;151.7;1
197610;92.4;1
197611;130.1;1
197612;130.8;1
197701;115.8;1
197702;162.8;1
197703;79.9;1
197704;59.3;1
197705;118.5;1
197706;146.9;1
197707;130.1;1
197708;129.2;1
197709;5.2;1
197710;99.8;1
197711;52.2;1
197712;70.1;1
197801;77.4;1
197802;96;1
197803;111.4;1
197804;50.1;1
197805;85.4;1
197806;22.3;1
197807;79.3;1
197808;33.5;1
197809;50.2;1
197810;20.6;1
197811;9.6;1
197812;113.6;1
197901;104.9;1
197902;89.3;1
197903;97.7;1
197904;74.5;1
197905;135.3;1
197906;61.3;1
197907;4.8;1
197908;87.8;1
197909;16.9;1
197910;128.8;1
197911;64.6;1
197912;113.4;1
198001;90;1
198002;79.8;1
198003;84.4;1
198004;18.5;1
198005;89.6;1
198006;77.8;1
198007;58.9;1
198008;32.2;1
198009;89.7;1
198010;59.9;1
198011;32.9;1
198012;75.3;1
198101;97.8;1
198102;36.8;1
198103;102.3;1
198104;21.7;1
198105;117;1
198106;128.9;1
198107;101;1
198108;23.1;1
198109;122.8;1
198110;117.4;1
198111;39.2;1
198112;169.4;1
198201;70.9;1
198202;18.2;1
198203;99.5;1
198204;8.6;1
198205;60.7;1
198206;101.1;1
198207;76.6;1
198208;81.8;1
198209;79.6;1
198210;77.9;1
198211;93.9;1
198212;163.6;1
198301;58.5;1
198302;75.1;1
198303;42.3;1
198304;179.8;1
198305;143.9;1
198306;48.3;1
198307;20.4;1
198308;72.4;1
198309;83.1;1
198310;71.8;1
198311;50.1;1
198312;54.7;1
198401;140;1
198402;74;1
198403;52.2;1
198404;17.5;1
198405;127.2;1
198406;109;1
198407;32.7;1
198408;89.1;1
198409;90.4;1
198410;117.5;1
198411;112.7;1
198412;69.1;1
198501;54.7;1
198502;70.1;1
198503;39;1
198504;70.4;1
198505;85.7;1
198506;94.3;1
198507;35;1
198508;23;1
198509;11;1
198510;30;1
198511;58.8;1
198512;74.9;1
198601;127.3;1
198602;57.3;1
198603;75.3;1
198604;135.6;1
198605;76.2;1
198606;24.6;1
198607;28.8;1
198608;91.8;1
198609;95.7;1
198610;66.7;1
198611;49.4;1
198612;105.5;1
198701;30.9;1
198702;52.2;1
198703;42.5;1
198704;32.9;1
198705;80.2;1
198706;173.8;1
198707;93.1;1
198708;42.2;1
198709;118.5;1
198710;104.6;1
198711;75.1;1
198712;69.2;1
198801;127.2;1
198802;83.8;1
198803;94.1;1
198804;85.8;1
198805;158.9;1
198806;56.7;1
198807;62.2;1
198808;47.1;1
198809;71.2;1
198810;91.5;1
198811;38.4;1
198812;47;1
198901;26.5;1
198902;45.1;1
198903;52;1
198904;141.3;1
198905;50.1;1
198906;29.4;1
198907;74.6;1
198908;40.3;1
198909;77.9;1
198910;32.8;1
198911;84;1
198912;68.9;1
199001;70;1
199002;134.4;1
199003;14.1;1
199004;79.8;1
