# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 80598001
# NOM_USUEL= NOUVION-EN-PONTHIEU
# LATITUDE (°) = 50.208
# LONGITUDE(°)= 1.786
# ALTITUDE (m) = 23
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2018-03-01
# NUM_SERIE= MRR080598001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195901 201612
# Date(s) de rupture(s) d'homogénéité : 197809
#     Periode homogénéisée  195901 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;86.9;1
195902;2.7;1
195903;62.6;1
195904;56.1;1
195905;56.1;1
195906;25;1
195907;42.3;1
195908;51.7;1
195909;9.3;1
195910;78.6;1
195911;81.5;1
195912;56.8;1
196001;50.8;1
196002;49;1
196003;70.7;1
196004;21.6;1
196005;104.2;1
196006;45.4;1
196007;89.3;1
196008;121.2;1
196009;80.9;1
196010;123.8;1
196011;183.9;1
196012;75.9;1
196101;75.9;1
196102;83.3;1
196103;10.1;1
196104;59.2;1
196105;31.3;1
196106;31.2;1
196107;132.5;1
196108;33.5;1
196109;93.4;1
196110;106.2;1
196111;76.4;1
196112;66.5;1
196201;98.5;1
196202;26.1;1
196203;73.5;1
196204;34;1
196205;57.4;1
196206;9;1
196207;40.2;1
196208;84.5;1
196209;86.5;1
196210;54.7;1
196211;94.3;1
196212;71.1;1
196301;7.6;1
196302;8.7;1
196303;62.1;1
196304;62.8;1
196305;66.2;1
196306;117.3;1
196307;40.7;1
196308;130.4;1
196309;81.7;1
196310;73.8;1
196311;149.6;1
196312;13.4;1
196401;27.2;1
196402;59;1
196403;78.9;1
196404;73.9;1
196405;32;1
196406;118.9;1
196407;20.9;1
196408;63.4;1
196409;81.6;1
196410;197.7;1
196411;104.2;1
196412;84.8;1
196501;111.8;1
196502;6.7;1
196503;52;1
196504;54.4;1
196505;39.3;1
196506;42.4;1
196507;105.7;1
196508;70.4;1
196509;111.2;1
196510;21.2;1
196511;77.5;1
196512;240.1;1
196601;55;1
196602;74.7;1
196603;31.6;1
196604;89.5;1
196605;57.1;1
196606;107;1
196607;113.4;1
196608;73.9;1
196609;22.2;1
196610;107.4;1
196611;127.6;1
196612;193.9;1
196701;34.5;1
196702;52.8;1
196703;51.8;1
196704;28.3;1
196705;109.2;1
196706;38.1;1
196707;45.5;1
196708;57.5;1
196709;120.3;1
196710;126.5;1
196711;69.6;1
196712;99.9;1
196801;75.6;1
196802;91.1;1
196803;30.8;1
196804;51.7;1
196805;54.7;1
196806;41;1
196807;200.1;1
196808;82.4;1
196809;108.9;1
196810;74.6;1
196811;25.9;1
196812;27;1
196901;42.3;1
196902;29.5;1
196903;58.3;1
196904;73;1
196905;92.6;1
196906;105.8;1
196907;64.4;1
196908;66.5;1
196909;11.4;1
196910;10.8;1
196911;133.6;1
196912;64.7;1
197001;87.8;1
197002;116.6;1
197003;66.2;1
197004;68.9;1
197005;67;1
197006;70.5;1
197007;52.7;1
197008;80.1;1
197009;73.8;1
197010;18.1;1
197011;99.3;1
197012;41;1
197101;50.1;1
197102;44.9;1
197103;24.1;1
197104;24.2;1
197105;41.2;1
197106;143.9;1
197107;20.1;1
197108;106.4;1
197109;27;1
197110;18.2;1
197111;124.3;1
197112;21;1
197201;59.5;1
197202;44.3;1
197203;40.2;1
197204;75.9;1
197205;82.2;1
197206;55.3;1
197207;42.3;1
197208;53.5;1
197209;43.3;1
197210;10.4;1
197211;144.9;1
197212;42.4;1
197301;28.3;1
197302;39.3;1
197303;9.6;1
197304;58.3;1
197305;62;1
197306;16.7;1
197307;54.6;1
197308;13.9;1
197309;112.5;1
197310;54.5;1
197311;38.2;1
197312;59.9;1
197401;65.3;1
197402;64.4;1
197403;53.4;1
197404;12.9;1
197405;38.9;1
197406;81.7;1
