# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 37216002
# NOM_USUEL= ST-EPAIN
# LATITUDE (°) = 47.157
# LONGITUDE(°)= 0.605
# ALTITUDE (m) = 112
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2021-09-16
# NUM_SERIE= MRR137216002
# Amplitude minimale détectable de la série = 0.09
# Période homogénéisée : 195601 201812
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195601 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195601;85.1;1
195602;0;1
195603;16.7;1
195604;47.9;1
195605;49.2;1
195606;19.5;1
195607;55.2;1
195608;87.9;1
195609;26.1;1
195610;25.8;1
195611;31.7;1
195612;41.2;1
195701;31.1;1
195702;127;1
195703;31.7;1
195704;38.9;1
195705;43.7;1
195706;87.3;1
195707;79.8;1
195708;38.8;1
195709;65.2;1
195710;24.7;1
195711;48;1
195712;49.2;1
195801;92.5;1
195802;76;1
195803;98.4;1
195804;48.4;1
195805;119;1
195806;94.3;1
195807;107.2;1
195808;72.1;1
195809;56.6;1
195810;57.5;1
195811;62;1
195812;98.4;1
195901;78.2;1
195902;1.1;1
195903;45.3;1
195904;119.7;1
195905;35.5;1
195906;51;1
195907;7.1;1
195908;55.4;1
195909;29.6;1
195910;61.1;1
195911;48.5;1
195912;103.4;1
196001;74.5;1
196002;41.9;1
196003;63;1
196004;23;1
196005;64.6;1
196006;49.5;1
196007;74.8;1
196008;88.2;1
196009;55.5;1
196010;132.5;1
196011;83.4;1
196012;115.8;1
196101;140.8;1
196102;30.7;1
196103;8.1;1
196104;61.2;1
196105;26;1
196106;51.2;1
196107;84.2;1
196108;0;1
196109;66.8;1
196110;80.1;1
196111;105.8;1
196112;100.8;1
196201;73.4;1
196202;38;1
196203;111.1;1
196204;64.1;1
196205;68.3;1
196206;28;1
196207;32.3;1
196208;13.1;1
196209;67.7;1
196210;39.1;1
196211;112.2;1
196212;52.2;1
196301;54;1
196302;38.6;1
196303;83.1;1
196304;62.4;1
196305;47.4;1
196306;101.6;1
196307;26.5;1
196308;110.3;1
196309;38.7;1
196310;41.3;1
196311;81;1
196312;14.4;1
196401;14.5;1
196402;64.1;1
196403;72.7;1
196404;86.8;1
196405;47.2;1
196406;35.6;1
196407;13.1;1
196408;12.4;1
196409;50.4;1
196410;56.6;1
196411;54.1;1
196412;50.1;1
196501;116.2;1
196502;3.5;1
196503;54.8;1
196504;55.5;1
196505;65;1
196506;36.3;1
196507;37.4;1
196508;117;1
196509;152.1;1
196510;20.2;1
196511;108.1;1
196512;144.9;1
196601;63.8;1
196602;152.4;1
196603;39.5;1
196604;95.5;1
196605;70.3;1
196606;61.3;1
196607;80;1
196608;108.5;1
196609;16.4;1
196610;147.9;1
196611;90.9;1
196612;109.3;1
196701;56.5;1
196702;53.8;1
196703;68.5;1
196704;22.8;1
196705;86.5;1
196706;19.9;1
196707;18.5;1
196708;46.3;1
196709;86.2;1
196710;102.1;1
196711;81.2;1
196712;84;1
196801;67.9;1
196802;51.3;1
196803;58.6;1
196804;83.4;1
196805;48.8;1
196806;41.4;1
196807;83.8;1
196808;123.6;1
196809;95.4;1
196810;53.8;1
196811;34.8;1
196812;62.9;1
196901;65.1;1
196902;51.4;1
196903;77;1
196904;35.5;1
196905;80.8;1
196906;56.4;1
196907;49.8;1
196908;37;1
196909;27.2;1
196910;12;1
196911;142.7;1
196912;56.3;1
197001;70.1;1
197002;137.1;1
197003;61.6;1
197004;50.4;1
197005;18.5;1
197006;81;1
197007;17.5;1
197008;73.3;1
197009;43.5;1
197010;20.4;1
197011;88.8;1
197012;15.3;1
197101;51.2;1
197102;47.1;1
197103;42.1;1
197104;44.8;1
197105;150.4;1
197106;76.6;1
197107;52.5;1
197108;80.5;1
197109;32.6;1
197110;5;1
197111;74.9;1
197112;16.4;1
197201;62.1;1
197202;65.8;1
197203;34.9;1
197204;34;1
197205;42.2;1
197206;35.3;1
197207;12.1;1
197208;29.9;1
197209;42.2;1
197210;13.9;1
197211;90.7;1
197212;39.4;1
197301;28.8;1
197302;64.1;1
197303;7.4;1
197304;36.4;1
197305;67.2;1
197306;55.4;1
197307;93.8;1
197308;40.4;1
197309;46.1;1
197310;46.2;1
197311;33.5;1
197312;76.6;1
197401;55.1;1
197402;44.8;1
197403;53.7;1
197404;21.5;1
197405;56.2;1
197406;15.2;1
197407;14.1;1
197408;35.8;1
197409;71.4;1
197410;59.2;1
197411;59.8;1
197412;37.6;1
197501;66.9;1
197502;7.5;1
197503;91.5;1
197504;41.3;1
197505;97.2;1
197506;31.8;1
197507;13.5;1
197508;15.4;1
197509;108.9;1
197510;21.3;1
197511;119;1
197512;22.7;1
197601;27.9;1
197602;67.3;1
197603;27;1
197604;17.1;1
197605;14.6;1
197606;0.4;1
197607;5.6;1
197608;17.6;1
197609;65.8;1
197610;80;1
197611;63.2;1
197612;88.3;1
197701;89;1
197702;200;1
197703;36.6;1
197704;25.1;1
197705;104.1;1
197706;53.5;1
197707;108;1
197708;18.2;1
197709;12.9;1
197710;51.6;1
197711;47.1;1
197712;63.1;1
197801;95;1
197802;73.6;1
197803;90.9;1
197804;87;1
197805;40;1
197806;26.7;1
197807;48.4;1
197808;19;1
197809;24.7;1
197810;4.1;1
197811;16;1
197812;133.6;1
197901;63.1;1
197902;125.9;1
197903;116.4;1
197904;79.8;1
197905;122.1;1
