# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 9223001
# NOM_USUEL= OUST
# LATITUDE (°) = 42.877
# LONGITUDE(°)= 1.213
# ALTITUDE (m) = 495
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2020-12-31
# NUM_SERIE= MRR009223001
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195301 202012
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195301 202012  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195301;89.5;1
195302;52.6;1
195303;6.5;1
195304;108.8;1
195305;71.1;1
195306;169;1
195307;62.3;1
195308;52;1
195309;89.6;1
195310;58.5;1
195311;50.5;1
195312;30;1
195401;132.6;1
195402;98.7;1
195403;92.5;1
195404;67.8;1
195405;128.4;1
195406;99.7;1
195407;78.3;1
195408;114;1
195409;104.6;1
195410;87;1
195411;62.7;1
195412;120.4;1
195501;183.5;1
195502;53.3;1
195503;33.9;1
195504;13.2;1
195505;49.9;1
195506;61.7;1
195507;131;1
195508;44.7;1
195509;89.6;1
195510;89.7;1
195511;31;1
195512;132.4;1
195601;154.9;1
195602;40.5;1
195603;9.5;1
195604;143;1
195605;207.4;1
195606;114.8;1
195607;52.9;1
195608;114.3;1
195609;91.7;1
195610;61.5;1
195611;106.6;1
195612;42.7;1
195701;66.3;1
195702;44.2;1
195703;53.6;1
195704;113.6;1
195705;155.8;1
195706;174.3;1
195707;34.4;1
195708;106.9;1
195709;81.4;1
195710;39.5;1
195711;100.9;1
195712;33.8;1
195801;93;1
195802;26.5;1
195803;219.1;1
195804;104.1;1
195805;70.3;1
195806;96.2;1
195807;70.7;1
195808;61.5;1
195809;52.6;1
195810;93.7;1
195811;108.4;1
195812;111.4;1
195901;53.2;1
195902;24.4;1
195903;119.5;1
195904;153.4;1
195905;70;1
195906;156;1
195907;78.9;1
195908;171.2;1
195909;54.3;1
195910;112.6;1
195911;60.9;1
195912;159.6;1
196001;45.5;1
196002;20;1
196003;79.9;1
196004;71.9;1
196005;56.9;1
196006;89.6;1
196007;130.1;1
196008;56.6;1
196009;106.2;1
196010;123.2;1
196011;84;1
196012;203.4;1
196101;146.1;1
196102;54.7;1
196103;3.5;1
196104;149.2;1
196105;101.5;1
196106;72.9;1
196107;49.3;1
196108;73.9;1
196109;75.1;1
196110;115.5;1
196111;60.3;1
196112;42.5;1
196201;81.9;1
196202;121.9;1
196203;58.5;1
196204;137.3;1
196205;144.1;1
196206;56.5;1
196207;34.9;1
196208;41.3;1
196209;70.2;1
196210;83.8;1
196211;126.4;1
196212;132.2;1
196301;64.9;1
196302;62.1;1
196303;138.4;1
196304;120.9;1
196305;78.8;1
196306;108.1;1
196307;106.3;1
196308;175.9;1
196309;127.1;1
196310;38.7;1
196311;111.9;1
196312;71.8;1
196401;36.4;1
196402;52.6;1
196403;112.8;1
196404;60.8;1
196405;85.1;1
196406;94.5;1
196407;43.5;1
196408;101.6;1
196409;94;1
196410;165.5;1
196411;41.3;1
196412;123.1;1
196501;168.7;1
196502;46.8;1
196503;67;1
196504;152.7;1
196505;110.3;1
196506;89.8;1
196507;46.9;1
196508;52.2;1
196509;138.2;1
196510;56.5;1
196511;102.1;1
196512;294.1;1
196601;69.8;1
196602;75.4;1
196603;64.8;1
196604;98.7;1
196605;201.5;1
196606;64.3;1
196607;79.8;1
196608;40.3;1
196609;31.8;1
196610;126.3;1
196611;160.2;1
196612;218.9;1
196701;65.3;1
196702;13.5;1
196703;74.6;1
196704;70.2;1
196705;49.3;1
196706;66.4;1
196707;55.1;1
196708;42;1
196709;79;1
196710;62.9;1
196711;132.3;1
196712;115.4;1
196801;182.6;1
196802;91.7;1
196803;57;1
196804;62.2;1
196805;181.3;1
196806;99.7;1
196807;36.6;1
196808;89.6;1
196809;95.3;1
196810;27.1;1
196811;175.2;1
196812;87.9;1
196901;40.1;1
196902;52.7;1
196903;114.6;1
196904;86.2;1
196905;56.1;1
196906;80.1;1
196907;125;1
196908;61.8;1
196909;105.6;1
196910;20.3;1
196911;37.7;1
196912;295.5;1
197001;84.9;1
197002;64.9;1
197003;111.9;1
197004;95.3;1
197005;116.4;1
197006;156.8;1
197007;31;1
197008;50.1;1
197009;9.7;1
197010;103;1
197011;51.1;1
197012;40.9;1
197101;120.6;1
197102;229.9;1
197103;116;1
197104;72.9;1
197105;117;1
197106;167.3;1
197107;68.2;1
197108;65.5;1
197109;60.8;1
197110;46;1
197111;154.3;1
197112;70;1
197201;173.1;1
