# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 45030002
# NOM_USUEL= BEAUNE-LA-ROL.
# LATITUDE (°) = 48.067
# LONGITUDE(°)= 2.422
# ALTITUDE (m) = 106
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2019-04-01
# NUM_SERIE= MRR145030002
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 194701 201712
# Date(s) de rupture(s) d'homogénéité : 195812 197512
#     Periode homogénéisée  194701 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
194701;45.5;1
194702;53.1;1
194703;100.2;1
194704;24.1;1
194705;49.4;1
194706;34.7;1
194707;39.3;1
194708;104.8;1
194709;8.8;1
194710;11.2;1
194711;71.9;1
194712;75.3;1
194801;96.3;1
194802;31.1;1
194803;26.8;1
194804;78.2;1
194805;45.9;1
194806;48.8;1
194807;43.9;1
194808;63.7;1
194809;33.9;1
194810;18.9;1
194811;53.4;1
194812;60.1;1
194901;18.5;1
194902;18.7;1
194903;22.3;1
194904;16.3;1
194905;37;1
194906;7.2;1
194907;3.7;1
194908;79.9;1
194909;117.3;1
194910;56.2;1
194911;74.6;1
194912;35.7;1
195001;16.5;1
195002;55.8;1
195003;26;1
195004;42.5;1
195005;56.6;1
195006;53;1
195007;33.4;1
195008;42.7;1
195009;57.6;1
195010;26.2;1
195011;81.7;1
195012;87.7;1
195101;42.2;1
195102;75.5;1
195103;65.9;1
195104;57.8;1
195105;140;1
195106;110.9;1
195107;42.6;1
195108;68.9;1
195109;52.4;1
195110;29.2;1
195111;50.9;1
195112;26;1
195201;64.4;1
195202;25.6;1
195203;41.6;1
195204;6.1;1
195205;44.2;1
195206;8.6;1
195207;0.4;1
195208;53.3;1
195209;121;1
195210;54.9;1
195211;101.4;1
195212;91.3;1
195301;21.5;1
195302;32;1
195303;1.2;1
195304;43.9;1
195305;10.3;1
195306;47.5;1
195307;101.8;1
195308;38.7;1
195309;78.1;1
195310;59.3;1
195311;20.3;1
195312;19.2;1
195401;34;1
195402;65.3;1
195403;69.5;1
195404;9.7;1
195405;25.6;1
195406;37.3;1
195407;39.5;1
195408;90.2;1
195409;46.7;1
