# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 48031002
# NOM_USUEL= BRION
# LATITUDE (°) = 44.743
# LONGITUDE(°)= 3.086
# ALTITUDE (m) = 1217
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2021-12-31
# NUM_SERIE= MRR148031002
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 195401 202112
# Date(s) de rupture(s) d'homogénéité : 195908 197512 198604
#     Periode homogénéisée  195401 202112  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195401;50;1
195402;101.6;1
195403;83.5;1
195404;69.8;1
195405;81.2;1
195406;70.5;1
195407;51.5;1
195408;163.6;1
195409;103.3;1
195410;42.6;1
195411;51.1;1
195412;72.3;1
195501;239.9;1
195502;112.2;1
195503;21.7;1
195504;6.8;1
195505;51;1
195506;91.5;1
195507;81.8;1
195508;63;1
195509;63;1
195510;79.7;1
195511;22.3;1
195512;120.7;1
195601;50.9;1
195602;9.5;1
195603;59.8;1
195604;45;1
195605;115.7;1
195606;53.9;1
195607;95.3;1
195608;120.9;1
195609;84.2;1
195610;57.3;1
195611;35;1
195612;53.7;1
195701;22.7;1
195702;154.4;1
195703;48.7;1
195704;77.4;1
195705;48.5;1
195706;112.2;1
195707;56.8;1
195708;22.5;1
195709;65.6;1
195710;21;1
195711;42.7;1
195712;90.4;1
195801;75.8;1
195802;48;1
195803;89.4;1
195804;64.6;1
195805;70.4;1
195806;92.3;1
195807;66.9;1
195808;91.5;1
195809;93.7;1
195810;47.1;1
195811;50.6;1
195812;129.9;1
195901;79.1;1
195902;6.4;1
195903;105.9;1
195904;122.4;1
195905;101.8;1
195906;67.5;1
195907;23.5;1
195908;107.3;1
195909;57.4;1
195910;79.3;1
195911;76.8;1
195912;250.7;1
196001;98.9;1
196002;102.5;1
196003;108.8;1
196004;22.7;1
196005;48.4;1
196006;35.4;1
196007;62.8;1
196008;155.7;1
196009;90.2;1
196010;176.1;1
196011;125.4;1
196012;66.5;1
196101;86.6;1
196102;45.7;1
196103;3.4;1
196104;66;1
196105;74.4;1
196106;36.6;1
196107;88.4;1
196108;116.8;1
196109;46.2;1
196110;105.3;1
196111;116.2;1
196112;78.9;1
196201;99.1;1
196202;40;1
196203;82;1
196204;87.8;1
196205;67.8;1
196206;11.2;1
196207;56.6;1
196208;29.2;1
196209;60.8;1
196210;26.7;1
196211;110.3;1
196212;100.1;1
196301;42.9;1
196302;85.2;1
196303;116.6;1
196304;81.6;1
196305;69.1;1
196306;94.6;1
196307;79.1;1
196308;126.1;1
196309;102.6;1
196310;64.7;1
196311;88.9;1
196312;32.2;1
196401;9.8;1
196402;43.2;1
196403;100.8;1
196404;109.9;1
196405;136.2;1
196406;39.1;1
196407;10;1
196408;53;1
196409;67.2;1
196410;112.7;1
196411;36.9;1
196412;41.6;1
196501;70.7;1
196502;11.1;1
196503;71.8;1
196504;79.5;1
196505;142.5;1
196506;61.5;1
196507;119;1
196508;49.7;1
196509;194.6;1
196510;86;1
196511;144.1;1
196512;186.2;1
196601;96.4;1
196602;84;1
196603;47.6;1
196604;75;1
196605;66.3;1
196606;37.1;1
196607;37.8;1
196608;52.5;1
196609;64.4;1
196610;104;1
196611;109.5;1
196612;108.1;1
196701;57.9;1
196702;90.3;1
196703;67.2;1
196704;21.2;1
196705;117.5;1
196706;48;1
196707;40.8;1
196708;90.8;1
196709;62.2;1
196710;35.2;1
196711;101.9;1
196712;65.2;1
196801;84.4;1
196802;88.2;1
196803;32.3;1
196804;101.1;1
196805;156.1;1
196806;119.5;1
196807;62.6;1
196808;122.2;1
196809;94.6;1
196810;35.7;1
196811;55.3;1
196812;105.3;1
196901;81.1;1
196902;84.9;1
196903;97.4;1
196904;129.2;1
196905;148.7;1
196906;86;1
196907;46.2;1
196908;75.6;1
196909;123.4;1
196910;24.3;1
196911;101.3;1
196912;69.6;1
197001;89.3;1
197002;138.8;1
197003;84.9;1
197004;115.4;1
197005;45;1
197006;77.2;1
197007;31.9;1
197008;83.2;1
197009;15.9;1
197010;63.1;1
197011;69.7;1
197012;55.7;1
197101;203;1
197102;38.4;1
197103;72.3;1
197104;112.2;1
197105;82;1
197106;117.6;1
197107;89.5;1
197108;53.8;1
197109;53.8;1
197110;32.2;1
197111;97.8;1
197112;25.6;1
197201;77.6;1
197202;122.6;1
197203;54.9;1
197204;52.6;1
197205;50.9;1
197206;72.5;1
197207;19.6;1
197208;87.9;1
197209;18.7;1
197210;74.2;1
197211;91.7;1
197212;48.9;1
197301;57.8;1
197302;57;1
197303;17.1;1
197304;40.3;1
197305;62.2;1
