# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 27398001
# NOM_USUEL= MENNEVAL
# LATITUDE (°) = 49.104
# LONGITUDE(°)= 0.604
# ALTITUDE (m) = 162
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2017-08-01
# NUM_SERIE= MRR027398001
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 196001 201612
# Date(s) de rupture(s) d'homogénéité : 199112
#     Periode homogénéisée  196001 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196001;33.3;1
196002;41.2;1
196003;89.7;1
196004;20.8;1
196005;28.9;1
196006;57.1;1
196007;73.8;1
196008;87.1;1
196009;92.3;1
196010;176.3;1
196011;77.4;1
196012;83.6;1
196101;67.3;1
196102;48.3;1
196103;3.8;1
196104;53.8;1
196105;14.8;1
196106;28.8;1
196107;63.6;1
196108;3.3;1
196109;79.1;1
196110;111.4;1
196111;72;1
196112;74.5;1
196201;63.4;1
196202;25.2;1
196203;55.2;1
196204;52.9;1
196205;39;1
196206;3.3;1
196207;48.1;1
196208;57.6;1
196209;58.5;1
196210;60.5;1
196211;127.2;1
196212;67.4;1
196301;18.3;1
196302;14.8;1
196303;53.8;1
196304;43.3;1
196305;45.7;1
196306;81.7;1
196307;21.7;1
196308;119.8;1
196309;61.4;1
196310;46.6;1
196311;93.4;1
196312;5;1
196401;24.6;1
196402;56.6;1
196403;59;1
196404;50.8;1
196405;43.7;1
196406;82.6;1
196407;10.5;1
196408;24.8;1
196409;38.5;1
196410;105.9;1
196411;58.7;1
196412;88.5;1
196501;129.9;1
196502;12.7;1
196503;88.4;1
196504;49.8;1
196505;63.3;1
196506;53.8;1
196507;29.9;1
196508;53.4;1
196509;158.9;1
196510;22.4;1
196511;129.4;1
196512;162.5;1
196601;80.3;1
196602;48.4;1
196603;44.3;1
196604;122.4;1
196605;46.6;1
196606;99.1;1
196607;86.2;1
196608;39.3;1
196609;35.6;1
196610;150.2;1
196611;161.2;1
196612;169.7;1
196701;54.1;1
196702;47.5;1
196703;66.4;1
196704;31.9;1
196705;91.9;1
196706;30.8;1
196707;12;1
196708;64.4;1
196709;89.6;1
196710;100.8;1
196711;72.8;1
196712;119.9;1
196801;136.1;1
196802;88.5;1
196803;44.9;1
196804;49.6;1
196805;55;1
196806;52;1
196807;43.7;1
196808;71.2;1
196809;61.2;1
196810;51;1
196811;24.5;1
196812;56.9;1
196901;37.9;1
196902;54.3;1
196903;62.7;1
196904;44.6;1
196905;73.8;1
196906;39.6;1
196907;45.7;1
196908;53.8;1
196909;44.9;1
196910;11.1;1
196911;92.4;1
196912;63.6;1
197001;71.7;1
197002;152;1
197003;88.9;1
197004;94.6;1
197005;44.5;1
197006;49.9;1
197007;38.2;1
197008;40.3;1
197009;28.6;1
197010;21.9;1
197011;84.6;1
197012;42.6;1
197101;59.6;1
197102;31.4;1
197103;27.9;1
197104;35.8;1
197105;81.3;1
197106;78.2;1
197107;33.4;1
197108;49.3;1
197109;12.1;1
197110;8.5;1
197111;86.5;1
197112;4.9;1
197201;70;1
197202;64.5;1
197203;34.1;1
197204;48.2;1
197205;54.4;1
197206;32.3;1
197207;36.1;1
197208;62.8;1
197209;46.2;1
197210;26.3;1
197211;122.7;1
197212;25.7;1
197301;28.2;1
197302;55.6;1
197303;12;1
197304;55.5;1
197305;88.5;1
197306;24.6;1
197307;39.2;1
197308;46.1;1
197309;87;1
197310;46.6;1
197311;67.7;1
197312;37;1
197401;47.2;1
197402;46.9;1
197403;48.6;1
197404;15.7;1
197405;44;1
197406;73;1
197407;24.6;1
197408;38.6;1
197409;103.9;1
197410;152.2;1
197411;130.9;1
197412;56.4;1
197501;78.4;1
197502;14.6;1
197503;109.4;1
197504;47.8;1
197505;58;1
197506;22.6;1
197507;158.7;1
197508;67.3;1
197509;83.9;1
197510;26.3;1
197511;75;1
197512;13.6;1
197601;29.9;1
197602;45.3;1
197603;23.2;1
197604;5;1
197605;14.4;1
197606;1.6;1
197607;46.2;1
197608;2.9;1
197609;70.1;1
197610;52.4;1
197611;57.1;1
197612;70.1;1
197701;64.1;1
197702;69.6;1
