# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 63413001
# NOM_USUEL= LA SAUVETAT
# LATITUDE (°) = 45.638
# LONGITUDE(°)= 3.172
# ALTITUDE (m) = 373
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2016-09-01
# NUM_SERIE= MRR163413001
# Amplitude minimale détectable de la série = 0.1
# Période homogénéisée : 195101 201612
# Date(s) de rupture(s) d'homogénéité : 195512 196312
#     Periode homogénéisée  195101 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;27.3;1
195102;66.5;1
195103;41.7;1
195104;25.7;1
195105;198.4;1
195106;144.5;1
195107;56.2;1
195108;97.6;1
195109;80.3;1
195110;34.3;1
195111;66.3;1
195112;14.8;1
195201;33.9;1
195202;19.5;1
195203;23.1;1
195204;33.1;1
195205;41.5;1
195206;42.5;1
195207;27.2;1
195208;76.5;1
195209;65.9;1
195210;25.5;1
195211;53;1
195212;25.4;1
195301;10.7;1
195302;4;1
195303;3.8;1
195304;48.1;1
195305;27.8;1
195306;105.2;1
195307;37;1
195308;38.2;1
195309;80.3;1
195310;55.9;1
195311;8.9;1
195312;27.7;1
195401;23.2;1
195402;34.3;1
195403;22.6;1
195404;31.5;1
195405;100.2;1
195406;55.6;1
195407;30.9;1
195408;167.6;1
195409;50.6;1
195410;28.4;1
195411;17.3;1
195412;14.8;1
195501;77.4;1
195502;30.9;1
195503;12.4;1
195504;2.7;1
195505;26.8;1
195506;111.8;1
195507;85.9;1
195508;45.3;1
195509;20.7;1
195510;14.4;1
195511;30;1
195512;40;1
195601;41.5;1
195602;20.8;1
195603;20.3;1
195604;32.8;1
195605;117.2;1
195606;32.5;1
195607;191.1;1
195608;83.8;1
195609;136.4;1
195610;40.2;1
195611;20.6;1
195612;40.4;1
195701;21.4;1
195702;48;1
195703;13.1;1
195704;39.4;1
195705;21.3;1
195706;130.6;1
195707;15.3;1
195708;26.4;1
195709;26;1
195710;18.1;1
195711;45.9;1
195712;56.3;1
195801;24.2;1
195802;27.7;1
