# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 12208001
# NOM_USUEL= ST AFFRIQUE
# LATITUDE (°) = 43.959
# LONGITUDE(°)= 2.856
# ALTITUDE (m) = 365
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2020-12-31
# NUM_SERIE= MRR012208001
# Amplitude minimale détectable de la série = 0.09
# Période homogénéisée : 195501 202012
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195501 202012  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;235.6;1
195502;79.7;1
195503;7.3;1
195504;4.2;1
195505;51.4;1
195506;76.1;1
195507;29.7;1
195508;57.9;1
195509;77.6;1
195510;41.8;1
195511;21.8;1
195512;135.2;1
195601;56.3;1
195602;5.2;1
195603;102.3;1
195604;41.1;1
195605;97.6;1
195606;37.9;1
195607;82.8;1
195608;78.4;1
195609;68.7;1
195610;34.5;1
195611;58.2;1
195612;36.5;1
195701;23.3;1
195702;106.1;1
195703;31.1;1
195704;192.8;1
195705;69.4;1
195706;109.3;1
195707;22.5;1
195708;35.8;1
195709;52.3;1
195710;12.2;1
195711;87.9;1
195712;44.4;1
195801;31.5;1
195802;11;1
195803;85.1;1
195804;43.5;1
195805;40;1
195806;69;1
195807;79.5;1
195808;38;1
195809;65;1
195810;37.5;1
195811;73;1
195812;109.6;1
195901;53.5;1
195902;45;1
195903;67;1
195904;93.5;1
195905;87.5;1
195906;49;1
195907;25;1
195908;113;1
195909;66.5;1
195910;84;1
195911;69.5;1
195912;180.5;1
196001;57;1
196002;29.5;1
196003;126.5;1
196004;31;1
196005;28;1
196006;54.9;1
196007;93;1
196008;69.9;1
196009;71.7;1
196010;146.5;1
196011;77.3;1
196012;79.7;1
196101;74.1;1
196102;71.6;1
196103;0.9;1
196104;92.2;1
196105;79.7;1
196106;65.2;1
196107;55.8;1
196108;20;1
196109;60.4;1
196110;82.2;1
196111;80.2;1
196112;69.1;1
196201;70.7;1
196202;36;1
