# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 3073001
# NOM_USUEL= CHEMILLY
# LATITUDE (°) = 46.488
# LONGITUDE(°)= 3.316
# ALTITUDE (m) = 235
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2017-12-31
# NUM_SERIE= MRR003073001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195201 201612
# Date(s) de rupture(s) d'homogénéité : 197912
#     Periode homogénéisée  195201 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195201;83.6;1
195202;55.7;1
195203;92.8;1
195204;27.9;1
195205;46.4;1
195206;27.2;1
195207;9.9;1
195208;48.8;1
195209;98.2;1
195210;136.7;1
195211;82.4;1
195212;66.7;1
195301;3.9;1
195302;23.6;1
195303;4.7;1
195304;38.6;1
195305;28.5;1
195306;76.7;1
195307;81.2;1
195308;36.3;1
195309;75.9;1
195310;49.9;1
195311;18.4;1
195312;22.1;1
195401;37.3;1
195402;49.3;1
195403;55.9;1
195404;25;1
195405;44.2;1
195406;76.2;1
195407;25.3;1
195408;104.4;1
195409;58.9;1
195410;41.2;1
195411;32.4;1
195412;39.1;1
195501;92.3;1
195502;88.4;1
195503;42.9;1
195504;0.7;1
195505;33.6;1
195506;65.2;1
195507;51.7;1
195508;48.2;1
195509;23.3;1
195510;9;1
195511;38.9;1
195512;53.1;1
195601;47.4;1
195602;18.4;1
195603;23.9;1
195604;42.1;1
195605;115.8;1
195606;52.3;1
195607;101.5;1
195608;73.7;1
195609;94.6;1
195610;53.9;1
195611;27.9;1
195612;32.5;1
195701;32.5;1
195702;74.3;1
195703;18.6;1
195704;14.1;1
195705;37.1;1
195706;91.9;1
195707;48.2;1
195708;61;1
195709;39.5;1
195710;39.1;1
195711;31.3;1
195712;73.5;1
195801;69.8;1
195802;42.9;1
195803;59.1;1
195804;43.2;1
195805;126.4;1
195806;81.5;1
195807;66.7;1
195808;111.4;1
195809;77.7;1
195810;50.4;1
195811;48.6;1
195812;76.9;1
195901;62.9;1
195902;1.4;1
195903;68.2;1
195904;78;1
195905;31.4;1
195906;69;1
195907;12.4;1
195908;26.6;1
195909;22.4;1
195910;66.3;1
195911;44.5;1
195912;59.8;1
196001;63.5;1
196002;40.3;1
196003;62.8;1
196004;10.5;1
196005;38.5;1
196006;65.8;1
196007;57.3;1
196008;126;1
196009;65.7;1
196010;153.1;1
196011;44.9;1
196012;45.7;1
196101;50.7;1
196102;35.2;1
196103;5;1
196104;45.4;1
196105;59.6;1
196106;58.8;1
196107;62.8;1
196108;39.4;1
196109;25.2;1
196110;72.3;1
196111;59.7;1
196112;62.4;1
196201;83.1;1
196202;36.7;1
196203;43.6;1
196204;51.6;1
196205;75.7;1
196206;3.7;1
196207;58.7;1
196208;13.6;1
196209;48.5;1
196210;27.4;1
196211;73;1
196212;83.6;1
196301;42.5;1
196302;37.6;1
196303;78.1;1
196304;37.3;1
196305;70.3;1
196306;80.6;1
196307;26.9;1
196308;126.1;1
196309;14.2;1
196310;27.3;1
196311;59;1
196312;17.3;1
196401;13.9;1
196402;26.7;1
196403;40.5;1
196404;50.3;1
196405;48.7;1
196406;31.2;1
196407;6.6;1
196408;44.9;1
196409;22.3;1
196410;35.1;1
196411;25.9;1
196412;34.5;1
196501;65.2;1
196502;9.9;1
196503;57.1;1
196504;82.9;1
196505;108.8;1
196506;40.5;1
196507;48.6;1
196508;53.5;1
196509;207.6;1
196510;15.9;1
196511;89.5;1
196512;110.7;1
196601;56.7;1
196602;66.7;1
196603;30.5;1
196604;82.1;1
196605;43.6;1
196606;75.8;1
196607;36.2;1
196608;71.4;1
196609;20.6;1
196610;95.3;1
196611;55.5;1
196612;85;1
196701;44.8;1
196702;40.5;1
196703;46;1
196704;9.3;1
196705;57.7;1
196706;51.4;1
196707;25.7;1
196708;68.4;1
196709;83.2;1
196710;66.3;1
196711;59;1
196712;43;1
196801;90.6;1
196802;29.7;1
196803;22;1
196804;46.8;1
196805;127.3;1
196806;52.5;1
196807;41.4;1
196808;97.7;1
196809;110.8;1
196810;36.3;1
196811;39.2;1
196812;86.3;1
196901;38.6;1
196902;52.6;1
196903;47.1;1
196904;79.3;1
196905;118.8;1
196906;80.2;1
196907;33.8;1
196908;99.3;1
196909;83;1
196910;3.7;1
196911;71.6;1
196912;46.8;1
197001;70.3;1
197002;119.1;1
197003;43.7;1
197004;52.5;1
197005;66.5;1
197006;121.4;1
197007;60.7;1
197008;35.4;1
197009;91.2;1
197010;53.7;1
197011;29.8;1
197012;32.9;1
197101;85.9;1
197102;16.9;1
197103;55.1;1
197104;30.3;1
197105;75.2;1
197106;81.3;1
197107;50;1
197108;106.3;1
197109;14.4;1
197110;26.3;1
197111;59.1;1
197112;15.4;1
197201;70.8;1
197202;57.3;1
197203;23.3;1
197204;29.2;1
197205;26.8;1
197206;60.8;1
197207;84.7;1
197208;120.8;1
197209;25;1
197210;58;1
197211;78.5;1
197212;35.3;1
197301;44.9;1
197302;42.8;1
197303;6;1
197304;23.9;1
197305;71.5;1
197306;75.4;1
197307;82;1
197308;44.6;1
197309;36.7;1
197310;43.4;1
197311;25.8;1
197312;79.2;1
197401;26.3;1
197402;32.7;1
197403;56;1
197404;42;1
197405;64.9;1
197406;74.4;1
197407;32.3;1
197408;63.1;1
197409;101.7;1
197410;107.9;1
197411;87.3;1
197412;23.3;1
197501;43.1;1
197502;20.3;1
197503;54.4;1
197504;44.9;1
197505;67.9;1
197506;91.5;1
197507;60.5;1
197508;41;1
197509;145.1;1
197510;33.8;1
197511;96.4;1
197512;34;1
197601;27.4;1
197602;45.4;1
197603;4;1
197604;27.3;1
197605;60.3;1
197606;5.3;1
197607;31.4;1
197608;74.7;1
197609;112.5;1
197610;98.8;1
197611;93.3;1
197612;82.9;1
197701;56.8;1
197702;77.7;1
197703;73.3;1
197704;27.2;1
197705;173.6;1
197706;103;1
197707;132.9;1
197708;150.3;1
197709;5.6;1
197710;78.6;1
197711;33.1;1
197712;47.7;1
197801;40.9;1
197802;76.7;1
197803;69.5;1
197804;88.1;1
197805;85.4;1
197806;19.7;1
197807;57.7;1
197808;28.2;1
197809;14.5;1
197810;9.5;1
197811;6.3;1
197812;88.6;1
197901;92.9;1
197902;57.7;1
197903;59.7;1
197904;50.1;1
197905;112.4;1
197906;51.9;1
197907;21.9;1
197908;83.2;1
197909;32.5;1
197910;149.7;1
197911;31.5;1
197912;77.7;1
198001;53.6;1
198002;53.5;1
198003;64.3;1
198004;13.5;1
198005;59.1;1
198006;54.2;1
198007;57.9;1
198008;28.5;1
198009;62.5;1
198010;62.9;1
198011;68.2;1
198012;56.4;1
198101;84.6;1
198102;28;1
198103;68.9;1
198104;26.4;1
198105;150.8;1
198106;131.1;1
198107;36.7;1
198108;36.3;1
198109;62.2;1
198110;62.4;1
198111;30.7;1
198112;137;1
198201;82.1;1
198202;17.3;1
198203;81.5;1
198204;12.8;1
198205;43.2;1
198206;92;1
198207;88.3;1
198208;73.1;1
198209;80.3;1
198210;54.4;1
198211;47.5;1
198212;100.3;1
198301;20;1
198302;62.9;1
198303;30.6;1
198304;131.3;1
198305;154.3;1
198306;48;1
198307;24.8;1
198308;159.2;1
198309;64.1;1
198310;52.3;1
198311;25.6;1
198312;29.6;1
198401;90.7;1
198402;29.3;1
198403;24.4;1
198404;8.5;1
198405;93.3;1
198406;50.2;1
198407;19.3;1
198408;105.6;1
198409;113.8;1
198410;56.7;1
198411;66.7;1
198412;66.7;1
198501;25.7;1
198502;73;1
198503;21.8;1
198504;56;1
198505;145.1;1
198506;87;1
198507;10.3;1
198508;18.2;1
198509;3.6;1
198510;11.1;1
198511;35.9;1
198512;57.3;1
198601;66.4;1
198602;56.4;1
198603;33.2;1
198604;120.8;1
198605;106.7;1
198606;14;1
198607;12;1
198608;83.2;1
198609;76.2;1
198610;36.4;1
198611;38.2;1
198612;56.7;1
198701;32.6;1
198702;46.9;1
198703;29.1;1
198704;52.5;1
198705;83.3;1
198706;125;1
198707;81;1
198708;35;1
198709;76.1;1
198710;64.8;1
198711;58.4;1
198712;49.3;1
198801;78.1;1
198802;57.4;1
198803;79.6;1
198804;20;1
198805;156;1
198806;105.6;1
198807;97.6;1
198808;5.9;1
198809;48;1
198810;109.2;1
198811;26.6;1
198812;45.2;1
198901;8.7;1
198902;23.3;1
198903;30.3;1
198904;141.4;1
198905;66.8;1
198906;14.9;1
198907;46.5;1
198908;49.2;1
198909;45.8;1
198910;31.9;1
198911;48.8;1
198912;35.2;1
199001;31.3;1
199002;83.7;1
199003;19.3;1
199004;41.3;1
199005;88.5;1
199006;98.5;1
199007;48.4;1
199008;59.4;1
199009;20.4;1
199010;96.4;1
199011;54.9;1
199012;38.2;1
199101;31.9;1
199102;27.8;1
199103;21.6;1
199104;41.6;1
199105;9;1
199106;55.9;1
199107;30.7;1
199108;52.3;1
199109;100.5;1
199110;67.3;1
199111;60;1
199112;12.2;1
199201;9.5;1
199202;20.7;1
199203;51.9;1
199204;27.1;1
199205;51.7;1
199206;148.3;1
199207;81.4;1
199208;103.3;1
199209;72.3;1
199210;101.3;1
199211;102;1
199212;28.7;1
199301;12.9;1
199302;6.5;1
199303;14.5;1
199304;52.3;1
199305;60.4;1
199306;91.7;1
199307;41;1
199308;59.8;1
199309;136.9;1
199310;94.4;1
199311;29.7;1
199312;73.5;1
199401;70.4;1
199402;76.1;1
199403;25.4;1
199404;102.5;1
199405;116.1;1
199406;44.7;1
199407;76.3;1
199408;36.8;1
199409;92.6;1
199410;45.5;1
199411;63.2;1
199412;29.3;1
199501;67.5;1
199502;69.6;1
199503;52.5;1
199504;44.3;1
199505;65.5;1
199506;34.9;1
199507;67;1
199508;32.8;1
199509;88.8;1
199510;22.4;1
199511;43.3;1
199512;97.9;1
199601;66.3;1
199602;75;1
199603;25;1
199604;25.8;1
199605;151.5;1
199606;31.2;1
199607;73.6;1
199608;19.5;1
199609;67.5;1
199610;27;1
199611;137.1;1
199612;53;1
199701;32.3;1
199702;29.1;1
199703;8.5;1
199704;13.7;1
199705;97.6;1
199706;122.8;1
199707;18.8;1
199708;68.2;1
199709;32.5;1
199710;24.2;1
199711;104.8;1
199712;60.8;1
199801;54.9;1
199802;21.2;1
199803;32.7;1
199804;177;1
199805;44.1;1
199806;45.7;1
199807;30.6;1
199808;23.1;1
199809;81.3;1
199810;83.5;1
199811;44.1;1
199812;31.2;1
199901;54.3;1
199902;102.3;1
199903;28.4;1
199904;69.2;1
199905;64.4;1
199906;65.7;1
199907;40.2;1
199908;65.1;1
199909;104.3;1
199910;51.4;1
199911;44.9;1
199912;90.2;1
200001;16.7;1
200002;45;1
200003;37.1;1
200004;59;1
200005;44.1;1
200006;66.3;1
200007;104.2;1
200008;58.3;1
200009;91.5;1
200010;68.9;1
200011;95.9;1
200012;21.7;1
200101;36.2;1
200102;12.4;1
200103;112;1
200104;105.9;1
200105;95.6;1
200106;36.5;1
200107;80.2;1
200108;76.8;1
200109;61.7;1
200110;98.3;1
200111;46.4;1
200112;19.1;1
200201;24;1
200202;35.8;1
200203;24.5;1
200204;11.8;1
200205;46.2;1
200206;117.4;1
200207;71;1
200208;141.6;1
200209;92.6;1
200210;47.9;1
200211;116.5;1
200212;83.7;1
200301;57.7;1
200302;33.4;1
200303;25.2;1
200304;31.5;1
200305;51.2;1
200306;34.6;1
200307;49.7;1
200308;57.8;1
200309;46.6;1
