# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 32107001
# NOM_USUEL= CONDOM_MAN
# LATITUDE (°) = 43.955
# LONGITUDE(°)= 0.383
# ALTITUDE (m) = 85
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2021-12-31
# NUM_SERIE= MRR132107001
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 195001 201812
# Date(s) de rupture(s) d'homogénéité : 195412 198812
#     Periode homogénéisée  195001 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;11.1;1
195002;73.1;1
195003;28;1
195004;67.6;1
195005;62.9;1
195006;38.6;1
195007;15.8;1
195008;68.4;1
195009;17.6;1
195010;43.5;1
195011;153.1;1
195012;157.9;1
195101;88.1;1
195102;115.9;1
195103;130.4;1
195104;84;1
195105;121.7;1
195106;77.3;1
195107;35.7;1
195108;78.2;1
195109;22.2;1
195110;49.3;1
195111;97.5;1
195112;60.8;1
195201;133.3;1
195202;103.3;1
195203;37.7;1
195204;30.9;1
195205;57.9;1
195206;30.9;1
195207;5.1;1
195208;65.7;1
195209;97.5;1
195210;88.9;1
195211;67.6;1
195212;111.1;1
195301;21.2;1
195302;22.2;1
195303;0;1
195304;77.3;1
195305;33.8;1
195306;92.7;1
195307;66.6;1
195308;27;1
195309;44.4;1
195310;57;1
195311;49.3;1
195312;9.7;1
195401;45.4;1
195402;74.4;1
195403;78.2;1
195404;59.9;1
195405;72.4;1
195406;73.4;1
195407;21.2;1
195408;74.4;1
195409;50.2;1
195410;35.5;1
195411;55.1;1
195412;64.7;1
195501;159.5;1
195502;98.9;1
195503;16.9;1
195504;22;1
195505;53.5;1
195506;101.6;1
195507;68.1;1
195508;35.3;1
195509;28.1;1
195510;56.4;1
195511;34.4;1
195512;102.7;1
195601;62.4;1
195602;8.5;1
195603;23.4;1
195604;62;1
195605;62.7;1
195606;26.2;1
195607;35.8;1
195608;54;1
195609;21.2;1
195610;31.7;1
195611;40.2;1
195612;39.8;1
195701;30.1;1
195702;72.9;1
195703;56.3;1
195704;66.7;1
195705;74.3;1
195706;141.6;1
195707;36.3;1
195708;36.2;1
195709;44.5;1
195710;13.9;1
195711;73;1
195712;30.9;1
195801;89.9;1
195802;26.5;1
195803;109.7;1
195804;45.9;1
195805;82.9;1
195806;95.5;1
195807;77.9;1
195808;47.4;1
195809;45.2;1
195810;44;1
195811;40.6;1
195812;132.1;1
195901;61;1
195902;22.9;1
195903;67.3;1
195904;112.9;1
195905;70.8;1
195906;89.9;1
195907;39.4;1
195908;111.1;1
195909;178.4;1
195910;53.3;1
195911;78.8;1
195912;209.7;1
196001;87.7;1
196002;35.8;1
196003;80;1
196004;15;1
196005;46.7;1
196006;80.9;1
196007;104.2;1
196008;123.5;1
196009;68.2;1
196010;153.6;1
196011;89.4;1
196012;112.5;1
196101;105.8;1
196102;35.2;1
196103;0;1
196104;95.6;1
196105;60.1;1
196106;51.1;1
196107;33.9;1
196108;50.5;1
196109;47.4;1
196110;87.9;1
196111;81.4;1
196112;69.6;1
196201;65.6;1
196202;52.5;1
196203;53.4;1
196204;59.4;1
196205;119.2;1
196206;12;1
196207;33.2;1
196208;19.4;1
196209;44.9;1
196210;41.7;1
196211;106.6;1
196212;74.7;1
196301;46.8;1
196302;110.1;1
196303;97.5;1
196304;39.3;1
196305;39.3;1
196306;123.3;1
196307;29.6;1
196308;147.9;1
196309;86.4;1
196310;28;1
196311;69.3;1
196312;47.2;1
196401;8.1;1
196402;48.3;1
196403;52.7;1
196404;44.9;1
196405;99.5;1
196406;14.6;1
196407;7;1
196408;12.9;1
196409;18.3;1
196410;118.6;1
196411;22.6;1
196412;43.1;1
196501;71.1;1
196502;18.6;1
196503;88.4;1
196504;45;1
196505;82;1
196506;30.7;1
196507;79;1
196508;31.7;1
196509;152.4;1
196510;31.7;1
196511;141;1
196512;141.9;1
196601;95.4;1
196602;46.8;1
196603;15.8;1
196604;109.6;1
196605;107.5;1
196606;103.1;1
196607;31;1
196608;28.3;1
196609;11.6;1
196610;41.5;1
196611;47.5;1
196612;124.2;1
196701;74.4;1
196702;36;1
196703;39.5;1
196704;8;1
196705;51.6;1
196706;32.8;1
196707;15.6;1
196708;64.6;1
196709;60.2;1
196710;36.7;1
196711;85.8;1
196712;38.4;1
196801;54.9;1
196802;50;1
196803;28.8;1
196804;49.8;1
196805;125.8;1
196806;50.1;1
196807;63.1;1
196808;72;1
196809;38;1
196810;24.4;1
196811;48.3;1
196812;78.7;1
196901;79.1;1
196902;49.9;1
196903;81.2;1
196904;111.6;1
196905;65.4;1
196906;54;1
196907;42.3;1
196908;51.7;1
196909;73.3;1
196910;23.1;1
196911;31.7;1
196912;85.3;1
197001;71.3;1
197002;76.4;1
197003;34.8;1
197004;59.5;1
197005;62.9;1
197006;132.1;1
197007;2.7;1
197008;40.9;1
197009;9.5;1
197010;31;1
197011;92.8;1
197012;8.7;1
197101;110.3;1
197102;66.3;1
197103;58.4;1
197104;77.3;1
197105;163.6;1
197106;90.5;1
197107;93.4;1
197108;97.2;1
197109;39.7;1
197110;29.3;1
197111;94.7;1
197112;74.7;1
197201;56.8;1
197202;80;1
197203;53.1;1
197204;63.7;1
197205;71.1;1
197206;43.9;1
197207;4.4;1
197208;74.4;1
197209;41;1
197210;30.1;1
197211;33.5;1
197212;36.8;1
197301;50.1;1
197302;79;1
197303;20.3;1
197304;69.8;1
197305;95.4;1
197306;67.5;1
197307;65.8;1
197308;24.4;1
197309;83;1
197310;41.7;1
197311;36.3;1
197312;64.8;1
197401;37.7;1
197402;52.6;1
197403;73;1
197404;51.1;1
197405;77.9;1
197406;55.1;1
197407;37.9;1
197408;31.7;1
197409;85.9;1
197410;108;1
197411;72.5;1
197412;27.1;1
197501;61.1;1
197502;13.2;1
197503;84.7;1
197504;55.4;1
197505;113.4;1
197506;19.6;1
197507;18.2;1
197508;34.9;1
197509;76.3;1
197510;27.4;1
197511;70.1;1
197512;24;1
197601;19.1;1
197602;28.2;1
197603;55.7;1
197604;41.3;1
197605;37;1
197606;29.9;1
197607;41.7;1
197608;74.5;1
197609;78.6;1
197610;113.8;1
197611;89.7;1
197612;111;1
197701;61.1;1
197702;82;1
197703;40.2;1
197704;67.1;1
197705;136.8;1
197706;141.4;1
197707;100.5;1
197708;46.8;1
197709;2.9;1
197710;34.2;1
197711;44.4;1
197712;30.3;1
197801;103.5;1
197802;75;1
197803;86;1
197804;76.3;1
197805;97.1;1
197806;47.3;1
197807;75.7;1
197808;36.5;1
197809;30.5;1
197810;5.9;1
197811;7.1;1
197812;94;1
197901;106.3;1
197902;90.1;1
197903;77;1
197904;96.2;1
197905;143;1
197906;50.3;1
197907;78.8;1
197908;29.9;1
197909;42.7;1
197910;81.6;1
197911;54.6;1
197912;90.9;1
198001;73.7;1
198002;76.4;1
198003;75.1;1
198004;12.2;1
198005;125.9;1
198006;21.1;1
198007;64.9;1
198008;46.4;1
198009;23.8;1
198010;117.5;1
198011;41.4;1
198012;76.4;1
198101;62;1
198102;49.1;1
198103;48.3;1
198104;60.3;1
198105;147.1;1
198106;36.1;1
198107;77.3;1
198108;26.4;1
198109;59;1
198110;96.5;1
198111;23.3;1
198112;214.6;1
198201;58.8;1
198202;63.8;1
198203;53.1;1
198204;0.3;1
198205;40.1;1
198206;42.9;1
198207;44;1
198208;30.4;1
198209;50;1
198210;209.5;1
198211;77.4;1
198212;132.3;1
198301;21.1;1
198302;83;1
198303;60.1;1
198304;68.1;1
198305;56.4;1
198306;36.3;1
198307;26.5;1
198308;117.5;1
198309;13.4;1
198310;47.4;1
198311;24.7;1
198312;50.7;1
198401;111.9;1
198402;72;1
198403;55.7;1
198404;35.6;1
198405;114.2;1
198406;50.1;1
