# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 15181001
# NOM_USUEL= ST CONSTANT
# LATITUDE (°) = 44.685
# LONGITUDE(°)= 2.23
# ALTITUDE (m) = 260
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2020-12-31
# NUM_SERIE= MRR015181001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195501 202012
# Date(s) de rupture(s) d'homogénéité : 198406
#     Periode homogénéisée  195501 202012  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;312;1
195502;145.4;1
195503;17.1;1
195504;2.5;1
195505;41.5;1
195506;129;1
195507;83;1
195508;62.8;1
195509;19.1;1
195510;85.9;1
195511;28.8;1
195512;210.1;1
195601;77.2;1
195602;9.5;1
195603;85.1;1
195604;85.1;1
195605;74.6;1
195606;56.1;1
195607;123.7;1
195608;142.8;1
195609;89.4;1
195610;47.5;1
195611;44.1;1
195612;71.2;1
195701;49.1;1
195702;212.2;1
195703;63.6;1
195704;63.3;1
195705;50.5;1
195706;96.3;1
195707;117.4;1
195708;12.9;1
195709;73.2;1
195710;19.2;1
195711;50.4;1
195712;87;1
195801;135.3;1
195802;30.4;1
195803;127.3;1
195804;60.1;1
195805;115.3;1
195806;100.3;1
195807;93;1
195808;85.1;1
195809;68.6;1
195810;29;1
195811;78.8;1
195812;152.3;1
195901;114.4;1
195902;8;1
195903;91.9;1
195904;173.6;1
195905;67.1;1
195906;52.8;1
195907;57.5;1
195908;77.7;1
195909;137.7;1
195910;90.2;1
195911;97.9;1
195912;301.1;1
196001;98.7;1
196002;88.1;1
196003;120.6;1
196004;26.7;1
196005;39.8;1
196006;61.3;1
196007;145.9;1
196008;143;1
196009;123.6;1
196010;217.9;1
196011;107.3;1
196012;132;1
196101;145.4;1
196102;61.7;1
196103;2.7;1
196104;87.4;1
196105;92.7;1
196106;43.2;1
196107;89.1;1
196108;44.1;1
196109;80.6;1
196110;137;1
196111;120.6;1
196112;114.9;1
196201;146.4;1
196202;52.8;1
196203;105.2;1
196204;99;1
196205;100.6;1
196206;11.2;1
196207;19.7;1
196208;11.2;1
196209;37.7;1
196210;38.2;1
196211;164.4;1
196212;125.6;1
196301;41.8;1
196302;128.1;1
196303;141.7;1
196304;89.9;1
196305;68.8;1
196306;147;1
196307;50.8;1
196308;99.8;1
196309;80.4;1
196310;98.2;1
196311;104;1
196312;46;1
196401;10.4;1
196402;56.9;1
196403;111.3;1
196404;128.3;1
196405;97.6;1
196406;126;1
196407;7;1
196408;58.4;1
196409;59.6;1
196410;113.6;1
196411;72.4;1
196412;53.7;1
196501;130.6;1
196502;9.4;1
196503;117.5;1
196504;78;1
196505;137.3;1
196506;35.9;1
196507;112.2;1
196508;86.4;1
196509;201.6;1
196510;41.1;1
196511;205.8;1
196512;269.4;1
196601;146;1
196602;88.4;1
196603;38.5;1
196604;105.1;1
196605;114.4;1
196606;41;1
196607;84.7;1
196608;84;1
196609;33.3;1
196610;131.1;1
196611;116.5;1
196612;195.6;1
196701;74.5;1
196702;112.1;1
196703;61.8;1
196704;8.5;1
196705;106.9;1
196706;52.5;1
196707;11.1;1
196708;65.9;1
196709;58.3;1
196710;70.8;1
196711;115.4;1
196712;84.2;1
196801;127.1;1
196802;74.5;1
196803;45.1;1
196804;33.1;1
196805;156;1
196806;52.3;1
196807;62;1
196808;149.7;1
196809;124.2;1
196810;53.9;1
196811;34.4;1
196812;132.4;1
196901;112;1
196902;106.2;1
196903;145.5;1
196904;126.2;1
196905;196.3;1
196906;94.2;1
196907;56.2;1
196908;56.7;1
196909;203.6;1
196910;37.9;1
196911;120.8;1
196912;98.9;1
197001;107.1;1
197002;187.8;1
197003;103.1;1
197004;95.3;1
197005;43.2;1
197006;115.6;1
197007;35.3;1
197008;63.1;1
197009;24.1;1
197010;48.7;1
197011;100.6;1
197012;33.2;1
197101;178.8;1
197102;50.6;1
197103;87.1;1
197104;78.3;1
197105;83.7;1
197106;103.3;1
197107;96.6;1
197108;53.6;1
197109;41.9;1
197110;53.1;1
197111;128.9;1
197112;26.5;1
197201;88.9;1
197202;128;1
197203;91.5;1
197204;52.1;1
197205;33.6;1
197206;63.4;1
197207;31.2;1
197208;85.8;1
197209;70;1
197210;59.6;1
197211;104.7;1
197212;58.3;1
197301;97.5;1
197302;98.3;1
197303;8.3;1
197304;33.5;1
197305;56.4;1
197306;52.1;1
197307;83.9;1
197308;6.2;1
197309;38.3;1
197310;125;1
197311;69.1;1
197312;96.7;1
197401;68;1
197402;119.3;1
197403;97.6;1
197404;47;1
197405;85.9;1
197406;121;1
197407;65.9;1
197408;95.6;1
197409;185.9;1
197410;110.7;1
197411;123.3;1
197412;45.8;1
197501;128;1
197502;49.4;1
197503;97.5;1
197504;48.9;1
197505;150.5;1
197506;34.2;1
197507;56.8;1
197508;77.5;1
197509;167.7;1
197510;45;1
197511;123.9;1
197512;33;1
197601;21.8;1
197602;50.6;1
197603;44.4;1
197604;45.9;1
197605;50.2;1
197606;2.4;1
197607;59.4;1
197608;95.3;1
197609;85.3;1
197610;198.8;1
197611;158.1;1
197612;142.6;1
197701;130.2;1
197702;158.3;1
197703;102.7;1
197704;44;1
197705;101.4;1
197706;147.8;1
197707;62;1
197708;164.9;1
197709;15.9;1
197710;61.2;1
197711;85.7;1
197712;52.4;1
197801;157.9;1
197802;116.4;1
197803;146.9;1
197804;97.8;1
197805;110.5;1
197806;51.8;1
197807;44;1
197808;20;1
197809;46.9;1
197810;8.8;1
197811;14.3;1
197812;176.6;1
197901;114.9;1
197902;137.8;1
197903;128.9;1
197904;105.3;1
197905;134;1
197906;49.9;1
197907;18.2;1
197908;51.9;1
197909;19.3;1
197910;154.1;1
197911;80;1
197912;180.2;1
198001;115.5;1
198002;122.5;1
198003;114.3;1
198004;37;1
198005;102.9;1
198006;93.7;1
198007;68.7;1
198008;71.5;1
198009;45.6;1
198010;179;1
198011;124;1
198012;98.7;1
198101;125.5;1
198102;43;1
198103;117.4;1
198104;23.4;1
198105;191.9;1
198106;127.5;1
198107;60.5;1
198108;29.8;1
198109;47.3;1
198110;104.7;1
198111;30.6;1
198112;288.7;1
198201;64;1
198202;43;1
198203;106.4;1
198204;20.6;1
198205;90;1
198206;67;1
198207;92.7;1
198208;95.2;1
198209;75.3;1
198210;171.4;1
198211;83;1
198212;205.6;1
198301;47.9;1
198302;133.9;1
198303;54;1
198304;201.8;1
198305;147.2;1
198306;35.1;1
198307;23.6;1
198308;77.2;1
198309;64.5;1
198310;62.4;1
198311;53.2;1
198312;111.6;1
198401;242.4;1
198402;100.5;1
198403;91.2;1
198404;12.9;1
198405;131.2;1
198406;79.3;1
198407;25;1
198408;100;1
198409;121;1
