# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 4024001
# NOM_USUEL= BEAUJEU
# LATITUDE (°) = 44.234
# LONGITUDE(°)= 6.358
# ALTITUDE (m) = 1050
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2018-08-31
# NUM_SERIE= MRR104024001
# Amplitude minimale détectable de la série = 0.09
# Période homogénéisée : 195001 201512
# Date(s) de rupture(s) d'homogénéité : 198812
#     Periode homogénéisée  195001 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;11.9;1
195002;112.8;1
195003;42.1;1
195004;82.4;1
195005;134.6;1
195006;144.6;1
195007;10.5;1
195008;70.6;1
195009;74.1;1
195010;49.8;1
195011;241.7;1
195012;58.2;1
195101;69.1;1
195102;191.9;1
195103;140.5;1
195104;77.8;1
195105;176.4;1
195106;93.2;1
195107;53.7;1
195108;158;1
195109;59.4;1
195110;108.4;1
195111;261.9;1
195112;52.1;1
195201;13.9;1
195202;34.9;1
195203;87.3;1
195204;87;1
195205;100.3;1
195206;27.3;1
195207;63.2;1
195208;88;1
195209;175.1;1
195210;108.4;1
195211;89;1
195212;153.6;1
195301;2.8;1
195302;51.1;1
195303;0;1
195304;48.1;1
195305;58;1
195306;92.6;1
195307;88.9;1
195308;62.2;1
195309;154.2;1
195310;134.7;1
195311;31.4;1
195312;12;1
195401;48.3;1
195402;61.5;1
195403;83.2;1
195404;116.3;1
195405;108;1
195406;95.1;1
195407;66.9;1
195408;125.2;1
195409;54.2;1
195410;71.4;1
195411;142.7;1
195412;137.2;1
195501;181.6;1
195502;220.9;1
195503;40.8;1
195504;1.4;1
195505;73.3;1
195506;148.3;1
195507;129.7;1
195508;55.5;1
195509;33.3;1
195510;142.5;1
195511;72.6;1
195512;61.8;1
195601;71;1
195602;11.2;1
195603;35.5;1
195604;172.8;1
195605;90.7;1
195606;106.9;1
195607;97.9;1
195608;86.7;1
195609;143.6;1
195610;32.5;1
195611;14.9;1
195612;25.2;1
195701;26.9;1
195702;164.4;1
195703;51.3;1
195704;53.5;1
195705;139.1;1
195706;136.3;1
195707;29.6;1
195708;12.4;1
195709;7.7;1
195710;54.6;1
195711;100.3;1
195712;110;1
195801;91.1;1
195802;29.6;1
195803;91.7;1
195804;88.5;1
195805;89.5;1
195806;119.1;1
195807;42.4;1
195808;77;1
195809;106.8;1
195810;68.7;1
195811;32.3;1
195812;204.4;1
195901;61.6;1
195902;1.3;1
195903;163.8;1
195904;120.1;1
195905;65.9;1
195906;111.4;1
195907;31.5;1
195908;104.9;1
195909;133.4;1
195910;175.5;1
195911;92.6;1
195912;141.6;1
196001;104.8;1
196002;119.3;1
196003;118.9;1
196004;27.3;1
196005;40.5;1
196006;179;1
196007;29.3;1
196008;117.9;1
196009;187.8;1
196010;310.9;1
196011;139.2;1
196012;88.8;1
196101;102.7;1
196102;32;1
196103;0;1
196104;162.7;1
196105;177.8;1
196106;155.1;1
196107;36.8;1
196108;29.2;1
196109;88.9;1
196110;157.1;1
196111;129.1;1
196112;81.5;1
196201;90.7;1
196202;45.2;1
196203;133.2;1
196204;64.5;1
196205;46.6;1
196206;157.5;1
196207;0;1
196208;0;1
196209;60.3;1
196210;134.9;1
196211;121.2;1
196212;82.4;1
196301;145.1;1
196302;67.4;1
196303;115.5;1
196304;98;1
196305;101.2;1
196306;156.9;1
196307;176;1
196308;102.1;1
196309;100.9;1
196310;37.3;1
196311;272.1;1
196312;44.6;1
196401;0;1
196402;62.6;1
196403;108.4;1
196404;63.3;1
196405;45.9;1
196406;109.7;1
196407;90.3;1
196408;74.6;1
196409;124.9;1
196410;145.2;1
196411;44.2;1
196412;44.1;1
196501;45.8;1
196502;0;1
196503;137.8;1
196504;1.6;1
196505;71.4;1
196506;58;1
196507;85.4;1
196508;106.3;1
196509;202.6;1
196510;63.9;1
196511;188.7;1
196512;109;1
196601;53.9;1
196602;84.7;1
196603;11.8;1
196604;105.6;1
196605;81;1
196606;59;1
196607;37.8;1
196608;99.1;1
196609;28.1;1
196610;138.4;1
196611;106.4;1
196612;71.1;1
196701;26;1
196702;37.6;1
196703;28.5;1
196704;68.9;1
196705;107.3;1
196706;35.8;1
196707;32;1
196708;53.7;1
196709;39.2;1
196710;21.3;1
196711;165.5;1
196712;34.2;1
196801;42.5;1
196802;137;1
196803;19.2;1
196804;75.6;1
196805;130.1;1
196806;149.9;1
196807;16.3;1
196808;128.5;1
196809;168.3;1
196810;37.8;1
196811;171.3;1
196812;70.3;1
196901;90.5;1
196902;133.5;1
196903;85.7;1
196904;73.9;1
196905;68.4;1
196906;106.7;1
196907;153.4;1
196908;55.8;1
196909;114.4;1
196910;0;1
196911;156.8;1
196912;15.6;1
197001;184.4;1
197002;75.3;1
197003;59.6;1
197004;66.9;1
197005;90.6;1
197006;188.2;1
197007;33.1;1
197008;22;1
197009;27.6;1
197010;96.1;1
197011;236.1;1
197012;41.7;1
197101;65.8;1
197102;19.4;1
197103;155.8;1
197104;99;1
197105;139.7;1
197106;115.5;1
197107;13.5;1
197108;37.8;1
197109;30;1
197110;7.8;1
197111;121.3;1
197112;6.2;1
197201;24.3;1
197202;111.4;1
197203;66.1;1
197204;85.6;1
197205;69.4;1
197206;190.3;1
197207;82.6;1
197208;87.8;1
197209;48.8;1
197210;163.9;1
197211;64.4;1
197212;52.1;1
197301;43;1
197302;10.1;1
197303;2.9;1
197304;85;1
197305;87;1
197306;99.2;1
197307;92.3;1
197308;98.8;1
197309;65.5;1
197310;70.1;1
197311;44.8;1
197312;72.8;1
