# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 6088003
# NOM_USUEL= NICE-COL
# LATITUDE (°) = 43.71
# LONGITUDE(°)= 7.301
# ALTITUDE (m) = 199
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2019-07-01
# NUM_SERIE= MRR006088003
# Amplitude minimale détectable de la série = 0.11
# Période homogénéisée : 195001 201512
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195001 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;25.8;1
195002;144.3;1
195003;35.9;1
195004;114.1;1
195005;28.2;1
195006;2.7;1
195007;0;1
195008;24.7;1
195009;63.6;1
195010;40.9;1
195011;158.4;1
195012;106;1
195101;134.3;1
195102;145.1;1
195103;97.8;1
195104;25.6;1
195105;157.1;1
195106;12.7;1
195107;4.1;1
195108;8.5;1
195109;28.4;1
195110;192.3;1
195111;317.4;1
195112;36.8;1
195201;64.7;1
195202;11.7;1
195203;45.7;1
195204;196.8;1
195205;87.8;1
195206;5.2;1
195207;3.7;1
195208;76.6;1
195209;115.1;1
195210;53;1
195211;86.9;1
195212;77.4;1
195301;37;1
195302;23.4;1
195303;1.1;1
195304;31.1;1
195305;17.3;1
195306;71.5;1
195307;70.5;1
195308;53.3;1
195309;189.9;1
195310;186.2;1
195311;12.5;1
195312;42;1
195401;23.1;1
195402;54.7;1
195403;90.7;1
195404;48;1
195405;81.5;1
195406;29.5;1
195407;76.5;1
195408;33.9;1
195409;19.5;1
195410;95.6;1
195411;109.8;1
195412;117.6;1
195501;136.5;1
195502;97.9;1
195503;32.3;1
195504;8.7;1
195505;3.8;1
195506;71;1
195507;39.1;1
195508;0.5;1
195509;31.6;1
195510;89.5;1
195511;94.8;1
195512;52.5;1
195601;73.9;1
195602;74.4;1
195603;230.9;1
195604;138.4;1
195605;9.3;1
195606;36.1;1
195607;75;1
195608;3.9;1
195609;170.7;1
195610;73.7;1
195611;122.7;1
195612;45.5;1
195701;35.1;1
195702;140.2;1
195703;61.6;1
195704;87.9;1
195705;59.5;1
195706;121.5;1
195707;3.3;1
195708;36.7;1
195709;3.2;1
195710;56.9;1
195711;281.5;1
195712;320.9;1
195801;23.7;1
195802;48.2;1
195803;103.6;1
195804;122.8;1
195805;11.6;1
195806;57.8;1
195807;27.3;1
195808;26.6;1
195809;38.3;1
195810;105.1;1
195811;78;1
195812;314.6;1
195901;2.6;1
195902;16;1
195903;77.9;1
195904;150.1;1
195905;105.2;1
195906;7.6;1
195907;0;1
195908;29.1;1
195909;63.4;1
195910;271;1
195911;267.8;1
195912;192.6;1
196001;104.4;1
196002;115.3;1
196003;172.6;1
196004;71;1
196005;41.4;1
196006;8.9;1
196007;24.9;1
196008;59.8;1
196009;201;1
196010;267.9;1
196011;131.9;1
196012;168.6;1
196101;109.4;1
196102;8.3;1
196103;0;1
196104;125.5;1
196105;59.3;1
196106;24;1
196107;9.5;1
196108;2.3;1
196109;70.5;1
196110;108.8;1
196111;288.3;1
196112;43.7;1
196201;41.1;1
196202;62.5;1
196203;116;1
196204;59;1
196205;44;1
196206;47;1
196207;2.5;1
196208;0;1
196209;23.6;1
196210;94.8;1
196211;192.1;1
196212;80.2;1
196301;172.8;1
196302;75.8;1
196303;78.8;1
196304;84.8;1
196305;1;1
196306;78.5;1
196307;1.5;1
196308;55;1
196309;67.2;1
196310;69.5;1
196311;241.1;1
196312;67.6;1
196401;7.8;1
196402;224.6;1
196403;128.5;1
196404;54.3;1
196405;1.5;1
196406;17.5;1
196407;2;1
196408;22.7;1
196409;21.8;1
196410;171.6;1
196411;18;1
196412;151.8;1
196501;44.4;1
196502;8.8;1
196503;83;1
196504;1.7;1
196505;20.8;1
196506;23;1
196507;10.6;1
196508;154.5;1
196509;171;1
196510;88.5;1
196511;108.7;1
196512;33.1;1
196601;38.4;1
196602;132.6;1
196603;13.5;1
196604;112.4;1
196605;9.5;1
196606;100.1;1
196607;13.7;1
196608;25.4;1
196609;99.6;1
196610;189.7;1
196611;158.3;1
196612;58;1
196701;5.4;1
196702;46.4;1
196703;52.6;1
196704;41.4;1
196705;16.2;1
196706;67.4;1
196707;37.2;1
196708;11.8;1
196709;55.3;1
196710;27.9;1
196711;132.6;1
196712;36.6;1
196801;0.7;1
196802;247.9;1
196803;28.4;1
196804;75.7;1
196805;96;1
196806;29.4;1
196807;0;1
196808;80;1
196809;177;1
196810;86.5;1
196811;189;1
196812;31.6;1
196901;174.5;1
196902;146.4;1
196903;143.2;1
196904;30.1;1
196905;88.2;1
196906;57.1;1
196907;61.2;1
196908;25.8;1
196909;29.9;1
196910;0.5;1
196911;98.1;1
196912;35.9;1
197001;209.2;1
197002;38.5;1
197003;46.8;1
197004;1.6;1
197005;50;1
197006;14.3;1
197007;0;1
197008;19.8;1
197009;1.5;1
197010;37.5;1
197011;154.8;1
197012;75.8;1
197101;116;1
197102;40.7;1
197103;189.7;1
197104;98.5;1
197105;151;1
197106;47;1
197107;2;1
197108;69.5;1
197109;67.5;1
197110;2.5;1
197111;186.3;1
197112;70.2;1
197201;45.5;1
197202;258.7;1
197203;133.4;1
197204;46.6;1
197205;64;1
197206;135.1;1
197207;13;1
197208;22.2;1
197209;128.2;1
197210;134;1
197211;58.5;1
197212;55.1;1
197301;97.6;1
197302;8.8;1
197303;2.2;1
197304;43.2;1
197305;14.3;1
197306;58.2;1
197307;20.5;1
197308;10;1
197309;55;1
197310;203.3;1
197311;11.7;1
197312;162.8;1
197401;110.1;1
197402;144.8;1
197403;92.9;1
197404;65.2;1
197405;98.2;1
197406;8;1
197407;1;1
197408;53.8;1
197409;117.9;1
197410;17.5;1
197411;64.8;1
197412;31.5;1
197501;79.7;1
197502;101.5;1
197503;147;1
197504;31.4;1
197505;89.7;1
197506;54;1
197507;5.2;1
197508;27.3;1
197509;91.6;1
197510;44.6;1
197511;201.9;1
197512;82.5;1
197601;30.5;1
197602;46;1
197603;78.8;1
197604;44.7;1
197605;61.3;1
197606;31.3;1
197607;49.8;1
197608;63.1;1
197609;165.5;1
197610;303.2;1
197611;81.8;1
197612;86.5;1
197701;232;1
197702;159.7;1
197703;107;1
197704;56;1
197705;111.5;1
197706;8;1
197707;72.8;1
197708;68.8;1
197709;42.6;1
197710;40.8;1
197711;49;1
197712;144.4;1
197801;257.8;1
197802;137.6;1
197803;81.2;1
197804;67.3;1
197805;58.9;1
197806;12.2;1
197807;12.5;1
197808;78.9;1
197809;15.5;1
197810;35.5;1
197811;2;1
197812;141.6;1
197901;156.9;1
197902;108;1
197903;222.8;1
197904;65;1
197905;13.5;1
197906;45.3;1
197907;6.5;1
197908;38.8;1
197909;113.2;1
197910;436.5;1
197911;101;1
197912;120.5;1
198001;75.1;1
198002;2;1
198003;118.9;1
198004;30.4;1
198005;71.1;1
198006;25.2;1
198007;5.2;1
198008;55.3;1
198009;3.7;1
198010;119.5;1
198011;96.9;1
198012;0;1
198101;13.7;1
198102;15.7;1
198103;90.2;1
198104;97.3;1
198105;53.4;1
198106;29.4;1
198107;25.6;1
198108;12.5;1
198109;49.7;1
198110;78.5;1
198111;2.3;1
198112;253.2;1
198201;13.6;1
198202;48.9;1
198203;39.6;1
198204;10.5;1
198205;13.3;1
198206;8.2;1
198207;2.8;1
198208;4.7;1
198209;25.4;1
198210;171.8;1
198211;196.9;1
198212;41.5;1
198301;0.4;1
198302;69.8;1
198303;114.2;1
198304;74;1
198305;22.1;1
198306;109.5;1
198307;6.6;1
198308;16.1;1
