# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 71210001
# NOM_USUEL= FUISSE
# LATITUDE (°) = 46.282
# LONGITUDE(°)= 4.741
# ALTITUDE (m) = 260
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2016-12-31
# NUM_SERIE= MRR171210001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195101 201412
# Date(s) de rupture(s) d'homogénéité : 195512 197803
#     Periode homogénéisée  195101 201412  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;38;1
195102;73.5;1
195103;77.4;1
195104;45.4;1
195105;109.5;1
195106;192.1;1
195107;32.3;1
195108;155.7;1
195109;52.2;1
195110;53.2;1
195111;172.6;1
195112;41;1
195201;78.3;1
195202;43.8;1
195203;92.3;1
195204;57.3;1
195205;50.1;1
195206;58.5;1
195207;0.2;1
195208;112.5;1
195209;65.2;1
195210;127.8;1
195211;129.7;1
195212;102.4;1
195301;16.3;1
195302;20;1
195303;2.2;1
195304;45.2;1
195305;14.4;1
195306;129.5;1
195307;66.9;1
195308;51.3;1
195309;51.6;1
195310;63.6;1
195311;9.1;1
195312;20.8;1
195401;40.5;1
195402;47.4;1
195403;45.2;1
195404;39.1;1
195405;48.4;1
195406;32.9;1
195407;43.6;1
195408;149.3;1
195409;86.5;1
195410;37.5;1
195411;45.1;1
195412;103.6;1
195501;138;1
195502;89.9;1
195503;40.5;1
195504;1.1;1
195505;63;1
195506;113.6;1
195507;73.9;1
195508;54.8;1
195509;21;1
195510;25.1;1
195511;55.9;1
195512;85.1;1
195601;70.1;1
195602;15.6;1
195603;45.6;1
195604;49.4;1
195605;108.9;1
195606;63.3;1
195607;154.5;1
195608;92;1
195609;147.8;1
195610;81.1;1
195611;31.2;1
195612;51.5;1
195701;38.8;1
195702;110.6;1
195703;16;1
195704;47.7;1
195705;35;1
195706;165.5;1
195707;55.3;1
195708;43.1;1
195709;33.8;1
195710;26.2;1
195711;28.7;1
195712;35.5;1
195801;92;1
195802;49.8;1
195803;82.8;1
195804;27;1
195805;49.4;1
195806;92.5;1
195807;65.4;1
195808;95.8;1
195809;140.2;1
195810;44.8;1
195811;68.4;1
195812;71.5;1
195901;87.4;1
195902;0.3;1
195903;117.1;1
195904;79.2;1
195905;15.3;1
195906;90.9;1
195907;26.2;1
195908;39.3;1
195909;30.5;1
195910;44.8;1
195911;73.5;1
195912;84.2;1
196001;48.7;1
196002;73.6;1
196003;80.9;1
196004;16.3;1
196005;32.8;1
196006;83.4;1
196007;71.5;1
196008;76;1
196009;121.8;1
196010;182.3;1
196011;65.9;1
196012;57.6;1
196101;86.7;1
196102;62.1;1
196103;6.8;1
196104;61.1;1
196105;63;1
196106;39.5;1
196107;51;1
196108;80.8;1
196109;16.9;1
196110;134.3;1
196111;47.9;1
196112;69.7;1
196201;74.6;1
196202;61.8;1
