# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 8092001
# NOM_USUEL= CAUROY
# LATITUDE (°) = 49.347
# LONGITUDE(°)= 4.465
# ALTITUDE (m) = 139
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2021-12-31
# NUM_SERIE= MRR008092001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195901 201712
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195901 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;59.3;1
195902;4.2;1
195903;39.6;1
195904;108;1
195905;14.2;1
195906;49.1;1
195907;22;1
195908;28.4;1
195909;0;1
195910;61.5;1
195911;35.3;1
195912;85;1
196001;44;1
196002;50.8;1
196003;68.1;1
196004;19.1;1
196005;59.8;1
196006;45.9;1
196007;121.7;1
196008;106.1;1
196009;40.2;1
196010;79.4;1
196011;53.7;1
196012;55.3;1
196101;59.6;1
196102;78.5;1
196103;4.2;1
196104;79.9;1
196105;39.9;1
196106;92.1;1
196107;61.8;1
196108;13.1;1
196109;53;1
196110;88.1;1
196111;41.5;1
196112;41.9;1
196201;72.6;1
196202;46.9;1
196203;61.3;1
196204;56.1;1
196205;28;1
196206;7.8;1
196207;59.5;1
196208;22.2;1
196209;36.9;1
196210;26.4;1
196211;58.8;1
196212;58.8;1
196301;19.4;1
196302;17.5;1
196303;43.6;1
196304;23.3;1
196305;78.1;1
196306;110.1;1
196307;24.8;1
196308;110.8;1
196309;30;1
196310;50.1;1
196311;105.8;1
196312;8;1
196401;26.2;1
196402;29.7;1
196403;78.3;1
196404;37.3;1
196405;26;1
196406;31.6;1
196407;35.1;1
196408;43.5;1
196409;49.6;1
196410;66.3;1
196411;94.9;1
196412;33.9;1
196501;115.3;1
196502;6.9;1
196503;72.6;1
196504;75.1;1
196505;32.1;1
196506;92.5;1
196507;88.6;1
196508;91.2;1
196509;94.2;1
196510;15.8;1
196511;119;1
196512;142.4;1
196601;44.3;1
196602;69.6;1
196603;29.3;1
196604;70.1;1
196605;42.9;1
196606;75.6;1
196607;126.2;1
196608;65.1;1
196609;16.6;1
196610;121.4;1
196611;85.7;1
196612;136;1
196701;32.2;1
196702;36.1;1
196703;44.4;1
196704;28.2;1
196705;56.3;1
196706;37.8;1
196707;25.8;1
196708;71.1;1
196709;110.2;1
196710;87.3;1
196711;80.6;1
196712;81.1;1
196801;109.1;1
196802;50.7;1
196803;52;1
196804;38.4;1
196805;46.7;1
196806;85.4;1
196807;55.5;1
196808;85;1
196809;79.8;1
196810;33.3;1
196811;23.1;1
196812;45.3;1
196901;45;1
196902;40.2;1
196903;60.1;1
196904;64.6;1
196905;87.3;1
196906;88.2;1
196907;35;1
196908;78.2;1
196909;23.6;1
196910;1.2;1
196911;86.4;1
196912;79.3;1
197001;56.6;1
197002;156.3;1
197003;66.2;1
197004;68.6;1
197005;25.6;1
197006;42.3;1
197007;82;1
197008;28.4;1
197009;68.1;1
197010;30.8;1
197011;47;1
197012;29.9;1
197101;63.3;1
197102;48.2;1
197103;21.5;1
197104;18.2;1
197105;57.2;1
197106;91.1;1
197107;55.6;1
197108;68.5;1
197109;16.3;1
197110;28.2;1
197111;78.2;1
197112;11.7;1
197201;55.5;1
197202;45.9;1
197203;25;1
197204;41.4;1
197205;65.3;1
197206;33.6;1
197207;74.9;1
197208;96;1
197209;69.9;1
197210;31;1
197211;99;1
197212;16.8;1
197301;23.9;1
197302;52.8;1
197303;7.4;1
197304;37.1;1
