# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 69251001
# NOM_USUEL= TRADES
# LATITUDE (°) = 46.279
# LONGITUDE(°)= 4.567
# ALTITUDE (m) = 445
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2020-12-31
# NUM_SERIE= MRR069251001
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195001 202012
# Date(s) de rupture(s) d'homogénéité : 196610
#     Periode homogénéisée  195001 202012  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;41.8;1
195002;95.7;1
195003;28.4;1
195004;139.6;1
195005;44;1
195006;8;1
195007;51.6;1
195008;64.4;1
195009;45.1;1
195010;8;1
195011;201.5;1
195012;57.3;1
195101;60.4;1
195102;83.9;1
195103;83.7;1
195104;57.1;1
195105;123.1;1
195106;81;1
195107;29.1;1
195108;123.7;1
195109;55.7;1
195110;58.6;1
195111;174.5;1
195112;64.9;1
195201;138.1;1
195202;53.1;1
195203;103.1;1
195204;38;1
195205;36.6;1
195206;35;1
195207;10.4;1
195208;107.3;1
195209;94.9;1
195210;141.7;1
195211;116.2;1
195212;119.4;1
195301;15.3;1
195302;24.8;1
195303;1.6;1
195304;46.4;1
195305;26.7;1
195306;152.5;1
195307;104.7;1
195308;62.2;1
195309;75.2;1
195310;75.1;1
195311;12;1
195312;24.8;1
195401;51.5;1
195402;71.4;1
195403;85.7;1
195404;19.2;1
195405;68.8;1
195406;56.6;1
195407;36.3;1
195408;165.5;1
195409;133.5;1
195410;49.7;1
195411;76.9;1
195412;103.6;1
195501;149.7;1
195502;105.4;1
195503;34.6;1
195504;1.6;1
195505;67.8;1
195506;114.4;1
195507;92;1
195508;88.1;1
195509;33.1;1
195510;27.1;1
195511;40.7;1
195512;84.3;1
195601;68.6;1
195602;9.3;1
195603;74.1;1
195604;65.8;1
195605;110.8;1
195606;82.6;1
195607;92.5;1
195608;180.1;1
195609;178;1
195610;102.8;1
195611;30.7;1
195612;50.8;1
195701;39.7;1
195702;143.1;1
195703;7.1;1
195704;15.9;1
195705;33.7;1
195706;145.4;1
195707;67.3;1
195708;24.4;1
195709;62;1
195710;35.6;1
195711;11.6;1
195712;61.7;1
195801;109.9;1
195802;76;1
195803;85.7;1
195804;39.2;1
195805;54.2;1
195806;127.3;1
195807;50.6;1
195808;108.3;1
195809;122.1;1
195810;54.7;1
195811;83.4;1
195812;79.4;1
195901;77.9;1
195902;0;1
195903;92.7;1
195904;99.9;1
195905;5.4;1
195906;64.7;1
195907;5.9;1
195908;50.8;1
195909;62.8;1
195910;57.6;1
195911;70.1;1
195912;69.5;1
196001;56.9;1
196002;82.2;1
196003;90.7;1
196004;18;1
196005;54.1;1
196006;72.5;1
196007;84.8;1
196008;105.7;1
196009;176.6;1
196010;157.1;1
196011;66.5;1
196012;62.6;1
196101;94.3;1
196102;65.2;1
196103;4.8;1
196104;94.6;1
196105;56;1
196106;45;1
196107;64.5;1
196108;79.9;1
196109;25;1
196110;135.8;1
196111;36.4;1
196112;78;1
196201;71.7;1
196202;73.7;1
196203;101.1;1
196204;124.6;1
196205;86.5;1
196206;22.7;1
196207;39.2;1
196208;44;1
196209;104.7;1
196210;40.8;1
196211;52.4;1
196212;125.7;1
196301;42.5;1
196302;53.2;1
196303;111.5;1
196304;60.6;1
196305;59.7;1
196306;97.4;1
196307;60.5;1
196308;208.7;1
196309;40.6;1
196310;56.1;1
196311;127.2;1
196312;17.8;1
196401;25.6;1
196402;26.3;1
196403;67.3;1
196404;75.1;1
196405;65.6;1
196406;51.7;1
196407;15.7;1
196408;33.3;1
196409;109.1;1
196410;82.2;1
196411;23.2;1
196412;44.1;1
196501;94.2;1
196502;8.1;1
196503;65.6;1
196504;121.4;1
196505;115.7;1
196506;52.5;1
196507;117.2;1
196508;80.4;1
196509;214.9;1
196510;35;1
196511;163.2;1
196512;155.4;1
196601;86.8;1
196602;128.3;1
196603;61.5;1
196604;79.7;1
196605;62.9;1
196606;64.6;1
196607;63.5;1
196608;64.4;1
196609;28.6;1
196610;114.8;1
196611;135.9;1
196612;102.4;1
196701;63.3;1
196702;56.7;1
196703;82.1;1
196704;30;1
196705;110.3;1
196706;95.7;1
196707;35;1
196708;68.4;1
196709;126.4;1
196710;43.6;1
196711;109.4;1
196712;47;1
196801;147.1;1
196802;46.2;1
196803;28.1;1
