# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 88531002
# NOM_USUEL= LONGEMER
# LATITUDE (°) = 48.069
# LONGITUDE(°)= 6.949
# ALTITUDE (m) = 745
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2022-04-30
# NUM_SERIE= MRR188531002
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195001 201912
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195001 201912  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;91.4;1
195002;364.5;1
195003;32.8;1
195004;267.7;1
195005;128.2;1
195006;102.1;1
195007;105.5;1
195008;144.8;1
195009;194.1;1
195010;61.2;1
195011;512.3;1
195012;155.3;1
195101;236.7;1
195102;189.6;1
195103;252.8;1
195104;144.5;1
195105;119.4;1
195106;221.7;1
195107;97.2;1
195108;145.6;1
195109;91.7;1
195110;62.8;1
195111;271.2;1
195112;136.4;1
195201;199.7;1
195202;103.1;1
195203;281.8;1
195204;52;1
195205;62.7;1
195206;109.3;1
195207;20.9;1
195208;102.7;1
195209;274.8;1
195210;419.3;1
195211;278.2;1
195212;225.8;1
195301;22.1;1
195302;91.3;1
195303;12.5;1
195304;76.8;1
195305;81;1
195306;251.6;1
195307;192.7;1
195308;57.9;1
195309;101.4;1
195310;35.4;1
195311;32.1;1
195312;38;1
195401;143.8;1
195402;119.9;1
195403;70.1;1
195404;103.6;1
195405;93.4;1
195406;104.7;1
195407;163.7;1
195408;261.9;1
195409;286.6;1
195410;157.1;1
195411;132.2;1
195412;298.2;1
195501;333;1
195502;167.4;1
195503;101.7;1
195504;36.8;1
195505;179.9;1
195506;198.8;1
195507;164.4;1
195508;94.5;1
195509;100.5;1
195510;87.6;1
195511;29.5;1
195512;288.7;1
195601;189.5;1
195602;26.8;1
195603;121.3;1
195604;134.7;1
195605;134.5;1
195606;115.3;1
195607;241.6;1
195608;194.5;1
195609;132;1
195610;192.8;1
195611;142.4;1
195612;81.7;1
195701;84.1;1
195702;393;1
195703;109;1
195704;42.5;1
195705;80.1;1
195706;172.8;1
195707;239;1
195708;161.1;1
195709;221.1;1
195710;31.8;1
195711;46.6;1
195712;131.5;1
195801;191.2;1
195802;397.3;1
195803;75;1
195804;120.5;1
195805;142;1
195806;159.7;1
195807;164.4;1
195808;221.8;1
195809;161.4;1
195810;150.8;1
195811;81.6;1
195812;290.8;1
195901;317.3;1
195902;21;1
195903;120;1
195904;222;1
195905;58.6;1
195906;161.8;1
195907;90.8;1
195908;73.7;1
195909;5.1;1
195910;85.7;1
195911;73.1;1
195912;248.6;1
196001;154.7;1
196002;197.6;1
196003;103.1;1
196004;44.6;1
196005;87.6;1
196006;278;1
196007;179.3;1
196008;270.2;1
196009;130.6;1
196010;208.7;1
196011;224.7;1
196012;116.5;1
196101;279.8;1
196102;160.2;1
196103;75.5;1
196104;127.6;1
196105;125.2;1
196106;129.2;1
196107;224.9;1
196108;93.9;1
196109;63.6;1
196110;158.8;1
196111;68.6;1
196112;320.6;1
196201;250.1;1
196202;166.3;1
196203;250.2;1
196204;187.6;1
196205;165.4;1
196206;5.8;1
196207;95.8;1
196208;101.9;1
196209;202.6;1
196210;29.8;1
196211;62.1;1
196212;231.8;1
196301;59.8;1
196302;49.3;1
196303;196.1;1
196304;110.9;1
196305;99.2;1
196306;273.9;1
196307;83.1;1
196308;303.4;1
196309;72;1
196310;85.3;1
196311;414.8;1
196312;5.4;1
196401;36.9;1
196402;74.8;1
196403;136.6;1
196404;111;1
196405;139.3;1
196406;118.8;1
196407;38.5;1
196408;116.8;1
196409;126.9;1
196410;245.2;1
196411;268.5;1
196412;49.3;1
196501;279.8;1
196502;37.3;1
196503;322.5;1
196504;213.8;1
196505;215.4;1
196506;169.6;1
196507;149.6;1
196508;84.1;1
196509;287.9;1
