# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 76312001
# NOM_USUEL= GOURNAY
# LATITUDE (°) = 49.478
# LONGITUDE(°)= 1.716
# ALTITUDE (m) = 111
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2021-12-31
# NUM_SERIE= MRR176312001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195501 201412
# Date(s) de rupture(s) d'homogénéité : 196902
#     Periode homogénéisée  195501 201412  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;101.8;1
195502;110.8;1
195503;23.5;1
195504;4.5;1
195505;127.6;1
195506;54.8;1
195507;76.7;1
195508;14.5;1
195509;47;1
195510;43.1;1
195511;7.3;1
195512;111.9;1
195601;70.5;1
195602;7.3;1
195603;4.3;1
195604;43.3;1
195605;6.7;1
195606;76.1;1
195607;40.6;1
195608;83.9;1
195609;36.1;1
195610;51.5;1
195611;36.1;1
195612;38.9;1
195701;21.6;1
195702;187.8;1
195703;25;1
195704;15.3;1
195705;25.7;1
195706;86.2;1
195707;58;1
195708;81.1;1
195709;121.4;1
195710;16.1;1
195711;33.8;1
195712;60.2;1
195801;117.4;1
195802;134.3;1
195803;32.1;1
195804;37.5;1
195805;73;1
195806;127;1
195807;52;1
195808;108;1
195809;45.3;1
195810;56.5;1
195811;61.2;1
195812;87.5;1
195901;105.2;1
195902;0;1
195903;53.2;1
195904;64.9;1
195905;37.5;1
195906;99.3;1
195907;52.6;1
195908;52.4;1
195909;1.7;1
195910;62.1;1
195911;53.7;1
195912;113.4;1
196001;48.8;1
196002;56.8;1
196003;81.7;1
196004;15.4;1
196005;75.4;1
196006;57.6;1
196007;91;1
196008;90.1;1
196009;68.4;1
196010;146;1
196011;120.1;1
196012;74.5;1
196101;120.4;1
196102;64.8;1
196103;3.2;1
196104;31.9;1
196105;23.5;1
196106;30.4;1
196107;61.7;1
196108;10.1;1
196109;72.4;1
196110;107.5;1
196111;78.4;1
196112;97.2;1
196201;95.6;1
196202;30;1
196203;63.7;1
196204;66.9;1
196205;52.5;1
196206;4.5;1
196207;86.7;1
196208;51;1
196209;54.6;1
196210;53.2;1
196211;109.1;1
196212;61.2;1
196301;15.7;1
196302;10.5;1
196303;94.6;1
196304;56.8;1
196305;62;1
196306;75.7;1
196307;11.4;1
196308;136.3;1
196309;50.1;1
196310;28.2;1
196311;120.1;1
196312;16.6;1
196401;20.1;1
196402;51.9;1
196403;74.3;1
196404;55.2;1
196405;30;1
196406;72.1;1
196407;21.8;1
196408;30.6;1
196409;25.3;1
196410;124.3;1
196411;62.6;1
196412;82.5;1
196501;137.1;1
196502;7.4;1
196503;87;1
196504;62.3;1
196505;49.5;1
196506;89.2;1
196507;69.4;1
196508;31.9;1
196509;105.4;1
196510;31;1
