# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 11243001
# NOM_USUEL= MONTFERRAND
# LATITUDE (°) = 43.354
# LONGITUDE(°)= 1.822
# ALTITUDE (m) = 190
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2022-07-31
# NUM_SERIE= MRR111243001
# Amplitude minimale détectable de la série = 0.1
# Période homogénéisée : 195001 201712
# Date(s) de rupture(s) d'homogénéité : 196112 199112
#     Periode homogénéisée  195001 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;27.9;1
195002;42.8;1
195003;50.8;1
195004;79.7;1
195005;24.9;1
195006;5;1
195007;41.8;1
195008;74.7;1
195009;16.9;1
195010;45.8;1
195011;41.8;1
195012;99.6;1
195101;71.7;1
195102;77.7;1
195103;70.7;1
195104;31.9;1
195105;157.3;1
195106;86.6;1
195107;13.9;1
195108;71.7;1
195109;40.8;1
195110;81.6;1
195111;73.7;1
195112;64.7;1
195201;117.5;1
195202;78.7;1
195203;40.8;1
195204;29.9;1
195205;22.9;1
195206;22.9;1
195207;22.9;1
195208;28.9;1
195209;20.9;1
195210;71.7;1
195211;64.7;1
195212;92.6;1
195301;26.9;1
195302;41.8;1
195303;10;1
195304;52.8;1
195305;37.8;1
195306;158.3;1
195307;32.9;1
195308;35.8;1
195309;53.8;1
195310;36.8;1
195311;45.8;1
195312;34.8;1
195401;55.8;1
195402;103.5;1
195403;78.7;1
195404;38.8;1
195405;82.6;1
195406;29.9;1
195407;32.9;1
195408;70.7;1
195409;69.7;1
195410;33.9;1
195411;33.9;1
195412;41.8;1
195501;116.5;1
195502;42.8;1
195503;2;1
195504;0;1
195505;31.9;1
195506;59.7;1
195507;111.5;1
195508;20.9;1
195509;55.8;1
195510;24.9;1
195511;47.8;1
195512;90.6;1
195601;44.8;1
195602;11;1
195603;5;1
195604;90.6;1
195605;101.6;1
195606;58.7;1
195607;42.8;1
195608;93.6;1
195609;138.4;1
195610;39.8;1
195611;61.7;1
195612;34.8;1
195701;16.9;1
195702;44.8;1
195703;99.6;1
195704;61.7;1
195705;115.5;1
195706;225;1
195707;28.9;1
195708;43.8;1
195709;35.8;1
195710;6;1
195711;84.6;1
195712;13.9;1
195801;51.8;1
195802;11.9;1
195803;151.3;1
195804;44.8;1
195805;61.7;1
195806;72.7;1
195807;69.7;1
195808;62.7;1
195809;39.8;1
195810;95.6;1
195811;97.6;1
195812;86.6;1
195901;42.8;1
195902;61.7;1
195903;74.7;1
195904;87.6;1
195905;66.7;1
195906;117.5;1
195907;27.9;1
195908;46.8;1
195909;107.5;1
195910;65.7;1
195911;75.7;1
195912;158.3;1
196001;42.8;1
196002;22.9;1
196003;59.7;1
196004;12.9;1
196005;22.9;1
196006;66.7;1
196007;41.4;1
196008;60.7;1
196009;87.6;1
196010;97.6;1
196011;64.5;1
196012;133.4;1
196101;69.7;1
196102;38.8;1
196103;0;1
196104;115.5;1
196105;83.6;1
196106;57.7;1
196107;33.9;1
196108;22.9;1
196109;52.8;1
196110;63.7;1
196111;54.8;1
196112;52.8;1
196201;66.2;1
196202;54.5;1
196203;48.1;1
196204;66.8;1
196205;104.2;1
196206;61.7;1
196207;27.4;1
196208;15.5;1
196209;49.6;1
196210;28.7;1
196211;119.7;1
196212;61.1;1
196301;38.1;1
196302;81.4;1
196303;46.6;1
196304;80.6;1
196305;31.5;1
196306;100.4;1
196307;73.3;1
196308;69.2;1
196309;148.8;1
196310;18.4;1
196311;39.9;1
196312;34.7;1
196401;10.2;1
196402;58.6;1
196403;70.7;1
196404;44.8;1
196405;33.4;1
196406;28.4;1
196407;64.2;1
196408;36.9;1
196409;36.9;1
196410;97.3;1
196411;57.7;1
196412;52.8;1
196501;58.7;1
196502;22.9;1
196503;54.8;1
196504;73.6;1
196505;98;1
196506;38.6;1
196507;24.7;1
196508;47.1;1
196509;76;1
196510;101.5;1
196511;77.8;1
196512;174.2;1
196601;107.1;1
196602;67.6;1
196603;27.7;1
196604;105;1
196605;106.3;1
196606;51.8;1
196607;33.1;1
196608;34.1;1
196609;50;1
196610;125.7;1
196611;70;1
196612;105.3;1
196701;45.1;1
196702;23.3;1
196703;36.1;1
196704;18.8;1
196705;59.7;1
196706;66.8;1
196707;7.2;1
196708;10.2;1
196709;34.3;1
196710;23.5;1
196711;53.1;1
196712;49.8;1
196801;80;1
196802;67;1
196803;36.1;1
196804;62.8;1
196805;131.1;1
196806;43.6;1
196807;31.4;1
196808;67.5;1
196809;34.6;1
196810;34.5;1
196811;226.1;1
196812;84.4;1
196901;39;1
196902;52.5;1
196903;117.4;1
196904;78.5;1
196905;77.8;1
196906;44.7;1
196907;58.1;1
196908;69;1
196909;116.9;1
196910;21.5;1
196911;30.1;1
196912;102.5;1
197001;39.2;1
197002;43.9;1
197003;60.8;1
197004;50.4;1
197005;89.9;1
197006;59;1
197007;0.7;1
197008;55.1;1
197009;2.1;1
197010;125.6;1
197011;48.2;1
197012;21.9;1
197101;114.9;1
197102;72;1
197103;147.1;1
197104;61.8;1
197105;63.5;1
197106;116.7;1
197107;40.9;1
197108;31;1
197109;107.8;1
197110;11.1;1
197111;61.2;1
197112;126.1;1
197201;128.1;1
197202;97.5;1
197203;42.8;1
197204;144.3;1
197205;121.4;1
197206;80.9;1
197207;15.4;1
197208;54.8;1
197209;61;1
197210;60.7;1
197211;32.7;1
197212;23;1
197301;61.4;1
197302;112.7;1
197303;21.5;1
197304;21.2;1
197305;48.6;1
197306;102.7;1
197307;43.6;1
197308;53.7;1
197309;48;1
197310;25.1;1
197311;38.1;1
197312;112;1
197401;39.5;1
197402;104.9;1
197403;121.1;1
197404;72.6;1
197405;73.2;1
197406;38.4;1
197407;59.2;1
197408;66.8;1
197409;124.6;1
197410;131.6;1
197411;72.6;1
197412;20.2;1
197501;53.6;1
197502;11.5;1
197503;91.6;1
197504;39.3;1
197505;96.1;1
197506;78.9;1
197507;29;1
197508;97.1;1
197509;66.5;1
197510;19.6;1
197511;134.8;1
197512;12;1
197601;20.9;1
197602;22.1;1
197603;51.9;1
197604;120.7;1
197605;33.7;1
197606;0;1
197607;44.8;1
197608;51.7;1
197609;61.7;1
197610;128.3;1
197611;49.7;1
197612;54.5;1
197701;37.5;1
197702;37.3;1
197703;38;1
197704;67.1;1
197705;183.3;1
197706;90.9;1
197707;133.8;1
197708;47.7;1
197709;0.1;1
197710;26.4;1
197711;51.4;1
197712;29.9;1
197801;110.6;1
197802;130.6;1
197803;136;1
197804;121.9;1
197805;135.7;1
197806;114.1;1
197807;30.7;1
197808;19.1;1
197809;20.8;1
197810;14.7;1
197811;5.8;1
197812;44.8;1
197901;80.1;1
197902;75.5;1
197903;76.2;1
197904;77.5;1
197905;65.8;1
197906;29.8;1
197907;9.3;1
197908;54.9;1
197909;17.6;1
197910;167.8;1
197911;54.6;1
197912;74.6;1
198001;80.5;1
198002;22.7;1
198003;95;1
198004;35.3;1
198005;124.2;1
198006;32.6;1
198007;76.2;1
198008;54.6;1
198009;19.1;1
198010;85.3;1
198011;61.2;1
198012;71.8;1
198101;112;1
198102;25;1
198103;59.4;1
198104;71.7;1
198105;72.1;1
198106;58;1
198107;66.6;1
198108;11.5;1
198109;23.7;1
198110;70.3;1
198111;23.3;1
198112;148.8;1
198201;84.6;1
198202;85.8;1
198203;58.2;1
198204;19.4;1
198205;29.8;1
198206;50.6;1
198207;50.9;1
198208;68.7;1
198209;30.9;1
198210;142.3;1
198211;34.3;1
198212;115.3;1
198301;10.5;1
198302;76.3;1
198303;43.3;1
198304;53.3;1
198305;59.4;1
198306;48.1;1
198307;9.6;1
198308;97.7;1
198309;25.4;1
198310;38.1;1
198311;22.2;1
198312;53;1
198401;82.2;1
198402;48.9;1
198403;33.4;1
198404;54.2;1
198405;127.4;1
198406;42.8;1
198407;11;1
198408;61.8;1
198409;114.9;1
198410;33;1
198411;66.4;1
198412;55;1
198501;44;1
198502;88.9;1
198503;73.8;1
198504;56.3;1
198505;104.6;1
198506;97.8;1
198507;31.2;1
198508;28;1
198509;0.5;1
198510;58;1
198511;51.4;1
198512;53.2;1
198601;136.1;1
198602;39.6;1
198603;44.7;1
198604;118.1;1
198605;29.8;1
198606;10.2;1
198607;4.7;1
198608;27.6;1
198609;45.7;1
198610;39.1;1
198611;55.4;1
198612;93.8;1
198701;33.8;1
198702;54.4;1
198703;87.8;1
198704;44.3;1
198705;55.1;1
198706;44.7;1
198707;86.9;1
198708;24.5;1
198709;37;1
198710;61.8;1
198711;55.5;1
198712;6.2;1
198801;119.4;1
198802;49.4;1
198803;130.8;1
198804;130.8;1
198805;64;1
198806;44.3;1
198807;33.9;1
198808;54.8;1
198809;43.8;1
198810;8.1;1
198811;30.3;1
198812;32.4;1
198901;30.7;1
198902;53.6;1
198903;48.2;1
198904;121.7;1
198905;12;1
198906;11.5;1
198907;19.6;1
198908;26.4;1
198909;69.1;1
198910;31.4;1
198911;31.7;1
198912;6.7;1
199001;36.4;1
199002;106.3;1
199003;10.7;1
199004;98.4;1
199005;112;1
199006;37.1;1
199007;33.7;1
199008;32.2;1
199009;42.1;1
199010;108.2;1
199011;49;1
199012;68.5;1
199101;28.5;1
199102;30.3;1
199103;97;1
199104;72.7;1
199105;111.3;1
199106;42.4;1
199107;25.1;1
199108;67.7;1
199109;72.1;1
199110;50.4;1
199111;83.6;1
199112;24.4;1
199201;68.4;1
199202;23.2;1
199203;50.7;1
199204;107;1
199205;75.3;1
199206;219.5;1
199207;91.3;1
199208;38.5;1
199209;67.3;1
199210;200.7;1
199211;64.5;1
199212;40.9;1
199301;4.7;1
199302;21.4;1
199303;28.4;1
199304;176.9;1
199305;94.5;1
199306;54.6;1
199307;55.8;1
199308;61.1;1
199309;143.7;1
199310;101.8;1
199311;53.9;1
199312;79.9;1
199401;47.5;1
199402;94.8;1
199403;31.7;1
199404;139.8;1
199405;63;1
199406;95.1;1
199407;3.4;1
199408;11.5;1
199409;121.6;1
199410;36.4;1
199411;36.6;1
199412;47.6;1
199501;103.6;1
199502;65;1
199503;50.6;1
199504;39.9;1
199505;97.8;1
199506;44;1
199507;29.6;1
199508;54.1;1
199509;110.6;1
199510;37.5;1
199511;32.5;1
199512;81.8;1
199601;91.3;1
199602;98.2;1
199603;84.7;1
199604;66.2;1
199605;85.7;1
199606;39.5;1
199607;73.8;1
199608;76.8;1
199609;88.4;1
199610;69.7;1
199611;187.4;1
199612;89.2;1
199701;73.8;1
199702;27.9;1
199703;14.8;1
199704;24.8;1
199705;106.7;1
199706;48.9;1
199707;37.1;1
199708;123.2;1
199709;20.2;1
199710;71.2;1
199711;85.7;1
199712;69.4;1
199801;46.3;1
199802;21.9;1
199803;33.2;1
199804;102.2;1
199805;45.5;1
199806;58.9;1
199807;44.3;1
199808;38.9;1
199809;88.7;1
199810;82.9;1
199811;103.8;1
199812;37.6;1
199901;79.9;1
199902;27.6;1
199903;40;1
199904;93.7;1
199905;108.5;1
199906;18.2;1
199907;147;1
199908;42.6;1
199909;60.6;1
199910;41;1
199911;117.6;1
199912;88.6;1
200001;10.1;1
200002;76.5;1
200003;83.1;1
200004;98.8;1
200005;55.2;1
200006;166.3;1
200007;75.8;1
200008;77.8;1
200009;25.6;1
200010;123.8;1
200011;61.1;1
200012;47.4;1
200101;87.9;1
200102;23;1
200103;81.9;1
200104;92.9;1
200105;72.2;1
200106;46.3;1
200107;42.3;1
200108;61.3;1
200109;19.4;1
200110;22.6;1
200111;51.4;1
200112;18.1;1
200201;34.3;1
200202;67.4;1
200203;19.3;1
200204;75.3;1
200205;117.6;1
200206;94.5;1
200207;43.4;1
200208;73.5;1
200209;39;1
200210;72.9;1
200211;68.4;1
200212;91;1
200301;75.4;1
200302;54.6;1
200303;44.4;1
200304;45.1;1
200305;66.3;1
200306;55.5;1
200307;3.4;1
200308;47.1;1
200309;50.9;1
200310;45.4;1
200311;46.9;1
200312;150.6;1
200401;198;1
200402;15.1;1
200403;57.3;1
200404;102.2;1
200405;46.5;1
200406;15;1
200407;16.5;1
200408;66.3;1
200409;38.4;1
200410;140.3;1
200411;58;1
200412;55;1
200501;36.3;1
200502;28.3;1
200503;20.8;1
200504;70.9;1
200505;59.3;1
200506;25.4;1
200507;10.3;1
200508;55.1;1
200509;82.1;1
200510;36.2;1
200511;94.6;1
200512;52;1
200601;47;1
200602;20;1
200603;111.2;1
200604;24.3;1
200605;53.8;1
200606;20.3;1
200607;34.5;1
200608;37.3;1
200609;100.7;1
200610;48.6;1
200611;36.6;1
200612;18.5;1
200701;28.3;1
200702;111;1
200703;60;1
200704;56.8;1
200705;119;1
200706;61.9;1
200707;31.9;1
200708;56.1;1
200709;21.2;1
200710;45.5;1
200711;7.3;1
200712;72.4;1
200801;67.7;1
200802;9.9;1
200803;74.3;1
200804;77.8;1
200805;102.3;1
200806;83.2;1
200807;50.5;1
200808;19.3;1
200809;31.7;1
200810;58.7;1
200811;156.1;1
200812;82.9;1
200901;97.8;1
200902;36.2;1
200903;33.3;1
200904;167.8;1
200905;41.1;1
200906;40.6;1
200907;36.8;1
200908;21.8;1
200909;17.6;1
200910;45.9;1
200911;77.6;1
200912;59.3;1
201001;98;1
201002;36;1
201003;43.9;1
201004;34.5;1
201005;131.3;1
201006;90.9;1
201007;25;1
201008;19.8;1
201009;49.5;1
201010;123.3;1
201011;51.4;1
201012;15.4;1
201101;34.4;1
201102;47.7;1
201103;64.9;1
201104;89.2;1
201105;71.1;1
201106;54.1;1
201107;96.5;1
201108;15.1;1
201109;43;1
201110;22.6;1
201111;37.3;1
201112;54.6;1
201201;45.3;1
201202;24.9;1
201203;28.8;1
201204;88;1
201205;82.5;1
201206;64.1;1
201207;27.8;1
201208;52.4;1
201209;42.9;1
201210;47.8;1
201211;57.1;1
201212;55.1;1
201301;148;1
201302;84.7;1
201303;59.2;1
201304;95.6;1
201305;144.2;1
201306;42.4;1
201307;48.2;1
201308;84.4;1
201309;30.9;1
201310;21.5;1
201311;169.3;1
201312;28.9;1
201401;124.6;1
201402;90.3;1
201403;46.8;1
201404;101.4;1
201405;55.3;1
201406;73.4;1
201407;99.3;1
201408;52.3;1
201409;22.7;1
201410;19.3;1
201411;89.1;1
201412;75.4;1
201501;51.4;1
201502;98.8;1
201503;66;1
201504;119.4;1
201505;19.3;1
201506;53.9;1
201507;48.7;1
201508;76.1;1
201509;18.6;1
201510;24.6;1
201511;62.8;1
201512;7.1;1
201601;70;1
201602;105.2;1
201603;55.7;1
201604;59.4;1
201605;85.1;1
201606;51.9;1
201607;39.9;1
201608;6.2;1
201609;13;1
201610;47.5;1
201611;61.9;1
201612;9.9;1
201701;48.7;1
201702;36.8;1
201703;141.9;1
201704;34.5;1
201705;82.7;1
201706;67.5;1
201707;44.1;1
201708;26;1
201709;46.2;1
201710;15.3;1
201711;47.2;1
201712;79.9;1
201801;112;0
201802;92.7;0
201803;98.9;0
201804;87.6;0
201805;153.3;0
201806;92.2;0
201807;149;0
201808;44.2;0
201809;32;0
201810;119.2;0
201811;36.4;0
201812;52.4;0
201901;81.3;0
201902;36.1;0
201903;10.5;0
201904;60.5;0
201905;84.3;0
201906;40.7;0
201907;29;0
201908;48.9;0
201909;39.9;0
201910;90.8;0
201911;117.9;0
201912;101.9;0
202001;89.9;0
202002;40.7;0
202003;76.6;0
202004;87.6;0
202005;80.5;0
202006;70.5;0
202007;1;0
202008;28.9;0
202009;69.7;0
202010;72.5;0
202011;19.5;0
202012;135.2;0
202101;89.9;0
202102;40.4;0
202103;15.4;0
202104;27.5;0
202105;59.1;0
202106;48.4;0
202107;37.1;0
202108;18.6;0
202109;104.3;0
202110;34.6;0
202111;82;0
202112;80;0
202201;77.9;0
202202;21.6;0
202203;50.8;0
202204;59;0
202205;24.7;0
202206;46.2;0
202207;11.2;0
