# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 72168002
# NOM_USUEL= LOUE
# LATITUDE (°) = 47.995
# LONGITUDE(°)= -0.157
# ALTITUDE (m) = 77
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2020-12-31
# NUM_SERIE= MRR172168002
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195101 202012
# Date(s) de rupture(s) d'homogénéité : 197412
#     Periode homogénéisée  195101 202012  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;66.4;1
195102;94.9;1
195103;87.8;1
195104;60.5;1
195105;99.5;1
195106;108.1;1
195107;37.5;1
195108;111.3;1
195109;66.9;1
195110;48.2;1
195111;114.2;1
195112;87.9;1
195201;102.6;1
195202;48.6;1
195203;100.7;1
195204;32.5;1
195205;43.6;1
195206;16.4;1
195207;53.7;1
195208;63.9;1
195209;149.1;1
195210;123.2;1
195211;106.6;1
195212;169.4;1
195301;19.1;1
195302;39.7;1
195303;1.6;1
195304;70.8;1
195305;25.6;1
195306;40.5;1
195307;90.3;1
195308;17.1;1
195309;81.2;1
195310;71.9;1
195311;26.3;1
195312;20.1;1
195401;42.6;1
195402;63.9;1
195403;95.9;1
195404;7.5;1
195405;27.9;1
195406;42.6;1
195407;32;1
195408;90.5;1
195409;79.9;1
195410;42.6;1
195411;74.6;1
195412;74.6;1
195501;128.3;1
195502;114.8;1
195503;32;1
195504;4.8;1
195505;68.6;1
195506;99.6;1
195507;47.1;1
195508;13;1
195509;30.1;1
195510;43.1;1
195511;24.3;1
195512;104;1
195601;129.3;1
195602;7.1;1
195603;33.9;1
195604;57.9;1
195605;33.9;1
195606;33.8;1
195607;99.6;1
195608;100.5;1
195609;47.5;1
195610;34.8;1
195611;40.9;1
195612;74.5;1
195701;44.8;1
195702;159.2;1
195703;32.1;1
195704;42.8;1
195705;27.2;1
195706;105.7;1
195707;80.1;1
195708;70.7;1
195709;89.5;1
195710;27.5;1
195711;79.6;1
195712;59;1
195801;153.7;1
195802;144.6;1
195803;66.4;1
195804;44.3;1
195805;78.1;1
195806;103.5;1
195807;47.6;1
195808;86.2;1
195809;40.2;1
195810;53.5;1
195811;69.7;1
195812;119.2;1
195901;108.4;1
195902;7.1;1
195903;62.1;1
195904;110.5;1
195905;58.5;1
195906;67.4;1
195907;14.2;1
195908;23.5;1
195909;18.2;1
195910;94.9;1
195911;55.8;1
195912;170.8;1
196001;59.4;1
196002;52.8;1
196003;92.5;1
196004;21.4;1
196005;57.9;1
196006;76.8;1
196007;97.8;1
196008;121.7;1
196009;120;1
196010;193.3;1
196011;189.2;1
196012;142.5;1
196101;129.4;1
196102;54.1;1
196103;5.3;1
196104;69;1
196105;42.2;1
196106;32;1
196107;60.6;1
196108;20.8;1
196109;41;1
196110;135.3;1
196111;102.5;1
196112;96.6;1
196201;103.3;1
196202;46.8;1
196203;114.8;1
196204;68.8;1
196205;34.8;1
196206;2.4;1
196207;35.5;1
196208;44.4;1
196209;69.4;1
196210;67.2;1
196211;155.2;1
196212;64.3;1
196301;42.6;1
196302;47;1
196303;90;1
196304;76.6;1
196305;64;1
196306;152.5;1
196307;24.6;1
196308;103.7;1
196309;38.5;1
196310;48;1
196311;153.7;1
196312;14.3;1
196401;20.9;1
196402;106.6;1
196403;105.1;1
196404;62.4;1
196405;79.4;1
196406;75;1
196407;16.2;1
196408;30;1
196409;24.2;1
196410;76;1
196411;28.3;1
196412;116.6;1
196501;141.2;1
196502;7.5;1
196503;85.3;1
196504;62;1
196505;50.7;1
196506;25.3;1
196507;32.8;1
196508;116;1
196509;125.9;1
196510;28.1;1
196511;146.9;1
196512;170.3;1
196601;108.4;1
196602;96.5;1
196603;23.1;1
196604;127.1;1
196605;67.7;1
196606;66.7;1
196607;51.4;1
196608;83.9;1
196609;32.1;1
196610;275.4;1
196611;127.1;1
196612;125.5;1
196701;29.4;1
196702;101.2;1
196703;58.8;1
196704;58;1
196705;112.3;1
196706;16;1
196707;29.2;1
196708;96.8;1
196709;105.8;1
196710;109.2;1
196711;94.9;1
196712;95;1
196801;91.8;1
196802;77.5;1
196803;57.6;1
196804;40.6;1
196805;64.3;1
196806;72.1;1
196807;66.9;1
196808;47.2;1
196809;76.3;1
196810;54.4;1
196811;14.5;1
196812;63.3;1
196901;50.7;1
196902;62.6;1
196903;72.7;1
196904;33.8;1
196905;82;1
196906;32.2;1
196907;70.5;1
196908;6.5;1
196909;23.8;1
196910;12.5;1
196911;168;1
196912;111.2;1
197001;106.6;1
197002;149.3;1
197003;61.5;1
197004;36.4;1
197005;19;1
197006;76.3;1
197007;28.1;1
197008;69.2;1
197009;32.7;1
197010;44.8;1
197011;112.8;1
197012;28.1;1
197101;99.4;1
197102;48.7;1
197103;34;1
197104;44.9;1
197105;97.6;1
197106;34.1;1
197107;31.2;1
197108;63.3;1
