# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 21349001
# NOM_USUEL= LIERNAIS
# LATITUDE (°) = 47.208
# LONGITUDE(°)= 4.284
# ALTITUDE (m) = 492
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2016-12-31
# NUM_SERIE= MRR121349001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195101 201412
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195101 201412  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;77.4;1
195102;88.2;1
195103;79;1
195104;61.4;1
195105;91;1
195106;117.4;1
195107;50.8;1
195108;118.4;1
195109;60.9;1
195110;45.8;1
195111;184.8;1
195112;71.3;1
195201;132.1;1
195202;65.5;1
195203;104.8;1
195204;14.2;1
195205;62.9;1
195206;36.3;1
195207;19.9;1
195208;51.4;1
195209;125;1
195210;159;1
195211;163;1
195212;134.9;1
195301;10.8;1
195302;55.7;1
195303;9.8;1
195304;60.1;1
195305;29.4;1
195306;144.9;1
195307;101.7;1
195308;14.4;1
195309;66.8;1
195310;55.7;1
195311;24.9;1
195312;35.9;1
195401;49.5;1
195402;57.4;1
195403;72.6;1
195404;32.7;1
195405;62.6;1
195406;64.8;1
195407;30.7;1
195408;146.8;1
195409;69.5;1
195410;64.9;1
195411;62.2;1
195412;114.2;1
195501;217.5;1
195502;128.8;1
195503;60.7;1
195504;0.9;1
195505;40.2;1
195506;85.1;1
195507;50.1;1
195508;27.3;1
195509;55.2;1
195510;37.2;1
195511;32.7;1
195512;136.3;1
195601;69.1;1
195602;12.1;1
195603;25.1;1
195604;40;1
195605;69.4;1
195606;42.5;1
195607;108.7;1
195608;132.3;1
195609;143.7;1
195610;79;1
195611;45.3;1
195612;36.2;1
195701;28;1
195702;137.4;1
195703;30;1
195704;25.3;1
195705;30.6;1
195706;102.1;1
195707;88.2;1
195708;54;1
195709;89.9;1
195710;35.4;1
195711;44.2;1
195712;81.1;1
195801;118.3;1
195802;131.3;1
195803;67.7;1
195804;47.7;1
195805;99.6;1
195806;65.6;1
195807;54;1
195808;104;1
195809;78.1;1
195810;59.9;1
195811;44.9;1
195812;171.3;1
195901;121.5;1
195902;0;1
195903;58.4;1
195904;82.5;1
195905;9.2;1
195906;110.4;1
195907;36.2;1
195908;64.5;1
195909;37.1;1
195910;63.8;1
195911;67.6;1
195912;110.3;1
196001;59.3;1
196002;71.8;1
196003;52.9;1
196004;18.1;1
196005;33.5;1
196006;86.5;1
196007;90.8;1
196008;149.1;1
196009;87.4;1
196010;162.8;1
196011;64.4;1
196012;81.1;1
196101;112.4;1
196102;71.3;1
196103;11.9;1
196104;64;1
196105;52.7;1
196106;32.5;1
196107;75;1
196108;48.6;1
196109;15.4;1
196110;129.1;1
196111;66.8;1
196112;103.4;1
196201;121.7;1
196202;71.2;1
196203;127.4;1
196204;96.5;1
196205;107.4;1
196206;7.8;1
196207;52.8;1
196208;24.1;1
196209;62.2;1
196210;30.3;1
196211;61.8;1
196212;125.2;1
196301;35;1
196302;26.4;1
196303;96.8;1
196304;40.3;1
196305;85.2;1
196306;115.6;1
196307;80.7;1
196308;100.7;1
196309;37;1
196310;55.6;1
196311;168.3;1
196312;1.1;1
196401;32.2;1
196402;34.2;1
196403;48.2;1
196404;65.3;1
196405;54.6;1
196406;30.1;1
196407;8.7;1
196408;58.7;1
196409;89.3;1
196410;65.9;1
196411;22.8;1
196412;38.3;1
196501;90.8;1
196502;22;1
196503;85.6;1
196504;62;1
196505;94.1;1
196506;124.7;1
196507;68.6;1
196508;52.7;1
196509;188.1;1
196510;18;1
196511;139.1;1
196512;183.4;1
196601;101.9;1
196602;98.7;1
196603;67.8;1
196604;71.6;1
196605;75.7;1
196606;80.1;1
196607;82.7;1
196608;105.8;1
196609;20.9;1
196610;74.5;1
196611;83.6;1
196612;125.8;1
196701;42.2;1
196702;83.3;1
196703;51;1
196704;34.8;1
196705;72.1;1
196706;27.7;1
196707;8.6;1
196708;93.1;1
196709;121.2;1
196710;82.5;1
196711;97.4;1
196712;88.6;1
196801;113;1
196802;59.6;1
196803;65.8;1
196804;58;1
196805;118.8;1
196806;68.5;1
196807;60.7;1
196808;154.6;1
196809;154.9;1
196810;50.9;1
196811;45.7;1
196812;123;1
196901;64.9;1
196902;53.6;1
196903;84.9;1
196904;90.9;1
196905;117.1;1
196906;113;1
196907;24;1
196908;56.6;1
196909;27;1
196910;0;1
196911;139.4;1
196912;46.2;1
197001;85.5;1
197002;180.8;1
197003;58.5;1
197004;80.2;1
197005;33.2;1
197006;75.2;1
197007;47.5;1
197008;58.6;1
197009;46.1;1
197010;99.3;1
197011;78;1
197012;40.7;1
197101;100.2;1
197102;44.2;1
197103;63.3;1
197104;11.5;1
197105;70.9;1
197106;65.7;1
197107;49.9;1
197108;101.4;1
197109;35.4;1
197110;15.5;1
197111;76.8;1
197112;6.8;1
197201;44.7;1
197202;73.8;1
197203;39.3;1
197204;60.2;1
197205;50;1
197206;55.8;1
197207;29.9;1
197208;107;1
197209;20.4;1
197210;55;1
197211;165.3;1
197212;44.1;1
197301;60.1;1
197302;66.3;1
197303;11.9;1
197304;40.1;1
197305;97.5;1
197306;41.9;1
197307;57.2;1
197308;113.5;1
197309;57.8;1
197310;87.4;1
197311;72.9;1
197312;137.2;1
197401;59.1;1
197402;75.6;1
197403;89.6;1
197404;28.1;1
197405;54.1;1
197406;73.9;1
197407;60.3;1
197408;56.9;1
197409;118.4;1
197410;133.6;1
197411;85.2;1
197412;75.5;1
197501;104.5;1
197502;6.8;1
197503;75.3;1
197504;37.2;1
197505;83.6;1
197506;54.3;1
197507;56.3;1
197508;74.2;1
197509;138.8;1
197510;47.5;1
197511;128.1;1
197512;44.3;1
197601;39.3;1
197602;52;1
197603;7.4;1
197604;21.7;1
197605;29.3;1
197606;3.5;1
197607;38.7;1
197608;19.4;1
197609;109.3;1
197610;88.3;1
197611;119.7;1
197612;115.5;1
197701;104.8;1
197702;157.8;1
197703;83.9;1
197704;54.3;1
197705;112.1;1
197706;191.1;1
197707;106.9;1
197708;149.9;1
197709;10.3;1
197710;89.6;1
197711;104.3;1
197712;71.6;1
197801;109.5;1
197802;110;1
197803;126.6;1
197804;53.4;1
197805;53;1
197806;34.6;1
197807;74.9;1
197808;26.8;1
197809;33.7;1
197810;16.9;1
197811;9.7;1
197812;136;1
197901;96.4;1
197902;102.8;1
197903;133;1
197904;90.2;1
197905;112.3;1
197906;75.6;1
197907;8.7;1
197908;113.6;1
197909;10.7;1
197910;149.8;1
197911;71.1;1
197912;146;1
198001;95.2;1
198002;112.4;1
198003;88.1;1
198004;31;1
198005;96.3;1
198006;55.8;1
198007;40.3;1
198008;81.7;1
198009;64.1;1
198010;70.9;1
198011;44.5;1
198012;96.3;1
198101;119.8;1
198102;39.9;1
198103;113.3;1
198104;16;1
198105;108.2;1
198106;155;1
198107;54.4;1
198108;46.3;1
198109;95.1;1
198110;168.5;1
198111;53;1
198112;200.4;1
198201;89.2;1
198202;15.8;1
198203;95.2;1
198204;9;1
198205;59.4;1
198206;87.6;1
198207;67.2;1
198208;55.2;1
198209;98.1;1
198210;91;1
198211;81.5;1
198212;174.7;1
198301;76.6;1
198302;80.2;1
198303;35.1;1
198304;170;1
198305;166;1
198306;52.6;1
198307;51.7;1
198308;108.5;1
198309;64.6;1
198310;47.6;1
198311;65.1;1
198312;60.4;1
198401;144.9;1
198402;96.8;1
198403;51.3;1
198404;10.2;1
198405;91.9;1
198406;60.4;1
198407;35;1
198408;90.3;1
198409;129.1;1
198410;107.5;1
198411;135.2;1
198412;74.9;1
198501;66.6;1
198502;36.8;1
198503;62.6;1
198504;73.9;1
198505;80.1;1
198506;78.7;1
198507;24.7;1
198508;35.8;1
198509;14;1
198510;24.6;1
198511;82.2;1
198512;38.3;1
198601;166.4;1
198602;68.5;1
198603;92;1
198604;156.9;1
198605;111.6;1
198606;47;1
198607;50.6;1
198608;72.1;1
198609;101.3;1
198610;75.6;1
198611;59.7;1
198612;115.8;1
198701;33.9;1
198702;56.4;1
198703;67.5;1
198704;47.1;1
198705;113.2;1
198706;156.5;1
198707;114.3;1
198708;32.8;1
198709;87.7;1
198710;126.2;1
198711;72.6;1
198712;56;1
198801;201.2;1
198802;138.1;1
198803;108.5;1
198804;20;1
198805;161.6;1
198806;21.7;1
198807;86.9;1
198808;17.3;1
198809;78.4;1
198810;99.6;1
198811;39.7;1
198812;92.4;1
198901;23.9;1
198902;64.2;1
198903;54.6;1
198904;144.1;1
198905;63.6;1
198906;27.8;1
198907;56.7;1
198908;25.5;1
198909;55;1
198910;37.6;1
198911;70.8;1
198912;82.9;1
199001;68;1
199002;174.9;1
199003;27.2;1
199004;52.7;1
199005;59.9;1
199006;144.9;1
199007;29.7;1
199008;28.2;1
199009;69;1
199010;151.3;1
199011;81.5;1
199012;71;1
199101;55.5;1
199102;37.1;1
199103;59.3;1
199104;52.2;1
199105;15.5;1
199106;78.6;1
199107;36;1
199108;24.7;1
199109;130.2;1
199110;49;1
199111;99.4;1
199112;53;1
199201;14.5;1
199202;47.3;1
199203;73.1;1
199204;54.3;1
199205;75.3;1
199206;90.6;1
199207;49;1
199208;104.3;1
199209;77.4;1
199210;117.9;1
199211;149.9;1
199212;64.1;1
199301;54.1;1
199302;12.5;1
199303;8.9;1
199304;96.4;1
199305;72.8;1
199306;109;1
199307;90.7;1
199308;16.2;1
199309;145.9;1
199310;187.5;1
199311;35.1;1
199312;192.8;1
199401;139.8;1
199402;107.6;1
199403;39.3;1
