# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 2614001
# NOM_USUEL= PONTRU
# LATITUDE (°) = 49.908
# LONGITUDE(°)= 3.203
# ALTITUDE (m) = 80
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2022-12-31
# NUM_SERIE= MRR002614001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195901 201712
# Date(s) de rupture(s) d'homogénéité : 200812
#     Periode homogénéisée  195901 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;74.8;1
195902;2.2;1
195903;56.8;1
195904;59;1
195905;18.8;1
195906;71.7;1
195907;21.4;1
195908;90.3;1
195909;7.4;1
195910;64;1
195911;53.1;1
195912;58.4;1
196001;49.5;1
196002;36.2;1
196003;48.9;1
196004;11.5;1
196005;27.2;1
196006;63;1
196007;102.2;1
196008;75.5;1
196009;37.9;1
196010;114.9;1
196011;98.6;1
196012;71.3;1
196101;121.4;1
196102;67.9;1
196103;12.4;1
196104;82.1;1
196105;51.5;1
196106;62.7;1
196107;81.3;1
196108;24.5;1
196109;59.8;1
196110;116.7;1
196111;70.6;1
196112;79.2;1
196201;72.5;1
196202;66.8;1
196203;69.5;1
196204;56.6;1
196205;66.3;1
196206;7.3;1
196207;51.7;1
196208;57;1
196209;47;1
196210;34.8;1
196211;65.2;1
196212;56.4;1
196301;22;1
196302;10.8;1
196303;61.9;1
196304;45.5;1
196305;75.8;1
196306;104.7;1
196307;61;1
196308;128.9;1
196309;51.9;1
196310;73.2;1
196311;117.1;1
196312;12.9;1
196401;25.2;1
196402;31.6;1
196403;72.9;1
196404;35.5;1
196405;32.5;1
196406;51.1;1
196407;24.2;1
196408;47;1
196409;65.9;1
196410;94;1
196411;80.4;1
196412;67.6;1
196501;85.2;1
196502;12.8;1
196503;59.8;1
196504;59.2;1
196505;58.1;1
196506;38.5;1
196507;68.2;1
196508;122.2;1
196509;112.9;1
196510;30.2;1
196511;110.9;1
196512;159.5;1
196601;60.9;1
196602;45;1
196603;42.2;1
196604;97.2;1
196605;60.4;1
196606;45.2;1
196607;84.3;1
