# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 51250001
# NOM_USUEL= FISMES ST LADRE
# LATITUDE (°) = 49.308
# LONGITUDE(°)= 3.69
# ALTITUDE (m) = 80
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2021-12-31
# NUM_SERIE= MRR051250001
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 195501 201812
# Date(s) de rupture(s) d'homogénéité : 198712 199204
#     Periode homogénéisée  195501 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;76.6;1
195502;66.9;1
195503;22.9;1
195504;8.4;1
195505;60.1;1
195506;50.1;1
195507;69.1;1
195508;15.1;1
195509;26.2;1
195510;40.2;1
195511;18;1
195512;91.9;1
195601;69.9;1
195602;17.1;1
195603;21.2;1
195604;38.1;1
195605;16.9;1
195606;66.4;1
195607;65.1;1
195608;61.9;1
195609;45;1
195610;86.2;1
195611;91.8;1
195612;37.1;1
195701;21.9;1
195702;128;1
195703;34.4;1
195704;31.4;1
195705;57.7;1
195706;44.3;1
195707;48.4;1
195708;53.4;1
195709;96.2;1
195710;18;1
195711;30.1;1
195712;53.6;1
195801;75.1;1
195802;131.8;1
195803;28;1
195804;31.5;1
195805;114.3;1
195806;74;1
195807;83.4;1
195808;132.2;1
195809;58;1
195810;70.1;1
195811;48;1
195812;77.1;1
195901;57.4;1
195902;1.7;1
195903;41.5;1
195904;59.5;1
195905;0.5;1
195906;50.7;1
195907;23;1
195908;25;1
195909;0;1
195910;73.1;1
195911;28.6;1
195912;86;1
196001;40;1
196002;42;1
196003;70;1
196004;19;1
196005;32;1
196006;55.5;1
196007;88.9;1
196008;79.3;1
196009;36;1
196010;85.7;1
196011;66.9;1
196012;64.3;1
196101;95.9;1
196102;65.4;1
196103;3.6;1
196104;86.1;1
196105;46.1;1
196106;70.6;1
196107;67.1;1
196108;13.8;1
196109;43.2;1
196110;103.1;1
196111;62;1
196112;35.1;1
196201;61.3;1
196202;25.5;1
196203;56.6;1
196204;60.6;1
196205;34.1;1
196206;0;1
196207;32.2;1
196208;44.7;1
196209;33.4;1
196210;47.4;1
196211;62.6;1
196212;48.2;1
196301;16.6;1
196302;13.5;1
196303;38.5;1
196304;27;1
196305;81.9;1
196306;117.5;1
196307;26;1
196308;114.6;1
196309;13.5;1
196310;29.7;1
196311;76.9;1
196312;11.4;1
196401;28.6;1
196402;25.3;1
196403;65.1;1
196404;40.3;1
196405;31;1
196406;29.2;1
196407;26.1;1
196408;29.2;1
196409;67;1
196410;47.6;1
196411;44.1;1
196412;42.1;1
196501;91.9;1
196502;4.4;1
196503;62.9;1
196504;54;1
196505;50.5;1
196506;46.6;1
196507;54.9;1
196508;68.8;1
196509;119.8;1
196510;17;1
196511;98.6;1
196512;114.8;1
196601;55.8;1
196602;69.2;1
196603;31.4;1
196604;68.3;1
196605;35.9;1
196606;64.2;1
196607;74.4;1
196608;54.7;1
196609;29.4;1
196610;96.3;1
196611;58;1
196612;106.6;1
196701;35.2;1
196702;33.9;1
196703;36.8;1
196704;12.2;1
196705;56.3;1
196706;35.7;1
196707;31;1
196708;57.1;1
196709;104;1
196710;80.9;1
196711;65.3;1
196712;75.8;1
196801;73.8;1
196802;60.3;1
196803;28.1;1
196804;40.6;1
196805;44.7;1
196806;56.1;1
196807;123.7;1
196808;125.3;1
196809;68.9;1
196810;38.4;1
196811;40.3;1
196812;33.3;1
196901;30.2;1
196902;20.8;1
196903;51.7;1
196904;58.4;1
196905;120.5;1
196906;115.6;1
196907;38.5;1
196908;76.7;1
196909;13.5;1
196910;1.7;1
196911;105.5;1
196912;57;1
197001;45.6;1
197002;115;1
197003;74.1;1
197004;68.8;1
197005;48.1;1
197006;41.6;1
197007;61.8;1
197008;18.4;1
197009;31.2;1
197010;37.1;1
197011;59.3;1
197012;24.4;1
197101;43.9;1
197102;34.4;1
197103;22.7;1
197104;18.9;1
197105;104.7;1
197106;80;1
197107;67.3;1
197108;65.3;1
197109;16.5;1
197110;32.9;1
197111;75.2;1
197112;5.6;1
197201;55.4;1
197202;37.3;1
197203;27.2;1
197204;46.2;1
197205;52.1;1
197206;59;1
197207;73.4;1
197208;84.6;1
197209;45.5;1
