# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 70334001
# NOM_USUEL= MARNAY
# LATITUDE (°) = 47.292
# LONGITUDE(°)= 5.774
# ALTITUDE (m) = 205
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2019-04-01
# NUM_SERIE= MRR170334001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195101 201712
# Date(s) de rupture(s) d'homogénéité : 196102 197503
#     Periode homogénéisée  195101 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;106.1;1
195102;84;1
195103;91.5;1
195104;57.6;1
195105;89.4;1
195106;143.6;1
195107;35.8;1
195108;119.5;1
195109;67;1
195110;44;1
195111;161.6;1
195112;54.7;1
195201;107.9;1
195202;90.8;1
195203;119.5;1
195204;29.4;1
195205;58.6;1
195206;93.7;1
195207;32.4;1
195208;81.2;1
195209;139.9;1
195210;179.9;1
195211;138.5;1
195212;114.9;1
195301;30.1;1
195302;62.5;1
195303;20.8;1
195304;42.6;1
195305;38.1;1
195306;230.2;1
195307;141.1;1
195308;39.1;1
195309;78.8;1
195310;50;1
195311;13.8;1
195312;17.9;1
195401;59;1
195402;31.7;1
195403;48.9;1
195404;40.1;1
195405;63.7;1
195406;56.7;1
195407;27.1;1
195408;188.1;1
195409;129.9;1
195410;77.2;1
195411;98.8;1
195412;112.8;1
195501;158;1
195502;119.4;1
195503;47.1;1
195504;10;1
195505;71.7;1
195506;146.4;1
195507;82.2;1
195508;46.6;1
195509;71.7;1
195510;55.2;1
195511;46.1;1
195512;124.4;1
195601;84.3;1
195602;11;1
195603;25.6;1
195604;90.3;1
195605;22.1;1
195606;118.9;1
195607;98.3;1
195608;147.4;1
195609;133.4;1
195610;106.3;1
195611;45.1;1
195612;11;1
195701;37.1;1
195702;151.5;1
195703;20.1;1
195704;12;1
195705;45.1;1
195706;190.6;1
195707;127.9;1
195708;63.2;1
195709;99.3;1
195710;15;1
195711;58.2;1
195712;74.2;1
195801;117.4;1
195802;159.5;1
195803;29.1;1
195804;46.1;1
195805;91.3;1
195806;106.3;1
195807;36.1;1
195808;168.5;1
195809;154.1;1
195810;67.2;1
195811;39.1;1
195812;145.9;1
195901;167.4;1
195902;4;1
195903;89.3;1
195904;104.2;1
195905;32.6;1
195906;56.7;1
195907;24.6;1
195908;49.1;1
195909;18.6;1
195910;73.7;1
195911;96.9;1
195912;69.7;1
196001;81.2;1
196002;73.7;1
196003;47.3;1
196004;29.8;1
196005;45.1;1
196006;75.4;1
196007;98.9;1
196008;147.2;1
196009;131.9;1
196010;166.8;1
196011;77.8;1
196012;73.5;1
196101;99.3;1
196102;59;1
