# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 59206001
# NOM_USUEL= ESCAUDOEUVRES
# LATITUDE (°) = 50.19
# LONGITUDE(°)= 3.257
# ALTITUDE (m) = 42
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2020-12-31
# NUM_SERIE= MRR059206001
# Amplitude minimale détectable de la série = 0.09
# Période homogénéisée : 195501 201712
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195501 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;65.5;1
195502;51.3;1
195503;11.9;1
195504;4;1
195505;74.4;1
195506;34.8;1
195507;24.5;1
195508;58.5;1
195509;42.5;1
195510;24.2;1
195511;24.7;1
195512;89.7;1
195601;48.8;1
195602;21.8;1
195603;22.7;1
195604;22.6;1
195605;31.4;1
195606;56.5;1
195607;77.6;1
195608;77.5;1
195609;64.5;1
195610;60.5;1
195611;55.9;1
195612;14.4;1
195701;22.7;1
195702;161.5;1
195703;25;1
195704;45;1
195705;34.4;1
195706;35.4;1
195707;99.5;1
195708;72;1
195709;105.1;1
195710;26.5;1
195711;33.2;1
195712;38;1
195801;54.8;1
195802;78.3;1
195803;13;1
195804;30.1;1
195805;62.5;1
195806;76;1
195807;58;1
195808;95;1
195809;42.5;1
195810;55.9;1
195811;31;1
195812;72;1
195901;59.5;1
195902;6;1
195903;56.5;1
195904;49.9;1
195905;18.4;1
195906;40.5;1
195907;12.3;1
195908;43.5;1
195909;7;1
195910;68;1
195911;48;1
195912;59.4;1
196001;33.6;1
196002;24.8;1
196003;31.2;1
196004;12.5;1
196005;46.7;1
196006;68.7;1
196007;69.6;1
196008;80.5;1
196009;30.3;1
196010;93.9;1
196011;87.3;1
196012;60.7;1
196101;83;1
196102;63.7;1
196103;10.3;1
196104;55.6;1
196105;38.1;1
196106;38.8;1
196107;77.4;1
196108;31.1;1
196109;42.5;1
196110;120.7;1
196111;68.6;1
196112;69.9;1
196201;64.7;1
196202;38.8;1
196203;45.9;1
196204;47.6;1
196205;48.4;1
196206;8.5;1
196207;76.5;1
196208;74.7;1
196209;59.1;1
196210;32.2;1
196211;44.1;1
196212;52.3;1
196301;15.5;1
196302;14;1
196303;42.6;1
196304;37.8;1
196305;76.6;1
196306;114.1;1
196307;15.2;1
196308;101.1;1
196309;54.8;1
196310;54.2;1
196311;106.2;1
196312;7.4;1
196401;15.3;1
196402;30.7;1
196403;50.9;1
196404;20.2;1
196405;41.5;1
196406;44.5;1
196407;44.8;1
196408;49.4;1
196409;47.8;1
196410;73.7;1
196411;61.1;1
196412;64.4;1
196501;65.6;1
196502;9.5;1
