# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 42182001
# NOM_USUEL= RENAISON
# LATITUDE (°) = 46.044
# LONGITUDE(°)= 3.871
# ALTITUDE (m) = 443
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2021-01-01
# NUM_SERIE= MRR042182001
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 195701 202012
# Date(s) de rupture(s) d'homogénéité : 198112 201512
#     Periode homogénéisée  195701 202012  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195701;62.8;1
195702;152.9;1
195703;36;1
195704;37.6;1
195705;51.4;1
195706;137.9;1
195707;76.9;1
195708;43.7;1
195709;66.6;1
195710;28.1;1
195711;15.6;1
195712;84.6;1
195801;107.8;1
195802;88.5;1
195803;103.7;1
195804;82;1
195805;77;1
195806;168.5;1
195807;47.9;1
195808;119.7;1
195809;115.9;1
195810;28.6;1
195811;113.8;1
195812;91.9;1
195901;98.3;1
195902;0;1
195903;68.6;1
195904;102.7;1
195905;34;1
195906;58.9;1
195907;27.2;1
195908;51.7;1
195909;84.8;1
195910;81.9;1
195911;51.5;1
195912;115.7;1
196001;91.6;1
196002;71.1;1
196003;88.1;1
196004;19.6;1
196005;69;1
196006;67.1;1
196007;103.7;1
196008;196.5;1
196009;107.6;1
196010;134.2;1
196011;61.8;1
196012;52.7;1
196101;131.3;1
196102;100.6;1
196103;40.2;1
196104;83.3;1
196105;81.1;1
196106;70.7;1
196107;61.4;1
196108;74.3;1
196109;38.9;1
196110;114.4;1
196111;66.9;1
196112;127.8;1
196201;120.7;1
196202;64.5;1
196203;118.7;1
196204;107.9;1
196205;97.1;1
196206;46.6;1
196207;95.6;1
196208;28.3;1
196209;138.8;1
196210;29.8;1
196211;88.5;1
196212;189.5;1
196301;46.7;1
196302;58.5;1
196303;161.4;1
196304;36.3;1
196305;68.6;1
196306;169.6;1
196307;45.9;1
196308;140.8;1
196309;32.1;1
196310;32.5;1
196311;126.9;1
196312;8.8;1
196401;29.3;1
196402;48.4;1
196403;93;1
196404;86;1
196405;105.5;1
196406;28.4;1
196407;17.9;1
196408;52.2;1
196409;61.7;1
196410;81.3;1
196411;54.5;1
196412;42.4;1
196501;119.7;1
196502;7.6;1
196503;85.9;1
196504;145.1;1
196505;131.7;1
196506;74.6;1
196507;141;1
196508;69.6;1
196509;235.1;1
196510;53.6;1
196511;165.8;1
196512;237.5;1
196601;91.9;1
196602;112.2;1
196603;77.6;1
196604;66.9;1
196605;57;1
196606;87.7;1
196607;132.3;1
196608;62.1;1
196609;45.5;1
196610;118.9;1
196611;120.2;1
