# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 66117001
# NOM_USUEL= MONT LOUIS
# LATITUDE (°) = 42.51
# LONGITUDE(°)= 2.122
# ALTITUDE (m) = 1600
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2018-12-31
# NUM_SERIE= MRR066117001
# Amplitude minimale détectable de la série = 0.15
# Période homogénéisée : 195001 201712
# Date(s) de rupture(s) d'homogénéité : 197209 199012
#     Periode homogénéisée  195001 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;38;1
195002;39.1;1
195003;0;1
195004;119.4;1
195005;19.5;1
195006;27.1;1
195007;72.7;1
195008;79.3;1
195009;0;1
195010;3.3;1
195011;14.1;1
195012;57.5;1
195101;69.5;1
195102;101;1
195103;135.7;1
195104;105.3;1
195105;30.4;1
195106;52.1;1
195107;38;1
195108;79.3;1
195109;26.1;1
195110;47.8;1
195111;87.9;1
195112;48.9;1
195201;99.9;1
195202;87.9;1
195203;16.3;1
195204;5.4;1
195205;5.4;1
195206;90.1;1
195207;78.2;1
195208;33.7;1
195209;65.1;1
195210;63;1
195211;41.3;1
195212;179.1;1
195301;1.7;1
195302;43.4;1
195303;58.2;1
195304;9.1;1
195305;21.7;1
195306;59.7;1
195307;22.8;1
195308;67.3;1
195309;29.3;1
195310;34.7;1
195311;13;1
195312;31.5;1
195401;61.9;1
195402;152;1
195403;35.8;1
195404;76;1
195405;80.3;1
195406;68.4;1
195407;0;1
195408;58.6;1
195409;8.7;1
195410;18.5;1
195411;7.6;1
195412;68.9;1
195501;66.4;1
195502;27.9;1
195503;30.2;1
195504;0;1
195505;10.3;1
195506;102.7;1
195507;82;1
195508;89;1
195509;73.8;1
195510;31.5;1
195511;14.1;1
195512;75.7;1
195601;33.4;1
195602;34.2;1
195603;40.2;1
195604;32.6;1
195605;20.6;1
195606;46.7;1
195607;24;1
195608;70.6;1
195609;103.6;1
195610;21.2;1
195611;36.4;1
195612;9.8;1
195701;3.3;1
195702;2.2;1
195703;2.2;1
195704;45;1
195705;66.8;1
195706;69.6;1
195707;48.9;1
195708;121.6;1
195709;71.7;1
195710;22.8;1
195711;32.9;1
195712;30.4;1
195801;66.6;1
195802;11.5;1
195803;56.5;1
195804;17.4;1
195805;26.3;1
195806;34.2;1
195807;66;1
195808;87.4;1
195809;37.5;1
195810;10.9;1
195811;60.8;1
195812;80.3;1
195901;12.5;1
195902;162.3;1
195903;103.7;1
195904;89.6;1
195905;48.9;1
195906;85.8;1
195907;72.2;1
195908;127.9;1
195909;76.5;1
195910;64.9;1
195911;31.9;1
195912;82.4;1
196001;63.5;1
196002;49.4;1
196003;83.6;1
196004;34.2;1
196005;26.6;1
196006;105.3;1
196007;174.8;1
196008;36.9;1
196009;45.1;1
196010;102.6;1
196011;34.7;1
196012;87.3;1
196101;24.8;1
196102;13;1
196103;3.8;1
196104;80.8;1
196105;120.4;1
196106;82.3;1
196107;17.6;1
196108;64.1;1
196109;54.5;1
196110;49.9;1
196111;85.2;1
196112;8.3;1
196201;71.4;1
196202;93.6;1
196203;30.7;1
196204;71.7;1
