# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 67021001
# NOM_USUEL= BARR
# LATITUDE (°) = 48.408
# LONGITUDE(°)= 7.46
# ALTITUDE (m) = 193
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2018-12-31
# NUM_SERIE= MRR167021001
# Amplitude minimale détectable de la série = 0.09
# Période homogénéisée : 195001 201612
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195001 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;11.9;1
195002;87.2;1
195003;8.1;1
195004;61.4;1
195005;61.1;1
195006;65.2;1
195007;35.4;1
195008;128.8;1
195009;76.3;1
195010;15.4;1
195011;153.3;1
195012;39.6;1
195101;51.5;1
195102;50.2;1
195103;64.9;1
195104;47.3;1
195105;67.4;1
195106;126.4;1
195107;56.7;1
195108;92;1
195109;49.1;1
195110;57.8;1
195111;94.4;1
195112;53.2;1
195201;81.7;1
195202;47.4;1
195203;121.2;1
195204;23.9;1
195205;35.6;1
195206;36.7;1
195207;21.6;1
195208;59.1;1
195209;74.5;1
195210;118;1
195211;141.3;1
195212;74.9;1
195301;18.3;1
195302;41.6;1
195303;2.2;1
195304;52.2;1
195305;47;1
195306;162.2;1
195307;146.1;1
195308;25;1
195309;48.4;1
195310;28.1;1
195311;6.9;1
195312;13.3;1
195401;32.3;1
195402;30.4;1
195403;20.9;1
195404;51.5;1
195405;59.3;1
195406;36.4;1
195407;54.6;1
195408;104.2;1
195409;120.7;1
195410;47.1;1
195411;46.7;1
195412;130.8;1
195501;140.2;1
195502;66.8;1
195503;20.7;1
195504;5.2;1
195505;61.7;1
195506;106.9;1
195507;102;1
195508;104.4;1
195509;39.3;1
195510;24.5;1
195511;6.5;1
195512;79.2;1
195601;51.5;1
195602;10.5;1
195603;17.1;1
195604;83.8;1
195605;78.1;1
195606;44.5;1
195607;124.2;1
195608;93.8;1
195609;56.9;1
195610;48.6;1
195611;39.7;1
195612;17.2;1
195701;19.8;1
195702;79.5;1
195703;28.4;1
195704;22.2;1
195705;36.9;1
195706;136.2;1
195707;53.3;1
195708;54.2;1
195709;51.5;1
195710;9.5;1
195711;39;1
195712;34.7;1
195801;107;1
195802;196;1
195803;33.1;1
195804;30.9;1
195805;104.2;1
195806;72.3;1
195807;55.2;1
195808;70.1;1
195809;72.5;1
195810;39.1;1
195811;38.3;1
195812;85.7;1
195901;102.1;1
195902;1.7;1
195903;67.6;1
195904;73.7;1
195905;39.4;1
195906;53.2;1
195907;26.9;1
195908;44.1;1
195909;2.9;1
195910;36.6;1
195911;23.8;1
195912;69.3;1
196001;53.3;1
196002;67.9;1
196003;32.4;1
196004;18.7;1
196005;79.1;1
196006;99.2;1
196007;88.2;1
196008;125.9;1
196009;35;1
196010;79.9;1
196011;70.3;1
196012;41.4;1
196101;90;1
196102;58.5;1
196103;2.4;1
196104;71.6;1
196105;49.1;1
196106;62.5;1
196107;77;1
196108;45.2;1
196109;15.9;1
196110;55;1
196111;42.6;1
196112;59.5;1
196201;78.2;1
196202;21.2;1
196203;82.9;1
196204;67;1
196205;79.3;1
196206;23.9;1
196207;48.7;1
196208;39.5;1
196209;42.8;1
196210;6.2;1
196211;23.5;1
196212;66;1
196301;19.3;1
196302;15.6;1
196303;48.5;1
196304;52.7;1
196305;43.4;1
196306;79;1
196307;51.4;1
196308;109.4;1
196309;16.9;1
196310;42.5;1
196311;84.3;1
196312;0;1
196401;4;1
196402;25;1
196403;56.7;1
196404;52.4;1
196405;46;1
196406;26.5;1
