# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 42218011
# NOM_USUEL= SAINT-ETIENNE
# LATITUDE (°) = 45.435
# LONGITUDE(°)= 4.368
# ALTITUDE (m) = 640
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = ouvert
# NUM_SERIE= MRR042218011
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 196001 202012
# Date(s) de rupture(s) d'homogénéité : 199412 199912
#     Periode homogénéisée  196001 202012  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196001;46;1
196002;83;1
196003;88.6;1
196004;23.2;1
196005;65;1
196006;96.8;1
196007;101.7;1
196008;85.9;1
196009;103.5;1
196010;167.7;1
196011;80.2;1
196012;42.3;1
196101;54.3;1
196102;21.8;1
196103;8;1
196104;94.1;1
196105;46;1
196106;37.4;1
196107;66.2;1
196108;77.5;1
196109;15.8;1
196110;104;1
196111;40;1
196112;37.3;1
196201;34.4;1
196202;39;1
196203;11.7;1
196204;55.7;1
196205;62.8;1
196206;16.4;1
196207;20.8;1
196208;26.6;1
196209;123.4;1
196210;29.8;1
196211;52.1;1
196212;73.5;1
196301;20.5;1
196302;22.8;1
196303;55.8;1
196304;61.3;1
196305;75.6;1
196306;142.9;1
196307;80.1;1
196308;152.9;1
196309;25.4;1
196310;39.8;1
196311;128.9;1
196312;20.2;1
196401;12.8;1
196402;24.9;1
196403;89.3;1
196404;95.7;1
196405;53.2;1
196406;50.4;1
196407;26.3;1
196408;76.8;1
196409;56.3;1
196410;61.5;1
196411;19.7;1
196412;27.4;1
196501;46.9;1
196502;18.7;1
196503;42.5;1
196504;77.6;1
196505;111.9;1
196506;62.2;1
196507;174.1;1
196508;39.6;1
196509;179.9;1
196510;48;1
196511;61.3;1
196512;61.4;1
196601;44;1
196602;46.4;1
196603;41.9;1
196604;61.7;1
196605;62.2;1
196606;41.1;1
196607;97.6;1
196608;20.7;1
196609;21.9;1
196610;142.3;1
196611;76.7;1
196612;49.4;1
196701;29.7;1
196702;26.5;1
196703;41.3;1
196704;29.9;1
196705;102.3;1
196706;81.3;1
196707;67.8;1
196708;75.4;1
196709;99.6;1
196710;11.4;1
196711;93.9;1
196712;29.8;1
196801;77.1;1
196802;52;1
196803;13.8;1
196804;33.6;1
196805;142.1;1
196806;52.1;1
196807;54.6;1
196808;104.7;1
196809;107;1
196810;24.2;1
196811;86.3;1
196812;93.8;1
196901;48.6;1
196902;40.9;1
196903;35.3;1
196904;88.9;1
196905;91.3;1
196906;148.2;1
196907;48.5;1
196908;92.6;1
196909;77.9;1
196910;13.7;1
196911;43.9;1
196912;49;1
197001;37.5;1
197002;64.9;1
197003;70.5;1
197004;65.2;1
197005;70.9;1
197006;98.8;1
197007;40.1;1
197008;63.2;1
197009;37.8;1
197010;80;1
197011;59.2;1
197012;69.3;1
197101;66.4;1
197102;17.7;1
197103;97.1;1
197104;91.7;1
197105;59.8;1
197106;50.3;1
197107;51.8;1
197108;48.6;1
197109;16.2;1
197110;31.2;1
197111;96.5;1
197112;40.4;1
197201;58.1;1
197202;80.7;1
197203;51.2;1
197204;52.8;1
197205;48;1
197206;69.2;1
197207;52.1;1
197208;30.5;1
197209;21.3;1
197210;104.9;1
197211;39.5;1
197212;52.9;1
197301;53.6;1
197302;34;1
197303;30.6;1
197304;65;1
197305;122.4;1
197306;62.5;1
197307;93.1;1
197308;39.9;1
197309;51.2;1
197310;50.9;1
197311;22.3;1
197312;50.8;1
197401;22;1
197402;79.6;1
197403;66.4;1
197404;50;1
197405;60.3;1
197406;51.4;1
197407;38.1;1
197408;45.4;1
197409;129;1
197410;75.3;1
197411;78.7;1
197412;23.2;1
197501;57.1;1
197502;30.5;1
197503;60.7;1
197504;25.4;1
197505;120;1
197506;88.3;1
197507;41.6;1
197508;99.4;1
197509;137.3;1
197510;37;1
197511;93.4;1
197512;52;1
197601;26.9;1
197602;42.6;1
197603;12.3;1
197604;48.6;1
197605;39.8;1
197606;7.6;1
197607;47.1;1
197608;104.5;1
197609;105.6;1
197610;133.5;1
197611;75.3;1
197612;28.6;1
197701;62.3;1
197702;64.9;1
197703;63;1
197704;61.5;1
197705;167.1;1
197706;113.1;1
197707;183.9;1
197708;98.2;1
197709;7.1;1
197710;74.6;1
197711;26.8;1
197712;62.8;1
197801;42.6;1
197802;73.1;1
197803;57.8;1
197804;68.8;1
197805;117.2;1
197806;30.6;1
197807;34.3;1
197808;92.9;1
197809;30.1;1
197810;41.7;1
197811;15.4;1
197812;33.1;1
197901;44.6;1
197902;47.2;1
197903;61.5;1
197904;46.9;1
197905;74.4;1
197906;148.6;1
197907;34.7;1
197908;96.9;1
197909;58.6;1
197910;170;1
197911;16.8;1
197912;58.5;1
198001;31.1;1
198002;25.1;1
198003;95.9;1
198004;65.8;1
198005;60.8;1
198006;72.3;1
198007;90.8;1
198008;115.1;1
198009;95.7;1
198010;62.4;1
198011;75;1
198012;52.1;1
198101;57.2;1
198102;27.3;1
198103;82.5;1
198104;52.1;1
198105;154.2;1
198106;84;1
198107;59.8;1
198108;36.6;1
198109;174;1
198110;36.2;1
198111;24.9;1
198112;89.9;1
198201;65.9;1
198202;5.6;1
198203;42.9;1
198204;13.3;1
198205;40.1;1
198206;89.1;1
198207;128.1;1
198208;86.1;1
198209;104.6;1
198210;59.8;1
198211;165.8;1
198212;69.2;1
198301;16.7;1
198302;62.5;1
198303;77.2;1
198304;170.3;1
198305;180.4;1
198306;52.5;1
198307;20;1
198308;47.5;1
198309;49;1
198310;53;1
198311;15.5;1
198312;20.4;1
198401;51.7;1
198402;31.3;1
198403;63.7;1
198404;8.6;1
198405;93.4;1
198406;76.3;1
198407;22.7;1
198408;81.9;1
198409;89.4;1
198410;75.3;1
198411;62.1;1
198412;48;1
198501;44.1;1
198502;9.8;1
198503;79.6;1
198504;43.1;1
198505;189;1
198506;113.6;1
198507;66.4;1
198508;33;1
198509;5.2;1
198510;6.3;1
198511;17.5;1
198512;37.7;1
198601;56.5;1
198602;39.7;1
198603;16.6;1
198604;207.8;1
198605;79;1
198606;31.1;1
198607;86.5;1
198608;93.4;1
198609;92.2;1
198610;34;1
198611;43.4;1
198612;67.7;1
198701;60.8;1
198702;55.6;1
198703;36.5;1
198704;69.9;1
198705;104.6;1
198706;98.5;1
198707;65.8;1
198708;44.3;1
198709;29.2;1
198710;131.2;1
198711;52.3;1
198712;54.6;1
198801;44.9;1
198802;53.6;1
198803;82.6;1
198804;56.4;1
198805;186.2;1
198806;83.7;1
198807;66;1
198808;65.5;1
198809;54.6;1
198810;118.2;1
198811;12.5;1
198812;54;1
198901;7.6;1
198902;38.8;1
198903;20.2;1
198904;169.9;1
198905;42.1;1
198906;20.4;1
198907;63.1;1
198908;29.6;1
198909;54;1
198910;31.4;1
198911;54.5;1
198912;21.5;1
199001;43.5;1
199002;24.3;1
199003;26;1
199004;75.3;1
199005;114.5;1
199006;110.2;1
199007;26.1;1
199008;100.2;1
199009;31.7;1
199010;77.8;1
199011;110.4;1
199012;65;1
199101;24.3;1
199102;34.6;1
199103;72.5;1
199104;52.1;1
199105;30.3;1
199106;88.8;1
199107;18;1
199108;26.6;1
199109;151.9;1
199110;74.5;1
199111;47.7;1
199112;33.8;1
199201;20;1
199202;37.7;1
199203;43.7;1
199204;69.8;1
199205;65.9;1
199206;260.5;1
199207;75.3;1
199208;54.1;1
199209;90.5;1
199210;154.1;1
199211;80.8;1
199212;29.4;1
199301;7.6;1
199302;21.9;1
199303;11.3;1
199304;73.4;1
199305;132.6;1
199306;61.6;1
199307;108.8;1
199308;59.4;1
199309;197.5;1
199310;168.3;1
199311;49.8;1
199312;34.3;1
