# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 70245001
# NOM_USUEL= FOUGEROLLES
# LATITUDE (°) = 47.923
# LONGITUDE(°)= 6.441
# ALTITUDE (m) = 473
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2021-12-31
# NUM_SERIE= MRR170245001
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195701 201912
# Date(s) de rupture(s) d'homogénéité : 199512
#     Periode homogénéisée  195701 201912  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195701;125.7;1
195702;218.7;1
195703;111.9;1
195704;25.9;1
195705;51.4;1
195706;122.2;1
195707;199;1
195708;133.3;1
195709;147.5;1
195710;29.7;1
195711;41.7;1
195712;104;1
195801;161.3;1
195802;330.3;1
195803;130.2;1
195804;60.1;1
195805;152.3;1
195806;149.5;1
195807;112.3;1
195808;185.6;1
195809;89.9;1
195810;121.6;1
195811;93.7;1
195812;162;1
195901;214.6;1
195902;21.9;1
195903;103.7;1
195904;156.6;1
195905;19.9;1
195906;71.3;1
195907;75.9;1
195908;101.8;1
195909;3.8;1
195910;81.1;1
195911;65.4;1
195912;192.4;1
196001;116.4;1
196002;170.1;1
196003;99.3;1
196004;44.8;1
196005;85;1
196006;117.3;1
196007;150.3;1
196008;256.7;1
196009;171.8;1
196010;165.7;1
196011;194.6;1
196012;122.2;1
196101;192.9;1
196102;143.7;1
196103;50.1;1
196104;123.5;1
196105;114;1
196106;108.1;1
196107;150.8;1
196108;94.5;1
196109;56.9;1
196110;165.9;1
196111;130.9;1
196112;171.4;1
196201;167.3;1
196202;141.9;1
196203;197.7;1
196204;84.7;1
196205;165.8;1
196206;8.6;1
196207;55.9;1
196208;62.3;1
196209;169;1
196210;29;1
196211;65.4;1
196212;148.4;1
196301;40.4;1
196302;61.7;1
196303;116.5;1
196304;58;1
196305;91.7;1
196306;170;1
196307;49.6;1
196308;307.7;1
196309;90.4;1
196310;76.1;1
196311;221;1
196312;8;1
196401;75;1
196402;62.4;1
196403;120.8;1
196404;90.9;1
196405;74.3;1
196406;56.8;1
196407;22.1;1
196408;79.7;1
196409;91.2;1
196410;108;1
196411;199;1
196412;103.3;1
196501;205.9;1
196502;32;1
196503;230;1
196504;149.5;1
196505;172.9;1
196506;108.6;1
196507;124.9;1
196508;122.5;1
196509;255.4;1
196510;22.2;1
196511;185.8;1
196512;303.2;1
196601;143.9;1
196602;138.4;1
196603;99.4;1
196604;107.8;1
196605;135;1
196606;99.5;1
196607;102.3;1
196608;166.4;1
196609;37;1
196610;115.2;1
196611;137.7;1
196612;322.9;1
196701;143.6;1
196702;93.2;1
196703;109.4;1
196704;52.8;1
196705;165.1;1
196706;59;1
196707;54.1;1
196708;125.5;1
196709;194.2;1
196710;134.7;1
196711;147.4;1
196712;179.5;1
196801;233.2;1
196802;133.3;1
196803;77.1;1
196804;108.3;1
196805;92.4;1
196806;82.5;1
196807;75.5;1
196808;293.8;1
196809;221.1;1
196810;127.4;1
196811;81.2;1
196812;186.5;1
196901;70.4;1
196902;133.8;1
196903;142.3;1
196904;194.2;1
196905;133.4;1
196906;157.9;1
196907;67.9;1
196908;130.1;1
196909;23.8;1
196910;2.3;1
196911;177.8;1
196912;122.6;1
197001;125.7;1
197002;366.1;1
197003;125.2;1
197004;205.5;1
197005;120.3;1
197006;121.8;1
197007;162.4;1
197008;129.4;1
197009;103.9;1
197010;140.3;1
197011;140.3;1
197012;84.5;1
197101;65.8;1
197102;43.2;1
197103;92.2;1
197104;43.4;1
197105;68.3;1
197106;198.9;1
197107;56.7;1
197108;130.4;1
197109;26.7;1
